name,TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,PLPparthbond,PLPpartSteric,PLPpartmetal,LIG_NUM_CLASH,LIG_NUM_CONTACT,LIG_NUM_NO_CONTACT,CHEMPLP_CLASH2,TRIPOS_TORS,affinity
1n1t,-95.4941,-85.4941,-4.77471,-35.1803,-0.329009,-14.4229,-31.4963,-4.77471,-19.6404,-58.9904,0.0,3,17,0,0.0,1.1304,3.85
2ff1,-134.05700000000002,-130.05700000000002,-7.05565,-50.2388,-0.503479,-20.8379,-48.7398,-7.05565,-16.9173,-91.4018,-8.92582,4,15,0,0.0,0.518556,8.21
1qq9,-72.801,-64.801,-8.089,-34.9991,-0.48791599999999996,-13.7259,-31.1531,-8.089,-8.0,-35.4495,-13.0245,3,6,0,0.0,2.18918,2.06
1obx,-87.7225,-61.7225,-2.65826,-27.3489,-0.18845499999999998,-11.319,-19.243,-3.13294,-8.36046,-67.4869,0.0,0,29,4,0.0,7.1186,5.72
1ta2,-154.61700000000002,-140.61700000000002,-4.54755,-47.7269,-0.310835,-19.5141,-43.4054,-4.54755,-5.87314,-135.369,0.0,2,32,0,0.0,4.16637,8.52
1me8,-104.469,-94.4694,-4.97473,-37.866,-0.32426,-15.239,-34.2414,-4.97473,-20.1597,-68.3936,0.0,1,20,0,0.0,1.32125,7.19
1xbb,-98.2483,-84.2483,-2.65536,-29.4843,-0.19863599999999998,-12.4233,-25.2829,-2.72912,-2.48825,-80.7068,0.0,4,32,1,0.0,3.9409300000000003,5.3
1qca,-82.3055,-70.3055,-2.22447,-24.6999,-0.159604,-10.2636,-21.0987,-2.22447,-2.78956,-70.1217,0.0,7,30,0,3.3708199999999997,5.96868,5.27
1rgl,-60.674,-52.674,-2.52808,-21.0345,-0.167971,-8.51948,-18.261,-2.52808,-6.13679,-40.4352,0.0,5,19,0,0.0,3.4642,4.43
2c3j,-97.8136,-97.8136,-5.43409,-37.3229,-0.395584,-15.584000000000001,-37.3229,-5.43409,-7.6235100000000005,-71.4558,0.0,2,16,0,0.0,0.0,6.18
1z3v,-109.70200000000001,-101.70200000000001,-4.76965,-38.5749,-0.32048899999999997,-15.6825,-35.7619,-4.76965,-16.2351,-79.2945,0.0,0,23,0,0.0,4.69418,4.11
1af6,-100.932,-90.9321,-4.38835,-35.4912,-0.29486799999999996,-14.4288,-31.9748,-4.58782,-23.2094,-62.5003,0.0,2,20,1,0.0,2.08138,1.82
1vja,-148.266,-124.266,-4.4929,-46.2242,-0.30982600000000005,-18.9554,-38.7418,-4.4929,-22.6456,-117.241,0.0,7,26,0,0.0,8.92563,7.7
2avv,-166.551,-142.55100000000002,-3.7011300000000005,-46.8248,-0.270905,-19.5871,-40.0773,-3.7011300000000005,-7.498939999999999,-149.16299999999998,0.0,6,39,0,0.0,7.318739999999999,9.26
1meu,-161.512,-141.512,-3.8455199999999996,-46.4646,-0.285018,-19.5176,-40.7109,-3.8455199999999996,-18.0918,-131.16299999999998,0.0,2,40,0,0.0,5.5675099999999995,6.1
1cil,-77.4998,-71.4998,-4.07894,-29.0435,-0.23888099999999998,-11.2788,-26.795,-4.07894,-8.89092,-52.2944,-0.649612,4,15,0,0.0,3.38141,9.43
1xzx,-118.18799999999999,-108.18799999999999,-5.13861,-41.5589,-0.181561,-13.6371,-38.0426,-5.13861,-5.12025,-99.2643,0.0,1,22,0,0.0,4.74076,10.22
6tim,-65.4779,-57.4779,-6.54779,-30.3921,-0.38503699999999996,-11.8185,-26.6789,-6.54779,-14.5547,-36.5326,0.0,7,3,0,0.0,4.38811,3.21
2hh5,-137.011,-113.01100000000001,-3.5131,-40.4018,-0.23928000000000002,-16.4996,-33.3247,-3.5131,-9.023539999999999,-120.134,0.0,10,29,0,0.0,9.84699,7.49
1rdi,-62.3728,-60.3728,-5.19773,-27.2438,-0.350051,-11.0843,-26.3703,-5.67026,-18.3966,-17.32,-9.06718,3,8,1,0.0,0.39164499999999997,2.06
3pcb,-63.578,-61.578,-6.3578,-29.5103,-0.46370100000000003,-12.3297,-28.581999999999997,-6.3578,-0.803032,-43.9316,0.0,2,8,0,0.0,0.000947523,2.4
1w8l,-55.2907,-55.2907,-5.52907,-25.6637,-0.39155,-10.6177,-25.6637,-5.52907,-2.0,-34.0707,0.0,1,9,0,0.0,0.0,0.49
1qiw,-84.3274,-46.3274,-2.2191400000000003,-25.0827,-0.162556,-10.4949,-13.7798,-2.2191400000000003,-1.85255,-85.9552,0.0,4,34,0,0.0,21.5286,7.74
1joc,-78.7109,-70.7109,-3.93555,-28.9974,-0.23420300000000002,-11.3211,-26.0501,-4.14268,-22.1041,-45.222,0.0,1,19,0,0.0,6.60618,4.62
1q66,-116.89299999999999,-108.89299999999999,-5.31332,-41.7171,-0.372988,-17.2091,-38.8621,-5.31332,-11.6994,-89.2062,0.0,7,15,0,0.0,1.7790599999999999,5.77
1owd,-115.323,-107.323,-4.11869,-37.9779,-0.306309,-15.970999999999998,-35.3434,-4.11869,-14.7742,-86.5924,0.0,0,28,0,0.0,5.03942,8.2
2bmz,-73.8398,-65.8398,-3.35636,-26.3522,-0.22629699999999997,-10.7256,-23.4971,-3.35636,-13.7845,-44.6927,0.0,2,20,0,0.0,3.6739300000000004,3.7
1imx,-54.0728,-10.0728,-0.901214,-13.8122,-0.0627259,-5.68157,-2.57297,-1.80243,-2.0,-48.5431,0.0,0,30,30,4.57838,11.5475,3.52
1vkj,-145.631,-133.631,-5.39372,-48.5435,-0.34413499999999997,-19.3975,-44.5435,-5.39372,-25.2,-107.134,0.0,3,24,0,0.0,2.59144,4.85
1hqg,-52.6751,-44.6751,-5.85278,-25.3235,-0.395536,-10.3149,-21.4775,-5.85278,-8.1448,-26.357,0.0,0,9,0,0.0,1.34988,3
1rzx,-118.12299999999999,-70.1234,-2.36247,-32.0636,-0.165245,-13.2109,-19.0344,-3.0288,-16.2348,-97.0647,0.0,5,34,11,0.0,12.9249,4.1
1f9g,-50.4888,-46.4888,-4.2074,-22.053,-0.28831599999999996,-9.02443,-20.3059,-4.2074,-0.21341,-31.1639,0.0,0,12,0,0.0,1.54548,1.28
1hp0,-130.19899999999998,-126.199,-6.85256,-48.7927,-0.48714300000000005,-20.2126,-47.2937,-6.85256,-16.3534,-90.9785,-8.70248,6,13,0,0.0,1.2376200000000002,6.7
2gh7,-124.616,-114.616,-7.788530000000001,-49.4541,-0.512193,-19.9616,-45.4856,-7.788530000000001,-14.0,-94.4914,0.0,1,15,0,0.0,1.97996,13
1x9d,-119.656,-109.656,-4.98567,-41.4824,-0.321326,-16.6318,-38.0156,-4.98567,-22.0189,-72.3141,-10.0,4,20,0,0.0,1.1304,3.96
1w6y,-68.6808,-68.6808,-3.43404,-25.3022,-0.257884,-10.6749,-25.3022,-3.43404,-2.94398,-47.4839,0.0,4,16,0,0.0,0.0,5.36
1rdn,-65.8889,-61.8889,-4.39259,-26.7166,-0.29785700000000004,-10.8946,-25.0947,-4.70635,-17.3718,-22.4725,-9.25489,2,13,0,0.0,0.672326,1.84
8abp,-97.9186,-95.9186,-8.159880000000001,-42.7699,-0.543521,-17.3373,-41.8963,-8.159880000000001,-21.0126,-58.8808,0.0,0,12,0,0.0,0.263378,8
1y2g,-71.7227,-65.7227,-2.75857,-24.2102,-0.208869,-10.2423,-22.1849,-2.75857,0.0,-60.0912,0.0,0,26,0,0.0,7.545719999999999,4.08
2f8i,-38.9187,-34.9187,-1.9459400000000002,-14.3378,-0.12673099999999998,-5.76854,-12.8642,-1.9459400000000002,-1.96068,-23.565,0.0,4,16,0,0.0,6.13126,7.26
1cin,-73.3745,-69.3745,-4.07636,-27.9976,-0.23638499999999998,-10.8369,-26.4713,-4.07636,-9.84948,-45.9335,-1.22736,5,13,0,0.0,3.2444599999999997,8.73
220l,-51.4971,-51.4971,-8.58285,-28.3399,-0.6593060000000001,-12.0471,-28.3399,-8.58285,0.0,-32.0098,0.0,1,5,0,0.0,0.0,3.4
2br6,-41.388999999999996,-41.388999999999996,-5.91271,-21.6364,-0.405321,-8.85501,-21.6364,-5.91271,-2.90767,-9.89526,-9.63694,4,3,0,0.0,0.0,2.96
1pu8,-85.3167,-85.3167,-7.109719999999999,-37.2655,-0.526049,-15.6446,-37.2655,-7.109719999999999,-2.0,-66.5271,0.0,2,10,0,0.0,0.0,3.1
1eix,-127.538,-119.538,-5.7972,-45.5163,-0.378273,-18.3244,-42.6612,-5.7972,-29.915,-81.7829,0.0,2,20,0,0.0,1.28694,11.06
1ent,-138.433,-100.43299999999999,-3.00941,-38.6355,-0.20887399999999998,-15.8777,-28.03,-3.00941,-10.1592,-120.176,0.0,2,44,0,0.0,9.44079,6.96
1m9n,-162.49,-154.49,-6.7704,-56.332,-0.44987299999999997,-22.8164,-53.5585,-6.7704,-27.684,-121.71600000000001,0.0,9,15,0,0.0,2.89823,6.92
1pbk,-122.139,-110.139,-1.87906,-30.3773,-0.133609,-12.5848,-27.3928,-2.14279,-14.0,-101.515,0.0,5,52,8,0.0,10.344000000000001,9.05
1c4v,-134.058,-118.05799999999999,-3.4373699999999996,-39.5309,-0.252143,-16.5479,-34.8128,-3.4373699999999996,-10.0709,-127.916,0.0,8,31,0,14.7479,6.30028,10.8
5tln,-72.6256,-56.6256,-3.1576299999999997,-25.5376,-0.225307,-10.5922,-19.9115,-3.1576299999999997,-7.14752,-57.3184,-10.0,6,17,0,15.5215,4.556430000000001,6.37
2bsu,-198.704,-140.704,-2.8797599999999997,-48.4458,-0.20252799999999999,-19.997,-34.3049,-2.92211,-32.8064,-178.74099999999999,0.0,15,53,1,6.5012300000000005,17.5758,5.66
1z3t,-108.565,-100.565,-4.72023,-38.1753,-0.317168,-15.52,-35.3622,-4.72023,-14.6498,-79.0466,0.0,0,23,0,0.0,4.8409,3.94
1o0o,-60.0083,-48.0083,-2.22253,-20.0028,-0.14180399999999999,-7.992889999999999,-16.0028,-2.60906,-8.0,-38.5666,0.0,1,22,4,0.0,5.0898699999999995,5.1
9abp,-94.3656,-92.3656,-7.8638,-41.218,-0.523799,-16.7082,-40.3444,-7.8638,-18.6246,-56.8225,0.0,3,9,0,0.0,0.11290499999999999,8
1gah,-167.94299999999998,-149.94299999999998,-3.8168900000000003,-47.5713,-0.259728,-19.4214,-42.4727,-4.30624,-27.8008,-137.12,0.0,1,38,5,1.29946,12.4008,12
1o2x,-117.494,-105.494,-4.1962,-38.6926,-0.262708,-15.3639,-34.7408,-4.51898,-15.4581,-90.1103,0.0,5,23,0,0.0,5.51726,5.85
2adm,-97.8239,-83.8239,-3.62311,-32.608000000000004,-0.244894,-13.2828,-27.9413,-3.62311,-6.94441,-78.5611,0.0,4,23,0,0.0,6.40221,5.7
1lf9,-153.939,-135.939,-3.49862,-43.6046,-0.238071,-17.802,-38.506,-4.52763,-25.0378,-123.709,0.0,4,30,10,0.5238,11.4812,12
1rgk,-75.4983,-67.4983,-3.2825300000000004,-26.5477,-0.21869899999999998,-10.7623,-23.7347,-3.2825300000000004,-15.7141,-48.815,0.0,4,19,0,0.0,5.99672,4.31
1b6m,-164.387,-142.387,-3.82295,-46.9221,-0.27500399999999997,-19.5145,-40.6425,-3.82295,-13.7461,-138.298,0.0,3,40,0,0.0,4.23126,8.4
1y3g,-129.362,-101.36200000000001,-4.0425699999999996,-40.7465,-0.277223,-16.6781,-31.9271,-4.172969999999999,-16.4196,-95.5434,-5.0,3,28,1,0.0,6.124230000000001,7.4
1qy5,-83.3395,-77.3395,-3.78816,-29.7424,-0.270313,-12.3364,-27.6011,-3.78816,-6.0,-61.5287,0.0,1,21,0,0.0,3.4449699999999996,6.7
1awi,-162.822,-142.822,-2.29327,-39.3213,-0.164604,-16.3414,-34.4913,-2.467,-16.124000000000002,-138.584,0.0,2,66,3,0.0,7.38022,4.05
1rej,-140.252,-130.252,-5.19451,-46.7506,-0.377626,-19.5116,-43.4172,-5.19451,-13.5654,-120.836,0.0,2,25,0,0.0,9.697510000000001,8.3
1qsc,-153.78799999999998,-109.788,-2.74621,-40.1969,-0.194708,-16.637,-28.6962,-2.7961400000000003,-22.2426,-126.46600000000001,0.0,3,52,1,0.0,11.6002,3.68
11gs,-136.643,-100.64299999999999,-3.5036699999999996,-40.2933,-0.224581,-16.1256,-29.6776,-3.5036699999999996,-16.945,-116.20700000000001,0.0,7,32,0,0.0,13.5928,5.82
1w1g,-60.1031,-36.1031,-1.8213099999999998,-18.7381,-0.105985,-7.26128,-11.2557,-2.2260400000000002,-22.3577,-41.9628,0.0,1,27,5,5.6380300000000005,16.9379,7.68
2bjm,-96.5545,-96.5545,-6.43697,-39.1509,-0.49713999999999997,-16.6728,-39.1509,-6.43697,0.0,-78.7138,0.0,1,14,0,0.0,0.0,3.7
1y2f,-71.8515,-59.8515,-2.39505,-23.1239,-0.16908,-9.556989999999999,-19.262,-2.39505,0.0,-54.0804,0.0,1,29,0,0.0,1.52381,4.92
1fwv,-53.2233,-35.2233,-1.3305799999999999,-15.5626,-0.0874603,-6.28065,-10.2993,-2.4192400000000003,-10.1563,-33.6466,0.0,4,18,18,0.0,9.438369999999999,3.72
1o2g,-128.368,-122.368,-5.13473,-43.9013,-0.388524,-18.5685,-41.8494,-5.13473,-8.290280000000001,-104.662,0.0,4,21,0,0.220032,1.91272,6.12
1ws5,-87.9177,-83.9177,-6.7629,-37.3905,-0.452759,-15.1824,-35.6894,-6.7629,-14.0,-55.8191,0.0,1,12,0,0.0,0.114121,3.03
2hdr,-45.2096,-43.2096,-4.10996,-20.3282,-0.297181,-8.468910000000001,-19.4289,-4.10996,-1.58665,-24.4784,0.0,2,9,0,0.0,3.1661999999999996e-05,1.72
1zsr,-167.017,-125.01700000000001,-3.27485,-45.0372,-0.2373,-18.7762,-33.7116,-3.27485,-23.2232,-139.684,0.0,11,40,0,0.0,11.3867,9.82
1d5r,-82.1039,-76.1039,-8.21039,-38.1093,-0.5544859999999999,-15.5193,-35.3243,-8.21039,-16.7172,-49.77,0.0,3,7,0,0.0,2.23822,1.82
1me7,-108.25299999999999,-98.2525,-5.15488,-39.2372,-0.336002,-15.7909,-35.6126,-5.15488,-19.0692,-73.0195,0.0,1,20,0,0.0,1.3249799999999998,7.19
1z1r,-157.994,-137.994,-3.85351,-45.8191,-0.26837300000000003,-18.8513,-40.019,-3.85351,-17.5391,-130.186,0.0,5,36,0,0.0,5.86206,9.22
1umw,-138.768,-90.7683,-2.43453,-36.0578,-0.16328099999999998,-14.6501,-23.5854,-2.43453,-16.84,-119.806,0.0,3,54,0,0.0,14.8876,6.55
1tnj,-77.2337,-73.2337,-8.58152,-37.1301,-0.632099,-15.5644,-35.2071,-8.58152,-4.0,-55.5315,0.0,3,6,0,0.0,1.51603,1.96
1rle,-104.09700000000001,-88.0966,-3.2530200000000002,-32.7884,-0.194494,-12.8211,-27.7487,-3.7177300000000004,-14.5353,-76.9559,0.0,3,26,3,0.0,6.53005,5.8
5abp,-97.132,-95.132,-8.094330000000001,-42.4263,-0.539155,-17.198,-41.5527,-8.094330000000001,-19.8739,-60.0666,0.0,0,12,0,0.0,0.31044099999999997,6.64
1db1,-130.305,-118.305,-4.34349,-41.9359,-0.312765,-17.4467,-38.074,-4.34349,-12.0,-105.024,0.0,0,30,0,0.0,5.34069,9.26
1gi6,-115.65799999999999,-111.65799999999999,-6.08724,-43.3434,-0.454793,-18.2552,-41.8444,-6.08724,-11.3331,-86.0512,0.0,2,17,0,0.266619,0.50865,6.22
1lox,-108.699,-90.6989,-5.7209900000000005,-40.7356,-0.41911400000000004,-17.0449,-33.99,-5.7209900000000005,0.0,-96.0459,0.0,3,16,0,0.0,4.43052,5.52
2c4v,-83.2411,-73.2411,-6.40316,-35.4016,-0.440196,-14.5024,-31.1487,-6.40316,-18.3289,-51.2406,0.0,5,8,0,0.0,4.05729,2.6
1rdj,-60.448,-60.448,-5.49527,-27.1801,-0.368235,-11.0398,-27.1801,-6.0448,-17.9818,-15.1909,-9.27524,3,7,1,0.0,0.0,1.66
4fiv,-203.81599999999997,-163.816,-3.5140599999999997,-52.6536,-0.25638,-22.0015,-42.32,-3.5140599999999997,-23.3544,-179.07299999999998,0.0,9,49,0,0.0,12.6128,6.52
2er6,-171.517,-111.51700000000001,-2.63872,-42.6581,-0.188059,-17.6863,-27.7354,-2.63872,-17.2574,-161.063,0.0,10,55,0,0.0,24.1622,7.22
1gt1,-85.4262,-85.4262,-5.69508,-34.6386,-0.44207799999999997,-14.7761,-34.6386,-5.69508,0.0,-65.6599,0.0,2,13,0,0.0,0.0,6
1fdq,-52.9714,-24.9714,-2.2071400000000003,-18.3642,-0.161761,-7.68514,-8.6571,-2.2071400000000003,-2.0469999999999997,-44.7787,0.0,9,15,0,0.0,12.5499,7.27
1dqx,-116.04,-108.04,-5.27456,-41.4128,-0.34417,-16.6724,-38.5578,-5.27456,-30.0219,-71.5466,0.0,7,15,0,0.0,2.67631,11.05
1apb,-87.811,-87.811,-7.982810000000001,-39.4837,-0.534924,-16.0372,-39.4837,-7.982810000000001,-15.81,-52.9337,0.0,0,11,0,0.0,0.0,5.82
1b11,-95.6881,-71.6881,-2.89964,-29.8323,-0.210052,-12.436,-22.3499,-2.89964,-8.499839999999999,-74.3654,0.0,1,32,0,0.0,6.34131,7.39
1mmp,-119.243,-107.243,-3.72634,-37.5592,-0.270667,-15.6711,-33.7794,-3.72634,-8.0,-90.259,-8.04826,4,28,0,0.0,4.59094,6.07
1urg,-115.891,-107.891,-5.03874,-40.7512,-0.33857,-16.5672,-37.9382,-5.03874,-14.4594,-90.4126,0.0,1,22,0,0.0,7.02163,5.82
1vwn,-121.12899999999999,-103.12899999999999,-2.3294099999999998,-32.4525,-0.159622,-13.28,-27.63,-2.42259,-6.69217,-102.27799999999999,0.0,5,45,2,1.00864,4.22748,5.82
1f2p,-87.4733,-81.4733,-7.289439999999999,-38.2075,-0.5295380000000001,-15.9422,-35.5868,-7.289439999999999,-8.0,-49.5698,-13.8385,3,9,0,0.0,1.8018,1.9
3pcc,-72.4188,-70.4188,-7.24188,-33.6138,-0.52818,-14.0441,-32.6855,-7.24188,-4.06235,-45.107,-5.0,3,7,0,0.0,0.0083848,3.62
2cji,-136.16,-126.16,-4.39226,-43.3441,-0.29222600000000004,-17.5633,-40.1607,-4.39226,0.0,-122.79899999999999,0.0,5,26,0,0.0,4.62407,8.22
1vyq,-115.54,-101.54,-3.30113,-35.3217,-0.24452800000000002,-14.8342,-31.0418,-3.30113,-5.97623,-97.5437,0.0,1,34,0,0.0,5.57257,5.3
1bap,-83.0767,-83.0767,-8.30767,-38.5608,-0.553365,-15.6311,-38.5608,-8.30767,-19.4263,-45.8447,0.0,0,10,0,0.0,0.0,6.85
7abp,-88.6209,-88.6209,-8.05645,-39.8479,-0.539858,-16.1852,-39.8479,-8.05645,-19.601,-50.9207,0.0,0,11,0,0.0,0.0,6.46
1jn2,-50.9515,-38.9515,-1.54398,-15.8849,-0.10429200000000001,-6.46927,-12.1437,-1.95967,-2.0,-32.9457,0.0,1,26,6,0.969749,2.51585,4.09
1tnk,-76.00399999999999,-70.00399999999999,-7.6004,-35.278,-0.557984,-14.7717,-32.493,-7.6004,-4.0,-54.4399,0.0,3,7,0,0.0,1.60445,1.49
1o2k,-114.57600000000001,-104.57600000000001,-4.77401,-39.7214,-0.349954,-16.6239,-36.2546,-4.77401,-8.67548,-89.8012,0.0,6,18,0,0.0,3.1867400000000004,6.92
1hn2,-87.196,-87.196,-5.81307,-35.3562,-0.45123599999999997,-15.0822,-35.3562,-5.81307,0.0,-67.4566,0.0,1,14,0,0.0,0.0,6
1rdl,-61.8252,-59.8252,-5.1521,-27.0046,-0.34317600000000004,-10.9467,-26.1311,-5.62047,-19.2887,-16.8229,-8.827119999999999,2,10,0,0.0,0.195604,2.24
1qi0,-82.8671,-74.8671,-3.6029199999999997,-29.1389,-0.242092,-11.8463,-26.3258,-3.94605,-22.1474,-48.1001,0.0,1,22,0,0.0,3.91024,2.35
1sgx,-93.4303,-85.4303,-3.8929300000000002,-32.3905,-0.258655,-13.1189,-29.616999999999997,-4.44906,-15.1698,-65.3071,0.0,1,21,2,0.0,4.58744,5.8
1abf,-88.4073,-88.4073,-8.03703,-39.7519,-0.538557,-16.1462,-39.7519,-8.03703,-18.7693,-50.9749,0.0,1,10,0,0.0,0.0,5.42
1mhw,-144.657,-104.65700000000001,-2.72937,-38.5105,-0.195237,-15.9862,-27.8617,-2.95218,-11.3496,-128.02100000000002,0.0,4,45,4,0.0,11.3366,7.35
1m6p,-100.64,-94.6401,-6.29001,-39.939,-0.3899,-15.8064,-37.5579,-6.29001,-26.2125,-54.4058,-5.0,3,13,0,0.0,2.37568,5.1
1r0x,-116.116,-100.116,-3.74568,-36.9634,-0.230775,-14.5991,-31.8701,-3.74568,-23.6669,-69.7018,-10.0,3,28,0,0.0,3.79495,3.83
1ody,-171.678,-131.678,-2.95997,-44.3513,-0.215955,-18.5324,-34.0177,-2.95997,-22.5014,-148.151,0.0,10,48,0,0.0,15.2678,8.1
1wvc,-132.71200000000002,-116.712,-4.5762599999999996,-43.1959,-0.276987,-16.96,-37.9881,-4.5762599999999996,-32.8712,-80.9581,-11.9371,8,21,0,0.0,7.442939999999999,4.46
2toh,-57.3531,-53.3531,-3.37371,-22.3053,-0.239727,-9.23868,-20.7496,-3.37371,-5.84574,-34.1064,0.0,5,12,0,0.224106,1.3408200000000001,4.15
2h6q,-139.127,-83.1272,-2.44083,-36.150999999999996,-0.16946,-14.8581,-21.5999,-2.6250400000000003,-15.6695,-121.805,0.0,1,52,4,0.0,14.307,5.11
1gi8,-106.825,-102.825,-5.62235,-40.0332,-0.41842799999999997,-16.8392,-38.5342,-5.62235,-5.89865,-84.4657,0.0,1,18,0,1.32635,0.398296,5.05
1lor,-121.16,-113.16,-5.50726,-43.2398,-0.359354,-17.4079,-40.3848,-5.50726,-26.121,-79.3201,0.0,2,20,0,0.0,1.30765,11.06
2fgi,-123.118,-97.1177,-3.2399400000000003,-36.6206,-0.23465,-15.2647,-28.8871,-3.41994,-5.61766,-109.67299999999999,0.0,6,31,1,0.0,9.099169999999999,7.34
1tnl,-77.459,-75.459,-7.7459,-35.9533,-0.5772079999999999,-15.1295,-35.025,-7.7459,-4.0,-55.0992,0.0,2,8,0,0.0,0.384243,1.88
1w2g,-105.031,-101.031,-6.1782699999999995,-40.8476,-0.433596,-16.8489,-39.2919,-6.1782699999999995,-6.65336,-81.5254,0.0,4,13,0,0.0,1.8619700000000001,4.57
1bzh,-40.1914,-8.19144,-0.591051,-9.84685,-0.0409324,-4.04369,-2.0068900000000003,-0.8373219999999999,-11.9357,-91.259,0.0,9,41,18,69.8604,10.4505,6.77
1agm,-171.72099999999998,-153.721,-3.90274,-48.6413,-0.26557,-19.8583,-43.5426,-3.90274,-23.0947,-142.504,0.0,2,42,0,0.0,10.3209,12
1f8a,-115.17299999999999,-73.1728,-1.91955,-29.4193,-0.12887300000000002,-11.957,-18.691,-2.13283,-14.1426,-104.735,0.0,4,51,5,0.0,21.0092,5
1icj,-72.2,-22.2,-2.57857,-23.7767,-0.17419300000000001,-9.68356,-7.31085,-2.57857,-4.0,-93.8887,0.0,3,25,0,0.0,43.595,2.22
1w7x,-171.764,-147.764,-4.2941,-50.2241,-0.318318,-21.098000000000003,-43.2064,-4.2941,-14.3296,-147.503,0.0,3,37,0,0.440292,5.6195900000000005,8.4
1vwl,-102.78200000000001,-78.7819,-1.5573,-25.4333,-0.108748,-10.4733,-19.4945,-2.44719,-5.224480000000001,-83.6441,0.0,2,42,22,0.0,4.16538,5.63
1njj,-42.1092,-30.1092,-1.23851,-12.9982,-0.0841188,-5.30333,-9.29407,-1.27604,-11.3653,-30.68,0.0,5,28,1,5.101780000000001,13.3101,2.1
1g3b,-111.986,-103.986,-6.587389999999999,-43.5525,-0.47401000000000004,-18.115,-40.4412,-6.999110000000001,-13.7912,-66.7165,-15.0,5,12,0,0.0,2.44198,5.74
1vjc,-116.52,-100.52,-3.75869,-37.0918,-0.231577,-14.6498,-31.9985,-3.88398,-7.975969999999999,-82.9886,-10.0,2,29,0,0.0,2.5732,3.58
1w0y,-144.774,-124.774,-4.52419,-45.601000000000006,-0.31640300000000005,-18.7877,-39.3014,-4.52419,-9.46541,-126.939,0.0,2,30,0,0.0,9.27203,6.42
1vjj,-103.124,-91.1239,-3.6830000000000003,-33.9604,-0.234273,-13.5565,-30.0086,-4.12496,-15.901,-74.5406,0.0,3,23,2,0.0,6.037719999999999,5.77
1m13,-113.78399999999999,-91.7836,-2.9175299999999997,-33.5525,-0.21198000000000003,-14.0008,-27.0651,-2.9175299999999997,-5.37921,-97.8511,0.0,4,35,0,0.0,6.49718,7.57
1qpb,-39.8921,-37.8921,-6.648680000000001,-21.9535,-0.458108,-9.00009,-20.8528,-6.648680000000001,-5.08593,-15.5396,0.0,3,3,0,0.0,9.40437e-05,1.36
1gj4,-123.35600000000001,-117.35600000000001,-4.74445,-41.6391,-0.338107,-17.2633,-39.6138,-4.74445,-9.67902,-99.7048,0.0,5,21,0,1.9342400000000002,2.1589099999999997,4.07
