name,Gold.ASP.Fitness,Gold.ASP.ASP,Gold.ASP.Map,Gold.ASP.DEClash,Gold.ASP.DEInternal,affinity
3u8n,40.4748,41.7880,-208.9400,1.0627,0.2505,10.17
3ebp,44.1391,46.8060,-234.0300,0.0050,2.6619,5.91
4kzq,43.9103,44.6920,-223.4600,0.7738,0.0079,6.1
4ivb,30.1786,30.5840,-152.9200,0.0021,0.4033,8.72
1bcu,20.1625,20.2140,-101.0700,0.0515,0.0000,3.28
3zdg,26.1879,32.8120,-164.0600,5.4749,1.1493,7.1
3rsx,25.0712,26.9200,-134.6000,1.2305,0.6183,4.41
4j3l,47.1631,48.7220,-243.6100,0.3276,1.2312,7.8
2qbq,31.5764,36.1200,-180.6000,1.8919,2.6517,7.44
3qgy,31.3421,36.0660,-180.3300,1.6038,3.1202,7.8
4lzs,20.1190,21.7800,-108.9000,0.0000,1.6610,4.8
2cbv,38.9637,41.4940,-207.4700,2.5303,0.0000,5.48
4rfm,41.3481,49.1120,-245.5600,3.4886,4.2753,10.05
4ddk,19.2513,19.5340,-97.6700,0.2803,0.0024,2.29
2p15,52.5399,54.8060,-274.0300,0.6459,1.6202,10.3
3g0w,36.5118,39.0420,-195.2100,1.0202,1.5100,9.52
3kwa,4.6371,15.1240,-75.6200,3.9639,6.5231,4.08
2hb1,20.9644,27.5460,-137.7300,4.8534,1.7283,3.8
3ivg,33.1713,40.2020,-201.0100,4.0598,2.9709,4.3
5a7b,24.6885,28.9360,-144.6800,1.7462,2.5013,3.57
2xys,46.0184,46.2000,-231.0000,0.1816,0.0000,7.42
1z6e,53.2088,65.0120,-325.0600,3.3972,8.4061,9.72
4twp,33.9999,42.7840,-213.9200,6.5076,2.2765,10
4wiv,30.4548,31.9180,-159.5900,0.0000,1.4632,6.26
1k1i,43.4376,48.8180,-244.0900,0.4568,4.9236,6.58
2wtv,38.9024,43.4840,-217.4200,1.6225,2.9591,8.74
2zcq,32.3942,38.8920,-194.4600,3.2088,3.2891,8.82
1w4o,30.5054,33.5160,-167.5800,1.2980,1.7126,5.22
2w4x,33.4497,36.9240,-184.6200,1.4082,2.0661,4.85
1gpk,32.0553,33.6600,-168.3000,1.6047,0.0000,5.37
4qac,67.7621,72.1660,-360.8300,2.3459,2.0580,9.4
3uev,21.6183,23.3260,-116.6300,0.1373,1.5704,5.89
1s38,34.5348,36.7720,-183.8600,2.2372,0.0000,5.15
3pxf,17.3239,22.7800,-113.9000,0.0029,5.4532,4.43
1p1q,12.4892,30.1140,-150.5700,17.1354,0.4894,4.89
3ryj,28.4059,30.6920,-153.4600,0.9894,1.2966,7.8
4w9c,43.1748,46.7540,-233.7700,0.2240,3.3552,4.65
4agq,26.4653,29.4280,-147.1400,0.9594,2.0032,5.01
4ciw,32.1437,33.2920,-166.4600,0.5369,0.6114,4.82
4djv,34.4051,36.1560,-180.7800,0.0747,1.6762,6.72
4jfs,38.9245,39.9060,-199.5300,0.2609,0.7207,5.27
4msn,24.9719,27.2480,-136.2400,0.0000,2.2761,4.03
3gnw,40.4930,43.7640,-218.8200,0.3891,2.8820,9.1
3nq9,9.0449,10.3860,-51.9300,0.0727,1.2683,4.03
3ozt,54.7736,61.5980,-307.9900,4.1630,2.6614,4.13
3lka,19.8390,22.8020,-114.0100,1.8064,1.1567,2.82
3u5j,31.7697,33.1260,-165.6300,0.0077,1.3485,5.61
1nvq,40.5938,42.0940,-210.4700,0.8294,0.6708,8.25
3up2,38.2823,42.3840,-211.9200,0.3381,3.7636,7.4
4ty7,38.6952,40.0000,-200.0000,0.2753,1.0295,9.52
3d4z,44.4350,48.6500,-243.2500,3.2069,1.0081,4.89
2wbg,58.3789,61.0900,-305.4500,2.5481,0.1630,4.45
3syr,34.0120,34.5740,-172.8700,0.0444,0.5176,5.1
1nc1,34.8730,47.4100,-237.0500,11.5202,1.0168,6.12
3acw,34.1613,34.4480,-172.2400,0.0021,0.2846,4.76
3gy4,34.5594,34.8060,-174.0300,0.1103,0.1364,5.1
3ao4,20.2505,24.7940,-123.9700,4.3696,0.1738,2.07
3ueu,17.8214,19.5140,-97.5700,0.0073,1.6853,5.24
2fvd,35.2684,39.2340,-196.1700,1.2342,2.7314,8.52
1pxn,34.2593,35.9780,-179.8900,0.3326,1.3861,7.15
3l7b,29.0930,29.7700,-148.8500,0.0048,0.6722,2.4
5c1w,26.1512,26.7160,-133.5800,0.0038,0.5611,5.06
2wca,36.4501,38.6640,-193.3200,0.5808,1.6332,5.6
3zt2,28.0670,32.0120,-160.0600,0.2265,3.7185,2.84
1h23,64.5382,66.6460,-333.2300,0.4866,1.6213,8.35
4k77,24.3772,24.9580,-124.7900,0.2566,0.3242,6.63
4mme,31.3677,38.4640,-192.3200,7.0685,0.0278,6.5
1nc3,35.0103,51.7020,-258.5100,16.4522,0.2395,5
4cig,24.3904,32.9140,-164.5700,0.1949,8.3287,3.67
3ag9,44.7369,55.6400,-278.2000,2.8791,8.0240,8.05
3coy,47.4700,51.1860,-255.9300,1.4044,2.3116,6.02
3rlr,27.6830,29.5540,-147.7700,0.6674,1.2037,7.52
1q8t,19.1463,24.0020,-120.0100,2.5424,2.3132,4.76
4de3,25.1284,27.2160,-136.0800,0.2514,1.8362,5.52
3b65,45.5409,48.4840,-242.4200,0.7436,2.1995,9.27
4hge,29.8392,32.7640,-163.8200,0.0524,2.8724,7.92
3uew,20.4078,23.2640,-116.3200,1.3473,1.5088,6.31
4agp,26.4791,29.0920,-145.4600,0.9846,1.6282,4.69
1h22,62.0534,64.3400,-321.7000,0.4352,1.8514,9.1
3n7a,13.3805,27.9400,-139.7000,13.6237,0.9357,3.7
2yge,26.7965,33.3340,-166.6700,2.1474,4.3901,5.06
3bv9,46.0187,53.0500,-265.2500,0.0000,7.0313,5.36
4x6p,44.0238,51.3060,-256.5300,3.5300,3.7522,8.3
4mrz,23.2241,26.7880,-133.9400,0.0000,3.5639,3.52
1z95,40.8884,47.7760,-238.8800,0.1491,6.7385,7.12
2wn9,32.7379,37.0860,-185.4300,1.7023,2.6458,8.52
3utu,64.5104,71.0440,-355.2200,1.5740,4.9596,10.92
4de1,29.8242,31.7500,-158.7500,0.0223,1.9034,5.96
3ehy,25.8903,31.7980,-158.9900,3.4361,2.4716,5.85
2xnb,34.2580,37.7020,-188.5100,0.7062,2.7378,6.83
4f2w,48.1189,48.6840,-243.4200,0.1103,0.4548,11.3
3f3c,26.8530,29.7280,-148.6400,2.5024,0.3726,6.02
2qnq,29.7453,44.0400,-220.2000,7.3324,6.9623,6.11
1qkt,26.7329,29.8640,-149.3200,3.1311,0.0000,9.04
1lpg,63.1215,68.6600,-343.3000,1.4615,4.0771,7.09
3uo4,32.3237,39.7900,-198.9500,3.3257,4.1406,6.52
2zcr,39.0008,43.1100,-215.5500,1.6267,2.4825,6.87
1gpn,33.0782,35.6160,-178.0800,2.5378,0.0000,6.48
3uex,24.9382,27.5780,-137.8900,0.7837,1.8561,6.92
4w9i,47.5609,53.5840,-267.9200,0.0106,6.0125,5.96
3n86,48.6944,50.9600,-254.8000,0.2184,2.0472,5.64
4eky,32.5917,38.9160,-194.5800,6.0628,0.2615,3.52
3udh,25.0600,25.1420,-125.7100,0.0820,0.0000,2.85
3tsk,43.4417,51.5460,-257.7300,2.0082,6.0961,7.17
4llx,22.9100,22.9100,-114.5500,0.0000,0.0000,2.89
3dxg,21.7854,22.8680,-114.3400,0.0811,1.0016,2.4
2qbr,33.5542,38.3580,-191.7900,2.0243,2.7795,6.33
1qf1,45.8393,52.0280,-260.1400,3.3923,2.7964,7.32
4w9h,48.9141,54.3840,-271.9200,1.4306,4.0393,6.73
4w9l,55.2725,62.0420,-310.2100,1.6318,5.1377,5.02
3b27,20.8467,22.1900,-110.9500,0.0000,1.3433,5.16
3coz,46.6300,50.2700,-251.3500,0.8287,2.8113,5.57
3b1m,35.6246,41.7460,-208.7300,0.8186,5.3028,8.48
2wvt,39.1896,43.3120,-216.5600,4.1062,0.0162,6.12
3wz8,39.3663,42.6360,-213.1800,0.0369,3.2328,5.82
4cr9,19.3209,19.3540,-96.7700,0.0331,0.0000,4.1
5c28,26.3463,27.1980,-135.9900,0.2649,0.5868,5.66
3ge7,52.7817,56.2320,-281.1600,3.0231,0.4272,8.7
5c2h,55.8470,57.4120,-287.0600,0.6922,0.8729,11.09
4dld,30.8196,36.8820,-184.4100,3.0084,3.0540,5.82
3u8k,36.8575,37.6160,-188.0800,0.1355,0.6229,8.66
3b5r,41.5419,50.4420,-252.2100,1.9811,6.9189,8.77
2p4y,46.1534,50.9820,-254.9100,2.1209,2.7077,9
1ps3,46.0687,48.8520,-244.2600,2.7672,0.0161,2.28
4mrw,23.4980,24.9780,-124.8900,1.4800,0.0000,3.3
2al5,29.0138,43.5280,-217.6400,14.1473,0.3669,8.4
4gkm,31.4043,36.8000,-184.0000,0.6290,4.7667,5.17
2c3i,32.5633,35.1820,-175.9100,0.6013,2.0174,7.6
1a30,15.8215,27.8620,-139.3100,8.6303,3.4102,4.3
2br1,21.9648,30.2140,-151.0700,1.9753,6.2739,5.14
3arq,48.9486,52.2340,-261.1700,2.4425,0.8429,6.4
1e66,53.9901,54.1180,-270.5900,0.1214,0.0064,9.89
2xj7,39.0939,40.1800,-200.9000,0.9907,0.0954,6.66
3jvr,27.5569,30.5980,-152.9900,1.7414,1.2997,5.72
3ary,35.6645,36.2800,-181.4000,0.1568,0.4587,6
1vso,35.8938,36.4460,-182.2300,0.2807,0.2715,4.72
3r88,20.4309,23.4500,-117.2500,1.0225,1.9966,4.82
4m0y,28.5529,30.8940,-154.4700,0.0775,2.2636,6.46
2qe4,34.4135,36.6240,-183.1200,0.4916,1.7189,7.96
4f3c,56.3458,56.9520,-284.7600,0.0112,0.5949,11.82
3oe4,63.2157,69.4260,-347.1300,3.8831,2.3273,7.47
3arp,58.5870,60.4380,-302.1900,0.0202,1.8307,7.15
3uri,58.3753,67.8460,-339.2300,2.0741,7.3966,9
4de2,26.8535,28.8340,-144.1700,0.0060,1.9745,4.12
1o5b,31.4227,31.5220,-157.6100,0.0893,0.0100,5.77
3gbb,37.6235,41.0020,-205.0100,1.4489,1.9296,6.9
4eor,34.6507,37.6820,-188.4100,0.0310,3.0004,6.3
2fxs,21.1047,26.9220,-134.6100,0.8287,4.9886,6.06
4qd6,25.5311,32.0880,-160.4400,2.4193,4.1376,8.64
1y6r,36.7675,47.0640,-235.3200,8.8663,1.4302,10.11
3twp,13.4655,14.3400,-71.7000,0.8714,0.0031,3.92
3f3a,26.5172,29.6420,-148.2100,2.4949,0.6299,4.19
2zb1,34.8820,38.1620,-190.8100,1.4719,1.8080,6.32
3g31,10.7424,11.5380,-57.6900,0.1214,0.6741,2.89
1mq6,49.8373,58.5780,-292.8900,3.6556,5.0851,11.15
4tmn,49.1692,62.9860,-314.9300,7.4598,6.3570,10.17
2vvn,40.1516,43.1680,-215.8400,2.9065,0.1098,7.3
3u9q,23.6693,24.8440,-124.2200,0.0234,1.1512,4.38
1c5z,30.6494,30.9420,-154.7100,0.2566,0.0360,4.01
3fur,47.6020,50.5720,-252.8600,0.0029,2.9671,8
2y5h,35.3360,38.0600,-190.3000,1.1758,1.5483,5.79
3ozs,57.9124,67.0260,-335.1300,5.6052,3.5085,5.33
4ih5,24.4316,27.4860,-137.4300,2.6531,0.4013,4.11
4gid,64.9429,78.6920,-393.4600,6.9064,6.8427,10.77
4jia,30.5442,34.2180,-171.0900,0.4048,3.2690,9.22
4ivc,31.2773,31.9540,-159.7700,0.4052,0.2715,10
3qqs,30.1106,33.7580,-168.7900,0.0089,3.6385,5.82
3k5v,29.8594,34.1700,-170.8500,0.3350,3.9757,6.3
4f9w,30.3874,32.6940,-163.4700,0.0000,2.3066,6.94
4e6q,29.5562,30.4580,-152.2900,0.1962,0.7055,8.36
1u1b,43.9027,53.9600,-269.8000,4.2149,5.8424,7.8
5aba,16.0568,18.8640,-94.3200,1.2052,1.6019,2.98
4ogj,29.3141,34.0620,-170.3100,0.0000,4.7479,6.79
2yfe,21.8204,27.9260,-139.6300,0.7051,5.4005,6.63
3oe5,53.4699,60.0840,-300.4200,4.2922,2.3219,6.88
2w66,35.9233,37.0220,-185.1100,0.3656,0.7332,4.05
4jxs,12.3575,29.6860,-148.4300,12.7614,4.5672,4.74
2xb8,42.6889,46.9800,-234.9000,2.8537,1.4374,7.59
3arv,44.9085,45.1300,-225.6500,0.2215,0.0000,5.64
1yc1,29.3633,31.8540,-159.2700,0.0202,2.4704,6.17
1o0h,36.0110,41.6700,-208.3500,3.3823,2.2767,5.92
4agn,19.2671,24.2820,-121.4100,2.7449,2.2700,3.97
4crc,39.6146,47.4520,-237.2600,3.0335,4.8039,8.72
2brb,25.3722,28.7740,-143.8700,1.5068,1.8950,4.86
4cra,42.1648,43.5740,-217.8700,0.8443,0.5648,7.22
3b68,45.6471,58.7180,-293.5900,3.0056,10.0653,8.4
2vw5,31.5544,34.7340,-173.6700,2.6411,0.5385,8.52
4e5w,35.7192,37.0260,-185.1300,0.1011,1.2057,7.66
2r9w,26.9826,30.2580,-151.2900,1.7167,1.5587,5.1
5dwr,38.0400,46.2300,-231.1500,0.1657,8.0242,11.22
4f09,24.9311,24.9800,-124.9000,0.0060,0.0429,6.7
4jsz,9.3959,12.9320,-64.6600,2.4267,1.1094,2.3
2v00,28.4794,29.9600,-149.8000,1.3699,0.1107,3.66
