name,Gold.Chemscore.Fitness,Gold.Chemscore.DG,Gold.Chemscore.ZeroCoef,Gold.Chemscore.Hbond,Gold.Chemscore.Metal,Gold.Chemscore.Lipo,Gold.Chemscore.Internal_Hbond,Gold.Chemscore.DEClash,Gold.Chemscore.DEInternal,Gold.Chemscore.Rot,affinity
1nhu,23.9487,-27.5605,-5.48,1.2988,0,198.134,0,0.0648,3.5471,2.1246,5.66
1zvx,27.5115,-35.9484,-5.48,2.7831,1,198.9625,0,5.5573,2.8796,3.1781,9.22
1flr,38.5771,-43.384,-5.48,1.7705,0,295.3042,0,0,4.8069,1,10
1g7f,27.8793,-32.7239,-5.48,7.8782,0,139.6681,0,1.3004,3.5442,6.0198,5.47
6rnt,3.0804,-7.7893,-5.48,3.9327,0,15.0911,0,2.9035,1.8054,4.9186,2.37
1ai5,17.09,-19.3357,-5.48,1.326,0,112.9459,0,1.8255,0.4202,1.4796,3.72
1a69,12.1006,-14.2534,-5.48,2.0116,0,97.9646,0,1.9888,0.164,3.6747,5.3
2usn,26.0042,-33.6872,-5.48,2.9161,1,165.0941,0,2.6753,5.0077,2.6869,6.51
1b8o,21.1407,-23.17,-5.48,4.2017,0,109.5943,0,0.3976,1.6318,3.5805,10.64
1x1z,29.7031,-35.2141,-5.48,10.6566,0,55.2007,0,1.6959,3.8151,4.8115,11.06
3pcj,24.3907,-28.41,-5.48,0.5766,1.9951,76.6978,0,4.0191,0.0002,0,7.22
8cpa,14.9145,-24.6779,-5.48,2.3591,1,158.6338,0,6.3274,3.436,5.1842,9.15
1hi4,-1.9674,-8.012,-5.48,3.8553,0,41.0503,0,6.5558,3.4236,5.9171,4.49
2ctc,21.5019,-22.3296,-5.48,3.3079,0,100.0451,0,0.2174,0.6103,2.3062,3.89
1uwt,10.4043,-16.362,-5.48,3.4805,0,94.0151,0,5.7269,0.2308,4.587,5.97
2gss,12.1964,-16.0293,-5.48,0.0665,0,131.9343,0,1.0724,2.7605,1.9958,4.94
1tsy,6.148,-9.5637,-5.48,3.6874,0,45.2139,0,2.9595,0.4563,5.2822,4.96
2g8r,1.8942,-6.4943,-5.48,1.2447,0,56.2861,0,1.6312,2.9689,3.8001,3.99
1vzq,33.7879,-36.3507,-5.48,4.0961,0,197.2408,0,1.251,1.3118,2.2998,7.44
1m0n,19.1209,-27.1419,-5.48,4.5841,0,153.451,0,6.5217,1.4993,4.5324,2.22
1m2q,17.7771,-23.0679,-5.48,0.3542,0,176.5351,0,3.6491,1.6417,1.66,6.1
1kv1,30.7999,-34.1387,-5.48,2.4135,0,197.9282,0,0.0354,3.3034,1,5.94
1fcz,55.3496,-56.7955,-5.48,1.757,0,388.4383,0,0.791,0.655,0,9.22
2g94,38.4005,-44.2188,-5.48,6.644,0,273.7693,0,1.5463,4.2721,6.0481,9.52
6std,30.4263,-33.5604,-5.48,0,0,272.6211,0,0.0291,3.105,1.4907,8.64
1trd,3.6702,-5.5088,-5.48,3.6264,0,13.6341,0,1.0089,0.8296,5.3433,5.4
5er1,13.2892,-22.5371,-5.48,1.5266,0,201.7105,0,1.5206,7.7273,4.5475,6.02
1if7,22.7061,-27.4849,-5.48,1.2955,1.1037,130.0055,0,2.0216,2.7572,1.6358,10.52
1kv5,6.8418,-9.9022,-5.48,4.1179,0,14.117,0,2.1947,0.8657,4.2904,4.22
1fh8,23.4695,-25.5389,-5.48,4.9446,0,116.9514,0,1.7273,0.3422,3.9607,6.89
3gss,17.2383,-24.9875,-5.48,5.7029,0,182.464,0,2.1078,5.6415,8.1595,5.82
1ndy,24.5844,-27.8737,-5.48,1.9003,0,197.3581,0,2.0892,1.2,2.7516,6.17
1tok,26.6638,-28.7953,-5.48,5.5679,0,40.3298,0,0.4216,1.7099,0,2.47
2g5u,27.0913,-27.6411,-5.48,0,0,211.2915,0,0,0.5498,1,8.49
1bxo,36.1016,-39.0709,-5.48,5.0485,0,221.2594,0,1.955,1.0144,3.5775,10
1s39,28.6432,-30.3298,-5.48,4.411,0,86.4723,0,1.6866,0,0,7.7
1om1,26.8765,-31.0448,-5.48,1.0082,0,221.8029,0,3.9982,0.1702,1.4662,6.77
1olu,35.5412,-39.4647,-5.48,5.4142,2,138.5254,0,2.7254,1.1981,4.8305,4.41
1toi,32.0812,-32.4874,-5.48,4.4924,0,137.8388,0,0,0.4062,1.6111,4.05
1zoe,25.7501,-25.7861,-5.48,0,0,173.5562,0,0.0135,0.0224,0,7.4
1zc9,8.8076,-14.0633,-5.48,1.5865,0,87.4077,0,4.871,0.3847,2.7119,3.22
1df8,30.0889,-30.8403,-5.48,2.9201,0,187.6671,0,0.2604,0.491,2.4805,9.7
4tim,2.3422,-6.1561,-5.48,3.6185,0,26.7773,0,1.8636,1.9502,5.6807,2.16
1zs0,29.0956,-34.0987,-5.48,2.3392,1,195.826,0,1.7878,3.2153,3.1781,6.15
2rkm,22.1677,-24.8916,-5.48,5.7826,0,116.516,0,0.0524,2.6715,5.287,3.9
1ols,38.2886,-44.8262,-5.48,6.6534,2,148.9733,0,5.0731,1.4646,4.8305,5.82
1fzk,21.6724,-41.6712,-5.48,4.6878,0,367.7851,0,4.3563,15.6424,8.7878,8.4
1fkb,33.4141,-35.3799,-5.48,3.2374,0,237.3405,0,0.6169,1.349,3.3914,9.7
1k4g,16.7731,-20.2651,-5.48,1.9055,0,114.9988,0,2.9314,0.5606,1.9665,5.85
1f4f,10.0891,-15.3087,-5.48,0.376,0,152.6863,0,0.5358,4.6838,3.6295,4.62
1toj,32.9028,-33.3546,-5.48,4.6367,0,141.1322,0,0.058,0.3938,1.6111,3.39
1elb,6.2566,-16.2659,-5.48,0.5959,0,160.1415,0,3.4377,6.5716,3.8832,7.15
1fzj,18.8512,-30.0062,-5.48,5.8768,0,343.6493,0,2.7007,8.4543,13.7927,8.1
1ttm,17.1653,-21.0844,-5.48,0.4413,1,103.3503,0,3.2666,0.6525,1.5592,7.35
1v16,35.5324,-42.3954,-5.48,6.2555,2,139.5565,0,4.549,2.314,4.8305,3.87
1jaq,13.8389,-19.5071,-5.48,1.9284,1.9998,56.9735,0,4.2151,1.4532,4.3509,4.48
10gs,27.0514,-31.2704,-5.48,5.2475,0,183.277,0,0.9577,3.2613,5.1483,6.4
1k9s,21.3864,-21.5533,-5.48,3.5881,0,112.1495,0,0.0174,0.1495,3.5283,6.52
1ndw,16.0096,-20.916,-5.48,1.1107,0,161.375,0,3.1686,1.7377,2.7947,5.23
2azr,23.3532,-26.0959,-5.48,3.0605,0,132.8782,0,0.6878,2.0549,2.0129,3.64
1vfn,11.5223,-12.9273,-5.48,1.8127,0,11.9059,0,1.405,0,0,5.6
2ceq,19.0273,-22.8913,-5.48,3.6204,0,123.8338,0,2.9941,0.8699,3.5818,7.28
2bok,28.2337,-31.8098,-5.48,2.5724,0,191.522,0,2.4033,1.1727,1.8243,6.55
1tmn,40.5775,-49.9725,-5.48,6.7864,2,169.0899,0,5.9701,3.4249,3.9132,7.3
1b7h,29.8353,-35.2482,-5.48,6.7417,0,199.47,0,1.6885,3.7244,6.284,8.02
1nja,6.5946,-9.2855,-5.48,2.3637,0,46.8659,0,1.6118,1.0791,3.7393,6.31
1v48,18.1254,-20.462,-5.48,5.2235,0,70.3082,0,1.0995,1.2372,4.176,7.8
1fcx,55.1315,-56.9423,-5.48,1.486,0,430.1368,0,0.5687,1.242,1.495,7.19
1fh7,15.4822,-20.4669,-5.48,3.9794,0,119.6258,0,4.6936,0.2912,4.8049,5.24
1ajq,20.8273,-22.4833,-5.48,1.9058,0,121.0066,0,1.0569,0.5991,1.375,4.31
1pb9,19.8169,-23.6692,-5.48,3.9215,0,43.5166,0,3.8523,0,0,3.62
1avn,4.471,-5.1135,-5.48,0.8485,0,5.746,0,0.0811,0.5614,1.5127,3.9
3pce,7.472,-15.159,-5.48,0.0006,0,126.3791,0,7.3084,0.3785,1.9958,2
1dhi,19.9798,-22.5363,-5.48,3.7808,0,130.4464,0,0,2.5565,4.2319,7.26
1d09,18.2448,-24.1491,-5.48,9.2402,0,31.9298,0,0.2753,5.629,6.2223,7.57
1fh9,8.6864,-14.5694,-5.48,3.5693,0,103.9558,0,5.4517,0.4312,5.8574,6.43
1m0q,15.9669,-19.8983,-5.48,4.1385,0,112.7981,0,3.2761,0.6552,4.9226,3.89
2fzc,-11.2407,1.005,-5.48,2.7306,0,27.1242,0,4.0162,6.2195,7.3355,2.7
1loq,17.0132,-19.7227,-5.48,7.1117,0,55.0614,0,0.4359,2.2735,6.2315,3.7
2qwe,19.1745,-23.2279,-5.48,7.5641,0,53.1294,0,3.3233,0.7301,5.3642,7.48
2d0k,16.1147,-19.207,-5.48,3.1899,0,122.6066,0,0.6948,2.3975,4.4032,5.02
1hfs,65.0766,-76.9828,-5.48,3.9699,1.8963,476.378,0,6.4405,5.4657,3.4874,8.7
2fdp,48.4723,-56.6258,-5.48,5.9324,0,323.8425,0,2.7634,5.39,2.5617,7.59
1f4e,16.4796,-18.6442,-5.48,0.4878,0,129.1175,0,0,2.1646,1.3953,2.96
1b9j,33.9179,-38.1321,-5.48,7.5956,0,195.2461,0,0.4137,3.8004,6.0786,5.96
1rnt,8.1462,-16.0248,-5.48,6.0424,0,25.7185,0,5.3036,2.575,4.9398,5.19
4tln,8.0711,-21.2599,-5.48,1.0961,2,41.8681,0,9.9907,3.1981,1.8905,3.72
