name,average_score,HPSCORE,HMSCORE,HSSCORE,xscore_VDW,xscore_HB,xscore_HP,score_HM,xscore_HS,xscore_RT,affinity
2baj,8.14,7.77,8.37,8.27,724.6,2.6,142.9,4.26,464.0,0.0,8.4
1if7,5.82,5.52,6.52,5.43,404.4,2.9,67.4,3.94,180.4,5.0,10.52
2d3z,6.72,6.68,7.04,6.45,499.4,1.7,134.7,3.61,272.4,1.0,6.64
1nja,5.48,5.38,5.71,5.36,438.0,5.5,8.1,0.34,37.3,3.0,6.31
2ayr,8.62,8.78,9.25,7.83,907.6,1.6,227.6,6.64,344.9,7.0,9.29
2cer,6.52,6.29,6.81,6.45,596.8,7.3,34.4,1.31,140.9,4.0,9.22
2qwd,5.36,5.20,5.51,5.37,364.9,7.6,14.9,0.27,97.8,4.0,4.85
1fh8,5.56,5.46,5.83,5.40,428.4,6.0,11.1,0.36,24.9,2.0,6.89
1ftm,5.64,5.59,5.74,5.58,412.5,7.0,33.3,0.28,90.0,3.0,7.61
2qwe,5.71,5.57,5.88,5.68,461.9,8.4,14.7,0.27,86.7,5.0,7.48
1toj,5.34,5.21,5.58,5.22,284.3,4.0,66.8,1.98,182.3,3.0,3.39
1pr5,5.53,5.50,5.66,5.43,480.5,3.6,7.3,0.00,24.7,2.0,3.92
1f4e,5.53,5.44,5.84,5.32,330.0,1.3,81.4,2.63,188.0,2.0,2.96
1y6q,6.29,6.40,6.37,6.10,639.2,4.8,42.5,0.38,55.4,4.0,11.7
1hfs,10.29,10.24,10.80,9.82,1270.9,5.1,248.6,7.50,551.3,13.0,8.7
2d0k,5.99,5.96,6.39,5.61,555.9,4.1,48.9,2.00,76.0,6.0,5.02
1ela,6.52,6.32,6.99,6.24,617.6,3.0,74.5,3.42,212.4,7.0,6.36
1rnt,5.47,5.40,5.70,5.31,453.7,6.1,0.0,0.00,0.0,3.0,5.19
1ndy,6.40,6.40,6.88,5.93,530.0,1.8,109.9,3.60,176.9,4.0,6.17
1j17,7.10,7.08,7.14,7.09,743.2,0.0,87.9,2.05,241.7,2.0,5.22
1ols,6.86,6.78,6.89,6.90,685.4,9.4,57.2,0.82,194.2,7.0,5.82
3std,8.16,8.46,8.66,7.36,744.3,2.0,242.2,5.96,317.6,4.0,11.11
1avn,3.82,3.82,3.94,3.70,103.3,1.5,0.6,0.00,8.7,2.0,3.9
5er1,6.47,6.16,6.79,6.47,650.8,2.6,92.5,4.45,402.1,14.0,6.02
2drc,6.29,6.33,6.66,5.89,606.1,4.7,64.4,2.00,82.4,6.0,9.89
1pb9,4.87,4.74,5.13,4.73,249.1,5.6,0.0,0.00,0.0,0.0,3.62
1d7j,4.27,4.32,4.21,4.27,161.1,0.9,33.9,0.27,102.3,2.0,3.3
1pxo,6.34,6.29,6.38,6.35,553.0,1.4,62.0,1.20,176.6,0.0,8.7
2g8r,4.88,4.91,4.95,4.78,352.8,2.2,19.8,0.34,59.6,4.0,3.99
1ndw,5.77,5.91,6.01,5.39,442.5,1.6,95.1,2.34,134.8,4.0,5.23
1fh7,5.61,5.51,5.86,5.46,461.1,6.4,0.0,0.00,0.0,2.0,5.24
1jys,4.61,4.57,4.77,4.49,262.3,1.6,0.0,0.00,0.0,0.0,3.52
1om1,6.72,6.91,7.04,6.22,548.8,0.8,149.5,3.58,204.9,2.0,6.77
1nfy,7.06,7.00,7.23,6.94,708.8,1.1,94.2,2.60,240.3,3.0,8.89
1fkb,8.12,7.41,9.59,7.34,743.0,4.5,124.4,8.23,314.4,6.0,9.7
1loq,5.79,5.63,6.12,5.61,443.8,10.2,11.4,0.34,30.5,4.0,3.7
4tln,4.75,4.54,4.93,4.77,233.5,3.1,20.3,1.06,137.7,3.0,3.72
1trd,4.59,4.55,4.78,4.44,260.5,4.6,0.0,0.00,0.0,3.0,5.4
2d1o,6.89,6.78,7.47,6.41,735.3,7.2,116.7,4.87,286.1,17.0,7.7
1k9s,5.93,5.85,6.17,5.79,555.0,5.7,0.0,0.00,0.0,2.0,6.52
1ndz,7.29,7.23,7.60,7.04,817.0,1.5,96.6,3.35,240.7,7.0,8.11
2cgr,6.89,6.68,7.24,6.75,637.0,3.6,82.6,2.99,242.8,4.0,7.28
1toi,5.28,5.12,5.54,5.17,273.5,4.0,61.4,1.98,182.6,3.0,4.05
2brm,6.30,6.10,6.80,5.99,516.2,1.2,72.7,3.21,172.0,2.0,5.89
2fzc,4.59,4.62,4.74,4.40,330.2,5.2,0.0,0.00,0.0,7.0,2.7
6rnt,4.95,4.91,5.14,4.79,351.7,4.5,0.0,0.00,0.0,3.0,2.37
1fd0,9.52,9.74,10.27,8.54,856.6,2.1,306.9,7.93,408.1,0.0,8.4
1dhi,6.10,6.14,6.44,5.73,585.7,3.3,60.1,2.00,87.9,6.0,7.26
1hi4,5.36,5.32,5.56,5.19,453.8,5.6,0.0,0.00,0.0,4.0,4.49
1nje,5.52,5.40,5.80,5.37,437.4,6.4,5.3,0.34,22.4,3.0,3.8
1b8o,5.85,5.78,6.12,5.65,530.4,5.1,7.1,0.30,1.4,2.0,10.64
1jaq,5.39,5.20,5.80,5.17,449.6,3.1,24.5,2.07,110.3,7.0,4.48
2h3e,6.17,5.92,6.54,6.05,474.0,14.5,4.3,0.00,31.9,4.0,5.7
1pz5,6.13,6.22,6.28,5.88,858.2,2.8,73.5,3.42,267.5,24.0,5.4
1ajq,5.01,5.05,4.96,5.02,284.2,2.5,51.7,0.53,139.1,2.0,4.31
1fcx,9.30,9.58,10.01,8.30,843.5,1.9,308.8,7.93,408.5,2.0,7.19
1u33,6.31,6.31,6.50,6.11,737.6,7.5,0.0,0.00,0.0,8.0,4.6
1tmn,6.84,6.47,7.58,6.49,609.8,6.8,92.7,4.81,281.6,10.0,7.3
1pbq,6.01,5.72,6.49,5.83,386.8,3.5,59.9,2.63,174.8,0.0,6.27
1nhu,6.37,5.89,7.51,5.70,432.4,1.6,104.7,6.55,243.3,5.0,5.66
1df8,6.01,6.10,6.15,5.79,515.3,4.9,71.5,1.33,124.3,5.0,9.7
1syh,6.22,6.16,6.35,6.14,506.6,9.0,42.9,0.36,100.2,3.0,6.31
1bxo,8.28,7.91,8.82,8.12,869.6,6.1,134.8,5.23,418.0,9.0,10
2f80,7.62,7.45,8.13,7.29,865.4,3.2,109.5,4.51,290.0,10.0,8.18
2bak,8.03,7.98,8.51,7.59,948.6,2.6,100.8,3.54,180.8,5.0,7.43
1olu,6.46,6.42,6.46,6.50,622.6,7.6,55.8,0.82,190.2,7.0,4.41
1fzj,8.69,8.57,9.40,8.10,1158.1,9.2,163.2,6.73,406.6,24.0,8.1
1x1z,6.43,6.23,6.81,6.26,562.1,11.4,11.9,0.34,29.6,3.0,11.06
1flr,7.48,7.39,8.02,7.03,648.0,3.6,129.5,3.89,211.5,0.0,10
2g94,8.43,8.02,8.59,8.68,1033.2,8.0,110.3,4.22,518.8,16.0,9.52
1bma,7.07,6.88,7.43,6.92,733.0,2.0,97.9,3.88,306.7,8.0,4.59
1lol,5.49,5.39,5.77,5.32,434.1,8.5,0.0,0.00,0.0,4.0,6.39
1g7f,6.25,6.20,6.47,6.07,603.9,9.0,73.0,2.17,210.9,13.0,5.47
1ajp,5.05,5.05,5.22,4.87,314.7,0.8,47.0,1.31,100.8,2.0,2.23
1q7a,6.29,6.01,6.79,6.07,435.6,0.0,111.8,4.57,317.6,3.0,7.19
1m0n,6.74,6.67,6.77,6.80,673.6,6.1,49.6,0.72,173.6,4.0,2.22
2ctc,5.50,5.40,5.72,5.37,334.5,4.7,61.0,1.64,157.7,3.0,3.89
1v16,6.63,6.56,6.66,6.67,637.5,9.0,56.3,0.82,192.4,7.0,3.87
2j77,5.33,5.19,5.61,5.18,359.2,6.9,0.0,0.00,0.0,1.0,4.89
1ttm,5.57,5.49,5.89,5.34,362.5,2.6,64.1,2.07,139.3,2.0,7.35
1zc9,4.98,4.97,4.96,5.00,363.5,2.3,14.6,0.00,79.2,3.0,3.22
1fzk,8.83,8.61,9.18,8.69,1101.2,8.1,172.2,6.01,541.9,20.0,8.4
2bz6,6.38,6.31,6.43,6.41,663.5,4.5,37.4,0.87,160.7,6.0,7.09
2std,6.96,6.72,7.41,6.76,512.0,0.9,158.3,5.40,420.9,4.0,9.85
1zs0,6.73,6.73,6.82,6.65,654.8,3.0,83.5,1.86,210.9,4.0,6.15
1vfn,4.69,4.64,4.86,4.56,272.2,2.0,0.0,0.00,0.0,0.0,5.6
1sv3,4.81,4.74,5.05,4.63,258.3,0.4,34.0,1.31,82.7,1.0,4.74
1fkn,8.12,7.61,8.70,8.04,1042.7,11.0,96.3,5.63,474.2,24.0,8.8
1fh9,5.83,5.72,6.10,5.68,504.6,7.0,0.0,0.00,0.0,2.0,6.43
2b7d,6.84,6.81,6.96,6.74,717.8,6.1,53.4,1.01,136.9,5.0,8.7
1nny,8.08,7.83,8.51,7.89,876.2,7.7,120.1,4.22,349.3,10.0,7.66
2gss,5.14,4.88,5.63,4.90,290.9,0.2,56.2,3.26,187.6,4.0,4.94
1m2q,6.17,6.17,6.45,5.89,495.2,1.5,74.4,1.94,117.7,0.0,6.1
1f4g,6.42,6.51,6.68,6.07,645.4,3.5,94.2,2.72,179.6,9.0,6.48
1vzq,7.17,7.11,7.29,7.10,753.5,4.9,63.9,1.31,167.9,3.0,7.44
1a69,5.65,5.60,5.85,5.50,513.5,4.1,0.0,0.00,0.0,2.0,5.3
8cpa,6.83,6.47,7.50,6.51,627.6,7.5,87.4,4.49,278.7,11.0,9.15
1elb,6.12,5.81,6.74,5.82,576.5,0.0,67.9,4.49,247.9,9.0,7.15
1v48,6.04,5.97,6.31,5.84,570.0,6.6,22.3,0.72,49.6,5.0,7.8
10gs,6.52,6.27,7.25,6.02,607.7,6.8,78.2,4.22,188.1,11.0,6.4
1sl3,7.25,7.13,7.38,7.23,826.5,2.8,73.2,2.34,254.7,7.0,11.85
1o3p,6.17,5.90,6.39,6.21,529.0,2.2,39.1,1.75,196.5,2.0,6.66
3gss,6.28,6.17,6.81,5.87,648.2,7.7,70.9,3.44,186.1,15.0,5.82
1v2o,5.45,5.26,5.87,5.22,446.1,4.5,24.1,1.91,100.5,7.0,4.73
1s39,5.67,5.51,6.03,5.46,343.8,4.5,50.5,1.64,108.6,0.0,7.7
2ceq,5.62,5.48,5.90,5.47,433.5,6.9,0.0,0.00,0.0,1.0,7.28
1det,4.92,4.88,5.11,4.76,342.6,4.6,0.0,0.00,0.0,3.0,4.3
1k4g,5.60,5.61,5.83,5.36,462.0,2.1,43.0,1.27,75.5,3.0,5.85
1f5k,5.06,4.93,5.06,5.18,288.2,3.3,17.7,0.00,115.2,0.0,3.74
1tsy,5.46,5.36,5.70,5.32,441.8,6.2,6.3,0.34,32.9,4.0,4.96
2bok,6.36,6.37,6.26,6.45,666.4,2.7,40.5,0.36,155.1,4.0,6.55
1kv5,4.69,4.61,4.93,4.53,251.5,6.4,0.0,0.00,0.0,3.0,4.22
1ai5,5.31,5.34,5.52,5.08,339.2,1.5,64.2,1.64,115.1,2.0,3.72
2rkm,5.63,5.72,5.59,5.58,536.9,7.0,40.0,0.36,122.3,10.0,3.9
1e1v,5.71,5.63,5.67,5.83,481.2,2.8,32.7,0.49,160.1,3.0,4.92
2g5u,6.26,5.82,6.97,5.98,407.3,0.0,82.8,4.59,256.3,0.0,8.49
2usn,6.24,6.02,6.87,5.83,513.0,3.0,81.6,3.96,193.7,6.0,6.51
4er2,7.48,6.93,8.16,7.36,826.1,5.4,109.7,6.42,487.0,18.0,9.3
6std,6.87,6.60,7.29,6.73,549.9,0.9,128.0,4.69,374.5,4.0,8.64
2azr,5.58,5.57,5.82,5.36,427.7,3.6,45.0,1.23,82.0,3.0,3.64
1ppm,7.53,7.20,8.26,7.12,824.9,4.9,123.2,6.07,371.5,15.0,5.8
1fki,6.98,6.68,7.69,6.58,534.6,1.9,111.1,4.64,242.3,0.0,7
1j16,5.11,5.05,5.03,5.24,304.3,2.5,29.2,0.00,128.1,0.0,3.84
1kv1,7.04,6.71,7.47,6.93,525.5,2.7,113.4,3.93,325.0,0.0,5.94
1fcz,9.09,9.38,9.63,8.25,792.3,2.1,295.5,6.94,399.9,0.0,9.22
1m0q,6.44,6.26,6.58,6.48,611.7,7.4,24.3,0.53,130.0,4.0,3.89
1b9j,7.05,6.90,7.32,6.92,755.7,9.7,78.7,2.62,258.7,13.0,5.96
1b7h,6.96,6.91,7.13,6.85,771.4,9.3,82.0,2.32,255.7,14.0,8.02
1hk4,6.30,5.61,7.04,6.26,468.8,1.0,61.1,5.11,357.5,5.0,5.31
2d3u,6.88,6.90,7.28,6.47,528.5,1.6,146.4,3.97,250.5,1.0,6.92
1zvx,6.91,6.78,7.16,6.77,663.5,3.5,82.4,2.53,224.5,4.0,9.22
