name,total,SMoG2016_KBP2016,SMoG2016_LJP,SMoG2016_Rotor,SMoG2016_lnMass,affinity
3cft,-5.087,-64.863,42.575,1,5.407,4.19
1o7o,-8.089,-186.700,101.423,6,6.001,4.49
1fl3,-10.829,-252.585,46.463,8,5.734,6.8
1xk5,-7.152,-201.117,188.168,13,6.736,6
3sym,-7.654,-165.290,88.242,3,5.775,4.57
5cp9,-5.282,-73.491,21.086,3,4.942,3.51
4x6m,-10.992,-272.216,90.000,10,6.308,8.24
3ta1,-9.941,-230.569,77.572,6,6.057,3.25
3ipu,-11.456,-288.808,81.166,12,6.172,7.32
5boj,-7.258,-152.106,65.654,6,5.522,7
4ye3,-11.482,-317.578,131.349,15,6.384,8.37
2qwb,-6.563,-141.740,95.521,6,5.734,2.74
4ge1,-7.289,-133.563,25.436,2,5.082,6.43
3lzs,-11.424,-306.954,118.791,13,6.305,10.96
3rdq,-6.978,-130.841,35.915,6,5.367,9.31
2pwr,-13.935,-391.430,140.567,12,6.474,6.59
4xe1,-6.490,-99.246,31.498,1,5.568,7.11
3bbf,-7.650,-162.567,86.323,6,6.107,5.28
1ax0,-6.298,-115.203,58.423,3,5.399,3.13
4z1k,-7.595,-150.491,67.225,3,5.852,8.33
1yei,-8.443,-183.936,55.089,10,5.850,7.46
1g7q,-9.639,-309.196,186.442,29,6.705,6.06
3upv,-6.086,-191.657,169.337,30,6.673,5.3
1hmr,-6.940,-144.131,38.838,16,5.650,6.55
4og4,-9.420,-223.052,86.040,8,6.039,6.02
4kwg,-6.911,-122.114,49.431,0,5.476,6
4djw,-9.481,-220.807,88.029,3,5.841,6.28
4q08,-8.168,-175.561,76.863,6,6.021,6.3
1uou,-7.042,-132.760,55.071,2,5.489,7.7
4nbn,-9.204,-218.269,86.047,6,5.775,4.36
2p16,-10.663,-252.145,82.253,5,6.129,10.1
4l4v,-8.830,-216.057,108.161,5,5.796,5.78
1bcd,-4.462,-40.541,17.100,1,5.004,8.7
3iss,-7.284,-231.940,225.601,14,6.521,6.05
3ckb,-8.330,-186.003,91.557,7,6.223,2.98
1apv,-7.648,-202.350,124.040,18,6.258,9
1i9p,-6.901,-131.742,65.090,5,5.841,8.41
4qew,-9.066,-209.455,90.262,6,6.083,7.07
2pyy,-5.720,-102.024,48.052,4,5.011,4.6
1fhd,-8.866,-201.711,87.021,2,5.724,6.82
1d3p,-11.808,-277.789,48.944,11,6.301,7.39
4en4,-6.293,-110.028,41.544,3,5.215,5.52
3rlq,-9.022,-185.470,50.911,2,5.805,7.4
1qk3,-7.567,-165.274,95.343,4,5.911,5.15
1sln,-9.992,-265.080,104.966,17,6.185,6.64
4ual,-10.335,-227.170,46.145,5,5.919,8.4
4q3t,-4.797,-110.267,116.972,7,5.263,6.48
3sio,-11.092,-330.609,202.183,10,6.527,8
4jv6,-9.743,-218.693,60.940,3,5.649,6.66
4d3h,-10.139,-229.117,95.310,2,6.489,6.43
1y3n,-8.358,-195.141,102.974,4,5.864,5.55
4bc5,-4.904,-70.994,38.298,4,5.024,4.6
1oth,-6.961,-150.273,73.187,8,5.542,7
4zvi,-7.058,-126.602,49.570,7,6.093,6.33
1f4f,-8.477,-184.554,62.853,10,6.059,4.62
4xiq,-10.236,-225.219,58.626,1,5.824,7.07
2flr,-8.494,-208.630,117.489,5,5.884,6.1
3pce,-5.879,-100.848,44.294,2,5.024,2
1ta6,-10.084,-250.501,89.717,12,6.172,9.13
4ipj,-4.766,-71.438,45.561,3,4.898,4.87
1fch,-8.651,-236.722,112.983,25,6.460,7.15
1dl7,-7.146,-147.523,68.317,7,5.724,6.49
1zoe,-7.841,-137.553,48.439,1,6.159,7.4
4mnp,-7.180,-158.712,91.218,6,5.734,7.34
1h4w,-5.996,-100.788,31.535,1,4.796,4.66
4ozj,-9.611,-218.889,74.973,6,6.057,5.4
4der,-7.622,-157.712,75.900,1,5.599,6.31
2uy3,-6.151,-95.824,40.210,0,5.366,3.22
1a1e,-6.729,-167.543,118.916,17,6.323,6
1b5j,-9.650,-251.434,88.463,18,6.005,7.43
2c1p,-9.385,-202.091,48.828,5,5.775,5.4
1jmg,-7.546,-157.621,74.821,4,5.730,6.07
4ww6,-6.318,-110.284,57.396,4,5.714,10.21
4tim,-4.828,-85.937,78.907,4,5.226,2.16
2nta,-7.324,-133.287,52.072,2,5.793,4.8
3t09,-6.633,-137.773,79.293,1,5.182,3.8
4cwn,-9.681,-215.701,62.399,4,5.821,5.59
4q4p,-7.867,-168.822,78.980,4,5.778,6.39
4kfq,-6.357,-112.082,59.486,0,5.389,8.23
3ozg,-8.613,-208.562,98.913,7,5.778,9.19
3d50,-7.642,-179.474,89.450,9,5.664,4.77
4a4v,-8.850,-198.431,60.409,8,5.724,6.54
2sim,-6.993,-143.687,71.604,6,5.674,3.42
1bn1,-6.958,-124.528,48.548,5,5.846,9.34
2ygf,-8.890,-212.452,120.187,5,6.339,5.09
3hit,-10.647,-309.369,154.235,23,6.824,8.19
2xyf,-12.815,-356.465,108.453,22,6.562,8.44
4ufk,-6.103,-104.883,37.162,1,4.898,3.89
1o3j,-6.414,-146.473,131.851,2,5.844,6.77
4lkk,-6.382,-151.397,130.713,9,6.155,5.92
2wos,-8.375,-168.795,49.653,3,5.701,3.9
4fnn,-4.855,-112.443,101.320,16,5.650,7.57
1tys,-8.704,-195.801,80.359,4,5.775,5.49
1d4i,-14.273,-400.550,126.357,15,6.456,8.85
1hpo,-10.504,-262.113,110.423,6,6.223,9.22
4xty,-11.366,-299.286,116.908,11,6.351,9.21
2aoe,-11.378,-358.337,156.211,35,6.728,7.62
1tok,-4.400,-52.278,28.788,2,4.754,2.47
4xmr,-5.613,-93.838,37.339,3,4.884,4.07
4knm,-7.233,-142.266,68.499,5,5.916,8
4gzt,-5.116,-111.702,117.308,7,5.660,7.77
4i8z,-11.187,-303.186,124.075,14,6.355,11.05
4pyy,-7.699,-167.401,92.046,6,6.096,7.23
2q1q,-6.590,-117.144,59.701,2,5.670,8.15
4np9,-4.574,-95.271,137.417,6,6.040,5.03
2pgz,-8.873,-200.384,73.179,5,5.718,5.74
3gjw,-8.461,-179.462,63.690,2,5.592,8.3
3le9,-8.768,-199.121,86.489,4,5.864,8.22
3g30,-4.581,-98.051,126.570,4,5.485,2.51
1q54,-5.186,-125.583,146.273,7,5.835,5.85
1qb1,-8.764,-222.034,134.667,8,6.337,6.77
3q71,-9.063,-233.103,133.848,9,6.326,5.22
1jmf,-7.679,-164.249,79.458,4,5.730,5.77
2afx,-6.648,-112.672,23.047,2,5.063,5.15
1ct8,-7.964,-195.693,112.326,14,6.377,6.52
3uug,-6.857,-141.699,77.041,1,5.268,4.51
3d0e,-11.477,-284.896,92.833,5,6.055,8.4
4bny,-9.554,-265.057,163.948,2,5.694,7.1
1zfq,-6.062,-88.748,31.520,1,5.438,7.52
1wcq,-7.686,-181.897,102.974,6,5.684,6.26
3v51,-14.126,-358.765,77.823,5,6.094,8.55
2hl4,-7.151,-134.052,57.202,4,5.811,7.64
2q2a,-6.906,-147.664,63.748,6,5.177,7.41
4km2,-8.036,-166.294,56.564,5,5.674,5.84
3m5e,-6.758,-132.522,74.557,6,5.919,7.37
2p3c,-12.921,-444.887,245.512,31,6.812,7.62
2r2m,-8.796,-214.542,94.713,12,6.098,7.33
4wkb,-10.086,-227.280,54.795,4,5.684,11.57
2gst,-9.549,-257.526,132.421,13,6.219,6.07
4q7p,-5.814,-84.570,21.729,0,4.949,4.32
4afg,-8.524,-184.041,66.066,0,5.357,8.3
4e6d,-9.838,-222.515,65.834,3,5.731,8.92
2qhy,-11.573,-303.625,102.936,14,6.368,7.48
3ekp,-11.234,-295.720,105.630,13,6.225,8.89
2we3,-7.917,-170.543,80.201,8,6.148,4.43
2vwm,-10.300,-253.332,89.542,12,6.346,7.03
1oba,-4.953,-61.253,8.829,2,4.645,2.44
3d8z,-6.276,-95.348,34.642,3,5.691,3.37
2bqv,-12.815,-341.074,93.616,16,6.377,8.05
2i3v,-5.618,-102.330,54.599,4,5.011,6.55
4de5,-6.159,-105.467,47.048,1,5.193,3.15
2vwn,-9.948,-236.882,87.420,8,6.195,8
4omj,-14.249,-374.830,46.441,20,6.079,5.26
3su6,-9.698,-250.560,141.880,9,6.630,6.02
1hpv,-11.306,-280.644,73.283,13,6.225,9.22
4ndu,-5.472,-88.931,55.777,2,5.268,2.74
5a2i,-6.673,-175.645,125.401,22,6.468,5.06
3cj2,-6.852,-115.371,43.857,2,5.737,4.85
1d9i,-9.510,-239.637,116.977,8,6.166,9.11
2bes,-6.193,-114.757,54.786,6,5.442,4.24
4x5p,-7.145,-169.165,124.927,7,6.116,8.21
1phw,-4.323,-83.530,113.185,3,5.366,3.3
4ibc,-7.294,-150.335,87.100,6,6.176,2.98
4djo,-10.809,-307.347,138.953,19,6.425,11.52
4kz7,-5.779,-91.000,46.158,1,5.289,2.49
4ibi,-7.513,-165.422,107.589,6,6.301,4.14
3sw8,-6.296,-122.724,70.936,6,5.620,4.5
2o8h,-9.545,-215.678,81.592,5,6.183,7.6
185l,-7.588,-142.893,19.459,0,4.763,3.54
4e4n,-10.012,-219.165,46.459,5,5.832,9.05
1sw1,-6.470,-125.484,57.172,1,4.971,7.3
4ksy,-11.691,-301.773,141.791,2,6.522,8.42
3b25,-8.168,-160.939,45.406,2,5.572,6.07
4jsa,-5.609,-78.448,23.102,1,5.056,4.96
1nt1,-10.441,-254.898,118.468,1,6.223,8.89
2clk,-5.681,-93.882,40.223,4,5.136,3.79
2oxx,-6.821,-112.682,64.091,0,6.135,6.7
1oyq,-9.452,-231.268,94.537,12,6.266,6.96
3bkk,-9.337,-262.936,150.320,14,6.195,6.08
4d4d,-8.318,-188.252,87.249,4,5.737,5.96
1c70,-14.112,-390.264,121.255,14,6.482,10.3
1b3h,-10.345,-273.376,94.901,17,6.065,6.21
3nik,-6.979,-166.765,90.342,18,6.105,3.45
1cnx,-6.847,-132.866,47.451,11,5.806,7.37
1hn4,-10.625,-270.936,54.558,24,6.199,3.82
2dw7,-4.342,-82.327,95.254,3,5.011,4.7
4oct,-4.721,-67.587,40.938,4,4.984,5.05
1z1h,-11.866,-305.852,107.161,9,6.351,8.4
1k1l,-8.928,-225.175,123.136,8,6.147,6.9
1nf8,-7.938,-167.503,57.693,4,5.421,7.82
2fdp,-11.535,-326.848,136.253,17,6.330,7.59
3o9a,-11.727,-314.710,110.582,15,6.357,10.7
1oif,-6.810,-132.850,52.214,1,4.998,7.72
2byr,-11.423,-337.648,196.011,10,6.527,8.55
3fql,-11.700,-282.762,67.028,8,6.101,7.15
3hzm,-5.852,-108.574,75.124,3,5.473,5.52
3cd7,-9.915,-259.998,121.315,13,6.357,7.84
4rj8,-9.951,-232.772,81.259,5,5.974,7.77
1km3,-6.541,-131.640,87.168,4,5.784,4.91
1lzq,-11.756,-358.620,166.060,24,6.534,8.39
2i19,-6.210,-125.872,86.476,5,5.646,7.8
4trc,-5.601,-84.825,32.828,0,4.906,4.52
3isj,-8.077,-157.035,37.067,4,5.591,3.68
4cpz,-7.404,-173.781,102.565,8,5.818,7.68
4avs,-4.626,-51.878,27.299,2,5.057,3.49
4h42,-5.979,-111.243,71.285,4,5.526,3.47
1gno,-7.989,-243.071,167.901,23,6.394,7.7
3pcj,-5.887,-99.297,45.285,1,5.044,7.22
4ayq,-6.757,-130.993,64.959,1,5.319,7.33
4hzm,-6.020,-111.467,62.694,5,5.452,4.63
1f73,-6.468,-153.148,108.387,10,5.740,2.39
4fm8,-10.141,-230.089,71.833,5,6.136,5.97
4b7r,-6.154,-115.393,63.603,7,5.660,9.64
1c5x,-6.998,-115.024,37.271,1,5.714,6.68
2qnn,-13.778,-393.585,154.434,14,6.665,7.15
3v5t,-12.110,-302.394,80.796,7,6.038,8.22
1g9r,-10.140,-275.668,151.161,9,6.342,5.7
3m3e,-5.339,-119.172,134.284,9,6.225,4.43
3uil,-4.867,-61.288,12.147,10,5.299,6
1qka,-10.159,-275.479,99.440,20,6.076,5.92
4rpn,-6.440,-109.467,57.417,0,5.575,6.96
1l6m,-4.511,-55.320,43.191,1,5.037,8.1
3p8p,-6.627,-152.788,87.605,9,5.390,4.55
2cn0,-11.168,-268.102,81.201,5,6.096,7.66
4mr3,-7.716,-156.356,68.488,3,5.787,5.94
2vmf,-8.624,-198.924,82.898,1,5.319,5.85
1sgu,-13.220,-352.280,99.805,14,6.421,5.37
2fzk,-4.962,-168.406,238.228,9,5.981,3.6
1uwt,-7.487,-166.819,86.786,1,5.258,5.97
4jwk,-6.276,-106.249,50.422,2,5.493,8.32
3gqz,-6.291,-106.866,47.841,3,5.510,2.17
4mss,-6.209,-124.517,81.522,2,5.324,6.4
1dqn,-7.745,-166.719,87.398,4,5.906,8
2bfq,-10.599,-253.569,82.433,9,6.326,6.89
4lw1,-6.024,-86.804,28.299,2,5.481,3.15
2rkd,-5.154,-77.423,39.781,3,5.037,2.72
1wuq,-9.656,-251.165,135.342,8,6.297,8.27
1izi,-11.843,-345.373,139.722,23,6.533,6.59
2baj,-10.119,-232.569,68.429,6,5.997,8.4
4bam,-10.566,-272.543,100.901,12,6.128,8.94
3mhc,-5.677,-110.134,99.498,4,5.835,7.96
2wl0,-13.731,-389.891,130.913,18,6.542,7.8
2psv,-10.520,-264.464,79.477,15,6.168,7.24
4i3z,-8.729,-190.032,72.604,6,6.057,4.29
2fqw,-8.359,-186.045,82.823,2,5.614,6.68
1yq7,-4.749,-110.235,146.091,4,5.645,7.09
1bv7,-14.938,-433.809,160.425,14,6.631,10.3
3nw3,-8.290,-216.282,120.862,15,6.199,6.49
3p3r,-7.191,-169.359,116.859,3,5.628,7.25
3hzv,-5.927,-139.569,130.484,11,6.215,6.52
3ru1,-7.459,-157.521,73.024,6,5.740,4.85
1w4p,-6.183,-104.414,55.011,4,5.730,4.74
3sug,-9.481,-262.262,173.307,10,6.642,6.21
2jxr,-9.584,-284.482,166.513,20,6.482,7.05
4h3j,-10.510,-249.770,92.710,3,6.101,7.05
1li2,-6.294,-106.651,18.295,0,4.544,4.04
3u7s,-11.529,-299.950,99.583,13,6.305,8.43
4euo,-5.446,-91.513,32.961,3,4.645,5.05
4qhc,-5.162,-101.090,115.274,3,5.812,6.7
1n8v,-7.660,-143.079,9.693,11,5.576,6.03
3vhk,-9.975,-227.513,58.283,5,5.687,4.6
4z83,-9.858,-217.469,66.384,3,6.001,7.4
4jpy,-7.141,-138.990,41.899,3,5.113,4.43
3rdo,-7.101,-132.577,40.902,5,5.498,9.85
1lkk,-7.677,-206.034,118.272,24,6.514,6.85
2xab,-9.027,-197.498,64.690,3,5.687,9.27
3fat,-6.845,-129.246,45.846,3,5.231,7.64
2r23,-7.240,-182.613,135.396,11,6.243,3.72
4c1t,-11.613,-313.885,142.103,7,6.303,7.15
4yrd,-5.535,-84.445,43.458,0,5.088,4.57
4q0k,-9.313,-205.926,77.403,1,5.847,4.87
4m0e,-9.992,-216.122,51.414,0,5.628,6.22
3h8b,-11.492,-341.883,138.878,31,6.868,6.29
4mmm,-5.144,-72.868,46.761,1,5.226,3.82
4aia,-6.217,-108.381,46.821,0,5.051,3.66
3nyd,-6.774,-121.632,37.776,1,5.106,3.48
3aaq,-7.780,-222.456,191.918,11,6.575,3.3
3lbj,-10.370,-256.288,98.681,11,6.446,4.96
3ewc,-10.069,-231.156,69.294,3,5.750,7.7
1f8d,-6.892,-142.221,74.750,6,5.674,3.4
4i7p,-5.620,-70.528,8.214,0,4.983,3.5
3nu3,-11.751,-303.785,90.515,13,6.225,9.82
3g32,-5.303,-68.994,34.077,3,5.493,3.71
1tuf,-5.521,-85.145,23.132,8,5.237,4.05
3b7i,-4.886,-63.857,33.666,3,5.124,5.82
1o2z,-7.625,-192.843,139.469,8,6.164,6.11
1rpf,-6.123,-118.003,85.816,4,5.778,3.99
1if7,-7.265,-150.051,74.015,7,5.917,10.52
4jne,-9.674,-238.762,108.316,8,6.229,5.86
1t31,-11.115,-290.158,128.089,9,6.508,8.64
4few,-8.158,-155.500,41.343,2,5.707,5.21
2rcn,-7.228,-161.200,108.384,6,6.107,6
4xar,-6.646,-130.019,62.242,2,5.226,6.97
1b46,-9.598,-240.896,82.835,14,5.925,5.28
4ncn,-8.965,-229.209,133.639,8,6.271,5.67
1k1j,-9.234,-234.390,119.989,10,6.260,7.55
1hp5,-7.925,-161.590,56.849,1,5.389,6.55
3c52,-4.861,-89.279,79.770,4,5.142,7.3
2jg0,-11.870,-304.288,105.202,4,5.946,7.82
1c87,-6.457,-129.434,80.517,4,5.602,4.2
4ymb,-7.801,-162.973,62.189,5,5.628,6.21
3pn1,-8.846,-191.714,61.307,6,5.872,6.96
3t08,-7.478,-149.506,56.672,3,5.473,3.04
2gvj,-10.958,-270.238,74.374,10,5.969,9.52
4eo6,-8.654,-169.027,37.520,5,5.964,8.7
1afk,-6.732,-132.221,81.056,8,6.229,6.62
1kpm,-10.578,-255.771,73.103,10,6.055,5.8
3bft,-5.821,-104.435,59.910,3,5.247,6.49
2pfy,-5.520,-93.313,47.972,1,4.860,6.52
2p3i,-5.756,-103.000,68.517,7,5.778,3.48
4q1x,-11.513,-304.441,108.942,13,6.305,11.15
1jcx,-8.140,-196.784,96.854,12,6.026,5.15
2zdk,-8.963,-208.576,78.616,9,5.954,6.37
4std,-9.957,-221.455,57.000,4,5.820,10.33
4yes,-9.515,-219.199,72.269,7,5.927,8.02
2pow,-6.783,-118.750,51.778,3,5.765,7.2
2hoc,-6.785,-110.705,40.969,4,5.958,9.52
4iie,-4.861,-120.810,154.155,0,5.171,2.34
1jao,-8.514,-190.744,60.696,10,5.778,5.92
4gj3,-8.544,-185.851,72.073,6,5.971,8.85
4yth,-9.557,-219.298,75.610,7,6.064,8.7
4mc6,-11.366,-294.395,107.289,10,6.252,9.59
5aml,-7.168,-132.503,49.488,5,5.805,9.15
3rbu,-4.889,-92.373,88.192,6,5.421,9.43
4yzu,-9.024,-198.145,63.529,6,5.887,5.05
4des,-8.575,-194.566,86.588,1,5.538,5.85
4deu,-7.697,-165.869,87.061,1,5.606,5.64
3lea,-9.252,-213.098,88.838,5,6.059,9.1
3b4f,-7.699,-172.923,97.296,4,5.799,8.14
4lhv,-7.615,-166.684,96.068,6,6.107,10
2h6t,-8.777,-282.095,186.112,27,6.530,7.22
3nkk,-6.335,-109.709,38.070,1,5.031,4.7
1h0a,-7.369,-149.020,74.661,6,6.040,5.44
1yfz,-6.791,-123.269,60.481,4,5.870,4.35
4zj4,-9.728,-285.846,210.515,12,7.001,8.1
3vf5,-11.981,-324.712,119.741,14,6.399,9.34
3n2p,-6.949,-134.869,63.754,6,5.820,7.82
3oy8,-6.016,-118.883,83.666,8,5.881,3.66
4dst,-5.856,-82.268,30.158,2,5.493,2.96
4g0y,-6.373,-112.838,64.532,4,5.850,2.3
4io6,-5.303,-83.534,37.854,4,5.011,4.82
4mjo,-8.484,-193.733,82.815,11,6.225,6.22
3l7a,-8.845,-208.300,98.586,5,5.938,4.33
3uxk,-5.145,-81.041,45.872,2,4.920,4.93
2jds,-11.467,-280.632,79.090,6,5.987,8.2
1qy1,-7.049,-139.357,47.959,3,5.113,6.52
1sbr,-7.332,-141.201,50.518,4,5.580,5
2b1g,-7.840,-157.158,65.551,2,5.768,6.64
3c4h,-6.615,-114.583,41.519,0,5.204,5.7
4wup,-6.591,-109.391,29.027,4,5.451,9.82
5efa,-7.072,-155.898,108.253,8,6.297,4.83
1fq5,-13.094,-374.174,171.574,11,6.733,8.4
4a4q,-14.575,-403.932,116.548,16,6.578,9.4
4cd1,-5.849,-107.502,95.391,3,6.011,4.89
4cwf,-8.171,-159.498,36.871,2,5.434,4.49
3dx4,-7.155,-153.767,75.301,1,5.100,7.12
3lcv,-10.550,-248.672,69.556,7,5.992,4.74
2f9k,-6.314,-112.364,57.739,4,5.621,7.07
2pvm,-9.761,-225.186,69.852,6,5.858,6.44
4pg9,-12.183,-395.442,198.069,31,6.856,7.8
1mrw,-11.129,-288.235,106.685,11,6.268,9.7
3fjz,-5.360,-97.701,66.122,4,5.136,4.05
1ksn,-10.102,-253.515,99.174,10,6.116,9.4
2xj1,-10.184,-235.531,66.782,5,5.827,7.55
4q87,-5.905,-85.252,27.393,1,5.273,4.85
4itp,-7.062,-133.366,50.091,6,5.717,7.27
4lm3,-6.713,-116.798,35.411,1,5.182,2.92
1fjs,-10.537,-276.954,127.382,9,6.269,9.96
4n9a,-6.484,-102.166,35.238,1,5.518,4.19
1j36,-8.009,-185.075,78.152,13,6.004,7.74
2vpe,-8.265,-254.601,146.274,34,6.693,4.94
3k02,-15.072,-461.691,214.493,12,6.695,5
3i5z,-10.969,-274.982,92.023,8,6.024,8.7
4ouj,-5.796,-102.375,78.083,4,5.835,2.86
1ur9,-10.853,-302.803,148.635,12,6.321,5.77
2ri9,-5.570,-84.155,33.112,0,4.898,3.22
4cmo,-9.337,-218.033,82.810,7,5.984,9.07
4f6w,-13.891,-366.723,92.859,13,6.461,7.52
3dp9,-10.970,-258.313,55.902,7,5.818,9.68
4b6o,-8.140,-187.533,96.273,4,5.737,7
2fqo,-6.946,-150.304,72.792,9,5.595,6.43
1e1x,-7.176,-152.160,77.829,4,5.526,5.89
1jlr,-7.374,-171.135,118.032,8,6.271,3.33
2d3z,-8.990,-186.847,51.333,5,5.969,6.64
4lch,-10.913,-288.564,129.424,7,6.151,10.62
1ew8,-2.613,-47.407,131.660,2,4.942,2.26
1bxq,-9.497,-267.347,130.669,22,6.440,7.38
4azi,-8.328,-205.099,112.720,7,5.867,7.45
1pb8,-4.745,-78.066,53.095,2,4.664,5.15
4q3u,-5.885,-108.495,50.647,6,5.188,6.44
3tvc,-11.764,-302.374,87.694,11,6.064,7.74
4kax,-8.391,-206.249,124.254,8,6.271,4.77
3a1d,-9.288,-204.574,67.110,6,6.057,4.12
3u8l,-8.616,-185.002,62.761,2,5.538,8.05
3ppm,-10.805,-259.506,60.494,9,5.815,9.54
4p3h,-8.476,-180.921,65.537,8,6.114,6
1x8r,-8.150,-219.582,155.892,7,6.006,6.12
1p19,-6.768,-149.736,111.224,4,5.870,4.11
4msa,-6.262,-106.201,38.617,1,5.100,3.3
4ej8,-4.784,-51.815,22.547,1,5.082,5.39
2rcb,-4.821,-78.505,49.490,2,4.664,6.79
4azc,-7.236,-141.125,59.252,1,5.398,5.86
2i4v,-11.795,-313.600,107.133,14,6.332,11.2
4m0r,-9.199,-239.692,130.842,7,5.972,5.21
4zb8,-8.325,-240.040,136.558,25,6.420,6.03
2vvu,-9.742,-226.241,78.240,8,6.161,8.1
4det,-7.200,-149.226,87.003,1,5.656,5.68
2yln,-4.287,-48.416,30.222,2,4.804,7.68
3sk2,-8.137,-182.566,87.149,3,5.649,3.61
1nja,-8.019,-165.260,61.391,4,5.727,6.31
1jqy,-7.512,-191.855,136.927,10,6.160,4.92
2uwd,-9.843,-221.675,62.745,6,5.961,8.35
1bjv,-8.015,-179.838,83.134,7,5.850,5.54
1fpc,-9.826,-238.762,84.930,12,6.223,7
2b4l,-6.051,-103.590,28.969,2,4.771,4.77
3dgo,-7.105,-161.792,114.526,8,6.229,6.74
4cu8,-6.720,-138.792,72.761,1,5.100,4.47
4re4,-6.649,-132.697,61.322,1,4.998,6.87
3ug2,-8.502,-200.936,100.838,8,6.101,8.25
4r4t,-7.898,-164.416,75.848,9,6.382,6.26
4luz,-8.500,-182.270,70.304,8,6.203,4.7
3c39,-5.876,-101.927,47.599,4,5.226,3.96
3ikg,-8.319,-182.120,72.439,8,6.004,7.24
4q4q,-7.557,-154.234,71.344,3,5.727,5.79
1i9m,-6.073,-127.629,103.527,5,5.787,8.48
4x24,-10.067,-227.067,55.523,4,5.684,9.78
