name,total,qq_pl,desolv_pl,vdw_pl,hbond_pl,qq_l,desolv_l,vdw_l,DrugScore,HMscore,PLP_tor,affinity
3ozt,-17.752,-1.118,10.100,-15.675,-3.901,-0.592,1.005,-1.104,36.600,0.674,8.400,4.13
1w4o,-10.133,-1.333,8.475,-7.674,-3.828,-1.081,1.272,-1.052,28.657,-0.000,13.100,5.22
3uri,-33.660,-4.522,12.667,-17.635,-3.171,-2.929,5.019,-6.455,-32.043,5.000,39.300,9
3fv1,-20.332,-5.073,12.125,-12.445,-6.388,-1.242,1.764,-1.310,34.214,-0.000,19.900,9.3
2wca,-13.122,-1.801,6.825,-9.074,-1.906,-0.831,1.257,-1.129,29.257,3.376,14.600,5.6
1nvq,-20.758,-2.725,7.267,-13.782,-2.609,-0.022,0.542,-0.654,7.686,4.527,3.100,8.25
2w66,-12.647,-3.041,9.033,-9.047,-3.865,-0.601,0.849,-0.684,30.243,-0.000,10.300,4.05
2xnb,-15.767,-0.952,8.125,-11.330,-1.614,-0.425,0.994,-0.606,-12.443,2.715,0.000,6.83
3ueu,-10.016,0.242,-0.108,-5.026,-0.000,0.000,0.008,-0.329,-8.471,5.649,16.500,5.24
1q8t,-10.018,-1.113,5.683,-7.558,-1.232,-0.128,0.485,-0.532,-3.700,0.926,5.700,4.76
2weg,-5.045,0.817,4.200,-5.322,-0.568,0.190,0.222,-0.251,3.900,1.307,0.000,6.5
3jvs,-16.593,-0.586,4.733,-10.554,-0.887,-0.603,1.042,-1.499,-21.371,3.482,0.600,6.54
3f3e,-17.762,-2.392,4.292,-6.963,-3.181,-0.920,0.192,-0.209,-51.229,1.962,10.300,7.7
2j78,-10.427,-2.159,8.333,-8.067,-4.581,-0.652,0.512,-0.239,44.114,-0.000,14.000,6.42
2zcr,-16.380,-0.186,6.583,-11.757,-1.120,-0.920,0.645,-1.055,20.486,5.327,22.600,6.87
2xbv,-20.355,-0.548,10.167,-17.357,-0.567,-0.423,1.268,-1.756,5.857,3.701,5.300,8.43
4de1,-14.580,-2.519,7.875,-9.874,-2.981,-0.119,0.423,-0.486,-9.171,-0.000,0.000,5.96
1sqa,-14.286,-2.587,13.658,-12.210,-2.658,0.042,2.092,-1.232,-3.043,-0.000,3.800,9.21
3mss,-10.314,-0.225,1.242,-6.577,-0.000,-0.346,0.479,-0.647,0.429,4.060,11.400,4.66
3ejr,-15.707,-2.787,7.892,-11.152,-2.865,0.344,0.412,-0.465,-6.800,0.716,10.600,8.57
3ge7,-19.740,-3.699,11.175,-13.342,-4.220,0.789,0.833,-0.746,-15.457,1.261,10.800,8.7
3zsx,-15.991,-1.563,6.100,-10.715,-1.989,-1.956,1.603,-2.851,29.743,1.981,11.500,3.28
1u1b,-14.712,-3.795,15.883,-13.612,-3.331,0.196,5.456,-3.910,16.957,0.562,21.600,7.8
3utu,-26.892,-2.098,13.325,-18.485,-3.014,-0.879,2.879,-3.729,-23.786,3.060,11.800,10.92
1uto,-5.803,-1.088,3.658,-4.980,-0.621,0.020,0.147,-0.112,1.714,-0.000,7.400,2.27
1a30,-11.611,0.952,8.525,-9.878,-2.282,-1.067,1.992,-2.205,2.186,0.866,19.100,4.3
3kwa,-2.233,-0.128,6.500,-6.434,-1.288,0.192,0.987,9.049,-49.043,0.716,28.100,4.08
4djv,-17.242,-2.514,6.050,-10.975,-1.827,-0.010,0.700,-1.237,11.614,4.554,3.400,6.72
2xb8,-25.266,-1.197,9.875,-12.247,-3.908,-0.730,0.862,-0.719,-112.200,1.307,12.000,7.59
3dd0,-6.754,0.837,5.475,-6.597,-0.605,0.115,0.300,-0.200,6.100,2.237,2.900,9
2v7a,-17.647,-1.633,6.567,-12.044,-1.789,-0.152,0.881,-1.146,-12.857,2.772,4.600,8.3
3n7a,-14.406,-1.743,7.358,-7.247,-4.056,-0.390,0.375,-0.176,-36.971,-0.000,5.400,3.7
2v00,-9.127,-0.608,5.433,-7.183,-1.521,-0.005,0.312,-0.446,1.000,0.970,5.200,3.66
2vw5,-14.336,-1.266,7.758,-11.455,-1.858,-0.839,0.812,-0.585,19.914,1.949,8.900,8.52
3lka,-8.091,-0.358,3.817,-6.630,-1.204,-0.373,0.244,-0.137,-1.871,-0.000,1.300,2.82
3zso,-18.729,-1.594,6.733,-12.872,-1.895,-1.884,1.971,-3.970,42.500,3.484,14.700,5.12
3pww,-27.575,-3.466,10.625,-16.786,-2.747,-0.990,3.188,-4.107,-19.086,4.914,23.500,7.32
3l7b,-17.501,-1.120,10.167,-9.449,-2.951,-0.113,0.915,-0.727,-84.729,-0.000,9.500,2.4
2yki,-22.545,-0.445,9.617,-16.581,-1.226,-0.257,0.965,-1.434,-1.714,6.261,0.100,9.46
2zcq,-7.022,4.390,7.300,-10.114,-2.058,0.410,0.934,-0.936,17.600,2.794,16.300,8.82
3ehy,-7.363,1.388,5.167,-8.308,-0.574,-0.605,0.604,-0.909,8.114,-0.000,1.300,5.85
1ps3,-10.371,-1.142,7.933,-8.451,-3.687,-0.236,0.485,-0.262,21.871,-0.000,7.800,2.28
2qbp,-16.799,-3.906,9.875,-12.696,-2.522,0.675,1.045,-1.890,31.386,2.777,7.000,8.4
3udh,-11.607,-2.730,3.508,-6.406,-1.829,0.000,0.000,0.000,-3.057,1.644,0.000,2.85
3g2n,-12.160,-1.365,9.342,-10.175,-3.448,-0.828,0.917,-0.764,28.443,0.084,14.100,4.09
2p4y,-19.736,-1.049,6.408,-15.231,-0.500,0.140,0.808,-2.106,62.400,9.555,9.200,9
2x00,-29.631,-1.901,4.350,-13.105,-0.585,0.039,0.161,-0.489,-146.243,5.516,4.400,11.33
3gbb,-17.495,-4.524,7.475,-10.055,-4.458,-1.068,0.769,-0.831,16.857,-0.000,10.900,6.9
1gpk,-12.246,-1.395,4.558,-9.573,-1.218,0.029,0.366,-0.146,7.329,2.149,2.900,5.37
3oe5,-18.366,-1.198,12.192,-15.831,-3.914,-0.756,1.184,-1.062,29.829,0.800,12.900,6.88
1r5y,-11.245,-1.529,7.550,-7.567,-3.111,-0.134,0.234,-0.064,-3.157,0.344,0.000,6.46
1e66,-21.631,-1.331,5.933,-12.374,-0.471,0.295,0.282,-0.122,-74.971,4.600,1.500,9.89
3d4z,-11.704,-3.016,7.275,-7.956,-3.082,0.207,0.446,-0.232,3.857,-0.000,10.300,4.89
2hb1,-12.590,-5.771,5.767,-7.566,-2.254,0.976,0.433,-0.597,26.457,2.021,5.900,3.8
3uo4,-17.277,-2.751,9.383,-11.567,-1.956,-0.519,1.765,-1.780,8.000,3.467,0.000,6.52
2wtv,-13.804,-0.974,9.175,-12.536,-1.099,-0.139,1.088,-1.415,39.100,3.748,0.000,8.74
2xdl,-7.952,-0.200,4.108,-7.545,-0.699,-0.216,0.144,-0.232,9.471,0.435,4.000,3.1
1p1q,-13.536,-3.826,6.800,-7.764,-4.427,-1.075,0.417,-0.469,34.443,0.267,7.300,4.89
1o5b,-8.867,-1.839,7.683,-8.334,-1.622,0.218,0.510,-0.154,14.086,-0.000,0.000,5.77
2yfe,-13.566,-0.337,3.467,-9.648,-0.598,-0.367,0.603,-0.331,22.671,6.237,8.800,6.63
1q8u,-12.609,-1.067,6.567,-8.573,-0.708,-0.598,0.501,-0.869,-0.786,2.714,0.000,5.96
3ao4,-8.859,-0.346,5.150,-8.846,-0.469,-0.035,0.230,-0.246,9.214,0.674,0.000,2.07
2vvn,-10.281,-0.926,7.875,-9.890,-2.259,-0.533,0.491,-0.299,29.214,-0.000,10.200,7.3
3acw,-13.798,-1.306,3.342,-9.815,-0.556,0.212,0.162,-0.417,9.871,4.427,4.000,4.76
2qbr,-15.259,-3.963,7.758,-10.889,-2.447,0.532,0.814,-1.506,33.057,2.777,4.700,6.33
1o3f,-10.499,-2.267,10.067,-10.470,-0.425,0.313,0.994,-0.570,9.729,0.338,1.100,7.96
1xd0,-25.164,-5.583,18.175,-19.215,-7.281,-3.349,5.012,-4.549,108.686,0.504,57.700,7.12
3cft,-5.200,-0.312,2.067,-3.069,-0.238,-0.170,0.475,-0.210,0.371,2.491,3.700,4.19
1sln,-20.926,-1.677,7.183,-13.744,-3.020,-1.380,1.759,-2.087,-4.843,2.230,20.300,6.64
3cj2,-10.671,-0.419,2.933,-7.205,-0.488,0.436,0.383,-0.703,-8.686,3.514,0.000,4.85
3bkk,-20.144,-1.358,9.842,-14.712,-2.888,-0.802,1.890,-2.387,16.286,3.625,16.200,6.08
2r23,-9.580,-4.861,11.150,-8.342,-4.234,0.063,3.507,-3.287,70.900,0.084,42.000,3.72
1f8d,-12.380,-3.955,9.383,-7.975,-3.216,-0.486,1.462,-1.241,15.914,-0.000,20.300,3.4
4des,-5.479,-0.274,4.317,-5.747,-0.513,-0.419,0.256,-0.284,46.343,2.687,2.700,5.85
3su3,-22.363,-1.645,9.333,-16.087,-2.484,-0.294,1.389,-2.410,-15.200,2.280,7.900,9.13
3imc,-6.114,0.005,3.733,-6.738,-0.462,0.003,0.026,0.092,6.357,-0.000,1.500,2.96
3nox,-17.605,-3.797,8.017,-10.720,2.145,0.076,1.260,-1.810,-66.386,1.795,3.100,8.66
1hfs,-29.163,1.465,8.642,-23.149,-2.071,-0.364,1.240,-2.945,-9.871,5.763,28.800,8.7
4gqq,-5.992,-1.409,3.375,-5.572,-0.892,-0.327,0.223,0.040,33.757,1.235,5.900,2.89
3vd4,-14.121,-0.996,6.325,-7.154,-2.924,-0.495,0.514,-0.447,-42.000,1.182,15.300,4.82
1igj,-14.353,-0.187,4.333,-10.290,-0.066,-0.581,0.764,-1.144,21.443,6.167,14.800,10
2ole,-16.046,-3.465,6.467,-8.570,0.326,-0.520,0.826,-1.044,-35.400,2.722,6.100,7.25
2jdu,-5.470,0.235,5.300,-5.344,-2.974,-0.539,0.228,-0.194,31.157,-0.000,7.500,6.72
3gcs,-17.770,-1.373,8.033,-13.573,-2.020,-0.379,1.060,-0.815,31.686,5.258,2.800,7.25
3l4u,-8.594,-4.461,9.925,-8.958,-1.308,0.394,1.607,-1.073,50.314,0.485,43.700,7.52
1f8b,-10.508,-3.345,9.167,-7.773,-3.101,-0.007,1.358,-1.164,20.943,-0.000,18.600,5.4
2jdm,-4.683,0.282,4.500,-4.739,-2.606,-0.532,0.228,-0.194,29.843,-0.000,7.500,5.4
1f8c,-13.634,-5.500,9.467,-7.747,-3.902,-0.404,1.480,-1.264,19.629,-0.000,19.800,7.4
1loq,-12.338,-2.718,9.692,-8.553,-5.209,-1.311,1.126,-0.978,55.729,0.462,14.700,3.7
2zwz,-11.720,-3.205,7.533,-7.675,-3.276,0.310,0.514,-0.217,6.243,0.527,9.800,7.79
2obf,-18.687,-1.847,7.567,-13.239,-1.348,-0.693,0.502,-0.777,11.843,4.035,5.700,8.85
1lbk,-16.812,-4.054,7.200,-8.254,-4.660,-1.356,0.941,-0.973,0.414,-0.000,16.800,3.18
2zjw,-8.712,-0.453,5.283,-7.891,-0.184,-1.018,0.436,-0.066,42.771,3.321,4.700,7.7
2j62,-27.795,-5.052,8.867,-13.977,-4.053,-0.349,1.075,-1.524,-57.329,2.704,13.600,11.34
2d1o,-19.654,-0.573,9.192,-13.211,-2.734,-0.156,1.273,-1.958,-27.500,3.152,28.500,7.7
2pcp,-14.905,-0.967,2.858,-10.211,-0.562,-0.046,-0.082,-0.804,-8.129,2.917,3.000,8.7
3f17,-11.624,-0.023,3.983,-10.736,-0.625,-0.321,0.234,-1.001,3.071,-0.000,2.300,8.63
4dew,-2.680,-0.311,5.142,-3.329,-0.796,-0.490,0.475,-0.345,55.414,2.606,4.000,7
3vh9,-5.803,0.465,2.608,-5.888,-0.142,-0.084,0.067,-0.022,12.143,1.644,0.200,6.24
3bpc,-9.918,-4.746,8.108,-7.001,-4.235,0.331,2.242,-2.547,52.743,0.084,31.700,4.8
1u33,-15.248,-2.580,13.150,-13.703,-3.934,-1.905,2.744,-2.451,70.071,0.336,38.200,4.6
2zxd,-10.859,-2.409,5.608,-6.890,-2.476,0.170,0.353,-0.175,-5.729,0.527,10.600,5.22
2x8z,-7.534,0.757,4.133,-6.491,-1.318,0.061,0.339,-0.637,-6.914,0.716,2.200,7.96
2vl4,-11.530,-4.674,7.625,-7.634,-4.356,0.417,0.381,-0.187,36.643,0.127,11.100,6.01
3nq3,-9.181,0.305,-0.058,-4.950,-0.000,0.000,0.027,-0.277,-12.286,4.511,15.700,3.78
1w3k,-11.634,-2.871,8.933,-9.031,-5.060,-0.519,1.331,-1.101,51.743,0.084,23.800,4.3
3b3s,-10.384,-2.162,2.500,-4.352,-1.959,-0.944,0.195,-0.219,-0.986,1.605,8.400,2.55
3su2,-22.532,-1.733,9.325,-16.233,-2.489,-0.694,1.727,-2.055,1.843,3.728,8.300,7.35
1hnn,-12.047,-2.147,6.117,-8.220,-0.929,-0.539,0.286,-0.227,-4.457,0.970,0.000,6.24
1os0,-17.777,-1.097,8.525,-12.903,-2.201,-1.004,2.079,-2.584,19.814,3.962,23.700,6.03
4g8m,-14.746,-3.730,7.692,-7.916,-4.759,-0.994,0.756,-0.657,13.443,-0.000,9.100,7.89
1lol,-11.470,-2.267,9.425,-8.053,-4.728,-0.746,1.411,-1.110,42.171,1.181,14.100,6.39
3kv2,-12.118,-4.960,8.650,-6.311,-2.772,-0.487,0.491,-0.341,7.500,-0.000,10.300,7.32
2zx6,-17.592,-3.453,9.992,-11.695,-3.527,-0.247,1.068,-0.963,-6.657,0.527,9.200,10.6
3mfv,-13.111,-5.488,8.700,-6.792,-3.158,-0.010,0.619,-0.249,1.814,-0.000,10.500,2.52
3s8o,-20.256,-2.652,10.100,-11.059,-5.279,-2.244,3.117,-3.329,5.329,1.074,16.600,6.85
2g70,-11.592,-2.155,5.508,-8.567,-1.169,-0.113,0.198,-0.171,-0.957,0.674,5.300,7.77
3su5,-22.332,-1.685,9.117,-15.665,-2.422,-0.304,1.394,-2.392,-12.314,3.011,7.800,5.58
3huc,-15.898,-0.404,7.767,-11.136,-0.515,-0.186,1.353,-0.844,-9.729,5.767,0.000,5.99
3f80,-10.275,-1.144,6.942,-6.602,-1.351,-1.715,0.435,-0.292,-2.686,-0.000,12.000,4.22
2cbj,-13.915,-2.119,8.442,-9.914,-2.929,-0.836,1.172,-1.027,25.443,1.824,9.200,8.27
1kel,-15.784,-1.231,6.733,-10.432,-2.369,-0.913,1.049,-1.177,-0.314,2.519,22.900,7.28
2x0y,-12.733,-1.460,7.333,-8.967,-1.901,-0.007,0.435,-0.286,-3.614,2.110,11.600,4.6
3l4w,-10.815,-4.157,7.892,-7.893,-3.326,-0.144,0.715,-0.354,37.986,-0.000,15.700,6
3l3n,-21.765,-3.146,10.125,-14.000,-3.201,-1.594,2.061,-2.389,13.814,3.036,28.400,8.18
1n1m,-13.144,-3.198,3.583,-6.133,-2.608,-0.211,0.229,-0.374,-17.871,0.794,6.100,5.7
2gss,-8.638,-0.587,2.633,-5.758,-0.313,0.258,0.235,-0.704,16.286,4.507,6.300,4.94
3pe2,-16.393,-1.497,7.858,-11.215,-1.642,-0.457,0.734,-0.602,4.900,4.042,0.000,9.76
1w3l,-15.657,-3.274,10.892,-11.759,-6.193,-1.307,2.414,-2.100,62.643,0.168,37.600,6.28
2xhm,-18.781,-0.412,10.375,-13.210,-2.884,-1.155,2.602,-3.932,12.671,3.519,22.300,6.8
3muz,-10.950,-0.849,6.250,-6.883,-2.369,-0.672,0.532,-0.435,-5.086,1.182,18.100,3.46
2x97,-16.667,0.844,11.492,-11.927,-2.991,-1.342,2.357,-2.999,-4.757,2.776,21.400,5.66
3fk1,-10.399,-2.014,7.633,-5.741,-3.728,-1.859,0.373,-0.261,29.571,-0.000,10.100,2.62
3ov1,-18.778,-2.690,10.058,-10.517,-5.391,-2.256,2.907,-2.955,15.257,0.716,17.100,5.2
3owj,-10.997,-0.020,3.400,-7.885,-0.336,-0.015,0.082,-0.016,3.600,4.414,1.500,6.07
2xy9,-24.111,-1.440,13.367,-19.267,-2.938,-1.430,3.557,-5.175,48.886,4.476,24.300,9.19
3i3b,-9.730,-1.287,7.408,-7.267,-2.674,-0.256,0.394,-0.177,7.900,0.435,12.300,2.23
10gs,-25.323,-4.200,7.908,-11.920,-4.639,-1.304,1.618,-2.539,-9.886,4.575,19.800,6.4
2vo5,-15.242,-3.756,7.900,-10.568,-3.516,0.011,0.896,-0.910,30.557,1.771,14.100,4.89
1jyq,-29.385,-7.435,15.983,-16.000,-8.639,-2.339,4.771,-5.014,43.671,1.644,22.000,8.7
2qft,-12.041,-1.658,7.608,-6.159,-5.687,-1.767,0.362,-0.264,29.143,-0.000,10.200,5.26
2pq9,-25.318,-11.709,18.458,-13.849,-10.855,-1.148,2.810,-2.194,98.700,-0.000,18.000,8.11
3bfu,-15.840,-3.676,6.925,-8.028,-4.178,-1.290,0.367,-0.244,1.414,0.007,8.100,6.27
4djr,-20.423,-1.012,9.267,-14.975,-1.636,-0.744,1.903,-3.574,10.414,3.964,24.700,11.52
3b3w,-8.132,0.112,2.892,-5.134,-1.024,-0.962,0.198,-0.161,-0.171,1.605,7.800,4.19
2vot,-16.374,-5.112,9.717,-11.583,-3.881,0.272,1.108,-0.870,39.414,1.895,12.400,7.14
2d3u,-16.086,-1.690,4.108,-9.619,-1.008,-0.308,0.815,-1.609,0.486,4.375,0.000,6.92
