name,vina_affinity,vina_gauss1,vina_gauss2,vina_repulsion,vina_hydrophobic,HB,rbond,affinity
4zb6,-6.72004,131.96746,2004.51026,7.21314,6.77549,10.48063,23,6.28
3fvn,-8.46943,107.85904,1270.81401,6.66502,12.93769,10.55752,8,6.77
3f70,-2.64251,36.31011,452.05172,1.97795,15.15179,1.96528,7,4.85
2gj5,-5.64131,43.17193,1082.93390,2.27338,70.29389,0.75580,8,8.32
1szd,-9.03359,143.84515,1763.80934,3.89162,0.00000,7.53690,15,4.54
1d4y,-10.31205,114.23422,2127.06494,3.88118,70.47917,4.08833,12,11.1
4xu3,-9.52482,196.41216,2187.60398,10.66712,21.35790,10.94880,13,9.5
3rm4,-8.22586,99.53946,1315.34300,3.74300,36.27695,3.31261,5,5.77
1wm1,-4.84026,72.69901,1098.07974,8.06328,17.22264,6.15392,3,6.3
2y7x,-10.77436,138.33138,1656.15410,3.34341,59.98903,0.92458,4,8.89
2ans,-6.69203,38.95943,1175.49750,0.86913,37.67507,0.03680,4,5.92
1td7,-6.32949,58.36293,938.65065,0.83691,33.81808,0.69670,4,4.37
2wc4,-6.74494,121.62460,1250.95806,7.94452,24.71433,9.06608,11,5.29
2xde,-7.63793,91.05522,1154.45381,2.55116,62.52499,2.59175,7,5.47
4pzv,-9.25418,164.50954,2034.15287,9.25153,9.83535,10.70096,13,5.7
1d09,-8.03083,94.80866,1150.98849,9.78484,2.87460,17.24136,8,7.57
4j74,-6.59523,52.65487,809.71793,0.49877,49.57937,0.00000,2,4.59
3q6z,-7.90519,112.67115,1764.20508,3.91126,0.00000,6.17890,15,3.72
3ozj,-6.19611,46.73763,1298.54473,3.85126,51.07512,0.00000,2,5.11
3ml5,-6.11247,57.31281,736.22769,2.57957,3.01616,5.50359,3,8.52
3a2o,-9.73026,138.48801,2129.47228,4.29139,69.09429,3.11710,13,9.08
4a6l,-10.11461,121.57867,1623.37200,4.01253,64.67151,3.00773,6,8
3jyr,-9.28675,146.51171,2220.59068,7.66695,11.12974,12.05168,22,5.54
4u5o,-3.68297,63.01369,827.90944,3.16007,33.43149,1.18828,10,2.42
2pqz,-9.92335,114.48029,2178.43510,5.81337,77.12268,4.42787,10,5.67
1yda,-4.92958,52.08557,746.76116,2.74368,4.42752,3.57536,3,6.55
1mfi,-6.38703,82.70120,886.31186,4.47394,51.79680,2.99838,3,5.59
2qtt,-8.36785,113.35592,1290.44012,5.49312,0.00000,6.82924,5,4.32
2ha2,-4.15243,65.38615,1180.04678,3.32960,18.08220,0.98899,11,4.66
4b34,-2.03119,60.05550,532.89395,4.56598,11.48310,1.00000,0,3.14
1nw5,-7.51517,125.76863,1555.27586,7.65208,1.20472,9.12433,11,5.21
2exm,-5.11055,49.78094,938.21873,2.48548,8.71274,2.01282,3,4.11
4k4j,-11.08165,78.30199,1472.74080,1.92071,99.93118,2.38785,4,6.12
3p58,-3.53660,62.37079,753.57489,2.58399,6.41556,0.00000,3,7.6
1ec3,-8.74821,146.77959,2671.57340,7.78247,74.08274,8.39523,23,9.04
4ayu,-3.94492,45.15612,432.72716,1.30994,15.16119,1.53854,1,4.73
3r16,-6.15166,54.26853,900.77406,1.47441,23.24103,2.75878,5,7.3
4k5p,-5.22655,70.91461,995.89592,7.90131,28.88203,8.01606,7,3.46
3nb5,-6.02775,57.89141,977.68603,1.34597,32.61871,2.35522,8,7.74
3cft,-3.39539,21.31495,435.17548,0.39552,19.56180,0.74134,3,4.19
1o7o,-8.51791,123.20258,1530.76028,7.22899,8.93887,10.63496,11,4.49
1fl3,-8.18499,95.65302,1554.63119,4.18119,103.31453,0.00000,7,6.8
1xk5,-5.04195,110.10777,1519.14321,6.62362,0.00000,5.83105,18,6
3sym,-8.59141,98.13625,1353.89214,4.95998,2.41614,8.45353,8,4.57
5cp9,-2.74194,44.84031,434.59516,3.96347,34.63002,2.56494,3,3.51
4x6m,-10.70629,153.40220,1857.23294,3.81149,28.73275,5.96566,10,8.24
3ta1,-10.43257,143.42582,1677.91826,5.52173,0.00000,10.04009,9,3.25
3ipu,-9.57735,106.07839,2060.96350,1.80000,59.05467,0.37780,10,7.32
5boj,-5.62293,56.67833,1021.41876,3.03488,49.45464,1.90889,6,7
4ye3,-7.07205,119.75496,2130.14997,8.32656,49.24260,5.28588,15,8.37
2qwb,-6.00742,63.87692,1033.11679,5.07547,7.85209,8.56374,10,2.74
4ge1,-5.63249,45.73805,747.79261,1.78110,46.12653,1.45596,3,6.43
3lzs,-8.50909,111.17563,2045.05356,5.63929,51.45425,5.80874,14,10.96
3rdq,-6.86677,69.61323,914.46556,3.03497,30.15599,6.09050,6,9.31
2pwr,-11.29064,158.69347,2583.17933,8.39440,77.13594,7.80691,12,6.59
4xe1,-6.84987,57.50880,874.19810,2.59933,17.62643,4.19843,2,7.11
3bbf,-7.67081,95.12781,1305.73434,2.98556,0.00000,5.82847,9,5.28
1ax0,-5.15418,50.39785,768.89139,3.03025,3.42673,5.15141,6,3.13
4z1k,-7.98211,59.62989,1053.05472,1.52618,37.18119,3.47485,5,8.33
1yei,-8.39222,114.98418,1418.99097,2.75133,50.93848,3.69317,10,7.46
1g7q,-7.21750,160.50225,2354.01564,10.94806,25.94993,12.18319,24,6.06
3upv,-5.41347,102.47578,1557.21450,6.23711,29.29081,10.24567,27,5.3
1hmr,-4.92785,47.87376,1107.43524,1.70298,55.91729,2.71450,16,6.55
4og4,-6.83232,94.30097,1303.73332,1.77980,38.14715,0.52944,9,6.02
4kwg,-3.30499,66.54435,884.94273,7.34092,44.93872,1.64789,0,6
4djw,-8.57049,77.73318,1294.29197,3.96739,50.19822,4.19841,4,6.28
4q08,-7.60104,85.72163,1493.90726,3.65022,23.75529,3.72864,8,6.3
1uou,-7.15393,68.59840,1084.68716,3.78601,8.37136,4.83849,2,7.7
4nbn,-9.54132,149.05577,1387.83002,2.77632,59.24683,2.11063,8,4.36
2p16,-10.05213,133.89340,1675.58095,3.93560,48.61589,2.02896,5,10.1
4l4v,-8.70592,119.92857,1491.56176,5.33399,7.32103,7.71471,9,5.78
1bcd,-4.51274,36.11952,541.52006,1.38117,15.79926,2.45493,2,8.7
3iss,-7.66802,116.51839,2040.16814,7.57130,7.56508,10.68410,19,6.05
3ckb,-4.72725,70.99059,1062.03772,1.98740,0.00000,3.14217,18,2.98
1apv,-8.15119,114.56710,1668.82811,4.98393,40.56806,9.16282,16,9
1i9p,-6.21380,59.77188,976.58595,4.05054,33.42244,4.35065,4,8.41
4qew,-8.02921,65.10396,1329.66890,1.46966,67.23070,0.93561,6,7.07
2pyy,-5.20223,62.68447,686.18938,5.26117,8.70976,8.90070,7,4.6
1fhd,-7.70476,96.45391,1170.99698,6.76458,0.00000,10.13168,7,6.82
1d3p,-8.69943,123.50024,1721.45526,1.54137,57.84433,0.92612,12,7.39
4en4,-4.20131,31.09102,731.77274,2.50393,12.61768,3.14247,4,5.52
3rlq,-8.36569,72.28753,1246.14421,2.02836,35.22334,1.39088,2,7.4
1qk3,-7.85050,108.93492,1157.92372,6.39595,0.00000,10.04277,7,5.15
1sln,-7.25817,124.96096,1683.37479,5.53667,56.78305,4.65480,14,6.64
4ual,-8.15984,81.76999,1533.87418,2.12374,29.41414,0.00000,4,8.4
4q3t,-4.08544,65.59765,933.39368,9.63927,1.49387,10.95137,7,6.48
3sio,-8.59084,116.52546,2132.01212,3.70338,60.60357,0.78735,14,8
4jv6,-9.61990,72.46003,1197.17134,1.95874,86.39324,1.99998,3,6.66
4d3h,-13.01505,152.11578,1840.66357,5.44836,0.00000,8.45709,4,6.43
1y3n,-8.21926,90.51204,1382.29237,5.53678,7.47791,9.17389,9,5.55
4bc5,-4.17482,53.97422,545.27441,3.11957,3.24860,5.60870,7,4.6
1oth,-8.27048,107.42893,1102.89356,8.50595,4.90100,16.75466,10,7
4zvi,-6.05890,61.86065,1058.54599,2.47332,25.42225,2.31116,5,6.33
1f4f,-6.93709,73.88608,1426.28919,1.82726,48.86528,0.72572,9,4.62
4xiq,-11.41067,81.38318,1368.98930,1.58996,65.55474,1.97718,1,7.07
2flr,-9.34137,125.13161,1413.62697,5.47503,44.16473,5.30293,5,6.1
3pce,-3.56029,53.34212,762.77299,4.75043,31.01157,1.96536,3,2
1ta6,-9.27711,119.85793,1672.05809,2.97867,54.86887,3.60994,10,9.13
4ipj,-4.01119,39.40814,600.19886,4.35770,0.82098,6.74678,4,4.87
1fch,-6.73188,112.28315,1936.31134,4.20561,27.87564,7.41846,25,7.15
1dl7,-2.73925,88.85702,916.60420,5.62961,12.60123,0.57807,8,6.49
1zoe,-6.49823,55.93993,974.24337,1.45906,31.13515,0.00000,1,7.4
4mnp,-7.25069,73.42346,1282.82299,4.16053,9.20507,7.43478,10,7.34
1h4w,-5.63454,63.05956,615.65959,2.17832,3.45807,4.11856,2,4.66
4ozj,-9.09889,110.31923,1562.36573,5.50664,0.00000,9.30332,8,5.4
4der,-3.63786,41.21872,1108.71663,4.81241,29.47281,0.00000,4,6.31
2uy3,-5.62691,81.41689,722.70152,2.41107,5.79620,1.39976,0,3.22
1a1e,-5.41186,83.05499,1186.71500,5.34527,29.57451,8.27099,18,6
1b5j,-8.06264,138.77470,1818.34262,7.03988,27.33257,11.85203,19,7.43
2c1p,-8.75053,84.25260,1362.42760,1.22955,48.35850,1.49634,6,5.4
1jmg,-4.80826,85.10532,1121.22832,8.70786,0.37253,8.26894,7,6.07
4ww6,-7.11117,61.67317,1039.10526,1.37883,21.89776,3.09435,5,10.21
4tim,-3.59572,60.02820,726.13705,5.97046,0.00000,6.60893,7,2.16
2nta,-8.30959,99.29300,1115.67382,5.28056,29.27495,5.79981,2,4.8
3t09,-4.38097,79.63189,880.78645,7.94951,0.00000,7.59273,5,3.8
4cwn,-9.31424,98.59527,1395.40394,1.19200,42.38307,0.97865,5,5.59
4q4p,-7.56367,110.10953,1093.93222,4.11222,22.62936,4.14139,4,6.39
4kfq,-6.91085,87.86561,821.63336,5.14106,26.54763,5.00541,0,8.23
3ozg,-7.19645,126.62056,1360.18936,8.79420,11.03392,10.64054,10,9.19
3d50,-5.05932,80.35372,1027.74741,6.62198,14.29819,8.86417,13,4.77
4a4v,-6.78652,67.55003,1206.00095,0.61084,45.31934,0.78829,9,6.54
2sim,-6.71629,72.25598,1046.66473,3.38510,8.97053,6.84733,9,3.42
1bn1,-5.46671,57.39200,947.53528,4.23070,30.60619,4.74203,6,9.34
2ygf,-8.87911,97.17432,1695.37615,4.55729,30.69897,4.77771,8,5.09
3hit,-7.21546,178.97928,2259.15777,8.71105,6.80800,11.62924,27,8.19
2xyf,-8.48476,126.28677,2503.35386,6.48456,71.34558,5.45755,19,8.44
4ufk,-5.19733,56.82741,604.02838,2.97056,0.00000,5.63847,4,3.89
1o3j,-6.89295,95.07727,1016.28253,5.66053,10.69149,6.57169,4,6.77
4lkk,-5.15077,64.13869,1069.69215,4.87961,8.30143,8.13883,16,5.92
2wos,-6.90461,79.30731,1053.35834,0.96274,24.89394,0.00000,4,3.9
4fnn,-2.94784,43.56197,867.89388,1.71775,17.58272,0.86655,16,7.57
1tys,-9.24089,93.46744,1328.07851,6.97937,5.95430,13.10476,7,5.49
1d4i,-12.23516,158.05269,2555.52523,4.34144,103.10747,6.52085,16,8.85
1hpo,-9.02362,97.88859,1744.50764,4.84265,41.30011,4.42489,7,9.22
4xty,-13.01201,215.63241,2410.67473,8.10120,21.46715,12.47570,12,9.21
2aoe,-7.65874,147.92549,2696.75349,6.77864,61.34658,8.92152,30,7.62
1tok,-4.65750,42.86308,495.19234,3.03276,6.47542,5.86329,2,2.47
4xmr,-5.90758,56.50042,634.21149,3.01574,29.09287,5.70133,4,4.07
4knm,-6.78481,65.73057,1113.03655,2.82555,36.02322,3.38905,6,8
4gzt,-4.28705,65.74879,987.83266,7.03484,17.62589,6.43081,7,7.77
4i8z,-7.71691,110.34965,2114.00864,6.86642,54.61221,4.83251,14,11.05
4pyy,-7.94625,84.13208,1366.89124,2.81376,50.52405,2.97808,8,7.23
2q1q,-6.65305,50.15648,947.45950,2.50654,19.00401,4.08821,3,8.15
4np9,-3.36859,50.78561,804.89067,6.68887,0.00000,8.50721,14,5.03
2pgz,-7.89703,99.24820,1214.97680,2.27102,51.52806,0.87030,5,5.74
3gjw,-5.60294,81.59740,1095.00236,5.89987,34.91865,2.47221,2,8.3
3le9,-7.50218,89.70587,1347.57795,4.54731,23.61846,3.59652,4,8.22
3g30,-4.70628,70.61930,846.60517,5.23492,12.97172,4.39923,3,2.51
1q54,-5.06914,80.47254,1044.74308,6.10395,8.79500,7.33478,11,5.85
1qb1,-5.04593,114.21013,1471.34340,9.03470,22.02419,4.89321,10,6.77
3q71,-9.20777,139.59675,2007.21306,7.48928,0.00000,11.32748,15,5.22
1jmf,-4.81165,82.10045,1149.49850,8.88056,0.66026,8.42564,7,5.77
2afx,-4.56618,48.21672,722.86392,1.25784,20.42948,0.00000,2,5.15
1ct8,-7.59537,127.00315,1641.67452,5.69448,62.46174,5.05450,14,6.52
3uug,-7.52762,83.74332,964.73572,5.99922,0.00000,10.10374,5,4.51
3d0e,-9.55844,132.06461,1888.69044,5.69006,34.92297,5.36285,9,8.4
4bny,-9.15314,82.22273,1580.63279,2.42376,33.69558,0.00000,2,7.1
1zfq,-5.87161,55.52131,765.73561,1.70161,9.80535,2.93263,3,7.52
1wcq,-6.50062,83.84796,1073.57273,6.62086,15.80335,10.58903,11,6.26
3v51,-12.10556,122.79616,1995.38095,3.36357,90.28305,1.70422,6,8.55
2hl4,-6.27196,62.61223,999.28613,2.15650,18.29842,4.16693,9,7.64
2q2a,-7.23944,107.56273,897.21779,7.74340,13.80745,12.14885,6,7.41
4km2,-6.65467,84.73898,989.73757,2.48020,22.59062,3.35488,6,5.84
3m5e,-5.38626,69.84303,1005.04809,4.17948,32.24319,3.63981,7,7.37
2p3c,-8.23636,184.22270,2933.85671,14.06125,93.18802,12.96172,27,7.62
2r2m,-9.12677,107.50140,1489.28659,2.77006,61.84560,5.31946,10,7.33
4wkb,-8.71810,120.52110,1384.03589,3.71816,8.70096,4.53116,6,11.57
2gst,-8.10422,121.76399,1704.74273,7.86074,41.58950,9.89151,13,6.07
4q7p,-4.05467,34.81720,576.13851,1.44381,19.38835,0.64065,0,4.32
4afg,-8.50278,72.29398,1001.80755,1.43273,39.54153,1.00000,0,8.3
4e6d,-8.55842,102.44605,1419.28286,4.25787,18.70777,2.59148,2,8.92
2qhy,-9.51975,116.43789,2113.85567,4.65059,60.54403,5.46886,13,7.48
3ekp,-7.37474,109.21476,1963.56162,6.22018,49.39225,4.20216,14,8.89
2we3,-6.36011,93.05386,1222.43651,5.31739,11.41465,7.07139,10,4.43
2vwm,-10.08264,154.85885,1858.14439,3.26680,64.85334,1.29301,9,7.03
1oba,-1.88024,31.52930,281.67796,0.61819,0.00000,0.17618,3,2.44
3d8z,-4.66340,40.70577,819.45157,1.61491,3.31405,2.00996,4,3.37
2bqv,-9.96091,116.54692,2255.39555,2.74616,84.59735,2.85574,15,8.05
2i3v,-5.48788,69.53505,704.50112,5.76812,12.51111,9.46920,7,6.55
4de5,-5.98971,48.54205,745.98280,1.82875,15.90974,2.97872,1,3.15
2vwn,-10.21333,145.22165,1645.74373,3.26244,60.59949,1.80100,7,8
4omj,-8.54456,97.97396,1950.45136,1.36140,174.89565,0.00000,20,5.26
3su6,-12.03683,153.30241,1974.56987,4.00263,54.24127,4.75099,7,6.02
1hpv,-7.94871,98.63314,1904.03412,3.93409,48.88019,3.82557,14,9.22
4ndu,-4.84422,65.15833,620.20361,3.00373,0.00000,5.08216,6,2.74
5a2i,-4.77452,98.76055,1316.57591,5.63818,35.21192,4.63108,18,5.06
3cj2,-6.80695,54.53642,817.79562,1.36423,41.92239,1.57471,2,4.85
1d9i,-5.60910,105.11436,1532.42510,7.73213,39.56921,2.61749,8,9.11
2bes,-6.57065,66.12575,880.52266,4.43378,0.00000,10.69132,10,4.24
4x5p,-6.94790,88.65437,1201.26124,6.12395,28.52721,8.49578,10,8.21
1phw,1.15725,46.72074,774.50660,11.12777,0.00000,3.73698,7,3.3
4ibc,-7.11481,61.91684,1149.47764,2.00732,56.82105,2.00000,6,2.98
4djo,-7.97192,127.16119,2090.78615,5.36167,53.78939,5.85459,18,11.52
4kz7,-5.61201,38.10526,763.18099,1.88866,13.95316,2.97336,1,2.49
4ibi,-8.12880,79.49456,1321.70858,2.35639,61.22327,2.00000,6,4.14
3sw8,-5.09738,84.05724,981.77716,4.92115,19.08819,3.39696,5,4.5
2o8h,-7.66281,87.82612,1244.20783,2.30382,43.51062,1.31902,5,7.6
185l,-6.18769,46.66703,687.35677,0.97171,51.44188,0.00000,0,3.54
4e4n,-9.10170,88.26434,1463.35958,1.75422,20.48339,2.21659,4,9.05
1sw1,-5.74936,64.36712,785.36521,3.46900,20.99474,3.27390,1,7.3
4ksy,-12.56590,165.64272,2603.06871,8.73679,0.00000,6.01463,6,8.42
3b25,-7.69541,68.72514,1016.72149,1.98417,49.30580,1.82207,3,6.07
4jsa,-5.41901,37.72922,602.79419,1.07061,21.40020,2.70655,2,4.96
1nt1,-13.50856,120.13400,1694.09229,3.58016,55.61504,4.00558,1,8.89
2clk,-4.90619,62.83629,742.10866,3.92923,0.00000,6.34902,7,3.79
2oxx,-5.94162,59.50547,861.19689,2.04109,31.21536,0.00000,0,6.7
1oyq,-6.93380,107.96456,1473.22503,4.18111,40.32517,4.52200,13,6.96
3bkk,-9.18830,127.79559,2046.52414,6.57461,58.16857,7.75181,14,6.08
4d4d,-6.43063,78.47053,1079.23147,5.24768,1.83885,8.58699,10,5.96
1c70,-11.39772,150.88980,2394.68795,4.22325,84.71831,4.97727,14,10.3
1b3h,-8.29535,137.83956,1942.09241,6.98930,40.45834,9.94082,18,6.21
3nik,-5.70083,95.09030,1272.26634,6.42983,8.41654,9.68381,15,3.45
1cnx,-5.16214,64.16947,1030.62489,1.37327,22.05484,2.15179,12,7.37
1hn4,-7.15637,130.75547,2121.37631,2.77667,84.00512,1.68115,24,3.82
2dw7,-3.43801,61.95456,749.10928,9.56095,0.00000,10.56769,5,4.7
4oct,-2.01964,40.89664,638.27663,4.88049,8.88505,2.60898,4,5.05
1z1h,-10.00872,99.55913,2094.68517,4.75012,64.30234,5.04415,10,8.4
1k1l,-7.27811,107.92857,1408.21984,7.30504,28.23141,7.68938,8,6.9
1nf8,-9.06808,87.74586,1178.89274,3.89913,49.57929,6.44979,5,7.82
2fdp,-10.23499,143.82396,2161.33689,6.66262,80.54725,9.22539,15,7.59
3o9a,-9.17719,127.02244,2155.16841,4.32380,52.07754,5.33227,15,10.7
1oif,-6.03170,69.40140,678.87923,4.60764,4.25766,7.95034,4,7.72
2byr,-8.79383,124.86556,2162.98701,4.13675,60.87220,1.21326,14,8.55
3fql,-10.57461,133.48139,1905.90659,2.66906,52.47748,1.77203,8,7.15
3hzm,-5.17890,41.00569,829.65562,4.12089,4.01279,7.54847,8,5.52
3cd7,-8.67503,115.08229,1941.72505,6.07839,44.71635,8.00620,14,7.84
4rj8,-7.82877,94.82873,1445.92329,3.73240,27.02289,2.54207,5,7.77
1km3,-6.04708,69.57125,1119.44952,6.80916,0.00000,9.62447,8,4.91
1lzq,-7.30084,161.15467,2484.12286,10.50784,73.25890,6.80583,21,8.39
2i19,-3.86426,51.88005,959.38068,6.67710,15.99442,5.34861,5,7.8
4trc,-4.08499,61.92295,541.76613,2.94832,0.00000,2.86367,1,4.52
3isj,-7.60977,72.20120,1189.80519,1.77391,15.37559,2.02704,3,3.68
4cpz,-8.11832,102.47667,1277.22473,7.21249,9.56889,12.20123,9,7.68
4avs,-2.98405,40.42312,453.97227,2.39685,15.61323,1.43651,1,3.49
4h42,-4.69132,64.11584,903.38405,3.91411,3.05566,3.23712,4,3.47
1gno,-3.84071,109.29173,1972.06013,13.61836,41.46546,7.02437,20,7.7
3pcj,-4.80212,49.29600,815.02832,3.24634,16.54224,2.16344,1,7.22
4ayq,-5.28496,54.09584,898.08263,4.80928,0.00000,6.29751,5,7.33
4hzm,-5.32267,60.34275,764.61280,4.64483,4.56481,7.98213,7,4.63
1f73,-5.55603,72.39984,1136.38546,6.67825,0.57984,11.25617,15,2.39
4fm8,-9.47079,87.19498,1455.98204,0.83904,57.29286,0.55537,5,5.97
4b7r,-6.26508,77.70207,1030.44165,4.59713,16.38992,6.55410,7,9.64
1c5x,-6.11485,78.59346,799.30483,3.60092,7.03492,4.27906,2,6.68
2qnn,-11.36295,156.51741,2784.00816,7.82255,80.05763,7.64506,14,7.15
3v5t,-8.09743,101.81793,1758.96392,4.38382,53.08608,1.32316,8,8.22
1g9r,-11.02944,190.08033,2361.59499,11.54590,5.31978,16.43927,16,5.7
3m3e,-4.56292,71.15631,814.28890,5.29425,2.00000,8.74245,14,4.43
3uil,-2.20097,20.61395,465.04704,0.57884,11.58912,0.74507,10,6
1qka,-9.00354,160.93297,1976.84169,8.08411,27.78753,14.71169,20,5.92
4rpn,-6.43998,40.21503,944.62517,1.85693,37.00733,1.00000,1,6.96
1l6m,-2.28331,34.28881,428.87467,2.18091,10.37121,1.00000,3,8.1
3p8p,-4.76853,84.78772,1075.90578,7.70169,24.42728,7.85394,11,4.55
2cn0,-11.50841,118.02431,1761.33975,2.27198,51.35840,3.46418,6,7.66
4mr3,-5.62204,51.37540,964.87509,2.55516,46.42281,0.82965,4,5.94
2vmf,-7.01053,101.19548,1024.61717,7.06511,0.00000,9.01389,5,5.85
1sgu,-10.06691,122.04030,2264.01023,4.55332,79.34746,4.67757,14,5.37
2fzk,-2.49501,82.74160,1589.91176,17.00931,1.56764,11.58287,10,3.6
1uwt,-5.24342,91.35596,922.09552,6.98694,0.00000,7.12800,6,5.97
4jwk,-3.52180,58.29138,801.84914,4.92788,2.93083,3.52239,5,8.32
3gqz,-4.11913,54.80789,748.67528,3.38569,37.28263,0.96132,3,2.17
4mss,-5.97961,63.59624,887.63475,6.02292,1.90465,8.50745,4,6.4
1dqn,-7.92614,103.19694,1114.74061,6.89493,2.52299,11.91171,8,8
2bfq,-10.01230,166.71148,1988.06140,5.05868,0.00000,8.69076,15,6.89
4lw1,-5.43010,43.84432,588.71017,1.61391,23.58989,3.40242,2,3.15
2rkd,-3.03771,36.67585,540.11602,3.98306,2.33996,4.67109,3,2.72
1wuq,-10.57811,157.89575,1996.02884,10.92268,0.00000,16.55552,11,8.27
1izi,-9.40437,148.33694,2478.28385,6.08911,65.36152,9.25287,21,6.59
2baj,-11.40097,107.11539,1606.80284,2.68847,71.01556,2.96169,4,8.4
4bam,-9.87973,127.46488,1705.94943,4.26567,45.30997,6.85138,10,8.94
3mhc,-7.93420,66.14396,1017.92121,2.67145,32.92836,5.18844,4,7.96
2wl0,-10.96838,156.20313,2644.71370,4.93011,100.82424,4.49150,17,7.8
2psv,-7.86608,102.50415,1803.85413,4.38401,50.22467,5.18629,14,7.24
4i3z,-6.92361,75.11428,1478.99517,4.76216,0.00000,5.89423,8,4.29
2fqw,-8.48727,105.87454,1234.27699,4.96367,0.00000,7.25434,5,6.68
1yq7,-3.93859,61.34254,1003.45268,7.61971,9.29168,6.49876,6,7.09
1bv7,-13.60591,184.25045,2650.35015,5.23278,104.27020,7.59347,14,10.3
3nw3,-6.44464,121.85984,1904.80609,6.96797,11.40888,4.81471,15,6.49
3p3r,-7.10631,63.44087,1175.33223,2.44879,34.16480,2.22244,5,7.25
3hzv,-5.00209,49.48473,1120.42231,4.08246,5.87305,8.38917,18,6.52
3ru1,-5.76438,54.15231,1017.96533,3.13586,29.98678,3.45298,6,4.85
1w4p,-5.39653,57.68106,936.22244,3.95124,2.80003,5.90372,7,4.74
3sug,-9.60574,142.81381,1987.16607,6.51929,51.55654,4.15294,8,6.21
2jxr,-8.62436,117.55566,2073.78524,5.45459,62.24299,7.18533,17,7.05
4h3j,-10.56852,99.69131,1718.64618,4.30827,41.55880,3.71543,3,7.05
1li2,-5.41715,37.74325,541.02405,0.73893,43.28669,0.92882,1,4.04
3u7s,-8.87692,108.32945,2045.11405,4.62445,42.56303,6.15540,14,8.43
4euo,-4.72934,70.96052,538.11175,4.36749,24.25240,5.47528,4,5.05
4qhc,-2.17726,65.47071,870.66084,7.81232,3.54430,3.81734,4,6.7
1n8v,-4.55230,40.00765,780.02058,0.14130,65.14399,0.00000,12,6.03
3vhk,-8.80512,80.82062,1375.63928,1.32586,66.62298,0.76133,6,4.6
4z83,-8.98306,104.28778,1518.33409,5.65211,34.24978,4.37678,3,7.4
4jpy,-6.79468,76.67529,757.12271,2.54317,41.01109,3.84369,4,4.43
3rdo,-6.87032,71.43223,972.09913,3.72276,23.40302,6.17819,5,9.85
1lkk,-6.32197,118.08366,1467.89726,5.50712,34.64149,9.73477,22,6.85
2xab,-9.05495,89.10013,1353.37809,2.60401,52.14732,1.00000,3,9.27
3fat,-7.78072,87.86366,924.30796,4.69899,18.77645,8.12067,4,7.64
2r23,-4.51476,65.19126,1296.26624,6.93506,1.82263,8.90815,19,3.72
4c1t,-9.70651,148.20264,2079.26041,5.39230,0.00000,8.60429,17,7.15
