name,Orientation_Score,Affinity_Score(Heavy_Ligand_Atoms),Affinity_Score,Buried_Protein_Hydrophobic_Term,Hydrophobic_Complementarity_Term,Polar_Component_Term,Number_of_Protein-Ligand_Hydrophobic_Contacts,Number_of_Protein-Ligand_H-bonds,Number_of_Protein-Ligand_Salt-bridges,Number_of_Metal-Ligand_Bonds,Number_of_Interfacial_Unsatisfied_Polar_Atoms,Number_of_Interfacial_Unsatisfied_Charged_Atoms,Buried_Carbons,affinity
1wn6,-10.820,-0.144,-9.692,-3.950,-1.328,0.804,72,10,6,0,4,2,1.000,4.68
4ks1,-9.037,-0.178,-8.774,-2.930,-1.162,0.536,47,2,12,0,4,0,1.000,8.82
4qb3,-7.057,-0.144,-8.386,-3.455,-0.249,0.536,60,3,0,0,4,0,1.000,5.47
1pz5,-9.098,-0.063,-9.415,-6.864,-0.415,3.082,97,4,1,0,20,3,0.756,5.4
4b7r,-8.580,-0.173,-8.685,-2.924,-1.079,0.536,42,1,12,0,4,0,1.000,9.64
1lzq,-11.067,-0.150,-12.705,-8.399,-0.830,1.742,116,6,4,0,12,1,1.000,8.39
2d1o,-9.166,-0.120,-9.193,-4.734,-0.581,1.340,72,7,0,0,5,5,0.917,7.7
4i8z,-8.861,-0.091,-8.859,-5.989,-0.332,2.680,80,4,0,0,16,4,1.000,11.05
3h89,-10.281,-0.108,-12.918,-10.099,-0.415,2.814,134,5,0,0,14,7,0.825,7.64
2bet,-8.542,-0.107,-6.613,-0.437,-1.494,0.536,4,14,4,0,2,2,1.000,2.77
3qwc,-8.165,-0.108,-8.245,-4.118,-0.249,1.340,82,3,0,0,10,0,1.000,4.26
3su6,-10.122,-0.119,-11.515,-6.922,-0.581,1.206,111,7,0,0,8,1,0.868,6.02
1t4v,-8.442,-0.093,-7.728,-3.888,-0.498,1.876,61,2,4,0,12,2,0.947,7.68
3m8u,-12.696,-0.103,-9.349,-4.749,-1.660,2.278,95,9,11,0,17,0,1.000,4.89
4m8e,-8.889,-0.224,-10.377,-4.827,-0.332,0.000,100,1,3,0,0,0,1.000,7.89
4ase,-9.216,-0.135,-9.553,-5.075,-0.332,1.072,102,4,0,0,8,0,1.000,11
2buv,-7.060,-0.163,-7.016,-1.651,-0.415,0.268,51,5,0,0,1,1,1.000,4
3rt4,-11.566,-0.079,-8.999,-7.220,-0.581,4.020,125,7,0,0,29,1,0.971,8.8
4h81,-7.965,-0.217,-7.826,-2.078,-0.664,0.134,50,1,7,0,1,0,1.000,5.12
2o4k,-10.954,-0.130,-11.860,-7.937,-0.581,1.876,131,7,0,0,12,2,1.000,10.46
1fiv,-12.542,-0.147,-14.202,-10.049,-1.079,2.144,124,13,0,0,12,4,1.000,6.59
4ibd,-6.809,-0.154,-9.992,-4.844,-0.332,0.402,49,1,3,0,3,0,1.000,3.67
4djp,-9.387,-0.121,-9.939,-6.450,-0.415,2.144,89,5,0,0,14,2,1.000,10.55
4fp1,-6.335,-0.041,-5.751,-0.890,-0.581,0.938,7,2,5,0,7,0,1.000,4.57
2r75,-11.257,-0.080,-8.245,-2.809,-1.826,1.608,53,16,6,0,9,3,0.857,6.15
3cow,-10.144,-0.112,-8.688,-3.948,-0.996,1.474,74,9,3,0,8,3,1.000,6.9
3q6z,-8.353,-0.021,-5.962,-2.492,-0.664,2.412,38,7,1,0,13,5,1.000,3.72
4jc1,-7.731,-0.110,-7.743,-1.580,-1.079,0.134,26,8,5,0,1,0,0.750,4.3
3ozr,-8.251,-0.095,-7.486,-2.995,-0.747,1.474,55,8,1,0,9,2,1.000,5.15
4wko,-9.729,-0.164,-9.150,-3.970,-0.498,0.536,105,5,1,0,3,1,1.000,9.47
3i4y,-6.581,-0.128,-6.500,-1.352,-0.332,0.402,36,4,0,0,2,1,1.000,7.05
2hzl,-6.415,-0.133,-6.016,-0.702,-0.498,0.402,22,2,4,0,2,1,1.000,6.57
3lpi,-10.990,-0.142,-11.762,-7.590,-0.830,1.876,116,10,0,0,10,4,0.971,8.52
3sur,-8.265,-0.122,-6.926,-2.097,-0.415,0.804,77,5,0,0,4,2,1.000,4.15
4ejl,-5.933,-0.151,-7.334,-2.301,-0.083,0.268,49,1,0,0,0,2,0.909,5.14
2w26,-9.214,-0.077,-7.448,-4.125,-0.249,2.144,108,3,0,0,16,0,1.000,9.4
3nim,-9.778,-0.107,-8.765,-3.578,-1.577,1.608,38,5,14,0,8,4,1.000,4.75
1m0b,-11.150,-0.139,-12.160,-8.256,-0.830,2.144,124,6,4,0,14,2,1.000,8.82
3v5p,-7.808,-0.128,-8.537,-4.142,-0.249,1.072,73,2,1,0,8,0,0.947,8.96
3u7s,-8.942,-0.112,-9.471,-5.682,-0.581,2.010,72,7,0,0,13,2,0.963,8.43
3lbj,-7.154,-0.110,-10.045,-6.352,-0.083,1.608,69,1,0,0,8,4,0.800,4.96
2pvj,-8.115,-0.122,-8.382,-3.904,-0.332,1.072,74,3,1,0,5,3,0.947,8.1
3wjw,-9.146,-0.126,-7.996,-2.203,-1.245,0.670,42,12,3,0,4,1,1.000,3.87
3mho,-6.616,-0.074,-6.839,-2.929,-0.166,1.474,44,2,0,0,10,1,1.000,6.49
3u15,-7.555,-0.122,-8.640,-4.328,-0.166,1.072,83,2,0,0,8,0,1.000,7.11
1yet,-7.952,-0.057,-7.492,-3.869,-0.415,2.010,60,5,0,0,14,1,0.931,5.92
4x6o,-9.158,-0.074,-8.338,-6.138,-0.332,3.350,96,4,0,0,20,5,0.931,8.72
2q1q,-6.983,-0.108,-7.166,-2.037,-0.581,0.670,25,3,4,0,4,1,0.800,8.15
2ez7,-5.016,0.021,-4.989,-0.677,-0.166,1.072,7,0,2,0,7,1,1.000,4.36
2gyi,-7.524,-0.169,-6.908,-0.911,-0.913,0.134,19,4,7,0,1,0,1.000,7
1tuf,-7.478,-0.101,-6.526,-1.850,-0.664,1.206,37,0,8,0,8,1,1.000,4.05
3vjc,-12.527,-0.114,-10.825,-5.938,-1.411,1.742,120,6,11,0,10,3,0.886,7.72
4xxh,-10.218,-0.124,-8.559,-2.402,-1.743,0.804,28,17,4,0,4,2,1.000,5
3guz,-5.900,-0.147,-6.688,-1.406,-0.332,0.268,21,4,0,0,2,0,1.000,4.38
3vje,-14.383,-0.140,-12.084,-6.699,-1.909,1.742,146,9,14,0,10,3,0.943,8.01
3aas,-7.349,-0.054,-6.184,-2.261,-0.581,1.876,36,3,4,0,12,2,1.000,4.51
3a6t,-7.493,-0.064,-6.762,-2.303,-0.581,1.340,29,7,0,0,8,2,1.000,7.28
3pb9,-6.464,-0.145,-6.954,-2.106,-0.166,0.536,50,2,0,0,2,2,0.900,6.58
3k5x,-10.561,-0.201,-8.240,-1.400,-2.158,0.536,22,5,21,0,3,1,1.000,6.41
1y1z,-7.932,-0.250,-7.218,-1.170,-0.830,0.000,40,4,6,0,0,0,1.000,3.08
4q19,-8.141,-0.142,-9.056,-4.578,-0.332,1.072,84,4,0,0,8,0,1.000,8.05
4iid,-8.631,-0.232,-7.773,-1.361,-1.328,0.134,30,5,11,0,1,0,1.000,5.62
5d1r,-7.049,-0.130,-7.435,-3.289,-0.000,1.072,76,0,0,0,8,0,1.000,4.84
2jh5,-8.197,-0.091,-7.778,-4.136,-0.166,1.742,84,2,0,0,10,3,1.000,6.44
5aoi,-6.294,-0.107,-6.936,-2.924,-0.000,1.206,65,0,0,0,8,1,1.000,3.03
4ca8,-12.046,-0.158,-13.265,-8.027,-1.494,1.474,107,9,9,0,7,4,1.000,6.68
1u71,-7.401,-0.090,-7.371,-3.697,-0.332,1.876,56,4,0,0,10,4,0.941,7.48
4nxu,-8.174,-0.053,-6.659,-1.836,-1.079,1.474,26,5,8,0,7,4,0.900,5.54
2gvj,-9.077,-0.148,-9.518,-5.206,-0.166,1.072,130,2,0,0,5,3,0.958,9.52
4ysl,-7.936,-0.136,-7.944,-2.298,-0.830,0.402,36,5,5,0,3,0,0.900,5.8
4ghi,-6.826,-0.094,-7.199,-2.651,-0.000,0.670,52,0,0,0,4,1,1.000,7.09
1j01,-8.321,-0.168,-8.239,-2.293,-0.996,0.268,40,8,4,0,2,0,1.000,6.47
4llk,-5.790,-0.127,-6.737,-2.106,-0.083,0.670,47,1,0,0,5,0,1.000,3
3b7i,-7.948,-0.204,-7.257,-1.145,-1.162,0.268,21,2,12,0,2,0,1.000,5.82
4av4,-8.245,-0.178,-8.946,-3.217,-0.913,0.402,40,10,1,0,3,0,1.000,7.03
1qb6,-8.581,-0.075,-7.396,-3.658,-0.664,2.144,69,4,4,0,15,1,0.950,6.06
1hk4,-6.916,-0.089,-7.356,-2.559,-0.249,0.670,44,1,2,0,3,2,0.933,5.31
5d21,-7.658,-0.186,-8.568,-2.673,-1.079,0.402,21,13,0,0,3,0,1.000,8.38
2qzr,-7.689,-0.090,-7.639,-3.263,-0.498,1.340,65,6,0,0,7,3,0.850,7.26
1dud,-7.746,-0.049,-6.395,-1.853,-0.664,1.340,38,8,0,0,8,2,0.889,4.82
1ws1,-8.458,-0.099,-7.986,-3.661,-0.581,1.474,56,7,0,0,8,3,0.842,9.55
3g30,-6.994,-0.144,-7.666,-2.537,-0.581,0.670,34,6,1,0,3,2,1.000,2.51
1yc4,-6.983,-0.112,-7.460,-3.148,-0.166,1.072,62,2,0,0,8,0,1.000,6.55
4qfn,-8.829,-0.176,-7.682,-1.621,-1.245,0.402,32,9,6,0,3,0,1.000,4.12
2qwd,-8.708,-0.141,-8.040,-2.030,-1.328,0.536,29,3,13,0,4,0,1.000,4.85
2xei,-12.311,-0.110,-10.278,-5.059,-1.743,1.742,88,7,14,0,11,2,0.880,10.62
4att,-8.093,-0.146,-8.578,-3.200,-0.830,0.670,40,9,1,0,5,0,0.938,6.98
1i1e,-8.838,-0.079,-8.308,-5.036,-0.332,2.278,99,3,1,0,12,5,0.815,5.03
3lzs,-8.952,-0.105,-9.197,-5.925,-0.332,2.278,83,4,0,0,14,3,1.000,10.96
4agl,-5.849,-0.045,-5.809,-1.797,-0.000,1.206,39,0,0,0,9,0,0.889,3.65
3jy0,-6.973,-0.119,-7.840,-3.177,-0.249,0.804,57,2,1,0,6,0,0.933,8.3
4wr7,-7.784,-0.145,-7.829,-2.483,-0.664,0.536,39,4,4,0,3,1,1.000,11.7
4eu0,-7.600,-0.036,-6.876,-2.519,-0.747,1.608,39,4,5,0,9,3,0.700,6.4
3r4n,-6.822,-0.065,-6.709,-2.933,-0.166,1.608,52,2,0,0,12,0,0.933,6.89
3i60,-9.025,-0.118,-9.007,-5.467,-0.332,2.010,106,4,0,0,14,1,1.000,8.7
3djx,-6.561,-0.059,-6.465,-1.821,-0.498,1.072,27,4,2,0,7,1,0.889,2.81
3n3g,-7.570,-0.054,-6.792,-3.635,-0.083,2.144,80,1,0,0,13,3,0.905,7.24
3djo,-6.617,-0.061,-6.503,-1.859,-0.498,1.072,27,6,0,0,6,2,0.889,4.39
1sb1,-9.190,-0.098,-9.059,-5.436,-0.415,2.010,95,5,0,0,14,1,0.929,6.89
1ydb,-7.168,-0.102,-6.538,-1.409,-0.581,0.670,27,3,4,0,5,0,1.000,8.24
3hkw,-8.275,-0.105,-9.506,-5.347,-0.415,1.474,76,5,0,0,8,3,0.800,8.64
4q99,-5.777,-0.103,-6.146,-1.866,-0.000,0.938,42,0,0,0,6,1,1.000,6.28
5aol,-6.169,-0.046,-5.822,-1.593,-0.083,1.072,35,1,0,0,8,0,1.000,2.32
2uy5,-7.670,-0.082,-6.523,-2.345,-0.166,1.206,82,2,0,0,6,3,1.000,5.49
1bai,-9.498,-0.074,-9.628,-7.013,-0.747,3.350,70,8,1,0,14,11,1.000,7.7
4k5p,-8.276,-0.142,-7.354,-1.810,-0.996,0.670,35,6,6,0,4,1,1.000,3.46
2drc,-8.855,-0.117,-9.072,-4.147,-0.913,1.206,58,6,5,0,7,2,0.950,9.89
2boj,-8.675,-0.205,-7.474,-1.132,-1.660,0.536,13,7,13,0,3,1,0.833,5.77
4fnn,-6.412,-0.123,-7.679,-2.850,-0.415,0.804,34,0,5,0,5,1,0.833,7.57
1b46,-10.843,-0.179,-9.864,-3.905,-1.411,0.670,73,10,7,0,5,0,1.000,5.28
4jh0,-7.331,-0.099,-7.904,-3.394,-0.498,1.206,47,3,3,0,7,2,1.000,9.03
4pft,-9.597,-0.100,-7.510,-2.802,-0.830,1.340,76,10,0,0,10,0,1.000,8.64
1mtr,-9.353,-0.129,-10.781,-7.292,-0.415,2.144,91,5,0,0,12,4,1.000,8.4
4ovg,-6.682,-0.130,-7.946,-2.498,-0.498,0.268,32,2,4,0,2,0,0.933,3.69
2qi3,-8.087,-0.116,-9.510,-5.970,-0.332,2.010,65,4,0,0,11,4,0.963,10.2
4rd0,-10.724,-0.103,-8.104,-1.596,-1.826,0.536,36,15,7,0,2,2,0.900,6.62
4ql1,-8.228,-0.086,-8.304,-5.013,-0.083,2.010,102,1,0,0,12,3,0.923,7.03
4ew2,-10.245,-0.156,-10.367,-4.510,-1.577,0.938,56,8,11,0,7,0,1.000,6.68
4qf8,-6.332,-0.078,-6.001,-1.606,-0.249,1.072,29,1,2,0,5,3,1.000,7.51
2olb,-11.983,-0.178,-10.216,-4.193,-1.743,0.938,81,12,9,0,6,1,1.000,5.54
3buh,-6.082,-0.147,-7.570,-2.773,-0.249,0.670,33,1,2,0,5,0,1.000,3.66
3zc5,-8.273,-0.132,-8.788,-4.476,-0.166,1.072,102,2,0,0,7,1,1.000,7.13
1p57,-7.637,-0.117,-7.440,-2.981,-0.581,1.340,56,3,4,0,10,0,0.929,4.4
4l51,-7.712,-0.074,-6.249,-1.139,-0.830,0.938,21,8,2,0,6,1,1.000,3
4u6w,-9.520,-0.206,-7.895,-1.802,-1.411,0.536,47,4,13,0,2,2,1.000,4.21
1z6s,-7.917,-0.081,-7.070,-2.062,-0.996,1.206,30,5,7,0,6,3,1.000,4.34
3dln,-8.123,-0.202,-7.235,-1.155,-0.996,0.134,32,6,6,0,1,0,1.000,6.6
4bup,-10.480,-0.116,-8.353,-3.613,-0.996,1.474,83,7,5,0,11,0,1.000,4.95
1bxq,-9.472,-0.109,-9.909,-5.552,-0.747,1.608,79,9,0,0,9,3,0.966,7.38
2i4d,-9.389,-0.086,-9.080,-6.395,-0.415,2.948,85,5,0,0,18,4,1.000,11.68
4tte,-5.780,-0.094,-6.915,-2.954,-0.083,1.340,39,1,0,0,9,1,1.000,3.69
4hla,-9.133,-0.119,-9.755,-5.915,-0.498,1.876,80,6,0,0,12,2,1.000,10.8
3upk,-9.372,-0.059,-7.524,-3.856,-0.996,2.546,48,11,1,0,13,6,1.000,4.3
2bza,-6.301,-0.143,-6.360,-1.614,-0.332,0.804,35,2,2,0,6,0,1.000,2.8
2ydw,-6.847,-0.145,-9.861,-5.281,-0.166,0.804,71,2,0,0,6,0,0.960,7.34
4r75,-9.534,-0.139,-7.715,-1.590,-1.577,0.670,20,17,2,0,4,1,1.000,7.24
4lch,-8.245,-0.102,-8.794,-4.584,-0.332,1.340,80,4,0,0,8,2,0.889,10.62
4qgd,-6.513,-0.164,-8.014,-3.249,-0.083,0.536,61,1,0,0,3,1,1.000,7.43
186l,-6.655,-0.230,-7.517,-2.299,-0.000,0.000,65,0,0,0,0,0,1.000,4.85
4del,-7.361,-0.041,-5.633,-0.472,-0.747,0.804,12,9,0,0,5,1,1.000,7.68
4cg8,-10.277,-0.158,-11.846,-7.432,-0.000,0.804,177,0,0,0,6,0,0.865,6.96
2ypp,-7.022,-0.183,-7.597,-2.066,-0.581,0.268,32,3,4,0,2,0,1.000,4.41
1uz1,-7.388,-0.163,-7.013,-1.399,-0.664,0.268,33,8,0,0,1,1,1.000,6.89
3p17,-7.907,-0.114,-8.183,-3.922,-0.249,1.206,78,3,0,0,8,1,1.000,4.48
4p58,-7.126,-0.104,-6.464,-1.884,-0.166,0.804,60,2,0,0,6,0,1.000,4.6
4mhy,-7.344,-0.103,-7.492,-3.716,-0.166,1.608,74,2,0,0,10,2,1.000,6.47
2jiw,-8.574,-0.186,-8.008,-2.094,-0.830,0.134,53,8,2,0,1,0,1.000,4.59
2yxj,-9.621,-0.127,-12.344,-9.053,-0.083,2.010,128,1,0,0,9,6,0.929,9.3
2yz3,-7.591,-0.151,-7.486,-3.008,-0.332,1.072,72,0,4,0,5,3,1.000,6.66
3d1y,-10.558,-0.134,-11.771,-7.899,-0.664,2.010,112,7,1,0,13,2,0.974,8.22
4u8w,-9.177,-0.107,-9.495,-6.408,-0.415,2.546,85,5,0,0,18,1,1.000,11.24
2xej,-10.200,-0.109,-9.704,-4.498,-1.328,1.340,61,8,8,0,9,1,0.833,8.87
2ya7,-10.226,-0.134,-8.309,-2.069,-1.826,0.804,35,4,18,0,4,2,1.000,3.14
3b7u,-8.758,-0.180,-9.008,-3.247,-1.079,0.536,41,4,9,0,4,0,1.000,7.74
1fzo,-11.946,-0.107,-12.476,-8.272,-0.996,2.010,137,9,3,0,13,2,0.913,7.89
3su3,-9.936,-0.109,-11.011,-6.635,-0.498,1.340,110,6,0,0,9,1,0.895,9.13
3gvb,-7.484,-0.135,-7.375,-2.112,-0.581,0.536,48,5,2,0,4,0,1.000,2.59
3zt3,-7.890,-0.155,-8.780,-3.734,-0.498,0.670,63,4,2,0,5,0,0.944,2.86
2yel,-7.528,-0.155,-10.179,-5.733,-0.166,0.938,91,2,0,0,7,0,1.000,7.28
2jxr,-9.915,-0.119,-10.709,-6.320,-0.913,1.742,82,11,0,0,12,1,0.969,7.05
1uwu,-8.684,-0.160,-7.301,-1.406,-1.079,0.402,42,5,8,0,3,0,1.000,5.98
4pyy,-8.986,-0.136,-9.021,-3.643,-0.830,0.670,58,5,5,0,5,0,0.938,7.23
2cf8,-9.090,-0.145,-9.860,-5.535,-0.581,1.474,87,3,4,0,10,1,0.962,8.1
3c84,-8.433,-0.096,-6.749,-2.571,-0.166,1.206,94,2,0,0,9,0,1.000,7.85
4l6t,-8.768,-0.035,-7.576,-3.487,-0.747,1.876,58,8,1,0,13,1,0.514,7.49
3ebi,-9.217,-0.163,-9.293,-4.400,-0.747,1.072,80,4,5,0,3,5,1.000,7.1
3gi4,-9.095,-0.104,-10.107,-6.886,-0.415,2.412,85,5,0,0,17,1,0.969,10.8
3n9r,-7.521,-0.075,-6.349,-1.405,-0.664,0.938,21,8,0,0,4,3,1.000,7.15
4kp8,-7.438,-0.174,-8.689,-3.075,-0.664,0.268,36,4,4,0,2,0,1.000,5.48
1hvj,-10.195,-0.143,-13.374,-9.100,-0.664,1.608,109,8,0,0,8,4,1.000,11.4
3cke,-7.583,-0.112,-8.121,-3.509,-0.332,0.938,63,2,2,0,4,3,1.000,6.1
1uml,-8.515,-0.122,-9.239,-5.648,-0.249,1.876,99,3,0,0,12,2,1.000,7.52
3wtl,-7.492,-0.049,-6.046,-2.302,-0.000,1.474,66,0,0,0,11,0,1.000,7.04
3b3w,-7.958,-0.265,-7.607,-1.361,-1.162,0.134,23,4,10,0,1,0,1.000,4.19
1msm,-10.477,-0.141,-10.990,-7.335,-0.581,2.144,120,3,4,0,15,1,1.000,10.48
4q6d,-7.059,-0.147,-8.005,-2.959,-0.498,0.670,38,2,4,0,5,0,1.000,7.36
1elc,-9.364,-0.075,-7.934,-5.683,-0.249,3.216,123,2,1,0,23,1,1.000,6.66
2ihj,-11.432,-0.091,-9.051,-4.049,-1.660,1.876,54,10,10,0,12,2,0.950,4.59
4x24,-8.641,-0.150,-8.223,-3.260,-0.415,0.670,80,5,0,0,4,1,1.000,9.78
1l6m,-5.633,-0.099,-6.311,-1.648,-0.249,0.804,27,2,1,0,3,3,1.000,8.1
