name,Orientation_Score,Affinity_Score(Heavy_Ligand_Atoms),Affinity_Score,Buried_Protein_Hydrophobic_Term,Hydrophobic_Complementarity_Term,Polar_Component_Term,Number_of_Protein-Ligand_Hydrophobic_Contacts,Number_of_Protein-Ligand_H-bonds,Number_of_Protein-Ligand_Salt-bridges,Number_of_Metal-Ligand_Bonds,Number_of_Interfacial_Unsatisfied_Polar_Atoms,Number_of_Interfacial_Unsatisfied_Charged_Atoms,Buried_Carbons,affinity
2cet,-9.678,-0.199,-9.593,-3.698,-1.079,0.402,74,9,4,0,2,1,1.000,8.02
3f3e,-7.193,-0.212,-7.128,-1.412,-0.498,0.000,31,6,0,0,0,0,1.000,7.7
3dd0,-7.040,-0.145,-7.542,-2.279,-0.581,0.536,30,3,4,0,4,0,0.889,9
3pww,-9.926,-0.136,-11.889,-7.532,-0.747,1.608,96,7,2,0,7,5,1.000,7.32
2iwx,-6.731,-0.092,-7.432,-3.388,-0.166,1.340,51,2,0,0,8,2,0.889,6.68
3p5o,-7.247,-0.128,-9.057,-5.096,-0.083,1.340,88,1,0,0,9,1,1.000,7.26
3g2n,-8.125,-0.111,-7.439,-2.897,-0.664,1.340,44,6,2,0,9,1,1.000,4.09
2wer,-7.157,-0.113,-8.047,-4.054,-0.249,1.474,57,3,0,0,9,2,1.000,7.05
1bzc,-9.603,-0.108,-8.345,-3.905,-0.830,1.608,75,9,1,0,9,3,1.000,4.92
4m0z,-9.719,-0.134,-8.424,-3.697,-0.581,1.072,104,7,0,0,7,1,1.000,5.19
1sqa,-8.319,-0.096,-8.189,-4.719,-0.664,2.412,67,3,5,0,15,3,0.957,9.21
3g2z,-5.923,-0.067,-6.089,-0.909,-0.498,0.536,12,5,1,0,3,1,1.000,2.36
4gr0,-10.543,-0.100,-9.606,-6.404,-0.664,2.680,113,8,0,0,17,3,0.935,9.55
3o9i,-9.824,-0.125,-10.474,-7.036,-0.498,2.278,99,6,0,0,11,6,1.000,11.82
1q8u,-7.129,-0.116,-7.769,-3.591,-0.166,1.206,65,1,1,0,7,2,1.000,5.96
4dli,-7.778,-0.116,-7.661,-3.968,-0.083,1.608,99,1,0,0,10,2,1.000,5.62
3myg,-7.358,-0.076,-7.485,-4.111,-0.166,2.010,70,2,0,0,10,5,0.950,10.7
1eby,-10.599,-0.144,-12.151,-8.413,-0.664,2.144,115,8,0,0,13,3,1.000,9.7
1p1n,-7.993,-0.183,-7.966,-2.320,-0.830,0.402,43,4,6,0,3,0,1.000,6.8
4ea2,-7.441,-0.146,-8.722,-4.576,-0.000,1.072,81,0,0,0,4,4,0.955,6.44
3nw9,-11.418,-0.132,-10.252,-5.997,-0.913,1.876,128,9,2,0,11,3,1.000,9
1oyt,-8.706,-0.142,-9.464,-4.871,-0.581,1.206,72,3,4,0,8,1,0.957,7.24
4pcs,-7.891,-0.168,-7.914,-2.351,-0.747,0.402,52,4,5,0,1,2,0.846,7.85
3d6q,-6.257,-0.053,-6.391,-1.345,-0.498,0.670,17,4,2,0,5,0,0.571,3.76
3ejr,-10.303,-0.186,-9.867,-3.908,-1.411,0.670,79,5,12,0,5,0,0.950,8.57
1uto,-6.085,-0.178,-6.820,-1.806,-0.332,0.536,29,2,2,0,4,0,1.000,2.27
5tmn,-9.250,-0.141,-9.731,-4.072,-1.245,0.804,50,8,7,0,6,0,1.000,8.04
3gr2,-5.508,-0.006,-5.303,-1.125,-0.166,1.206,16,2,0,0,8,1,0.857,2.52
3e92,-9.146,-0.163,-9.451,-4.705,-0.332,0.804,97,4,0,0,5,1,1.000,8
3jvs,-7.991,-0.131,-9.146,-5.019,-0.249,1.340,83,2,1,0,8,2,1.000,6.54
1r5y,-7.693,-0.128,-6.881,-1.886,-0.581,0.804,62,7,0,0,5,1,1.000,6.46
2vkm,-11.785,-0.139,-11.733,-8.314,-0.747,2.546,154,7,2,0,17,2,1.000,8.74
1z9g,-7.515,-0.184,-8.342,-2.996,-0.664,0.536,49,4,4,0,3,1,1.000,5.64
2j78,-8.015,-0.151,-7.185,-1.405,-0.830,0.268,38,6,4,0,2,0,1.000,6.42
3zsx,-8.207,-0.134,-9.775,-4.646,-0.581,0.670,69,5,2,0,5,0,0.852,3.28
3dx2,-9.655,-0.227,-7.946,-1.636,-1.494,0.402,50,4,14,0,3,0,1.000,6.82
2v7a,-8.131,-0.115,-9.228,-4.801,-0.415,1.206,76,5,0,0,7,2,0.885,8.3
3n76,-10.097,-0.157,-8.668,-3.692,-0.830,1.072,89,8,2,0,6,2,1.000,6.85
3kr8,-8.908,-0.113,-7.601,-3.474,-0.249,1.340,105,3,0,0,8,2,1.000,8.1
4ddh,-7.581,-0.156,-7.561,-2.483,-0.664,0.804,43,3,5,0,6,0,1.000,3.3
4eo8,-7.448,-0.139,-8.958,-4.110,-0.166,0.536,69,2,0,0,3,1,0.810,8.15
2zy1,-7.525,-0.143,-8.645,-3.631,-0.332,0.536,67,4,0,0,3,1,1.000,7.4
4j21,-8.313,-0.137,-7.953,-3.692,-0.249,1.206,92,3,0,0,7,2,1.000,7.41
3bgz,-7.766,-0.194,-9.874,-4.809,-0.249,0.402,87,1,2,0,3,0,1.000,6.26
3cyx,-10.210,-0.126,-11.412,-8.108,-0.498,2.412,114,5,1,0,16,2,0.974,8
1ydr,-6.808,-0.102,-7.250,-3.155,-0.083,1.206,60,1,0,0,6,3,0.929,5.52
4ih7,-6.661,-0.188,-8.414,-3.432,-0.166,0.402,57,2,0,0,2,1,1.000,5.24
4mgd,-6.489,-0.150,-8.075,-3.093,-0.166,0.402,40,2,0,0,3,0,1.000,4.69
3aru,-6.781,-0.113,-7.476,-3.030,-0.166,0.938,64,2,0,0,7,0,1.000,3.22
4kzu,-8.673,-0.151,-7.932,-3.486,-0.166,0.938,111,2,0,0,5,2,1.000,6.5
2pog,-7.118,-0.177,-8.931,-3.681,-0.166,0.134,63,2,0,0,1,0,0.889,9.54
2ymd,-7.764,-0.212,-7.971,-2.338,-0.415,0.000,62,5,0,0,0,0,1.000,3.16
3e5a,-8.532,-0.105,-8.668,-4.943,-0.249,1.742,100,3,0,0,11,2,0.957,8.23
3fv1,-9.518,-0.164,-8.653,-2.758,-1.079,0.402,60,10,3,0,3,0,1.000,9.3
3zso,-8.606,-0.114,-10.226,-6.016,-0.332,1.340,95,4,0,0,10,0,0.914,5.12
3wtj,-7.549,-0.082,-6.532,-2.571,-0.083,1.340,72,1,0,0,10,0,1.000,6.53
3cj4,-7.391,-0.118,-8.163,-3.417,-0.332,0.804,53,2,2,0,3,3,0.944,6.51
3u8n,-7.841,-0.105,-7.007,-2.778,-0.083,1.072,86,1,0,0,8,0,1.000,10.17
3ebp,-7.377,-0.088,-7.687,-3.943,-0.000,1.474,106,0,0,0,10,1,0.810,5.91
4kzq,-8.432,-0.151,-7.928,-3.482,-0.166,0.938,107,2,0,0,5,2,1.000,6.1
4ivb,-7.674,-0.127,-8.135,-3.657,-0.332,1.072,65,4,0,0,7,1,1.000,8.72
1bcu,-6.259,-0.139,-7.442,-2.996,-0.166,0.938,46,2,0,0,6,1,1.000,3.28
3zdg,-7.560,-0.096,-6.463,-2.100,-0.083,0.938,77,1,0,0,7,0,1.000,7.1
3rsx,-6.810,-0.161,-7.790,-3.210,-0.166,0.804,59,2,0,0,6,0,1.000,4.41
4j3l,-8.625,-0.127,-8.530,-4.403,-0.249,1.340,103,3,0,0,8,2,0.950,7.8
2qbq,-9.427,-0.141,-9.601,-4.140,-0.913,0.670,68,5,6,0,4,1,0.870,7.44
3qgy,-7.558,-0.120,-8.812,-5.304,-0.166,1.876,79,2,0,0,12,2,1.000,7.8
4lzs,-6.339,-0.170,-7.770,-2.571,-0.249,0.268,46,3,0,0,2,0,1.000,4.8
2cbv,-8.868,-0.230,-7.981,-1.620,-1.411,0.268,29,4,13,0,1,1,1.000,5.48
4rfm,-8.165,-0.091,-8.494,-4.852,-0.166,1.742,89,2,0,0,13,0,0.840,10.05
4ddk,-6.936,-0.098,-6.397,-1.836,-0.415,1.072,43,1,4,0,6,2,1.000,2.29
2p15,-9.080,-0.171,-10.696,-5.714,-0.166,0.402,114,2,0,0,3,0,0.926,10.3
3g0w,-7.728,-0.103,-7.688,-3.459,-0.083,1.072,71,1,0,0,8,0,1.000,9.52
3kwa,-6.421,-0.121,-6.918,-2.255,-0.249,0.804,37,3,0,0,5,1,1.000,4.08
2hb1,-8.333,-0.153,-7.366,-1.854,-0.830,0.536,46,4,6,0,4,0,1.000,3.8
3ivg,-8.880,-0.113,-8.503,-4.178,-0.581,1.474,85,4,3,0,11,0,1.000,4.3
5a7b,-8.230,-0.087,-7.916,-4.708,-0.000,2.010,120,0,0,0,14,1,0.852,3.57
2xys,-7.732,-0.155,-9.093,-4.596,-0.083,0.804,94,1,0,0,6,0,0.952,7.42
1z6e,-9.658,-0.079,-8.235,-5.231,-0.332,2.546,117,4,0,0,18,1,1.000,9.72
4twp,-8.358,-0.139,-9.106,-5.247,-0.249,1.608,100,3,0,0,10,2,1.000,10
4wiv,-6.767,-0.159,-9.503,-4.872,-0.083,0.670,70,1,0,0,5,0,1.000,6.26
1k1i,-8.982,-0.104,-8.970,-2.941,-1.079,0.268,55,8,5,0,2,0,0.654,6.58
2wtv,-8.104,-0.111,-8.975,-5.384,-0.249,1.876,85,2,1,0,14,0,0.960,8.74
2zcq,-8.353,-0.150,-8.980,-3.902,-0.664,0.804,69,7,1,0,4,2,1.000,8.82
1w4o,-7.480,-0.111,-7.543,-2.031,-0.830,0.536,23,8,2,0,4,0,1.000,5.22
2w4x,-6.806,-0.077,-6.608,-1.862,-0.332,0.804,33,4,0,0,4,2,1.000,4.85
1gpk,-7.580,-0.155,-8.011,-3.482,-0.249,0.938,66,3,0,0,6,1,1.000,5.37
4qac,-9.049,-0.121,-8.126,-3.948,-0.166,1.206,112,2,0,0,8,1,1.000,9.4
3uev,-6.710,-0.207,-8.535,-3.285,-0.166,0.134,64,0,2,0,1,0,1.000,5.89
1s38,-7.025,-0.142,-7.070,-2.107,-0.415,0.670,54,5,0,0,5,0,1.000,5.15
3pxf,-6.224,-0.168,-8.743,-3.410,-0.249,0.134,49,0,3,0,1,0,1.000,4.43
1p1q,-8.337,-0.185,-7.619,-1.622,-0.913,0.134,41,5,6,0,1,0,1.000,4.89
3ryj,-6.902,-0.083,-6.709,-2.065,-0.498,1.072,28,6,0,0,8,0,0.889,7.8
4w9c,-8.163,-0.121,-8.601,-4.391,-0.332,1.340,81,4,0,0,8,2,0.952,4.65
4agq,-7.927,-0.103,-8.298,-4.471,-0.083,1.474,103,1,0,0,10,1,0.840,5.01
4ciw,-8.696,-0.172,-7.791,-2.113,-0.996,0.536,43,9,3,0,4,0,1.000,4.82
4djv,-7.863,-0.147,-9.324,-4.846,-0.332,1.072,74,2,2,0,8,0,1.000,6.72
4jfs,-7.469,-0.128,-7.397,-1.866,-0.581,0.268,47,3,4,0,1,1,0.846,5.27
4msn,-5.864,-0.148,-7.137,-2.104,-0.083,0.268,48,1,0,0,2,0,1.000,4.03
3gnw,-8.954,-0.108,-9.962,-6.288,-0.332,1.876,102,4,0,0,11,3,0.853,9.1
3nq9,-4.932,-0.146,-6.677,-1.861,-0.000,0.402,22,0,0,0,1,2,1.000,4.03
3ozt,-11.212,-0.131,-9.264,-4.358,-1.162,1.474,107,10,4,0,9,2,1.000,4.13
3lka,-6.428,-0.045,-5.758,-1.848,-0.166,1.474,44,2,0,0,10,1,1.000,2.82
3u5j,-6.555,-0.146,-8.420,-3.923,-0.083,0.804,65,1,0,0,6,0,1.000,5.61
1nvq,-8.727,-0.148,-10.553,-5.992,-0.415,1.072,93,3,2,0,7,1,1.000,8.25
3up2,-8.879,-0.100,-8.031,-4.076,-0.747,2.010,72,2,7,0,14,1,1.000,7.4
4ty7,-9.205,-0.128,-9.707,-5.484,-0.747,1.742,77,7,2,0,11,2,0.923,9.52
3d4z,-9.577,-0.241,-8.587,-1.875,-1.494,0.000,50,5,13,0,0,0,1.000,4.89
2wbg,-9.778,-0.154,-8.603,-3.461,-0.996,1.072,83,5,7,0,5,3,1.000,4.45
3syr,-8.583,-0.096,-7.128,-2.069,-0.913,1.072,35,9,2,0,7,1,1.000,5.1
1nc1,-9.484,-0.168,-8.581,-3.018,-0.747,0.402,82,6,3,0,3,0,1.000,6.12
3acw,-7.318,-0.167,-8.732,-4.101,-0.083,0.670,77,1,0,0,4,1,0.947,4.76
3gy4,-7.117,-0.144,-6.661,-1.583,-0.664,0.804,34,4,4,0,6,0,1.000,5.1
3ao4,-7.338,-0.120,-7.135,-2.555,-0.166,0.804,78,2,0,0,4,2,1.000,2.07
3ueu,-6.062,-0.175,-7.674,-2.590,-0.000,0.134,57,0,0,0,0,1,0.917,5.24
2fvd,-7.865,-0.092,-7.985,-4.311,-0.332,1.876,59,4,0,0,13,1,1.000,8.52
1pxn,-7.692,-0.099,-7.394,-3.669,-0.249,1.742,78,3,0,0,11,2,1.000,7.15
3l7b,-7.920,-0.066,-6.463,-1.838,-0.747,1.340,32,8,1,0,8,2,1.000,2.4
5c1w,-6.090,-0.107,-6.503,-1.872,-0.083,0.670,51,1,0,0,5,0,1.000,5.06
2wca,-8.177,-0.108,-8.135,-3.491,-0.498,1.072,68,6,0,0,7,1,0.882,5.6
3zt2,-7.300,-0.119,-7.965,-3.302,-0.249,0.804,64,3,0,0,6,0,0.944,2.84
1h23,-10.213,-0.137,-10.141,-6.282,-0.249,1.608,132,3,0,0,10,2,0.900,8.35
4k77,-6.620,-0.106,-7.130,-2.952,-0.166,1.206,46,2,0,0,9,0,1.000,6.63
4mme,-7.792,-0.170,-8.609,-3.761,-0.166,0.536,86,2,0,0,4,0,1.000,6.5
1nc3,-9.326,-0.134,-7.770,-2.309,-0.913,0.670,64,8,3,0,5,0,1.000,5
4cig,-8.583,-0.130,-10.031,-5.036,-0.581,0.804,80,5,2,0,6,0,0.900,3.67
3ag9,-11.129,-0.064,-9.520,-5.035,-1.411,2.144,69,4,13,0,16,0,0.625,8.05
3coy,-9.970,-0.096,-8.196,-3.673,-0.913,1.608,73,8,3,0,9,3,1.000,6.02
3rlr,-7.237,-0.100,-7.526,-3.399,-0.249,1.340,63,3,0,0,9,1,1.000,7.52
1q8t,-6.457,-0.098,-6.986,-2.540,-0.166,0.938,45,2,0,0,7,0,1.000,4.76
4de3,-7.351,-0.120,-7.730,-2.735,-0.581,0.804,35,6,1,0,4,2,1.000,5.52
3b65,-8.956,-0.132,-8.508,-4.113,-0.249,1.072,106,3,0,0,7,1,1.000,9.27
4hge,-7.177,-0.089,-7.432,-3.873,-0.083,1.742,64,1,0,0,10,3,1.000,7.92
3uew,-6.700,-0.198,-8.779,-3.746,-0.083,0.268,65,0,1,0,1,1,1.000,6.31
4agp,-7.753,-0.095,-8.067,-4.457,-0.000,1.608,104,0,0,0,11,1,0.840,4.69
1h22,-9.837,-0.126,-9.495,-6.038,-0.249,2.010,125,3,0,0,14,1,0.929,9.1
3n7a,-8.122,-0.208,-7.711,-1.631,-0.996,0.134,28,9,3,0,1,0,1.000,3.7
2yge,-7.008,-0.058,-7.525,-4.285,-0.166,2.144,48,2,0,0,16,0,0.759,5.06
3bv9,-8.575,-0.069,-8.458,-4.350,-0.498,1.608,72,2,4,0,10,2,0.727,5.36
4x6p,-9.435,-0.102,-9.313,-6.143,-0.498,2.546,99,6,0,0,18,1,1.000,8.3
4mrz,-5.865,-0.118,-6.511,-1.395,-0.166,0.268,43,2,0,0,2,0,1.000,3.52
1z95,-8.684,-0.105,-8.259,-4.183,-0.332,1.474,81,4,0,0,10,1,1.000,7.12
2wn9,-7.173,-0.170,-8.958,-4.161,-0.249,0.670,62,3,0,0,5,0,1.000,8.52
3utu,-10.938,-0.098,-9.843,-5.939,-0.830,2.144,114,6,4,0,15,1,0.938,10.92
4de1,-7.730,-0.130,-8.202,-2.990,-0.664,0.670,43,7,1,0,4,1,1.000,5.96
3ehy,-8.055,-0.078,-6.548,-2.057,-0.747,1.474,46,3,6,0,9,2,1.000,5.85
2xnb,-7.733,-0.117,-8.376,-4.115,-0.249,1.206,75,3,0,0,7,2,0.947,6.83
4f2w,-9.169,-0.163,-8.485,-3.222,-0.581,0.536,84,5,2,0,4,0,1.000,11.3
3f3c,-7.848,-0.189,-7.678,-2.096,-0.498,0.134,54,6,0,0,1,0,1.000,6.02
2qnq,-8.956,-0.115,-9.930,-6.575,-0.415,2.278,90,1,4,0,15,2,0.967,6.11
1qkt,-7.113,-0.204,-9.294,-3.827,-0.249,0.000,60,3,0,0,0,0,0.944,9.04
1lpg,-10.526,-0.135,-10.758,-7.537,-0.415,2.412,146,1,4,0,18,0,0.971,7.09
3uo4,-9.109,-0.140,-9.274,-4.700,-0.830,1.474,77,2,8,0,8,3,0.957,6.52
2zcr,-8.116,-0.162,-9.763,-4.800,-0.415,0.670,78,5,0,0,4,1,1.000,6.87
1gpn,-7.439,-0.137,-7.830,-3.735,-0.083,1.206,80,1,0,0,7,2,1.000,6.48
3uex,-7.028,-0.207,-9.362,-4.195,-0.083,0.134,73,0,1,0,1,0,1.000,6.92
4w9i,-8.436,-0.117,-9.095,-4.617,-0.332,1.072,90,4,0,0,7,1,0.870,5.96
3n86,-10.475,-0.174,-9.222,-3.729,-1.079,0.804,85,10,3,0,6,0,1.000,5.64
4eky,-9.806,-0.152,-8.874,-3.381,-1.079,0.804,66,11,2,0,6,0,1.000,3.52
3udh,-6.922,-0.172,-7.632,-2.535,-0.415,0.536,47,1,4,0,4,0,1.000,2.85
3tsk,-9.259,-0.091,-8.876,-5.470,-0.332,2.144,109,4,0,0,15,1,0.931,7.17
4llx,-5.705,-0.144,-6.514,-1.398,-0.166,0.268,36,2,0,0,2,0,1.000,2.89
3dxg,-5.868,-0.042,-6.099,-1.621,-0.332,1.072,19,2,2,0,7,1,0.778,2.4
2qbr,-9.285,-0.126,-8.749,-3.907,-0.830,1.206,72,4,6,0,8,1,0.900,6.33
1qf1,-9.510,-0.192,-10.209,-4.531,-0.996,0.536,78,8,4,0,3,1,1.000,7.32
4w9h,-9.032,-0.122,-9.253,-5.311,-0.332,1.608,110,4,0,0,10,2,0.917,6.73
4w9l,-9.712,-0.125,-10.350,-6.644,-0.498,2.010,113,6,0,0,10,5,0.933,5.02
3b27,-6.307,-0.083,-6.542,-2.230,-0.166,1.072,42,2,0,0,5,3,1.000,5.16
3coz,-10.028,-0.101,-8.233,-3.678,-1.079,1.742,63,10,3,0,10,3,1.000,5.57
3b1m,-8.436,-0.142,-10.596,-6.450,-0.000,1.072,123,0,0,0,6,2,0.933,8.48
2wvt,-8.213,-0.161,-7.314,-1.636,-0.996,0.536,37,5,7,0,3,1,1.000,6.12
3wz8,-8.420,-0.175,-10.995,-6.217,-0.498,0.938,84,6,0,0,4,3,1.000,5.82
4cr9,-6.492,-0.121,-6.793,-2.264,-0.249,0.938,43,3,0,0,7,0,1.000,4.1
5c28,-5.965,-0.107,-6.498,-1.867,-0.083,0.670,50,1,0,0,4,1,1.000,5.66
3ge7,-9.518,-0.147,-9.036,-4.194,-0.830,1.206,96,7,3,0,8,1,1.000,8.7
5c2h,-9.092,-0.135,-9.389,-5.345,-0.166,1.340,130,2,0,0,7,3,0.957,11.09
4dld,-8.520,-0.084,-6.978,-2.321,-0.913,1.474,39,5,6,0,9,2,0.917,5.82
3u8k,-7.246,-0.117,-7.097,-2.734,-0.083,0.938,76,1,0,0,7,0,1.000,8.66
3b5r,-8.925,-0.102,-8.073,-4.080,-0.249,1.474,100,3,0,0,10,1,1.000,8.77
2p4y,-9.070,-0.116,-9.848,-6.340,-0.166,1.876,109,1,1,0,10,4,1.000,9
1ps3,-9.104,-0.174,-8.009,-1.865,-1.328,0.402,45,6,10,0,3,0,1.000,2.28
4mrw,-6.230,-0.145,-6.956,-2.108,-0.166,0.536,53,2,0,0,4,0,1.000,3.3
2al5,-9.469,-0.183,-7.962,-1.633,-1.245,0.134,48,9,6,0,1,0,1.000,8.4
4gkm,-8.805,-0.186,-8.932,-3.420,-0.830,0.536,77,0,10,0,4,0,1.000,5.17
2c3i,-7.595,-0.132,-8.260,-3.897,-0.083,0.938,92,1,0,0,5,2,0.944,7.6
1a30,-8.078,-0.099,-7.791,-3.166,-0.747,1.340,38,4,5,0,4,6,1.000,4.3
2br1,-6.994,-0.102,-8.181,-4.756,-0.083,1.876,68,1,0,0,13,1,1.000,5.14
3arq,-8.100,-0.102,-8.882,-5.374,-0.166,1.876,116,2,0,0,12,2,0.885,6.4
1e66,-8.886,-0.148,-8.332,-4.237,-0.083,1.206,130,1,0,0,8,1,1.000,9.89
2xj7,-8.237,-0.170,-7.937,-2.323,-0.664,0.268,56,6,2,0,1,1,1.000,6.66
3jvr,-7.042,-0.061,-6.622,-3.465,-0.083,2.144,70,1,0,0,13,3,1.000,5.72
3ary,-6.580,-0.124,-7.328,-3.048,-0.000,0.938,82,0,0,0,4,3,1.000,6
1vso,-8.136,-0.112,-7.565,-2.021,-0.996,0.670,30,6,6,0,4,1,1.000,4.72
3r88,-7.070,-0.139,-7.171,-2.023,-0.332,0.402,58,2,2,0,2,1,1.000,4.82
4m0y,-7.315,-0.122,-7.896,-3.418,-0.332,1.072,57,4,0,0,8,0,1.000,6.46
2qe4,-7.647,-0.159,-9.039,-4.325,-0.166,0.670,77,2,0,0,4,1,0.950,7.96
4f3c,-10.115,-0.168,-9.075,-3.946,-0.581,0.670,114,5,2,0,5,0,1.000,11.82
3oe4,-11.163,-0.119,-9.147,-4.375,-1.162,1.608,103,10,4,0,10,2,1.000,7.47
3arp,-8.963,-0.150,-10.305,-6.561,-0.000,1.474,155,0,0,0,8,3,0.967,7.15
3uri,-9.706,-0.094,-11.357,-7.453,-0.830,2.144,85,7,3,0,13,3,0.860,9
4de2,-7.322,-0.129,-8.308,-3.179,-0.581,0.670,39,6,1,0,3,2,0.941,4.12
1o5b,-6.939,-0.116,-6.731,-2.304,-0.415,1.206,47,1,4,0,9,0,1.000,5.77
3gbb,-8.950,-0.171,-8.293,-2.532,-1.079,0.536,52,7,6,0,4,0,1.000,6.9
4eor,-8.146,-0.115,-8.427,-4.134,-0.415,1.340,68,5,0,0,9,1,1.000,6.3
2fxs,-6.588,-0.086,-7.636,-3.777,-0.249,1.608,41,3,0,0,10,2,0.944,6.06
4qd6,-7.183,-0.133,-9.862,-5.199,-0.249,0.804,69,3,0,0,6,0,0.846,8.64
1y6r,-9.841,-0.186,-8.944,-2.998,-0.996,0.268,78,6,6,0,2,0,1.000,10.11
3twp,-6.029,-0.135,-6.570,-1.588,-0.166,0.402,41,2,0,0,1,2,1.000,3.92
3f3a,-8.076,-0.157,-7.572,-2.341,-0.415,0.402,67,5,0,0,3,0,1.000,4.19
2zb1,-8.511,-0.156,-9.281,-4.752,-0.249,0.938,83,3,0,0,5,2,1.000,6.32
3g31,-5.109,-0.070,-6.408,-1.560,-0.166,0.536,19,0,2,0,4,0,0.750,2.89
1mq6,-9.591,-0.069,-7.712,-4.574,-0.332,2.412,109,4,0,0,17,1,0.957,11.15
