name,cyscore,cyscore_hydrophobic,cyscore_Vdw,cyscore_HBond,cyscore_Ent,affinity
3dcw,-3.0494,153.683,28.974,-0.000,4,9
3iqh,-2.3421,126.878,23.126,-0.000,6,4.59
1bcj,-0.9695,3.183,14.891,-0.000,2,3.7
2v83,-6.8902,336.244,63.710,11.036,6,4.47
1byk,-2.6064,118.841,27.786,3.107,6,5
2yiv,-1.5293,122.122,9.477,-0.000,3,2.78
1oko,-1.6867,77.683,15.822,-0.000,1,4.54
2qoa,-2.6937,156.805,20.962,1.250,1,7.28
1jmi,-2.2961,75.073,27.390,15.214,6,6.06
1n7m,-5.2406,270.049,47.403,2.679,6,5.71
4as6,-1.7952,58.902,20.159,1.857,2,6.4
4f20,-7.6618,333.305,75.691,-0.000,6,3.29
3n0h,-2.9627,186.329,24.629,10.464,6,6.21
1xr8,-8.8942,505.098,72.861,6.786,6,6.7
3omc,-3.5988,200.146,32.435,4.857,6,5
1ofz,-1.5196,74.610,13.155,-0.000,0,4.62
4afh,-5.4358,289.415,48.029,0.179,6,9.54
4f9v,-3.4200,204.244,29.491,1.536,6,6.03
2xxw,-1.8054,109.122,15.228,9.964,4,6.41
4ea1,-2.7123,152.220,25.317,4.000,6,6.44
4fbe,-3.5747,214.366,30.526,1.679,6,6.99
1q95,-2.6265,124.220,25.794,28.607,6,7.57
2itk,-3.6338,193.280,33.775,4.429,6,7.69
1gz9,-2.7790,152.890,26.367,-0.000,6,3.51
3dvp,-5.3578,277.110,48.825,3.821,6,5
2er9,-6.0655,232.488,64.367,4.179,6,7.4
2nnp,-7.0947,399.073,59.657,-0.000,6,8.37
2hs2,-5.7437,344.305,46.483,2.536,6,8.31
3iqi,-2.3788,87.707,28.314,-0.000,6,4.41
2o1c,-0.5384,14.720,8.422,1.679,4,4.72
1slg,-4.0046,130.866,46.746,-0.000,6,3.9
1ebg,-1.4596,67.939,14.067,5.679,2,10.82
1g3c,-2.8111,132.378,27.445,-0.000,4,5.8
2f5t,-4.4671,242.829,39.533,-0.000,6,5.17
4aph,-5.5865,219.195,59.075,2.464,6,5.4
4aa1,-4.5973,153.549,52.564,1.893,6,4.12
1h1p,-2.4680,149.756,20.997,0.429,4,4.92
3b1m,-5.5538,298.451,48.674,-0.000,6,8.48
2pog,-4.3312,286.073,29.383,-0.000,1,9.54
3d6q,-1.1483,11.049,17.143,0.321,3,3.76
3twp,-1.6000,79.573,13.732,-0.000,0,3.92
3ozs,-5.4566,273.610,50.816,0.250,6,5.33
1c5z,-1.8873,88.439,16.413,10.571,0,4.01
1z9g,-3.2214,197.720,26.697,3.571,6,5.64
3oe4,-5.0769,266.622,45.545,-0.000,6,7.47
2vkm,-8.0292,391.341,74.019,2.464,6,8.74
1owh,-2.7615,86.524,31.077,12.036,3,7.4
1qkt,-4.1212,262.110,28.578,-0.000,0,9.04
1o0h,-2.1920,88.268,25.394,3.571,6,5.92
3dx2,-2.5958,135.476,22.216,12.857,2,6.82
3n76,-4.7839,295.232,37.899,-0.000,6,6.85
2zb1,-5.1376,310.207,40.636,-0.000,4,6.32
3b27,-2.0910,72.963,23.255,5.036,3,5.16
4e5w,-4.7501,248.622,41.113,0.250,3,7.66
3b5r,-6.0923,344.695,51.591,-0.000,6,8.77
1nc1,-3.8066,208.561,32.609,5.143,4,6.12
2wer,-3.3841,158.061,30.262,-0.000,0,7.05
1gpn,-3.6605,185.183,31.035,0.250,0,6.48
3dx1,-1.8531,91.354,15.575,10.464,0,3.58
1k1i,-3.6376,173.683,35.999,8.393,6,6.58
3uev,-3.3516,284.610,18.881,3.214,6,5.89
2r9w,-3.1443,181.280,26.461,-0.000,4,5.1
1y6r,-4.8744,288.341,38.307,12.429,4,10.11
3prs,-6.5917,324.061,61.281,-0.000,6,7.82
2xj7,-3.5307,193.415,28.793,0.000,1,6.66
3fv2,-3.3619,188.366,28.371,9.857,4,8.11
2w4x,-2.8083,154.500,24.165,-0.000,3,4.85
4de3,-2.9913,132.622,29.417,-0.000,3,5.52
3up2,-3.2494,160.378,31.994,7.393,6,7.4
2zda,-4.7387,248.000,42.400,11.250,6,8.4
2fxs,-2.6718,148.963,25.280,-0.000,6,6.06
1lpg,-5.7693,284.061,53.712,9.964,6,7.09
3qqs,-3.1106,172.707,26.091,7.179,3,5.82
2qbq,-3.9773,255.341,31.294,6.536,6,7.44
1bzc,-3.9628,166.146,41.845,2.571,6,4.92
1pxn,-3.8133,233.829,29.291,0.286,3,7.15
1z6e,-6.2872,275.195,62.451,5.536,6,9.72
4eo8,-3.3715,200.378,27.484,-0.000,4,8.15
2wvt,-2.3686,141.110,18.496,6.893,2,6.12
3nx7,-2.9193,140.695,29.849,-0.000,6,8.1
1syi,-2.9513,163.939,24.593,12.893,3,5.44
3uuo,-2.3084,110.622,22.119,0.393,3,7.96
2p15,-6.1576,373.817,46.642,-0.000,3,10.3
2j7h,-2.3253,139.171,17.770,-0.000,1,7.19
2br1,-3.3482,172.756,32.252,0.071,6,5.14
3syr,-3.2877,147.854,31.103,4.714,2,5.1
3g31,-1.2346,74.573,10.223,0.607,2,2.89
2xii,-3.9080,165.671,38.300,11.714,3,7.2
1p1n,-2.3799,120.610,22.107,12.000,4,6.8
3coz,-5.3486,306.829,45.312,0.036,6,5.57
2wnc,-3.2711,170.244,30.188,0.750,4,6.32
3qgy,-3.4787,171.341,32.480,0.179,4,7.8
4eky,-4.0346,245.963,32.107,4.357,4,3.52
3fur,-5.2558,240.720,51.771,1.286,6,8
3e5a,-3.9882,203.098,37.920,0.107,6,8.23
3bgz,-3.2705,182.451,26.800,3.286,2,6.26
2zy1,-3.1967,127.878,35.204,4.643,6,7.4
3r88,-1.7647,71.866,19.419,1.250,4,4.82
3pyy,-4.2793,230.951,36.399,-0.000,3,6.86
4f09,-3.2737,201.841,24.028,0.964,1,6.7
1s38,-3.0878,155.622,25.559,17.179,0,5.15
4agq,-3.5663,154.268,37.607,0.143,6,5.01
1ydt,-4.4256,247.866,38.864,1.929,6,7.32
3rsx,-2.6650,110.756,25.514,13.679,1,4.41
3rr4,-2.8916,128.012,27.422,12.107,2,4.55
1nc3,-4.1004,212.585,34.949,10.571,2,5
4agn,-2.4626,70.744,31.543,-0.000,6,3.97
4ea2,-3.9524,226.744,34.581,0.357,6,6.44
1qf1,-5.3470,340.988,41.086,3.536,6,7.32
2cbv,-2.5815,142.000,20.213,8.036,0,5.48
3gc5,-3.4010,147.232,32.700,22.607,3,7.26
3jvr,-3.4542,191.524,30.952,-0.000,6,5.72
5tmn,-4.3831,218.439,41.555,6.643,6,8.04
3ui7,-2.8062,133.524,27.235,-0.000,4,9
3uew,-2.6656,190.780,20.148,1.786,6,6.31
4e6q,-4.2664,246.146,34.401,0.107,3,8.36
4agp,-3.4967,145.134,37.690,-0.000,6,4.69
3cj4,-2.9731,167.549,26.158,1.536,4,6.51
3rlr,-4.3415,276.024,32.362,4.679,4,7.52
2qnq,-6.3677,380.671,50.935,9.179,6,6.11
3u5j,-2.8140,110.500,28.261,-0.000,1,5.61
3nq9,-1.0797,87.780,8.870,-0.000,6,4.03
3e92,-5.6872,342.524,44.154,-0.000,4,8
3b65,-6.0936,353.732,50.536,-0.000,6,9.27
3gv9,-1.3238,47.610,13.528,-0.000,0,2.12
1h22,-4.8356,228.378,47.188,0.321,6,9.1
1ydr,-2.8618,129.756,27.216,1.393,2,5.52
3f3d,-2.6145,171.939,20.501,0.000,4,7.16
3kr8,-4.7739,226.915,43.436,-0.000,2,8.1
3bv9,-4.4366,217.683,42.255,10.714,6,5.36
3p5o,-3.2533,143.402,33.761,-0.000,6,7.3
2qe4,-4.4141,291.841,31.723,-0.000,4,7.96
2wn9,-2.4356,106.573,25.058,0.250,4,8.52
1eby,-8.5788,510.793,67.888,-0.000,6,9.7
4hge,-4.7436,283.671,36.862,-0.000,3,7.92
3ryj,-2.6212,132.463,24.681,-0.000,4,7.8
3gr2,-1.0244,30.585,12.428,-0.000,2,2.52
3zt2,-3.2546,158.012,28.999,-0.000,1,2.84
1xh5,-5.8505,279.402,55.600,6.071,6,5.47
3s6t,-3.2397,151.927,33.158,-0.000,6,7.35
3b67,-5.6797,293.134,51.668,1.750,6,8.85
3fas,-1.7558,93.341,16.319,11.536,4,6.77
3m3z,-2.8474,145.244,28.213,1.321,6,5.73
2uyq,-1.4571,47.561,15.803,6.714,1,5.68
3djo,-1.2834,53.500,15.845,1.214,6,4.39
1b05,-4.6091,240.293,41.926,14.214,6,7.12
3iph,-4.6858,253.244,41.465,-0.000,6,7.6
2iuz,-3.4457,126.207,36.765,-0.000,3,5.55
4g0q,-1.9170,109.756,18.101,7.143,6,2.52
3p9m,-7.0079,355.951,63.200,7.964,6,5
2wzs,-1.7566,45.805,20.354,6.643,1,3.85
2zxg,-4.3124,216.232,41.064,-0.000,6,8.82
1usn,-3.5821,176.256,33.401,-0.000,4,7.74
2psu,-5.7097,317.098,49.326,-0.000,6,7.62
1odj,-3.3905,141.793,33.286,5.357,2,4.1
3daz,-2.9252,139.366,26.439,-0.000,1,7.93
3rz1,-3.0772,156.988,30.201,-0.000,6,8.74
2qx0,-2.0078,92.037,18.725,1.107,1,6.11
3fvn,-2.9707,146.622,27.745,7.821,4,6.77
3f70,-1.2820,98.768,10.204,7.143,6,4.85
2gj5,-2.6792,180.841,21.599,-0.000,6,8.32
1szd,-4.6220,213.524,45.694,4.357,6,4.54
1d4y,-6.1987,360.329,51.238,0.929,6,11.1
3rm4,-3.4176,194.439,30.342,8.429,6,5.77
1wm1,-2.1648,88.610,21.729,8.143,2,6.3
2y7x,-5.2535,215.634,52.943,0.036,4,8.89
2ans,-2.5741,121.024,25.309,1.214,4,5.92
1td7,-2.3511,126.341,20.872,0.357,3,4.37
2wc4,-3.6888,223.671,31.043,2.357,6,5.29
2xde,-3.8794,225.988,33.557,1.750,6,5.47
1d09,-2.5100,125.512,24.280,20.536,6,7.57
3ozj,-1.7888,53.841,21.961,-0.000,4,5.11
3a2o,-7.1045,408.000,58.517,5.429,6,9.08
4a6l,-5.6540,300.293,48.488,4.964,4,8
3jyr,-5.1697,212.732,53.880,0.571,6,5.54
2pqz,-5.8198,318.098,50.348,11.250,6,5.67
1yda,-2.1569,67.695,23.823,-0.000,1,6.55
1mfi,-3.1351,197.793,22.468,1.750,1,5.59
2qtt,-3.3642,154.610,31.162,10.786,2,4.32
2ha2,-2.4023,140.110,22.426,-0.000,6,4.66
1nw5,-4.3198,229.951,39.191,8.607,6,5.21
2exm,-2.0596,120.244,17.359,0.679,3,4.11
3p58,-3.2503,187.207,26.075,-0.000,2,7.6
1ec3,-7.5064,409.561,64.378,-0.000,6,9.04
3r16,-2.8793,146.939,26.651,1.250,4,7.3
3nb5,-3.0515,179.878,26.490,0.214,6,7.74
1o7o,-3.8291,179.720,38.287,2.714,6,4.49
1fl3,-4.4915,269.451,37.333,-0.000,6,6.8
1xk5,-2.0728,31.451,30.381,4.500,6,6
3sym,-3.0570,124.854,31.223,1.714,3,4.57
3ta1,-5.3459,297.207,46.088,8.107,6,3.25
3ipu,-5.8796,325.098,50.814,0.536,6,7.32
2qwb,-1.8163,82.293,19.183,9.964,4,2.74
3lzs,-5.8362,345.866,47.665,1.893,6,10.96
3rdq,-3.0192,199.110,23.746,-0.000,6,9.31
2pwr,-6.9212,329.841,64.906,11.393,6,6.59
3bbf,-2.1711,50.256,29.358,9.714,6,5.28
1ax0,-2.2310,119.854,19.309,-0.000,2,3.13
1yei,-4.1968,231.098,37.620,-0.000,6,7.46
1g7q,-4.9185,208.854,50.404,7.857,6,6.06
3upv,-3.4375,159.061,34.700,11.750,6,5.3
1hmr,-3.8571,292.500,25.257,3.536,6,6.55
4djw,-3.2696,160.695,29.457,16.214,3,6.28
1uou,-3.0125,177.463,23.535,6.214,2,7.7
2p16,-5.9012,286.451,55.129,0.143,6,10.1
1bcd,-2.1059,112.720,17.733,-0.000,1,8.7
3iss,-4.5653,204.183,45.706,11.143,6,6.05
3ckb,-2.4064,81.024,29.507,-0.000,6,2.98
1apv,-4.3125,184.110,44.880,-0.000,6,9
1i9p,-2.4485,120.268,23.629,-0.000,4,8.41
2pyy,-1.7804,130.293,12.320,10.679,4,4.6
1fhd,-3.4195,180.256,30.370,4.964,4,6.82
1d3p,-5.3618,255.293,51.629,-0.000,6,7.39
4en4,-1.5320,94.963,13.352,-0.000,4,5.52
3rlq,-3.0658,142.976,29.696,4.429,4,7.4
1qk3,-1.8935,22.756,28.320,1.750,6,5.15
3sio,-5.0510,234.061,49.645,0.071,6,8
1y3n,-2.3092,69.707,28.158,1.679,4,5.55
1f4f,-1.9993,33.061,29.306,-0.000,6,4.62
2flr,-4.2322,164.061,44.149,3.071,4,6.1
3pce,-1.6940,104.890,13.301,-0.000,2,2
1ta6,-5.6994,302.061,50.962,0.036,6,9.13
1fch,-4.1588,176.573,43.407,3.536,6,7.15
1dl7,-2.9026,163.805,26.862,-0.000,6,6.49
1zoe,-2.8115,162.634,22.028,-0.000,1,7.4
1h4w,-2.4320,122.159,20.314,10.214,0,4.66
4der,-2.1414,159.049,12.742,-0.000,1,6.31
2uy3,-2.6121,170.793,17.409,3.714,0,3.22
1a1e,-3.9454,217.561,35.336,6.143,6,6
1b5j,-4.7001,231.049,44.286,15.607,6,7.43
2c1p,-3.5264,149.012,37.051,-0.000,6,5.4
1jmg,-2.7554,173.024,22.867,3.857,6,6.07
4tim,-1.5946,95.939,15.283,1.964,6,2.16
2nta,-3.8933,186.622,34.730,3.036,1,4.8
3t09,-1.8988,73.561,19.386,-0.000,1,3.8
3ozg,-2.8705,114.695,31.928,7.464,6,9.19
3d50,-2.6566,143.512,25.488,5.393,6,4.77
2sim,-2.2094,85.439,23.859,10.929,4,3.42
1bn1,-3.4015,210.402,27.335,-0.000,4,9.34
2ygf,-4.3024,208.951,41.784,-0.000,6,5.09
3hit,-5.5156,275.061,51.159,8.607,6,8.19
2xyf,-7.2643,430.134,58.423,-0.000,6,8.44
1o3j,-2.6767,130.415,23.561,8.393,1,6.77
2wos,-3.4006,163.817,32.238,0.286,4,3.9
1tys,-3.3424,159.622,32.890,5.750,6,5.49
1d4i,-8.5859,498.439,69.459,-0.000,6,8.85
1hpo,-4.7235,258.390,42.010,-0.000,6,9.22
2aoe,-6.2708,295.951,59.633,8.321,6,7.62
1tok,-1.1018,58.232,8.612,10.750,0,2.47
2q1q,-2.2400,81.780,23.962,-0.000,2,8.15
2pgz,-3.6204,178.585,35.506,0.000,6,5.74
3gjw,-2.1702,95.537,21.314,0.000,2,8.3
3le9,-3.6836,181.476,34.862,-0.000,4,8.22
3g30,-1.5695,69.524,16.310,-0.000,3,2.51
1q54,-2.3471,113.451,24.565,5.679,6,5.85
1qb1,-3.5639,213.024,30.159,10.714,6,6.77
1jmf,-3.0315,189.659,24.903,3.571,6,5.77
2afx,-2.1161,107.280,19.075,1.500,2,5.15
1ct8,-3.8381,184.988,37.762,3.429,6,6.52
3uug,-2.8269,161.122,22.358,1.750,1,4.51
3d0e,-5.4777,301.476,47.404,10.214,6,8.4
1wcq,-3.1451,196.854,24.522,17.464,4,6.26
3v51,-6.2030,399.549,46.674,0.071,6,8.55
2q2a,-2.3660,157.659,18.338,21.357,6,7.41
2p3c,-7.4332,403.049,64.088,-0.000,6,7.62
2r2m,-4.3136,225.268,39.561,10.964,6,7.33
2gst,-4.5341,238.878,41.207,9.286,6,6.07
4afg,-3.3937,187.756,26.867,0.071,0,8.3
4e6d,-4.2013,235.207,34.754,0.179,3,8.92
2qhy,-5.8939,300.683,53.946,-0.000,6,7.48
3ekp,-5.7257,338.378,46.955,1.857,6,8.89
2we3,-2.2575,66.488,28.832,6.036,6,4.43
2vwm,-5.8787,231.195,61.984,-0.000,6,7.03
1oba,-1.1416,68.024,9.678,-0.000,2,2.44
3d8z,-1.1307,10.720,16.914,0.643,3,3.37
2bqv,-6.9605,414.024,55.935,-0.000,6,8.05
2vwn,-5.4937,220.732,56.430,-0.000,4,8
3su6,-6.6773,326.561,62.225,-0.000,6,6.02
1hpv,-5.8051,351.598,46.529,1.964,6,9.22
1d9i,-4.0701,252.780,33.126,2.000,6,9.11
2bes,-1.9241,68.500,23.881,3.071,6,4.24
1phw,-0.3846,77.159,-0.552,-0.000,4,3.3
4djo,-6.9627,432.720,53.745,-0.000,6,11.52
3sw8,-3.7283,221.512,30.142,-0.000,4,4.5
2o8h,-2.5554,91.927,30.367,0.071,6,7.6
4e4n,-3.7516,201.573,34.059,0.214,6,9.05
1sw1,-2.4275,152.488,17.451,5.321,1,7.3
3b25,-2.6124,123.049,24.261,4.821,2,6.07
1nt1,-5.3521,235.720,50.162,-0.000,1,8.89
2clk,-2.2900,118.756,22.728,-0.000,6,3.79
2oxx,-2.4960,131.207,20.581,-0.000,0,6.7
1oyq,-4.1143,196.610,40.096,10.500,6,6.96
1c70,-7.7224,434.220,64.565,0.250,6,10.3
1b3h,-5.4208,321.500,44.043,14.107,6,6.21
3nik,-2.8137,121.280,29.664,23.714,6,3.45
1cnx,-3.3517,195.780,29.567,0.071,6,7.37
1hn4,-7.2426,441.866,56.714,-0.000,6,3.82
2dw7,-1.3616,89.537,10.686,5.714,3,4.7
1z1h,-5.8867,337.366,49.483,-0.000,6,8.4
1k1l,-3.8053,184.110,36.572,8.571,6,6.9
1nf8,-2.9340,160.220,25.609,7.571,4,7.82
2fdp,-6.3096,310.610,58.358,10.714,6,7.59
1oif,-2.5695,155.354,18.962,10.393,1,7.72
2byr,-5.1233,222.634,52.051,0.036,6,8.55
3fql,-6.6018,353.049,57.262,2.714,6,7.15
3hzm,-0.7432,-14.378,14.081,5.536,3,5.52
3cd7,-5.4594,327.915,44.170,6.000,6,7.84
1lzq,-6.1012,334.000,52.722,6.643,6,8.39
2i19,-1.4440,65.220,15.877,8.429,4,7.8
3isj,-3.1541,129.488,32.758,0.000,4,3.68
1gno,-3.1184,197.634,25.945,0.571,6,7.7
3pcj,-1.9900,134.146,12.828,1.750,0,7.22
1f73,-2.1918,128.171,20.723,1.786,6,2.39
4fm8,-3.4282,144.720,36.691,1.321,6,5.98
4b7r,-2.6077,138.915,24.619,22.821,6,9.64
1c5x,-3.0957,132.085,28.800,9.071,0,6.68
2qnn,-7.6089,393.634,67.284,11.643,6,7.15
3v5t,-4.5662,283.439,36.710,1.107,6,8.22
1g9r,-6.3652,279.280,62.999,7.964,6,5.7
3m3e,-2.2911,142.561,20.525,-0.000,6,4.43
1qka,-5.2166,264.793,47.404,24.429,6,5.92
1l6m,-0.4368,-13.012,7.875,-0.000,0,8.1
3p8p,-2.8062,221.744,18.123,11.214,6,4.55
2cn0,-4.3134,156.659,45.875,11.214,4,7.66
2vmf,-2.7389,118.829,25.864,7.786,1,5.85
1sgu,-6.9641,406.927,56.830,-0.000,6,5.37
2fzk,-1.3659,89.439,12.461,8.821,6,3.6
1uwt,-2.7294,168.244,20.104,1.643,1,5.97
3gqz,-1.5499,59.195,17.112,3.500,3,2.17
1dqn,-2.7901,116.524,29.988,6.250,6,8
2bfq,-5.4508,256.720,52.539,5.179,6,6.89
2rkd,-0.8132,19.793,10.928,8.179,3,2.72
1wuq,-4.6604,206.402,46.207,26.286,6,8.27
1izi,-7.5398,424.415,63.096,-0.000,6,6.59
2baj,-6.2034,397.110,45.146,-0.000,4,8.4
3mhc,-3.2424,132.293,32.486,-0.000,2,7.96
2wl0,-8.3533,485.463,67.630,-0.000,6,7.8
2psv,-5.3531,298.780,46.333,-0.000,6,7.24
4i3z,-1.8943,54.037,25.154,3.393,6,4.29
2fqw,-3.3884,153.610,31.864,5.071,2,6.68
1bv7,-9.2430,500.122,78.783,-0.000,6,10.3
3nw3,-4.3070,178.573,45.429,0.750,6,6.49
3p3r,-2.6181,132.500,23.958,1.643,3,7.25
3hzv,-1.4956,51.415,19.572,6.286,6,6.52
3ru1,-2.0627,83.805,22.383,14.679,4,4.85
1w4p,-1.5312,43.829,20.620,0.393,6,4.74
3sug,-6.1802,330.098,54.575,0.607,6,6.21
2jxr,-5.6422,288.768,51.714,-0.000,6,7.05
4h3j,-4.0208,164.659,40.459,16.714,4,7.05
1li2,-1.9597,123.561,13.716,-0.000,0,4.04
3u7s,-6.2192,380.695,49.007,3.607,6,8.43
4euo,-1.9908,155.317,11.735,11.964,3,5.05
1n8v,-2.8396,214.341,19.942,-0.000,6,6.03
3vhk,-4.3310,260.049,36.125,-0.000,6,4.6
3rdo,-3.3827,214.317,26.599,-0.000,4,9.85
1lkk,-4.4779,207.537,44.062,10.643,6,6.85
2xab,-3.3438,153.488,31.438,-0.000,2,9.27
3fat,-2.7234,154.951,22.458,10.464,3,7.64
3h8b,-7.5052,394.951,66.080,0.393,6,6.29
4aia,-1.9340,77.232,18.622,5.679,0,3.66
3nyd,-2.6463,150.439,20.986,2.393,1,3.48
3aaq,-4.0212,201.427,38.406,4.821,6,3.3
3lbj,-4.6096,318.634,33.200,-0.000,6,4.96
3ewc,-4.6235,278.976,36.068,5.429,4,7.7
3nu3,-6.3895,386.768,50.894,0.071,6,9.82
3g32,-1.0106,11.768,15.074,-0.000,3,3.71
1tuf,-1.7059,106.756,15.983,7.750,6,4.05
3b7i,-1.9503,112.012,16.528,6.214,3,5.82
1o2z,-3.0604,146.049,30.914,8.464,6,6.11
1if7,-3.4232,209.049,28.420,-0.000,6,10.52
1t31,-5.5783,270.122,52.870,3.321,6,8.64
2rcn,-3.8006,179.268,37.535,12.429,6,6
1b46,-4.7575,263.195,41.378,13.607,6,5.28
1k1j,-4.4172,228.098,40.799,9.179,6,7.55
1hp5,-3.1949,179.744,25.551,-0.000,1,6.55
3c52,-1.9491,114.488,17.686,-0.000,4,7.3
2jg0,-5.1004,233.463,47.797,5.000,3,7.82
1c87,-3.1089,164.354,25.178,8.536,0,4.2
3pn1,-3.3350,171.866,31.951,5.393,6,6.96
3t08,-2.1925,92.927,23.775,-0.000,4,3.04
2gvj,-5.0084,272.037,44.471,1.143,6,9.52
4eo6,-3.3588,197.183,27.680,-0.000,4,8.7
1afk,-2.2896,104.073,24.835,5.964,6,6.62
1kpm,-4.1421,269.305,32.287,-0.000,6,5.8
3bft,-2.6608,137.024,23.649,11.214,3,6.49
2pfy,-2.8193,185.000,19.120,8.893,1,6.52
2p3i,-1.7612,102.122,17.649,-0.000,6,3.48
1jcx,-2.3517,50.915,31.875,10.321,6,5.15
2zdk,-4.1947,196.780,40.629,10.607,6,6.37
4std,-4.0356,237.220,32.122,-0.000,3,10.33
2pow,-2.7315,98.902,29.659,0.036,3,7.2
