name,cyscore,cyscore_hydrophobic,cyscore_Vdw,cyscore_HBond,cyscore_Ent,affinity
1zc9,-1.7046,103.524,15.806,6.071,6,3.22
1fzk,-6.0686,266.756,60.364,3.571,6,8.4
2bz6,-4.4880,238.366,40.517,11.321,6,7.09
2std,-4.1286,277.463,29.296,-0.000,4,9.85
1zs0,-4.2558,189.366,43.435,-0.000,6,6.15
1vfn,-1.8415,94.280,15.284,4.929,0,5.6
1sv3,-1.8449,111.354,14.722,-0.000,2,4.74
1fkn,-5.6266,239.512,57.135,5.143,6,8.8
1fh9,-2.8482,161.780,24.414,1.750,4,6.43
2b7d,-4.2454,212.256,40.054,12.607,6,8.7
1nny,-5.1650,259.854,47.687,13.536,6,7.66
2gss,-1.4827,75.195,16.725,2.179,6,4.94
1m2q,-3.2263,168.610,27.261,1.679,1,6.1
1f4g,-3.3089,142.866,35.238,-0.000,6,6.48
1vzq,-4.1909,156.927,43.461,11.143,3,7.44
1a69,-3.1111,139.854,29.574,2.750,2,5.3
8cpa,-4.4354,267.671,36.361,9.143,6,9.15
1elb,-3.6983,191.341,35.114,0.143,6,7.15
1v48,-3.7474,175.902,36.514,13.357,6,7.8
10gs,-3.4328,147.488,36.155,8.107,6,6.4
1sl3,-5.9977,303.024,55.172,0.000,6,11.85
1o3p,-2.9353,154.402,27.129,2.643,4,6.66
3gss,-3.8129,186.085,37.077,8.107,6,5.82
1v2o,-2.5115,93.634,29.117,10.179,6,4.73
1s39,-2.9543,163.805,22.694,16.143,0,7.7
2ceq,-2.9181,172.780,22.009,8.857,1,7.28
1det,-1.7904,76.671,20.016,11.607,6,4.3
1k4g,-2.7823,110.963,29.899,6.893,4,5.85
1f5k,-1.7954,62.232,18.259,8.964,0,3.74
1tsy,-3.0557,148.927,30.080,3.929,6,4.96
2bok,-3.8483,159.305,39.484,9.857,4,6.55
1kv5,-1.3589,57.268,15.865,1.607,4,4.22
1ai5,-2.3941,169.000,16.438,-0.000,3,3.72
2rkm,-2.8251,133.268,28.993,9.214,6,3.9
1e1v,-2.2203,141.488,18.399,0.250,4,4.92
2g5u,-3.5390,243.683,22.939,-0.000,1,8.49
2usn,-3.8566,207.841,35.454,-0.000,6,6.51
4er2,-4.5430,170.110,49.884,-0.000,6,9.3
6std,-4.8199,322.829,34.532,-0.000,4,8.64
2azr,-2.5966,138.085,24.049,5.321,4,3.64
1ppm,-5.1234,215.305,52.925,-0.000,6,5.8
1fki,-4.0021,215.463,32.396,-0.000,0,7
1j16,-2.3820,117.415,20.126,10.893,0,3.84
1kv1,-4.0948,250.976,31.345,-0.000,3,5.94
1fcz,-6.9952,485.256,44.877,1.286,2,9.22
1m0q,-3.2281,135.037,34.848,3.679,6,3.89
1b9j,-4.3170,211.012,41.220,13.036,6,5.96
1b7h,-5.0700,288.537,42.849,14.786,6,8.02
1hk4,-2.6822,141.561,26.175,3.357,6,5.31
2d3u,-3.9627,229.866,32.546,-0.000,4,6.92
1zvx,-4.4941,216.463,43.630,0.929,6,9.22
