name,cyscore,cyscore_hydrophobic,cyscore_Vdw,cyscore_HBond,cyscore_Ent,affinity
3b27,-2.0910,72.963,23.255,5.036,3,5.16
4mme,-4.1928,246.146,32.080,1.000,1,6.5
3arp,-3.8900,175.293,39.806,-0.000,6,7.15
4e5w,-4.7501,248.622,41.113,0.250,3,7.66
3fcq,-2.4351,169.463,17.507,1.929,4,2.77
3b5r,-6.0923,344.695,51.591,-0.000,6,8.77
4gid,-9.0364,487.195,77.128,4.857,6,10.77
3ebp,-3.6001,163.220,33.997,-0.000,2,5.91
3u9q,-2.6472,194.329,19.532,-0.000,6,4.38
3e93,-6.5545,377.329,53.188,0.143,4,8.85
4w9c,-3.6448,211.829,31.301,-0.000,6,4.65
4jia,-2.7373,112.902,29.888,0.429,6,9.22
1nc1,-3.8066,208.561,32.609,5.143,4,6.12
3k5v,-3.7225,221.427,31.896,-0.000,6,6.3
2wer,-3.3841,158.061,30.262,-0.000,0,7.05
2wbg,-3.7742,246.085,29.613,2.536,6,4.45
4w9i,-4.2868,205.000,40.809,-0.000,4,5.96
1gpn,-3.6605,185.183,31.035,0.250,0,6.48
3aru,-2.0333,85.402,22.310,1.286,4,3.22
3dx1,-1.8531,91.354,15.575,10.464,0,3.58
1z95,-5.8590,307.817,52.594,-0.000,6,7.12
4mgd,-4.6367,352.671,27.113,-0.000,3,4.69
2fvd,-3.9988,223.415,35.594,1.714,6,8.52
3pxf,-2.0154,111.439,17.106,1.893,2,4.43
4cr9,-2.7006,136.159,22.781,4.357,0,4.1
5c28,-1.9955,123.756,14.813,0.214,1,5.66
3cyx,-7.1186,376.415,62.696,-0.000,6,8
3gnw,-5.4958,272.805,51.490,-0.000,6,9.1
3f3c,-3.4838,247.390,22.916,0.000,3,6.02
1k1i,-3.6376,173.683,35.999,8.393,6,6.58
1oyt,-3.9000,136.963,41.590,11.893,3,7.24
2al5,-2.9032,166.000,23.665,12.536,3,8.4
3n86,-5.1841,313.098,40.967,-0.000,4,5.64
3uev,-3.3516,284.610,18.881,3.214,6,5.89
2r9w,-3.1443,181.280,26.461,-0.000,4,5.1
4ih7,-2.8502,153.110,24.328,-0.000,2,5.24
3uex,-3.9060,317.073,23.161,0.679,6,6.92
2brb,-3.6780,227.220,29.341,0.107,4,4.86
3kgp,-2.2178,120.634,18.371,1.107,1,2.57
1y6r,-4.8744,288.341,38.307,12.429,4,10.11
3prs,-6.5917,324.061,61.281,-0.000,6,7.82
5c2h,-5.5171,324.622,45.635,0.143,6,11.09
3ivg,-4.5593,201.280,46.406,0.286,6,4.3
3dxg,-0.8081,-19.293,17.645,0.321,6,2.4
2y5h,-4.2190,153.402,45.958,0.000,4,5.79
2xj7,-3.5307,193.415,28.793,0.000,1,6.66
4rfm,-4.6995,229.622,43.864,-0.000,4,10.05
3fv2,-3.3619,188.366,28.371,9.857,4,8.11
3g0w,-5.6371,350.476,41.872,-0.000,3,9.52
1yc1,-3.3851,136.146,34.588,2.893,3,6.17
3ozt,-5.4011,286.268,47.907,-0.000,6,4.13
1w4o,-1.5377,32.305,22.052,1.179,6,5.22
2w4x,-2.8083,154.500,24.165,-0.000,3,4.85
4u4s,-2.8580,152.427,23.913,-0.000,1,2.92
4de3,-2.9913,132.622,29.417,-0.000,3,5.52
3uri,-5.1981,165.134,59.816,3.857,6,9
3fv1,-3.9683,234.549,32.293,9.571,4,9.3
2wca,-3.2750,208.024,27.003,-0.000,6,5.6
1nvq,-5.1850,272.171,44.530,2.393,3,8.25
2w66,-3.0576,175.866,24.628,0.036,2,4.05
3ary,-1.6415,36.024,20.722,0.107,2,6
4msn,-1.4547,71.098,13.242,-0.000,1,4.03
4msc,-3.0774,141.512,30.826,-0.000,4,5.96
2xnb,-3.7622,176.305,35.936,1.786,4,6.83
4mrw,-1.7770,104.280,13.354,0.179,0,3.3
3jya,-3.1837,184.317,24.165,1.750,0,6.89
3up2,-3.2494,160.378,31.994,7.393,6,7.4
2zda,-4.7387,248.000,42.400,11.250,6,8.4
3ueu,-3.1599,288.659,15.751,-0.000,6,5.24
4mrz,-0.7592,19.317,9.316,-0.000,1,3.52
2fxs,-2.6718,148.963,25.280,-0.000,6,6.06
1lpg,-5.7693,284.061,53.712,9.964,6,7.09
1q8t,-2.4373,122.317,22.610,0.071,3,4.76
3qqs,-3.1106,172.707,26.091,7.179,3,5.82
2weg,-2.4985,120.183,22.538,-0.000,1,6.5
3jvs,-3.5813,179.963,33.558,-0.000,4,6.54
3f3e,-2.9618,236.866,16.600,0.036,3,7.7
2qbq,-3.9773,255.341,31.294,6.536,6,7.44
1bzc,-3.9628,166.146,41.845,2.571,6,4.92
1pxn,-3.8133,233.829,29.291,0.286,3,7.15
2j78,-2.8290,183.500,19.732,1.714,1,6.42
1z6e,-6.2872,275.195,62.451,5.536,6,9.72
3zdg,-3.0471,188.280,26.043,0.071,6,7.1
4gfm,-3.3744,203.098,25.981,0.107,2,7.22
4eo8,-3.3715,200.378,27.484,-0.000,4,8.15
2wvt,-2.3686,141.110,18.496,6.893,2,6.12
3nx7,-2.9193,140.695,29.849,-0.000,6,8.1
1syi,-2.9513,163.939,24.593,12.893,3,5.44
4ddk,-2.6792,143.854,21.733,-0.000,0,2.29
2zcr,-4.7038,251.512,42.419,3.000,6,6.87
2xbv,-6.4373,310.963,60.599,-0.000,6,8.43
4de1,-3.0657,128.646,30.717,6.179,3,5.96
4abg,-2.5198,119.939,23.274,5.143,2,3.57
3uuo,-2.3084,110.622,22.119,0.393,3,7.96
4eor,-4.0094,217.854,36.300,4.393,6,6.3
1sqa,-3.6418,125.793,40.412,11.393,4,9.21
3mss,-2.7746,176.707,23.472,-0.000,6,4.66
2p15,-6.1576,373.817,46.642,-0.000,3,10.3
3ejr,-3.6216,181.683,33.016,7.750,4,8.57
3ge7,-4.9450,289.707,39.957,23.000,6,8.7
3zsx,-3.4612,177.927,33.270,0.250,6,3.28
1u1b,-3.5662,108.768,42.900,2.929,6,7.8
4ty7,-4.7090,219.829,46.222,3.964,6,9.52
5dwr,-4.7745,309.963,34.533,6.429,4,11.22
2j7h,-2.3253,139.171,17.770,-0.000,1,7.19
2br1,-3.3482,172.756,32.252,0.071,6,5.14
3utu,-6.4745,297.671,62.254,11.464,6,10.92
3syr,-3.2877,147.854,31.103,4.714,2,5.1
3g31,-1.2346,74.573,10.223,0.607,2,2.89
4kzq,-3.6014,132.927,37.004,-0.000,1,6.1
2xii,-3.9080,165.671,38.300,11.714,3,7.2
4m0y,-2.8566,127.829,28.035,-0.000,3,6.46
1p1n,-2.3799,120.610,22.107,12.000,4,6.8
3coz,-5.3486,306.829,45.312,0.036,6,5.57
2wnc,-3.2711,170.244,30.188,0.750,4,6.32
1uto,-1.3804,42.598,16.071,2.214,2,2.27
3arq,-2.7210,52.195,36.238,0.893,4,6.4
1a30,-3.0314,174.732,27.172,6.321,6,4.3
3kwa,-2.1570,117.732,21.530,-0.000,6,4.08
3qgy,-3.4787,171.341,32.480,0.179,4,7.8
4djv,-4.0358,213.744,35.462,16.500,4,6.72
2xb8,-4.0804,232.159,34.590,-0.000,4,7.59
4eky,-4.0346,245.963,32.107,4.357,4,3.52
3dd0,-2.9172,138.037,28.916,-0.000,4,9
3fur,-5.2558,240.720,51.771,1.286,6,8
2v7a,-4.1183,203.622,39.677,1.714,6,8.3
3e5a,-3.9882,203.098,37.920,0.107,6,8.23
4qd6,-2.6226,142.634,25.312,0.179,6,8.64
3bgz,-3.2705,182.451,26.800,3.286,2,6.26
2zy1,-3.1967,127.878,35.204,4.643,6,7.4
4ivd,-4.2337,240.537,35.813,0.071,4,9.52
3r88,-1.7647,71.866,19.419,1.250,4,4.82
3pyy,-4.2793,230.951,36.399,-0.000,3,6.86
3n7a,-2.4179,153.012,17.467,-0.000,1,3.7
4f09,-3.2737,201.841,24.028,0.964,1,6.7
1s38,-3.0878,155.622,25.559,17.179,0,5.15
4x6p,-6.4000,309.707,60.207,-0.000,6,8.3
2v00,-2.2268,95.268,22.268,12.536,3,3.66
5aba,-2.0871,55.268,25.503,0.071,3,2.98
2vw5,-4.0862,203.439,38.696,-0.000,6,8.52
4agq,-3.5663,154.268,37.607,0.143,6,5.01
3lka,-1.9570,53.171,23.870,-0.000,3,2.82
1ydt,-4.4256,247.866,38.864,1.929,6,7.32
4j3l,-3.8829,178.415,38.723,-0.000,6,7.8
3u8n,-3.9614,249.366,30.812,0.214,4,10.17
3rsx,-2.6650,110.756,25.514,13.679,1,4.41
3rr4,-2.8916,128.012,27.422,12.107,2,4.55
3zso,-4.0608,187.220,40.854,0.250,6,5.12
1nc3,-4.1004,212.585,34.949,10.571,2,5
4agn,-2.4626,70.744,31.543,-0.000,6,3.97
3pww,-6.0508,313.220,54.509,5.464,6,7.32
4ea2,-3.9524,226.744,34.581,0.357,6,6.44
3l7b,-3.0427,120.902,30.923,0.571,2,2.4
2yki,-6.0793,303.512,53.696,4.107,3,9.46
2zcq,-3.9781,222.354,35.419,1.750,6,8.82
1qf1,-5.3470,340.988,41.086,3.536,6,7.32
3ehy,-2.8333,139.134,28.180,-0.000,6,5.85
4ih5,-2.4081,139.695,20.123,0.071,3,4.11
1ps3,-2.8854,152.793,24.268,-0.000,1,2.28
2qbp,-4.4673,224.598,42.017,7.321,6,8.4
2cbv,-2.5815,142.000,20.213,8.036,0,5.48
3gc5,-3.4010,147.232,32.700,22.607,3,7.26
4dld,-2.0820,122.012,19.520,10.214,6,5.82
4ogj,-2.2146,101.793,24.252,0.214,6,6.79
4twp,-4.7495,285.841,39.057,1.679,6,10
3udh,-2.3895,116.293,20.326,11.929,0,2.85
3jvr,-3.4542,191.524,30.952,-0.000,6,5.72
5tmn,-4.3831,218.439,41.555,6.643,6,8.04
3g2n,-3.4596,161.561,32.767,-0.000,3,4.09
3ui7,-2.8062,133.524,27.235,-0.000,4,9
2p4y,-5.9725,337.329,50.730,-0.000,6,9
4ivc,-4.4277,249.402,36.959,0.143,4,10
3uew,-2.6656,190.780,20.148,1.786,6,6.31
2x00,-4.6024,206.817,42.730,0.036,1,11.33
4e6q,-4.2664,246.146,34.401,0.107,3,8.36
4ddh,-2.8604,171.049,23.490,1.786,4,3.3
4kz6,-1.9082,99.049,17.710,-0.000,3,3.1
4agp,-3.4967,145.134,37.690,-0.000,6,4.69
3cj4,-2.9731,167.549,26.158,1.536,4,6.51
3rlr,-4.3415,276.024,32.362,4.679,4,7.52
2qnq,-6.3677,380.671,50.935,9.179,6,6.11
3gbb,-3.3884,219.427,25.094,9.179,4,6.9
1gpk,-3.7516,202.817,30.251,0.393,0,5.37
4wiv,-2.8770,155.585,25.033,0.000,3,6.26
3oe5,-5.3679,286.732,47.981,-0.000,6,6.88
1r5y,-2.5846,117.646,22.822,16.143,0,6.46
2c3i,-3.5019,197.305,30.345,0.071,4,7.6
4f2w,-4.7125,274.280,38.254,12.107,4,11.3
1e66,-4.6470,246.927,38.575,0.893,1,9.89
4gkm,-3.2191,167.707,27.509,10.643,2,5.17
3u5j,-2.8140,110.500,28.261,-0.000,1,5.61
3nq9,-1.0797,87.780,8.870,-0.000,6,4.03
3e92,-5.6872,342.524,44.154,-0.000,4,8
3arv,-2.4185,60.366,27.877,-0.000,0,5.64
3b65,-6.0936,353.732,50.536,-0.000,6,9.27
3d4z,-2.6250,137.659,22.128,4.071,1,4.89
2hb1,-2.3795,142.110,20.420,5.464,4,3.8
3uo4,-2.9595,127.134,30.510,7.750,4,6.52
4ciw,-3.4169,236.561,23.233,-0.000,3,4.82
3gv9,-1.3238,47.610,13.528,-0.000,0,2.12
4jsz,-1.5468,44.390,17.751,-0.000,1,2.3
1h22,-4.8356,228.378,47.188,0.321,6,9.1
1ydr,-2.8618,129.756,27.216,1.393,2,5.52
3f3d,-2.6145,171.939,20.501,0.000,4,7.16
2wtv,-4.0904,192.744,38.200,0.000,3,8.74
2xdl,-2.8807,152.939,26.617,-0.000,4,3.1
4ivb,-3.7310,196.866,32.500,0.071,3,8.72
3kr8,-4.7739,226.915,43.436,-0.000,2,8.1
1p1q,-1.4147,64.415,14.277,9.821,3,4.89
3o9i,-7.6568,454.183,61.254,-0.000,6,11.82
3bv9,-4.4366,217.683,42.255,10.714,6,5.36
4gr0,-7.2881,330.488,70.610,-0.000,6,9.55
3ag9,-4.5370,210.695,44.135,20.714,6,8.05
4k77,-2.6135,132.488,23.329,0.500,2,6.63
1o5b,-3.0491,130.671,28.278,9.429,0,5.77
3p5o,-3.2533,143.402,33.761,-0.000,6,7.26
3tsk,-5.9058,279.951,56.583,-0.000,6,7.17
4jfs,-2.6944,158.061,21.954,3.429,3,5.27
2yfe,-3.7903,229.171,31.958,-0.000,6,6.63
2qe4,-4.4141,291.841,31.723,-0.000,4,7.96
2wn9,-2.4356,106.573,25.058,0.250,4,8.52
1eby,-8.5788,510.793,67.888,-0.000,6,9.7
4hge,-4.7436,283.671,36.862,-0.000,3,7.92
1q8u,-2.8428,123.963,27.599,2.143,2,5.96
4w9h,-4.5687,240.012,41.951,-0.000,6,6.73
3ao4,-3.1581,148.463,28.525,5.143,1,2.07
2vvn,-3.9284,213.963,32.591,3.214,2,7.3
3wz8,-4.3958,201.598,43.972,0.929,6,5.82
4j28,-2.5646,136.195,21.425,4.107,1,5.7
4dli,-3.9973,234.671,31.630,5.857,3,5.62
3ryj,-2.6212,132.463,24.681,-0.000,4,7.8
3gr2,-1.0244,30.585,12.428,-0.000,2,2.52
3acw,-4.2660,264.415,31.622,0.000,2,4.76
3zt2,-3.2546,158.012,28.999,-0.000,1,2.84
4cig,-3.3516,141.232,36.036,0.357,6,3.67
3wtj,-4.5482,285.390,33.828,-0.000,3,6.53
2qbr,-3.4199,191.366,30.820,6.464,6,6.33
1o3f,-2.9293,121.280,28.891,9.036,2,7.96
