name,Gold.PLP.Fitness,Gold.PLP.PLP,Gold.PLP.part.hbond,Gold.PLP.part.metal,Gold.PLP.part.buried,Gold.PLP.part.nonpolar,Gold.PLP.part.repulsive,Gold.PLP.ligand.clash,Gold.PLP.ligand.torsion,Gold.PLP.Chemscore.Hbond,Gold.PLP.Chemscore.CHOScore,Gold.PLP.Chemscore.Metal,affinity
1mq6,96.9907,-98.3036,-1.7436,0,-10.9559,-91.8724,2.4107,0,2.063,0.9377,0,0,11.15
4tmn,91.899,-69.111,-10.6503,-1.9684,-6.5427,-63.595,7.9764,0,3.7081,6.1882,0,1.9399,10.17
1u1b,55.3374,-50.1956,-6.3332,0,-9.4101,-42.4905,3.0658,0,4.8716,3.987,0.9746,0,7.8
1o0h,68.3098,-39.8571,-10.6683,0,-8.392,-25.5232,1.0852,0,1.4975,9.7313,0.7512,0,5.92
2brb,57.9298,-57.6091,-0.5049,0,-3.5401,-54.7172,0.2687,0,1.895,0.4191,0.9511,0,4.86
2baj,92.2721,-87.8828,-4.0349,0,-5.919,-82.4524,2.2889,0,1.7788,2.6489,0,0,8.4
1pz5,81.0312,-83.3649,-4,0,-8.7997,-80.3181,3.5602,0,6.5159,3.566,0,0,5.4
2d1o,83.8102,-61.7163,-7.1302,-1.8738,-3.8277,-59.978,5.9307,0,3.4325,5.653,0,2,7.7
1hk4,47.4958,-49.1115,-1.4546,0,0.154,-47.3519,0.0978,0,1.1682,0.2402,0,0,5.31
2qwd,63.994,-25.4624,-10.4431,0,1.4975,-20.1561,0.2284,0,0.2342,13,0,0,4.85
2drc,75.4407,-56.4529,-6.0778,0,-11.3912,-49.8549,3.8933,0,1.7002,7.4627,0,0,9.89
1f5k,46.307,-32.3231,-4.3304,0,-5.2664,-24.1595,0.2368,0,0,4.6613,0,0,3.74
2d3u,66.1113,-65.2073,-3,0,-1.181,-65.5703,0.2075,0,2.32,1.848,0,0,6.92
2qwb,57.2739,-31.3513,-10.0649,0,-2.0014,-19.0806,0.1695,0,1.2626,9.4826,0,0,2.74
3std,95.6927,-97.3828,-2.9353,0,-6.7701,-90.5758,0.0725,2.2085,1.2033,0.975,0,0,11.11
1nny,99.9462,-85.2615,-13.5599,0,-7.0993,-73.183,0.2049,0,7.4558,9.8654,0,0,7.66
1syh,89.1064,-55.3613,-12.765,0,-3.3175,-41.6522,0.4993,0,0.2056,11.3854,0,0,6.31
1pr5,51.4885,-45.0015,-4.8908,0,-6.0343,-38.5382,0.2885,0,0.9288,2.7815,0,0,3.92
2f80,73.3347,-71.8903,-7.3405,0,1.4808,-70.5659,1.1382,0,3.4978,2.8133,0,0,8.18
1f4g,66.4781,-71.0358,-4.9982,0,-10.5316,-60.4284,0.3574,0,4.833,1.7028,0,0,6.48
1ftm,71.4002,-44.0555,-9.864,0,-6.4234,-29.7858,0.4336,0,0.4802,9.435,0,0,7.61
2bak,109.8139,-102.433,-3.9083,0,-7.6207,-96.9943,0.4854,0,1.8003,2.6605,1,0,7.43
1o3p,54.4274,-54.2769,-4.6147,0,-7.8695,-45.0555,0.5194,0,0.5859,0.4408,0,0,6.66
1pbq,66.716,-51.6979,-3.9316,0,-6.9768,-42.8669,0.1329,1.1879,0,5.402,0,0,6.27
1jys,35.179,-28.3445,-2,0,-5.1227,-21.5292,0.4724,0,0,1.2782,1,0,3.52
1lol,64.1796,-41.8981,-10.2212,0,-9.4473,-24.6636,0.3208,0,0.5292,7.78,0,0,6.39
1g7q,87.59,-75.6357,-13.32,0,0.2502,-64.0244,0.8773,0,4.6611,7.0922,0,0,6.06
1det,45.8005,-33.38,-6.7867,0,-7.2767,-23.2944,0.4256,0,0.9247,4.7566,0,0,4.3
2bz6,91.9184,-75.9224,-7.1418,0,-13.1175,-58.5348,0.6422,0,0.4826,5.6538,0,0,7.09
2brm,49.5121,-47.9659,-1.4304,0,-2.4202,-48.0226,0.2286,0.2554,1.8332,0.8226,1,0,5.89
1fkn,94.6171,-94.5548,-14.5457,0,-9.1709,-78.541,0.6801,9.7296,7.5466,8.2951,0,0,8.8
1ndz,73.3806,-71.5449,-3.4884,0,-4.6494,-75.7119,4.0379,0.0275,1.8467,1.8125,0.0397,0,8.11
1j17,88.474,-92.3488,-0.2126,0,-8.3164,-90.1521,0.1637,0,1.9374,0,0,0,5.22
1j16,50.4851,-35.9101,-4.4755,0,-5.2102,-28.3048,0.2848,0,0.2125,5,0,0,3.84
1ajp,25.3585,-26.5124,-2.0326,0,-1.752,-28.1745,0.182,1.9539,0.368,0.512,0,0,2.23
2h3e,107.7159,-47.9262,-21.8699,0,-10.4663,-23.1698,3.8578,0,0.5214,20.2775,0,0,5.7
1e1v,50.1243,-43.7364,-1.9895,0,-8.2591,-36.3817,0.4285,0,0.4135,2.405,0,0,4.92
1ela,62.8819,-59.4506,-4.3844,0,9.7253,-65.3829,0.3713,0,2.5039,2.813,0,0,6.36
4er2,81.331,-77.5054,-9.909,0,-9.6583,-62.4662,0.4869,0,4.2677,4.1203,0,0,9.3
2ayr,106.5893,-101.0813,-3.781,0,3.4467,-101.7232,0.3508,0,2.8485,3.735,0,0,9.29
1q7a,35.6899,-41.1263,0,0,-2.6264,-41.5962,0.1781,0,2.7182,0,0,0,7.19
2d3z,67.629,-65.3756,-4,0,-2.8399,-61.8056,0.1018,0,1.8613,1.992,0,0,6.64
2cer,63.9163,-51.919,-10.8467,0,1.4663,-48.6418,0.009,9.1704,0.2878,7.2478,0,0,9.22
1fki,65.1485,-62.1485,-2.0942,0,-7.0028,-55.6704,0.3923,0,0,1,0,0,7
2j77,51.1299,-32.0866,-10.3746,0,2.2665,-26.6234,0,0,0.0064,6.352,0,0,4.89
1u33,69.1737,-53.4828,-11.1831,0,-0.5236,-50.0288,7.1184,0,2.691,7.0243,0,0,4.6
1pxo,41.7966,-38.3241,-1.9691,0,-1.2943,-48.4082,9.4498,0.2579,1.7416,1.7898,0.6148,0,8.7
1sv3,27.6897,-26.8136,-0.819,0,-4.0109,-25.0024,0.1944,0,0.0104,0.299,0,0,4.74
2cgr,92.9836,-84.3389,-3.9755,0,-9.7864,-70.959,0.4011,0.8859,1.0566,3.8813,0,0,7.28
1bma,72.1144,-68.1136,-3.668,0,9.8348,-77.0512,0.3525,0,1.9274,2.6185,0,0,4.59
1sl3,104.5862,-101.978,-4.216,0,-9.0476,-93.3241,1.276,4.3191,2.5364,3,1,0,11.85
1ppm,85.6563,-81.8814,-10.0808,0,-10.2015,-68.534,5.0106,0,4.9595,4.5646,0,0,5.8
1y6q,94.5952,-74.572,-5,0,-12.6084,-60.3669,0.5478,0,0.3804,5.928,1,0,11.7
1fd0,103.2897,-104.4078,-1.738,0,-5.8105,-100.9811,0.0672,5.3833,0.9812,2.0759,0,0,8.4
1d7j,26.8693,-24.4775,-1,0,-1.6745,-21.9425,0.0194,0,0.3041,1,0,0,3.3
1nfy,77.9774,-78.0954,-1.1045,0,-7.0431,-76.4752,0.3036,0,1.559,1,0,0,8.89
2std,56.7438,-59.2169,-1,0,-1.9217,-56.9679,0,0,1.2365,0,0,0,9.85
2b7d,74.7635,-80.8281,-9.8713,0,-11.3003,-63.5223,0.5304,21.3601,2.3504,6.6654,0,0,8.7
1v2o,55.1012,-44.1585,-6.8973,0,-5.0982,-35.2986,0.4411,0,3.0366,5.672,0,0,4.73
1nje,59.2125,-34.6809,-14.3224,0,-2.904,-23.7439,0.4399,0,0.6492,8.61,0,0,3.8
1nhu,48.3483,-50.7796,-2.4724,0,-3.9072,-46.8728,0.0537,0,3.5471,1.5543,0,0,5.66
1zvx,75.6919,-66.7323,-4.0318,-0.7283,-2.4207,-63.8236,3.5105,0,2.8796,2.9063,0,1,9.22
1flr,95.0716,-93.8452,-3.8817,0,-11.2092,-82.5563,0.1683,0,2.3028,1.944,0,0,10
1g7f,89.3028,-62.7392,-11.1386,0,-4.8297,-49.9198,0.2326,0,3.5442,11.2173,0,0,5.47
6rnt,42.538,-24.3513,-7.7911,0,-5.4384,-18.7722,5.7875,0,1.8054,5.6915,1.5743,0,2.37
1ai5,26.5212,-33.2399,-1.8414,0,1.6299,-34.9395,0.3528,9.9328,0.4202,1.3515,0,0,3.72
1a69,52.1738,-44.6263,-4.5955,0,-9.221,-37.0958,4.0553,0,0.164,2.6251,0,0,5.3
2usn,58.4333,-42.3821,-2.9825,0,1.2204,-50.4354,4.5748,1.2625,1.8432,3,0,2,6.51
1b8o,66.6297,-48.1406,-6.6647,0,-8.6749,-36.2637,0.4494,0,0.5569,5.65,0.8843,0,10.64
1x1z,86.4237,-47.1749,-12.9669,0,-7.1819,-31.0499,0.9121,0,0.7606,13.59,0,0,11.06
3pcj,43.8385,-29.6046,-1.1384,-1.5919,5.4183,-35.0751,0.1286,0,0.0002,0.7546,0,1.9951,7.22
8cpa,60.5638,-47.5424,-9.1056,-0.5996,-0.0158,-46.2831,6.6059,0.3565,2.2954,3.9896,0,1,9.15
1hi4,38.9778,-28.9019,-7.1768,0,-0.5383,-30.3341,6.4736,0,2.4726,4.6375,0.3696,0,4.49
2ctc,54.0717,-36.2364,-4.6151,0,-3.0279,-29.5484,0.023,0,0.6103,6.352,0,0,3.89
1uwt,37.8835,-23.9415,-8.7877,0,2.919,-27.3366,5.9654,0,0.2308,4.8013,0,0,5.97
2gss,29.3574,-33.7552,-0.9711,0,-1.1519,-34.1024,0.0568,0,2.7605,0.3744,0,0,4.94
1tsy,51.0439,-36.746,-10.9844,0,-2.8381,-25.7282,0.5222,0,0.4563,5.0701,0,0,4.96
2g8r,27.6599,-26.9337,-2.6579,0,-1.1959,-27.2565,1.1595,0,1.6208,1.3226,0,0,3.99
1vzq,94.7243,-77.8279,-5.6932,0,-9.3984,-66.1308,0.7054,0,1.3118,6.5067,0,0,7.44
1m0n,78.8714,-55.3044,-10.1947,0,-2.7182,-43.489,2.6605,0,1.4993,8.8552,0,0,2.22
1m2q,53.507,-50.1084,-3.4975,0,6.0257,-52.8057,0.284,0,0,1.1329,0,0,6.1
1kv1,67.6047,-59.9695,-3,0,-7.0718,-51.4783,0.1845,0,0.6824,3,0,0,5.94
1fcz,104.732,-100.3061,-1.6636,0,-2.4821,-100.7154,0.0754,0,0.655,1.912,0,0,9.22
2g94,124.1827,-110.0836,-10.813,0,-12.6377,-92.5672,0.5892,0,3.7005,7.1667,0,0,9.52
6std,60.2679,-64.2154,-1,0,-2.5411,-61.7157,0,0,1.9737,0,0,0,8.64
1trd,31.9648,-19.2241,-8.1257,0,-0.1038,-11.4355,0.3708,0,0.8296,4.8,0,0,5.4
5er1,59.6321,-63.0371,-6.7414,0,-4.7296,-53.846,0.147,0.2917,4.8788,2.2148,0,0,6.02
1if7,49.8138,-39.8007,-4.1846,-0.6323,-1.1537,-35.9061,0.0678,5.2012,2.1843,2.3203,0,2.1037,10.52
1kv5,32.9603,-16.0621,-7.3962,0,-1.2586,-13.2299,2.3664,0,0.8657,6.2099,0,0,4.22
1fh8,64.7454,-44.1024,-9.7675,0,-3.9152,-33.601,1.0267,0,0.3422,7.1091,0,0,6.89
3gss,87.5191,-73.8681,-8.8344,0,-5.1124,-64.7814,1.3819,0,4.4905,7.544,0,0,5.82
1ndy,60.2467,-55.0583,-3.0455,0,-3.6581,-53.5521,2.3566,0,1.2,2,0.5295,0,6.17
1tok,56.2115,-28.5088,-6.5161,0,-7.3782,-16.0765,0.0765,0,0.7406,9.728,0,0,2.47
2g5u,48.6321,-49.7318,0,0,-2.7832,-48.1295,0,0,0.5498,0,0,0,8.49
1bxo,102.3225,-87.0434,-10.5134,0,-12.0566,-73.498,5.7685,0,1.0144,5.7693,0,0,10
1s39,58.3766,-44.5886,-4.7701,0,-5.985,-40.9347,3.481,0,0,4.596,0,0,7.7
1om1,72.5552,-65.047,-1.6812,0,4.7149,-70.7672,0.2772,0,0.1702,2.6162,0,0,6.77
1olu,118.9856,-70.2671,-7.1311,-2,-8.8615,-59.4781,4.1186,0,1.1981,8.0383,1,4,4.41
1toi,62.717,-43.8075,-5,0,-6.5922,-34.2536,0.077,0,0.4062,6.574,0,0,4.05
1zoe,44.4538,-44.4986,0,0,-0.9129,-45.3084,0,0,0.0224,0,0,0,7.4
1zc9,29.1781,-19.8751,-2.6007,0,0.0518,-26.5148,7.5551,0,0.3847,3.3575,0,0,3.22
1df8,72.0475,-64.0295,-5.3606,0,-6.6483,-54.0827,0.3473,0,0.491,3,0,0,9.7
4tim,21.7177,-19.3025,-7.3677,0,0.3431,-13.2212,0.3141,12.0385,1.9502,6.118,0,0,2.16
1zs0,75.037,-67.5004,-4.1284,-0.6491,-1.8114,-62.7258,0.4876,0,3.2153,2.6558,0,1,6.15
2rkm,70.6149,-53.2062,-8.9525,0,-10.7668,-37.6719,0.548,0,2.6715,7.5839,0,0,3.9
1ols,122.3272,-65.4483,-8.5143,-1.9992,-8.0922,-62.2939,4.5896,0,1.4646,10.936,1,4,5.82
1fzk,105.6965,-117.7377,-9.612,0,-19.9801,-95.7083,0.3359,14.8037,6.1811,5.0416,0,0,8.4
1fkb,87.1237,-77.8457,-5.0442,0,-6.2347,-70.0393,0.3428,0,1.349,3.992,0,0,9.7
1k4g,50.9917,-46.2809,-2.3176,0,-5.0534,-42.7364,2.889,0,0.5606,1.944,0,0,5.85
1f4f,45.5122,-53.6022,-1,0,-6.15,-48.924,0.2131,0,4.6838,0.4259,0,0,4.62
1toj,64.1187,-44.9144,-5,0,-7.2159,-33.8696,0.0844,0,0.3938,6.664,0,0,3.39
1elb,41.7312,-46.8061,-3,0,3.4081,-58.05,3.1172,0,3.9257,0.9255,0,0,7.15
1fzj,131.0492,-118.373,-11.9181,0,-16.7045,-96.3855,0.5535,0,6.0432,8.2542,0,0,8.1
1ttm,41.6036,-27.9087,-1.5416,-0.9273,3.2854,-30.7155,0.0867,0,0.6525,1,0,2,7.35
1v16,119.2478,-63.4927,-8.7158,-1.847,-7.0202,-60.3503,4.0489,0,1.1943,10.3813,1,4,3.87
1jaq,40.4252,-25.4754,-4.4633,-1.8711,0.2193,-26.657,3.382,0,1.4532,1.9525,0,1.9998,4.48
10gs,78.63,-64.7406,-9.3098,0,-4.7224,-54.2163,0.755,0,3.2613,6.804,0,0,6.4
1k9s,69.561,-57.06,-7.5276,0,-10.6236,-44.5842,0.5421,0,0.1495,4.2667,0,0,6.52
1ndw,45.482,-45.0058,-3.3669,0,-0.5371,-47.9546,3.1221,6.9437,0.6063,1.8775,1,0,5.23
2azr,67.8606,-52.0497,-5.1953,0,-6.5003,-43.2891,0.1399,0,0.8397,5.8301,0,0,3.64
1vfn,30.4148,-21.8228,-2.3024,0,-5.3721,-18.4928,2.3653,0,0,1.864,1,0,5.6
2ceq,63.8744,-42.8054,-11.3801,0,-0.3774,-31.2574,0.016,0,0.0192,7.0358,0,0,7.28
2bok,86.1076,-74.8834,-5.0508,0,-5.4377,-67.8889,0.3585,0,1.1727,4.5232,0,0,6.55
1tmn,98.4498,-55.5602,-10.5524,-1.7603,-3.8593,-47.1721,4.6293,0,2.6689,8.0758,0,4,7.3
1b7h,106.0765,-77.2816,-11.6261,0,-8.3503,-60.2123,0.7163,0,2.7553,11.4351,0,0,8.02
1nja,55.4451,-36.8435,-10.3004,0,-5.4396,-23.9015,0.2206,0,1.0791,6.9199,0,0,6.31
1v48,73.6487,-55.2142,-8.0875,0,-7.945,-44.4014,0.5305,0,1.2372,6.9263,0.0433,0,7.8
1fcx,105.5366,-105.7004,-1.5615,0,-5.4417,-102.4579,0.0505,2.3598,1.242,1.56,0,0,7.19
1fh7,58.2095,-40.3292,-9.5243,0,1.6698,-34.5779,0.214,0,0.2912,6.1542,0,0,5.24
1ajq,42.744,-37.4405,-2.786,0,-1.1554,-35.8488,0.1238,0,0.5991,2.1672,0,0,4.31
1pb9,40.0189,-25.001,-8,0,-4.429,-18.4734,2.7891,0,0,5.006,0,0,3.62
1avn,7.313,-5.8438,-1.5711,0,-0.7942,-3.4792,0.1795,0,0.5614,0.864,0,0,3.9
3pce,23.9391,-24.4658,-2.3964,-0.7113,5.3631,-30.9936,0,0,0.3785,0.0768,0,0,2
1dhi,74.817,-59.5079,-5,0,-10.9237,-46.1472,0.4018,0,1.5392,6.1292,0,0,7.26
1d09,98.5781,-49.3457,-20.1774,0,-10.5795,-21.2898,0.5846,0,1.0697,17.1239,0,0,7.57
1fh9,59.1172,-41.0506,-14.7666,0,-2.4059,-34.8002,6.3327,0,0.4312,6.3097,0,0,6.43
1m0q,75.07,-52.2129,-10.6229,0,-5.9861,-40.5314,3.68,0,0.6552,8.0558,0,0,3.89
2fzc,12.0336,-18.2876,-9.4432,0,1.6539,-14.0795,1.5112,13.7477,2.1185,3.9103,0,0,2.7
1loq,67.8657,-37.7505,-9.9127,0,-5.2232,-24.9575,0.2775,0,0.1482,9.169,0.9682,0,3.7
2qwe,72.5608,-34.8478,-13.3695,0,-1.0588,-23.8606,0.3908,0,0.7301,13.0577,0,0,7.48
2d0k,71.3695,-51.8977,-4.3144,0,-8.4333,-43.2434,0.4928,0,2.3975,7.0889,1,0,5.02
1hfs,174.7237,-147.7441,-6.0402,-1.4752,-6.5222,-144.4026,4.1594,0,4.102,4.1424,0,3.7927,8.7
2fdp,124.1905,-102.5905,-10.6979,0,-2.3847,-96.9063,0.3342,0,4.0104,9.8736,0,0,7.59
1f4e,37.1403,-39.9407,-2.3108,0,-4.2388,-34.3054,0.142,0,2.1646,0.5096,0,0,2.96
1b9j,109.28,-75.6701,-12.4095,0,-10.9468,-56.8243,0.655,0,2.7376,13.0284,0,0,5.96
1rnt,45.1975,-27.9299,-7.2465,0,-6.6223,-27.3064,9.2717,0,1.1117,6.497,0,0,5.19
4tln,15.8801,-4.6733,-2.2851,-1.6372,13.0435,-15.0595,1.3718,0.0003,1.1076,0.4741,0.0000,2.0000,3.72
