name,Gold.PLP.Fitness,Gold.PLP.PLP,Gold.PLP.part.hbond,Gold.PLP.part.metal,Gold.PLP.part.buried,Gold.PLP.part.nonpolar,Gold.PLP.part.repulsive,Gold.PLP.ligand.clash,Gold.PLP.ligand.torsion,Gold.PLP.Chemscore.Hbond,Gold.PLP.Chemscore.CHOScore,Gold.PLP.Chemscore.Metal,affinity
8abp,63.6444,-39.4931,-10.5063,0.0000,-7.1283,-23.3595,0.0991,0.0000,0.0743,8.1000,0.0000,0.0000,8
1mmp,87.5500,-55.6978,-4.0000,-1.2435,-4.3515,-54.1979,5.8567,0.0000,0.7038,4.0000,0.0000,3.5433,6.07
2ivu,79.0064,-74.9181,-1.0000,0.0000,-5.5157,-72.3201,0.2494,0.0000,0.9558,1.0000,1.0000,0.0000,6.43
1vja,82.9283,-64.2178,-11.3228,0.0000,-2.1054,-56.9619,0.6893,0.0000,2.7255,8.0538,0.0000,0.0000,7.7
2f8i,10.3084,-13.1825,-0.9803,0.0000,4.3213,-19.6932,0.0000,0.0000,1.4370,0.0000,0.0000,0.0000,7.26
830c,63.2089,-50.5573,-2.5188,-1.3633,0.9829,-68.8971,6.9169,0.0000,2.1004,1.6175,0.0000,2.0000,9.28
1af6,63.0664,-38.5951,-11.6047,0.0000,-5.6724,-25.4088,0.0883,0.0000,0.5419,8.5183,0.0000,0.0000,1.82
1q63,64.2251,-47.2973,-6.8621,0.0000,-3.5590,-41.4960,3.0719,0.0000,0.3561,5.8800,0.0000,0.0000,5.85
1w7x,92.9128,-91.0560,-7.1648,0.0000,-12.8009,-77.2613,2.2775,0.4403,2.3110,2.3064,0.0000,0.0000,8.4
1mhw,81.8007,-77.3172,-5.6748,0.0000,-5.4779,-70.3363,0.6711,0.0000,3.8210,4.0418,0.0000,0.0000,7.35
1jd5,81.9643,-73.1945,-7.0704,0.0000,-5.1296,-67.9673,1.8100,0.9504,4.7468,6.4047,0.0000,0.0000,6.62
1uxb,28.5826,-26.4931,-3.0469,0.0000,-4.3361,-21.3077,0.1866,2.8051,1.8367,2.8560,0.0000,0.0000,2.15
1icj,43.6344,-51.3718,-2.0000,0.0000,-4.7863,-47.4262,0.4698,0.0000,5.3687,1.0000,0.0000,0.0000,2.22
1obx,49.8036,-45.0067,-4.1802,0.0000,-6.0490,-37.6790,0.2457,0.0000,3.6016,4.0000,0.0000,0.0000,5.72
1o3k,65.6496,-55.1975,-7.1604,0.0000,-10.4377,-39.9814,0.3017,0.0234,0.0451,3.5220,0.0000,0.0000,6.77
2bsu,93.5409,-90.2811,-16.4032,0.0000,22.7923,-114.2449,0.5914,6.5012,6.6710,7.7010,0.0000,0.0000,5.66
1agm,111.8380,-88.1821,-11.5474,0.0000,-14.8100,-66.0138,0.1177,0.0000,3.1901,10.0120,0.0000,0.0000,12
1gny,61.4610,-55.2663,-5.0000,0.0000,-10.8116,-40.5307,0.3082,0.0000,3.2926,4.2600,0.0000,0.0000,4.14
1we2,19.8943,-8.8347,-7.6064,0.0000,17.4808,-16.5646,0.0994,0.0000,0.4102,3.9600,0.0000,0.0000,4.36
1z3t,56.0296,-47.1309,-7.3249,0.0000,-11.4291,-29.5309,0.1936,0.0000,1.0354,3.6565,0.0000,0.0000,3.94
1o2g,54.9152,-64.6380,-3.4049,0.0000,-3.6480,-57.9586,0.2274,15.4305,1.3558,2.8064,0.0000,0.0000,6.12
1m9n,81.1451,-50.3299,-12.6068,0.0000,-1.6673,-47.5401,0.9729,0.0000,1.2336,10.0941,1.0000,0.0000,6.92
1o2x,34.9444,-48.5363,-7.7291,0.0000,-3.1235,-42.6435,0.1664,13.5736,1.6204,1.0742,0.0000,0.0000,5.85
1o0o,33.0433,-21.6006,-5.0000,0.0000,-5.9862,-12.5023,0.4710,0.0000,1.7427,4.9760,0.0000,0.0000,5.1
7abp,56.5943,-34.9118,-9.8005,0.0000,-5.0550,-22.3429,0.0597,0.0000,0.0000,7.2275,0.0000,0.0000,6.46
1f2p,84.8435,-36.5228,-4.0000,-2.8225,1.4480,-37.1978,2.9785,0.0000,0.2004,4.6560,0.0000,5.7922,1.9
1gjb,40.0314,-61.0103,-3.9850,0.0000,-10.9381,-47.5752,0.2484,18.4141,1.3838,0.0676,0.0000,0.0000,6.35
1ykp,18.0213,-12.0218,0.7882,-0.6900,0.5378,-20.2807,0.0000,0.0000,0.0002,0.0000,0.0000,1.0000,2.96
1joc,52.1991,-26.2886,-11.0521,0.0000,-5.4095,-12.7484,0.2543,0.0000,1.6044,9.7064,0.0000,0.0000,4.62
1dqx,49.7688,-32.9798,-15.0110,0.0000,4.4580,-30.3258,3.0010,0.0000,0.4483,5.8952,0.0000,0.0000,11.05
1a7x,109.4538,-101.4122,-5.8774,0.0000,-10.0126,-90.3796,1.0961,0.3477,1.7922,3.9913,0.0000,0.0000,9.7
2hs2,68.3624,-65.1695,-7.6244,0.0000,5.2047,-69.7154,0.7557,0.0000,3.3888,3.3235,0.0000,0.0000,8.31
1f8a,75.6076,-69.9688,-7.0713,0.0000,-7.0109,-59.0999,0.1391,0.0000,6.6748,6.3295,0.0000,0.0000,5
2f5t,97.7307,-64.6805,-14.9487,0.0000,-14.4616,-40.0946,0.3738,0.0000,0.7901,11.5435,0.0000,0.0000,5.17
1ofz,43.8337,-29.0017,-5.3809,0.0000,-4.0317,-19.2967,0.0000,0.0000,0.0000,4.9440,0.0000,0.0000,4.62
1af2,81.9819,-59.0516,-6.5495,-0.8279,-3.7832,-49.3290,1.4820,0.0000,0.3848,5.9000,0.0000,1.0000,3.1
1qq9,72.9530,-27.4452,-4.0000,-2.2386,1.6262,-28.8384,3.3164,0.0000,0.8360,4.6400,0.0000,5.5433,2.06
1lrt,67.9383,-49.4367,-11.7252,0.0000,-3.1659,-39.2632,0.5727,0.0000,1.7005,7.3009,0.0000,0.0000,5.64
1m13,80.1071,-79.7347,-2.6896,0.0000,0.3974,-78.9910,0.0745,0.0000,2.3938,1.7200,0.0000,0.0000,7.57
1pr1,49.0080,-40.0275,-4.5823,0.0000,-7.7767,-32.5873,1.0778,0.0000,0.8566,3.5646,0.0000,0.0000,5.3
2er6,98.8245,-95.6572,-8.6287,0.0000,-5.1973,-80.9555,0.7338,0.0000,8.8408,6.9496,0.0000,0.0000,7.22
1q95,107.3599,-47.2082,-20.7546,0.0000,-8.4480,-23.0154,0.4841,0.0000,0.8288,20.6031,0.0000,0.0000,7.57
1h9z,56.1466,-58.8831,-1.0000,0.0000,-4.9247,-53.4031,0.2507,0.0000,1.4400,0.0478,0.0000,0.0000,5.42
1jqe,90.3693,-92.4195,0.0000,0.0000,-7.3574,-92.3827,0.0426,0.0000,1.0251,0.0000,0.0000,0.0000,6.44
1a42,59.8414,-45.1344,-4.0000,-0.7224,-1.5176,-41.1949,0.0604,0.0000,1.8627,1.6874,0.0000,2.2284,9.89
1g3c,52.0834,-27.5603,-6.3299,-2.5072,4.2437,-28.7222,0.1177,0.0000,1.6899,1.3010,0.0000,4.0000,5.8
1axz,38.0690,-27.7039,-6.0000,0.0000,-2.9834,-20.8928,0.0000,0.0000,0.0192,3.4678,0.0000,0.0000,3.2
1r0x,91.2442,-43.4407,-10.8335,-1.6932,-4.6639,-30.5080,0.2667,0.0000,2.2788,9.4537,0.0000,4.0000,3.83
1pu8,42.0109,-40.5325,-1.0000,0.0000,-6.8438,-36.8961,0.1226,0.0000,0.0000,0.4928,0.0000,0.0000,3.1
1pbk,75.7768,-66.3330,-7.0000,0.0000,-8.1953,-58.4219,1.5704,0.0000,2.3941,4.7440,0.0000,0.0000,9.05
2adm,47.2046,-45.2938,-3.4722,0.0000,-1.5066,-42.5291,1.4540,0.0000,1.9108,1.9108,0.0000,0.0000,5.7
1z4n,55.1929,-38.4629,-6.6097,0.0000,-11.4579,-24.4804,0.4799,0.0000,0.9796,6.2298,0.0000,0.0000,4.52
1rdi,34.2642,-16.1377,-6.3680,-2.0000,2.1326,-10.9469,0.1162,0.0000,0.0805,2.2188,0.0000,1.9386,2.06
1qpb,8.8103,-7.9329,-2.5430,0.0000,1.5470,-6.1038,0.4329,0.0000,0.0000,0.2925,0.0000,0.0000,1.36
2dua,46.5512,-10.7826,-6.0880,-1.8196,3.6607,-7.9834,0.1902,0.0000,0.0915,3.9839,0.0000,4.0000,4.77
1tsl,30.0194,-32.9897,-1.0946,0.0000,2.6405,-37.8538,0.5877,0.4386,1.9991,0.4888,0.0000,0.0000,6.15
1gi6,44.5772,-47.4079,-4.8777,0.0000,-7.6845,-39.4070,0.2153,12.5642,0.3324,3.4661,0.0000,0.0000,6.22
1caq,117.8778,-102.4882,-2.0000,-0.7392,-5.0059,-100.7779,3.9540,0.0000,3.3575,1.5280,0.0000,2.9201,7.72
1urg,66.6190,-59.3393,-7.2297,0.0000,-8.7450,-46.1660,0.0241,0.0000,1.4859,3.4171,0.0000,0.0000,5.82
1xzx,74.5891,-72.1032,-2.5601,0.0000,-5.8989,-67.2146,1.8533,0.0000,1.5478,1.8605,0.0000,0.0000,10.22
3tlh,30.5741,-26.9003,-4.1869,0.0000,-1.6612,-26.7486,4.6883,0.0000,2.3443,2.7875,0.0000,0.0000,8.82
1tnk,36.4386,-29.1874,-2.0000,0.0000,-1.1436,-27.9748,0.1795,0.0000,0.2864,2.6080,0.0000,0.0000,1.49
1utc,97.0072,-80.6341,-7.4552,0.0000,-9.2577,-68.8242,0.3117,0.0000,4.4793,8.4439,0.0000,0.0000,4.55
1o9d,98.5702,-57.4989,-12.2441,0.0000,-8.3527,-40.0228,0.9794,0.0000,3.2526,15.8588,0.0000,0.0000,5.6
220l,30.1911,-30.1911,0.0000,0.0000,-0.2424,-31.0403,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.4
1o8b,54.8171,-32.9642,-13.7814,0.0000,-4.7398,-16.4036,2.0231,0.0000,0.1578,7.3895,0.0000,0.0000,2.68
1vjc,78.8213,-46.6552,-3.9880,-1.8851,-6.9651,-35.4414,0.8218,0.0000,1.1189,3.0487,0.4192,4.0000,3.58
5abp,61.6007,-37.6814,-9.9369,0.0000,-8.0057,-23.1754,0.0899,0.0000,0.0833,8.0286,0.0000,0.0000,6.64
1sri,36.9857,-36.3588,-0.5252,0.0000,13.4111,-51.4182,0.2145,0.0000,0.7540,0.7116,0.0000,0.0000,6.08
1sts,48.4955,-63.0582,-4.9214,0.0000,-11.7621,-47.9292,0.2044,3.0154,7.1630,0.9263,0.0000,0.0000,5
1rgl,31.6689,-14.1288,-5.0684,0.0000,-2.4002,-16.6920,5.5582,0.0000,0.8059,6.3840,0.0000,0.0000,4.43
2fkf,51.3788,-17.5298,-10.7253,0.0000,-3.7024,-6.6363,0.3960,0.0000,0.4394,11.5760,0.0000,0.0000,2.92
1awi,96.5124,-102.6435,-7.8396,0.0000,-8.4554,-91.4406,0.1140,0.0000,5.3852,1.5464,0.0000,0.0000,4.05
1zsr,99.1863,-83.7543,-11.6116,0.0000,5.1967,-84.9176,3.9012,0.0000,3.3261,7.3614,0.0000,0.0000,9.82
2g00,104.3163,-108.3799,-2.8428,0.0000,-0.1122,-110.7534,1.2017,3.4299,4.5244,2.8050,0.0000,0.0000,9.74
1ga8,37.6228,-34.1442,-2.4232,0.0000,-5.5066,-27.9849,0.0397,0.0000,0.8575,1.7313,0.0000,0.0000,1.8
1ws5,47.2733,-35.5644,-7.0000,0.0000,-5.0311,-27.7937,0.0028,0.0000,0.0278,3.9215,0.0000,0.0000,3.03
1rej,88.8398,-76.4879,-6.7827,0.0000,-7.9816,-67.0538,0.4354,0.0000,0.7468,4.6152,0.0000,0.0000,8.3
3pcb,26.8625,-26.2597,0.4660,0.0000,0.5387,-30.5988,0.0000,0.0000,0.0002,0.2011,0.0000,0.0000,2.4
1me8,54.3286,-36.2634,-10.0798,0.0000,-6.6009,-24.1120,0.3437,0.0000,0.7162,6.4992,0.0000,0.0000,7.19
1b6m,112.9690,-89.8798,-6.8730,0.0000,-8.1565,-77.6820,0.5161,0.0000,1.1451,8.4598,0.0000,0.0000,8.4
1gz9,58.2005,-46.2816,-8.0000,0.0000,-8.4011,-33.6279,0.0052,0.0000,1.1249,4.7229,0.0000,0.0000,3.51
5tln,36.2832,-36.7892,-4.5738,-1.8776,-1.3187,-41.0765,4.7278,15.5215,2.2429,2.5004,0.0000,2.0000,6.37
1sgx,54.1843,-35.0811,-7.5849,0.0000,-7.8476,-22.0619,0.6978,0.0000,1.2613,7.2086,0.0000,0.0000,5.8
1owd,68.9559,-54.3084,-7.3871,0.0000,-9.0506,-40.4357,0.1148,0.0000,1.6583,5.9880,0.0000,0.0000,8.2
2a31,25.5011,-23.4053,-6.0695,0.0000,-3.3287,-14.7649,0.1160,0.0000,0.9369,1.3232,0.0000,0.0000,1.01
1w1g,59.7824,-27.0391,-11.1788,0.0000,-5.2298,-11.5674,0.1110,5.6380,2.9278,14.7457,0.0000,0.0000,7.68
1f9g,15.6576,-16.6655,-0.1067,0.0000,-4.7821,-11.3372,0.0416,0.0000,0.5283,0.0162,0.0000,0.0000,1.28
2ff1,77.8193,-57.3376,-5.4646,-1.9629,-6.3194,-51.9291,1.1795,0.0000,0.1755,2.1837,0.8807,1.9399,8.21
1rbo,68.2377,-30.0570,-13.5584,0.0000,-7.4464,-15.3904,3.9651,0.0000,1.9028,13.9954,0.0000,0.0000,12.72
1b11,51.6779,-43.2482,-4.2499,0.0000,-6.5617,-34.5875,0.5405,0.0000,2.3701,4.3900,0.0000,0.0000,7.39
1c4v,73.5510,-80.2145,-5.0355,0.0000,2.2905,-85.3661,3.0437,14.7479,2.9404,4.6551,0.0000,0.0000,10.8
1gzc,44.0065,-34.7526,-6.1073,0.0000,-5.8055,-24.6182,0.0084,0.0000,0.7806,3.6051,0.0000,0.0000,3.49
2c4v,53.0448,-25.0521,-9.1231,0.0000,2.5800,-21.5044,0.5223,0.0000,0.5536,9.7000,0.0000,0.0000,2.6
1sc8,74.4085,-60.6287,-11.5798,0.0000,-2.3084,-52.3039,1.6858,0.0000,2.2814,6.1142,0.0000,0.0000,7.44
1ow4,57.4146,-58.6764,-0.2797,0.0000,-0.1171,-62.2003,0.0051,0.5214,1.3784,0.6721,0.0000,0.0000,5.68
1gz3,68.4107,-58.9599,-9.5472,0.0000,-11.3545,-42.7368,0.8297,0.0000,1.2115,3.9579,0.0000,0.0000,3.7
1cim,50.2867,-33.1732,-3.8052,-0.7179,1.6209,-31.3056,0.0519,0.0000,1.1546,1.3944,0.0000,2.5400,8.82
1gt1,53.1401,-53.1401,0.0000,0.0000,-4.1902,-48.8530,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6
1z3v,53.4003,-48.1647,-8.1175,0.0000,-10.9554,-30.8792,0.2255,0.0000,0.9436,2.3743,0.0000,0.0000,4.11
1x9d,79.9151,-48.0375,-8.5828,-2.0000,-2.1190,-38.5995,0.1222,0.0000,0.4352,6.9262,0.0000,1.9949,3.96
1gi9,25.0740,-41.7245,-2.0614,0.0000,-7.2095,-35.9135,0.2839,15.9812,0.4720,0.0915,0.0000,0.0000,5.22
1db1,96.5032,-87.0469,-6.0000,0.0000,-6.7215,-75.8840,0.0000,0.0000,1.1968,3.9500,0.0000,0.0000,9.26
1lox,59.6901,-61.9470,0.0000,0.0000,-5.1798,-67.8221,4.0812,0.0000,1.1284,0.0000,0.0000,0.0000,5.52
1njj,11.1162,-13.0491,-5.6827,0.0000,9.1110,-20.1365,0.3887,5.1017,3.1515,3.1573,0.0000,0.0000,2.1
1me7,57.4278,-39.2551,-9.5346,0.0000,-6.2790,-26.1894,0.3772,0.0000,0.7806,6.5780,0.0000,0.0000,7.19
1a0q,72.3596,-59.9106,-6.4133,0.0000,-4.4140,-54.8031,0.2658,0.0000,1.8861,5.4071,0.0000,0.0000,7.57
1cil,52.4585,-38.3562,-3.3292,-0.6841,-3.2012,-32.9899,0.0524,0.0000,1.2751,1.2293,0.0000,2.1607,9.43
1tvo,66.7304,-62.0304,-3.5900,0.0000,-9.5333,-52.0221,0.2731,0.0000,1.5275,2.5850,0.0000,0.0000,6.85
1mj7,87.5320,-85.3886,-4.3725,0.0000,-4.9030,-79.4495,1.1217,0.0000,2.7499,2.5477,0.0000,0.0000,8.35
1jmi,56.6846,-33.3378,-8.7166,0.0000,-5.9231,-22.2992,0.2925,0.0000,0.7058,8.2528,0.0000,0.0000,6.06
1cin,46.7527,-31.3193,-2.8753,-0.6387,0.0996,-31.0610,0.1282,0.0000,1.2352,1.3625,0.0000,2.3027,8.73
1sle,47.7198,-51.6673,-1.5654,0.0000,-5.9198,-45.9148,0.0723,1.0500,1.4488,0.0000,0.0000,0.0000,6.17
1w2g,59.0018,-51.6803,-3.3267,0.0000,-0.1590,-50.9311,0.3226,0.0000,0.3112,2.6480,0.0000,0.0000,4.57
1pu7,44.9622,-44.5684,-0.3443,0.0000,-5.8729,-40.9489,0.1667,0.0000,0.0000,0.1313,0.0000,0.0000,3.1
1xbb,56.0531,-52.7256,-1.2441,0.0000,-2.8647,-52.2200,0.2033,0.0000,1.2950,1.0342,0.9382,0.0000,5.3
1ce5,45.0655,-36.0821,-5.0829,0.0000,-5.9521,-26.8448,0.1656,0.0000,0.3263,3.2120,0.0000,0.0000,4.74
1gj4,48.2743,-52.2150,-3.8640,0.0000,-5.7323,-49.4265,0.1772,12.7163,1.1322,3.6800,0.0000,0.0000,4.07
1a1c,68.1942,-50.0128,-8.9702,0.0000,-3.4889,-42.9538,0.3058,0.0000,3.3003,8.2607,0.0000,0.0000,6.4
11gs,83.0204,-71.2854,-8.4725,0.0000,-2.5451,-64.4806,1.9880,3.2176,3.5254,7.3345,0.0000,0.0000,5.82
1wvc,83.2529,-48.3335,-15.9602,-2.0000,13.8838,-42.4793,0.6282,0.0000,1.5808,6.8535,0.0000,2.9201,4.46
1vj9,90.5971,-74.4944,-10.9403,0.0000,-6.0369,-60.7359,0.6969,0.0000,2.3797,6.9540,0.0000,0.0000,7.55
1w0y,77.5584,-72.0793,-4.7327,0.0000,-10.2265,-64.6812,0.3005,0.0000,1.9596,3.1328,0.0000,0.0000,6.42
1rdt,89.5411,-81.5757,-2.1842,0.0000,-0.7797,-83.9980,0.1261,0.0000,0.6110,3.0625,0.0000,0.0000,6.7
1rzx,70.5017,-64.4675,-8.1174,0.0000,-6.0923,-53.3978,0.4089,0.0000,4.3109,4.8853,0.0000,0.0000,4.1
1meu,101.8479,-93.6902,-9.0459,0.0000,-7.3463,-81.5552,0.0869,0.0000,2.6317,4.4737,0.0000,0.0000,6.1
1z1r,88.9993,-79.9293,-8.7696,0.0000,-6.8894,-69.9895,0.6852,0.0000,3.1473,5.1215,0.0000,0.0000,9.22
1hp0,71.3980,-53.8489,-4.9036,-2.0000,-0.4315,-56.0165,0.3643,0.0000,0.1855,1.9263,0.2285,1.9093,6.7
1qi0,44.3759,-30.0998,-11.0737,0.0000,-1.3704,-22.6328,0.0000,0.0000,0.8652,5.3355,0.0000,0.0000,2.35
1sqn,70.0379,-67.3757,-2.0000,0.0000,-4.4736,-62.2824,0.2072,0.0000,0.0000,0.8874,0.0000,0.0000,9.4
2ada,69.4375,-49.1705,-6.4066,-1.0000,-5.2450,-51.9796,6.7698,0.0000,0.7351,4.6093,0.6364,1.0000,13
1aj6,47.8767,-48.3697,-2.0000,0.0000,-6.4596,-44.5309,0.5041,0.0000,3.0425,1.8640,0.0000,0.0000,5.92
1o2k,40.1417,-45.5360,-3.5174,0.0000,-1.5038,-44.6241,0.2500,14.8192,0.9775,3.7933,0.0000,0.0000,6.92
1zky,50.1900,-52.0009,-2.0000,0.0000,-4.9224,-45.5705,0.0000,5.5477,0.5076,1.5840,0.0000,0.0000,6.25
2cji,73.5475,-78.3468,0.0000,0.0000,0.0229,-79.7971,0.4161,0.0000,2.7165,0.2113,0.0000,0.0000,8.22
2gh7,75.8213,-67.7690,-7.0000,0.0000,-7.8644,-54.8247,0.3215,0.0000,0.4738,3.0000,0.0000,0.0000,13
1udt,74.3971,-75.3307,-1.6170,0.0000,-6.4646,-69.6122,0.8598,0.0000,2.7163,1.4997,0.0000,0.0000,9.3
1q66,70.0162,-55.3109,-5.8497,0.0000,3.1758,-56.1647,1.1673,0.0000,1.0868,5.6263,0.0000,0.0000,5.77
1y3g,81.6545,-64.0859,-6.8235,-0.6571,-2.8540,-55.1926,0.4934,0.0000,3.4070,6.1276,0.0000,1.0000,7.4
1lf9,96.5522,-73.6976,-12.5189,0.0000,-8.9540,-60.9563,0.0410,0.5237,3.4878,10.1180,0.0000,0.0000,12
2fgi,68.5271,-65.8759,-2.8088,0.0000,-0.0523,-70.8942,0.7986,0.0000,3.5734,2.2660,1.0000,0.0000,7.34
1ux7,39.6428,-32.3243,-1.0000,-1.5622,-4.5352,-28.1644,0.0865,0.0000,1.5638,0.0000,0.0000,1.7410,3
1h1p,54.8155,-47.3183,-3.0000,0.0000,-9.2880,-35.9020,0.3631,0.0000,0.7514,3.0000,0.0000,0.0000,4.92
1vjd,56.4876,-42.3938,-7.9780,0.0000,2.3731,-45.0815,5.2662,0.0000,1.4841,5.5170,0.1703,0.0000,3.54
1rdl,29.8300,-17.2314,-4.6721,-2.0000,1.6624,-13.3216,0.0000,0.0000,0.0651,0.3656,0.0000,1.9387,2.24
1jwt,50.4020,-55.3548,-6.1991,0.0000,-0.3305,-58.2861,3.3808,6.1038,3.7929,2.9122,0.0000,0.0000,7.85
1uxa,29.8523,-25.5921,-3.1707,0.0000,-2.4003,-21.6826,0.2081,0.0116,1.9561,2.7280,0.0000,0.0000,2.3
1vot,59.7137,-59.7137,-1.3874,0.0000,-5.2358,-57.1970,0.1472,0.0000,0.0000,0.0000,0.0000,0.0000,6.6
1rdj,28.2709,-16.1324,-3.6405,-2.0000,2.5405,-13.2130,0.0000,0.0000,0.0000,0.1344,0.0000,1.9559,1.66
1qy5,39.4164,-34.5979,-3.0000,0.0000,-7.0552,-26.2878,0.2903,0.0000,0.5908,2.0000,0.0000,0.0000,6.7
1qiw,67.7796,-70.9699,-0.9263,0.0000,-1.0487,-70.2417,0.0217,0.0000,4.4714,1.9175,0.0000,0.0000,7.74
1lor,85.2803,-44.6661,-13.0605,0.0000,-6.6371,-30.5699,0.7027,0.0000,0.2819,13.7260,0.0000,0.0000,11.06
1kll,34.2175,-28.4390,-2.0000,0.0000,-5.8504,-22.6814,0.0418,0.0000,0.1107,2.0000,0.0000,0.0000,5.2
3pcc,35.6112,-26.6469,-2.0000,-0.9226,-3.5272,-23.2987,0.0000,0.0000,0.0020,0.9894,0.0000,1.0000,3.62
1rek,119.7379,-107.6418,-9.2536,0.0000,-11.4065,-93.9997,0.5300,1.0933,3.1509,6.4971,0.0000,0.0000,6.7
