name,Orientation_Score,Affinity_Score(Heavy_Ligand_Atoms),Affinity_Score,Buried_Protein_Hydrophobic_Term,Hydrophobic_Complementarity_Term,Polar_Component_Term,Number_of_Protein-Ligand_Hydrophobic_Contacts,Number_of_Protein-Ligand_H-bonds,Number_of_Protein-Ligand_Salt-bridges,Number_of_Metal-Ligand_Bonds,Number_of_Interfacial_Unsatisfied_Polar_Atoms,Number_of_Interfacial_Unsatisfied_Charged_Atoms,Buried_Carbons,affinity
3uri,-9.706,-0.094,-11.357,-7.453,-0.830,2.144,85,7,3,0,13,3,0.860,9
4de2,-7.322,-0.129,-8.308,-3.179,-0.581,0.670,39,6,1,0,3,2,0.941,4.12
1o5b,-6.939,-0.116,-6.731,-2.304,-0.415,1.206,47,1,4,0,9,0,1.000,5.77
3gbb,-8.950,-0.171,-8.293,-2.532,-1.079,0.536,52,7,6,0,4,0,1.000,6.9
3f3a,-8.076,-0.157,-7.572,-2.341,-0.415,0.402,67,5,0,0,3,0,1.000,4.19
1mq6,-9.591,-0.069,-7.712,-4.574,-0.332,2.412,109,4,0,0,17,1,0.957,11.15
4tmn,-10.366,-0.160,-10.983,-4.973,-1.328,0.536,73,10,6,0,4,0,0.920,10.17
2vvn,-8.147,-0.135,-7.384,-2.338,-0.498,0.670,66,6,0,0,4,1,1.000,7.3
3u9q,-7.320,-0.214,-7.792,-2.293,-0.415,0.134,53,2,3,0,1,0,1.000,4.38
2y5h,-8.241,-0.073,-7.475,-4.586,-0.083,2.412,92,1,0,0,17,1,0.909,5.79
4gid,-12.150,-0.137,-11.671,-8.303,-0.830,2.680,160,8,2,0,15,5,1.000,10.77
3k5v,-6.979,-0.084,-7.483,-4.141,-0.000,1.876,68,0,0,0,12,2,1.000,6.3
1u1b,-10.311,-0.065,-8.548,-3.412,-1.660,1.742,42,8,12,0,10,3,0.800,7.8
2yfe,-7.325,-0.173,-9.548,-4.783,-0.083,0.536,79,1,0,0,3,1,1.000,6.63
3oe5,-10.977,-0.133,-9.348,-4.608,-0.996,1.474,115,8,4,0,9,2,1.000,6.88
2w66,-8.406,-0.161,-7.800,-2.103,-0.747,0.268,54,7,2,0,1,1,1.000,4.05
2xb8,-9.966,-0.166,-8.878,-3.468,-0.996,0.804,81,8,4,0,6,0,1.000,7.59
1yc1,-7.912,-0.113,-8.265,-3.838,-0.415,1.206,73,3,2,0,9,0,0.947,6.17
2brb,-6.914,-0.131,-8.500,-4.539,-0.083,1.340,69,1,0,0,9,1,1.000,4.86
3b68,-9.450,-0.094,-8.125,-4.132,-0.249,1.474,102,3,0,0,10,1,1.000,8.4
2vw5,-7.866,-0.104,-8.974,-4.949,-0.415,1.608,57,5,0,0,10,2,0.964,8.52
2v00,-6.904,-0.135,-7.373,-2.544,-0.415,0.804,44,5,0,0,4,2,0.917,3.66
3fk1,-8.317,-0.183,-7.053,-0.692,-1.411,0.268,13,5,12,0,1,1,1.000,2.62
2x8z,-7.396,-0.187,-7.841,-2.278,-0.747,0.402,38,4,5,0,3,0,1.000,7.96
3pe2,-8.630,-0.145,-8.991,-4.647,-0.332,1.206,95,2,2,0,6,3,1.000,9.76
3l3n,-10.493,-0.186,-11.907,-5.731,-1.494,0.536,75,6,12,0,3,1,0.926,8.18
2pcp,-8.104,-0.149,-7.901,-3.672,-0.083,1.072,94,1,0,0,7,1,1.000,8.7
2qft,-8.827,-0.213,-7.345,-0.684,-1.577,0.134,14,6,13,0,1,0,1.000,5.26
2d1o,-9.166,-0.120,-9.193,-4.734,-0.581,1.340,72,7,0,0,5,5,0.917,7.7
3su3,-9.936,-0.109,-11.011,-6.635,-0.498,1.340,110,6,0,0,9,1,0.895,9.13
3b3w,-7.958,-0.265,-7.607,-1.361,-1.162,0.134,23,4,10,0,1,0,1.000,4.19
2g70,-7.581,-0.131,-7.188,-2.308,-0.332,0.670,66,1,3,0,3,2,1.000,7.77
3bpc,-8.163,-0.091,-8.117,-2.273,-1.162,0.536,24,8,6,0,2,2,0.684,4.8
4gqq,-6.374,-0.130,-7.163,-2.500,-0.249,0.804,43,3,0,0,6,0,1.000,2.89
3i3b,-9.044,-0.204,-7.667,-1.389,-1.328,0.268,38,5,11,0,2,0,1.000,2.23
2d3u,-8.040,-0.135,-8.852,-4.406,-0.166,0.938,86,2,0,0,5,2,0.947,6.92
1hnn,-7.586,-0.140,-7.179,-2.299,-0.332,0.670,69,1,3,0,5,0,1.000,6.24
2jdm,-8.529,-0.211,-7.752,-1.359,-1.577,0.402,16,7,12,0,3,0,1.000,5.4
4des,-6.787,-0.147,-8.012,-3.381,-0.083,0.670,66,1,0,0,5,0,1.000,5.85
1lbk,-8.827,-0.153,-8.272,-2.562,-1.162,0.670,43,7,7,0,4,1,1.000,3.18
2jdu,-9.080,-0.222,-7.878,-1.370,-1.826,0.536,14,7,15,0,3,1,1.000,6.72
1lol,-7.845,-0.076,-7.048,-1.989,-0.913,1.072,26,11,0,0,6,2,1.000,6.39
2vo5,-10.000,-0.212,-9.459,-3.047,-1.328,0.134,66,7,9,0,1,0,0.933,4.89
1os0,-9.173,-0.148,-10.381,-4.971,-0.996,0.804,67,9,3,0,4,2,0.889,6.03
3l4w,-8.715,-0.177,-7.696,-1.852,-1.162,0.536,39,5,9,0,4,0,1.000,6
3b3s,-6.972,-0.221,-7.206,-1.375,-0.747,0.134,23,2,7,0,1,0,1.000,2.55
3f17,-8.123,-0.110,-7.519,-3.443,-0.332,1.474,71,4,0,0,6,5,1.000,8.63
1w3l,-9.286,-0.101,-8.441,-3.484,-1.079,1.340,61,11,2,0,9,1,1.000,6.28
3muz,-7.327,-0.167,-7.730,-2.084,-0.830,0.402,27,4,6,0,3,0,1.000,3.46
3ov1,-8.808,-0.110,-8.944,-3.668,-0.996,0.938,46,12,0,0,5,2,0.947,5.2
3vh9,-6.840,-0.192,-7.331,-2.068,-0.581,0.536,34,7,0,0,4,0,1.000,6.24
1u33,-9.384,-0.087,-8.341,-3.684,-0.913,1.474,64,7,4,0,10,1,0.947,4.6
3su5,-9.568,-0.089,-9.930,-6.090,-0.498,1.876,99,6,0,0,9,5,0.868,5.58
3nox,-7.157,-0.079,-7.424,-3.616,-0.332,1.742,51,1,3,0,11,2,1.000,8.66
1n1m,-6.930,-0.152,-7.039,-2.076,-0.415,0.670,44,2,3,0,5,0,1.000,5.7
2obf,-9.296,-0.139,-8.407,-3.929,-0.332,1.072,110,1,3,0,8,0,1.000,8.85
1w3k,-8.236,-0.113,-7.583,-2.307,-0.996,0.938,38,8,4,0,6,1,1.000,4.3
2vot,-10.298,-0.190,-9.390,-3.278,-1.162,0.268,87,10,4,0,2,0,0.933,7.14
2zwz,-8.749,-0.222,-7.880,-1.634,-1.162,0.134,44,6,8,0,0,1,1.000,7.79
2vl4,-8.948,-0.218,-7.615,-1.420,-1.245,0.268,41,6,9,0,1,1,1.000,6.01
2zx6,-9.562,-0.178,-9.483,-3.907,-1.162,0.804,66,6,8,0,5,1,1.000,10.6
1kel,-8.761,-0.114,-7.841,-2.578,-0.581,0.536,84,6,1,0,2,2,0.923,7.28
3su2,-10.028,-0.120,-11.320,-6.561,-0.747,1.206,96,9,0,0,9,0,0.886,7.35
2xy9,-10.883,-0.159,-13.320,-8.746,-0.830,1.474,125,10,0,0,8,3,1.000,9.19
3l4u,-9.107,-0.137,-8.234,-2.307,-1.245,0.536,43,4,11,0,3,1,0.917,7.52
2cbj,-7.984,-0.069,-6.938,-2.345,-0.581,1.206,48,6,1,0,7,2,0.800,8.27
3bfu,-8.363,-0.144,-6.941,-1.397,-0.996,0.670,34,5,7,0,5,0,1.000,6.27
3mfv,-8.830,-0.198,-7.788,-1.561,-1.411,0.402,28,3,14,0,2,1,1.000,2.52
3nq3,-6.377,-0.173,-7.297,-2.347,-0.000,0.268,66,0,0,0,0,2,1.000,3.78
2zjw,-6.366,-0.097,-7.361,-3.266,-0.083,1.206,54,1,0,0,8,1,1.000,7.7
2ole,-7.295,-0.085,-7.754,-3.627,-0.249,1.340,58,1,2,0,8,2,0.818,7.25
3gcs,-8.503,-0.112,-8.803,-4.861,-0.332,1.608,85,4,0,0,10,2,1.000,7.25
3kv2,-8.317,-0.148,-6.995,-1.119,-1.328,0.670,17,2,14,0,4,1,1.000,7.32
2gss,-6.450,-0.112,-7.338,-2.541,-0.249,0.670,39,1,2,0,5,0,0.846,4.94
1jyq,-12.732,-0.121,-11.623,-5.300,-1.909,0.804,90,17,6,0,6,0,0.903,8.7
1igj,-7.038,-0.076,-8.019,-3.924,-0.083,1.206,65,1,0,0,9,0,0.655,10
3owj,-6.723,-0.133,-8.004,-3.909,-0.083,1.206,66,1,0,0,8,1,1.000,6.07
3s8o,-8.841,-0.084,-8.333,-3.676,-0.913,1.474,50,11,0,0,8,3,0.909,6.85
1zea,-9.555,-0.039,-7.979,-5.562,-0.415,3.216,98,5,0,0,21,3,0.595,5.22
2r23,-8.087,-0.052,-7.025,-2.068,-1.079,1.340,25,6,7,0,10,0,0.789,3.72
1f8c,-9.173,-0.156,-8.337,-2.027,-1.494,0.402,29,2,16,0,3,0,0.909,7.4
2zxd,-8.007,-0.220,-7.861,-1.864,-0.913,0.134,38,5,6,0,0,1,1.000,5.22
4g8m,-7.671,-0.146,-6.968,-1.622,-0.664,0.536,42,6,2,0,4,0,1.000,7.89
2xhm,-9.090,-0.115,-9.467,-4.842,-0.747,1.340,70,9,0,0,9,1,1.000,6.8
2pq9,-13.004,-0.136,-9.033,-2.097,-2.656,0.938,48,11,21,0,6,1,1.000,8.11
2x0y,-7.293,-0.111,-7.208,-2.328,-0.332,0.670,51,4,0,0,3,2,1.000,4.6
3f80,-6.571,-0.080,-6.181,-1.352,-0.415,0.804,26,2,3,0,4,2,1.000,4.22
10gs,-9.488,-0.163,-10.597,-4.836,-1.079,0.536,70,7,6,0,4,0,0.913,6.4
1f8b,-8.746,-0.137,-7.966,-2.039,-1.245,0.536,31,3,12,0,3,1,0.909,5.4
4djr,-9.037,-0.116,-9.845,-6.356,-0.415,2.144,87,5,0,0,11,5,1.000,11.52
4dew,-6.712,-0.146,-8.288,-3.274,-0.332,0.536,50,4,0,0,4,0,1.000,7
1sln,-10.277,-0.134,-9.916,-4.825,-1.079,1.206,97,4,9,0,9,0,0.960,6.64
3imc,-6.366,-0.096,-6.276,-2.047,-0.083,1.072,52,1,0,0,6,2,1.000,2.96
2j62,-9.773,-0.171,-9.842,-4.681,-0.747,0.804,93,8,1,0,5,1,1.000,11.34
3cj2,-6.564,-0.143,-7.791,-2.943,-0.166,0.536,46,2,0,0,2,2,1.000,4.85
3cft,-5.286,-0.085,-6.486,-1.587,-0.083,0.402,23,1,0,0,2,1,0.600,4.19
1xd0,-12.907,-0.112,-11.395,-6.412,-1.909,2.144,93,12,11,0,13,3,0.968,7.12
3vd4,-8.073,-0.180,-7.919,-2.107,-0.996,0.402,38,5,7,0,3,0,1.000,4.82
2x97,-9.462,-0.132,-9.715,-4.273,-1.162,0.938,52,9,5,0,5,2,1.000,5.66
3huc,-8.256,-0.116,-8.347,-4.386,-0.083,1.340,124,1,0,0,8,2,0.950,5.99
1loq,-7.756,-0.074,-6.778,-1.719,-0.913,1.072,29,10,1,0,5,3,1.000,3.7
3bkk,-10.725,-0.179,-11.678,-5.719,-1.411,0.670,82,12,5,0,4,1,0.929,6.08
1hfs,-13.633,-0.139,-12.453,-8.919,-0.996,2.680,178,5,7,0,17,3,0.953,8.7
1f8d,-8.922,-0.142,-8.054,-2.044,-1.328,0.536,32,2,14,0,4,0,1.000,3.4
