name,total,qq_pl,desolv_pl,vdw_pl,hbond_pl,qq_l,desolv_l,vdw_l,DrugScore,HMscore,PLP_tor,affinity
2gj5,-15.799,-0.182,0.325,-6.619,-0.009,0.000,-0.406,-1.334,10.314,10.541,14.100,8.32
1szd,-16.159,-3.215,16.717,-14.756,-4.520,-1.010,2.688,-1.785,51.657,0.091,30.400,4.54
1d4y,-19.327,-0.198,8.533,-15.400,-2.200,-0.220,1.218,-2.684,27.971,4.688,14.400,11.1
4xu3,-28.446,-3.637,18.892,-20.126,-4.671,-0.890,1.386,-1.344,-34.686,-0.000,18.400,9.5
3rm4,-17.923,-2.088,7.942,-10.838,-1.781,-0.586,0.520,-0.555,-5.486,4.290,9.700,5.77
1wm1,-12.179,-2.905,5.567,-7.991,-2.791,-0.294,0.291,-0.584,15.614,0.357,2.300,6.3
2y7x,-18.648,-0.862,7.592,-15.176,-0.709,-0.591,0.692,-1.381,-4.071,1.764,1.500,8.89
2ans,-9.823,-0.116,4.383,-7.152,-0.018,0.342,0.718,-1.107,11.571,5.016,4.200,5.92
1td7,-9.630,0.363,6.008,-7.037,-0.175,-0.054,0.762,-0.684,1.457,4.510,1.500,4.37
2wc4,-16.840,-3.454,7.708,-10.841,-3.213,-0.050,0.417,-0.445,33.029,4.344,26.300,5.29
2xde,-15.461,-0.875,4.692,-9.885,-1.638,-0.213,0.889,-2.656,-4.800,2.655,6.800,5.47
4pzv,-27.571,-2.949,17.033,-16.422,-6.813,-1.210,2.496,-2.070,-9.157,3.612,18.900,5.7
1d09,-23.707,-6.439,12.067,-9.346,-6.759,0.044,1.133,-0.865,-65.486,-0.000,11.500,7.57
4j74,-9.756,-0.082,2.017,-6.780,-0.125,0.025,0.302,-1.189,29.729,5.639,0.800,4.59
3q6z,-14.203,-3.629,15.283,-13.306,-3.428,-1.285,3.202,-2.132,70.957,1.008,30.700,3.72
3ozj,-7.026,-0.028,1.500,-7.082,-0.000,-0.039,0.144,-0.639,49.171,3.937,3.100,5.11
3ml5,-6.070,0.516,5.483,-5.961,-1.236,0.059,0.340,-0.285,2.171,0.573,0.000,8.52
3a2o,-22.533,-0.892,9.117,-16.854,-1.307,-0.537,1.852,-3.331,-1.571,3.959,15.100,9.08
4a6l,-18.040,-2.476,7.133,-14.259,-1.960,-0.099,0.281,-1.069,18.557,1.631,4.500,8
3jyr,-22.302,-5.867,16.067,-17.614,-7.124,-2.298,3.790,-3.199,106.900,0.253,39.300,5.54
4u5o,-8.732,-1.380,5.992,-6.870,-1.135,-0.427,1.000,-0.412,3.129,1.011,22.900,2.42
2pqz,-23.975,-2.985,7.608,-14.843,-2.720,-0.134,1.826,-4.572,15.243,5.050,3.000,5.67
1yda,-5.237,0.601,6.067,-5.618,-0.852,0.056,0.378,-0.041,-4.257,0.267,0.000,6.55
1mfi,-8.049,-3.246,4.217,-7.754,0.855,0.177,0.309,-0.104,34.471,1.740,0.500,5.59
2qtt,-12.822,-2.075,12.033,-11.035,-3.359,-0.276,1.099,-0.761,23.057,0.084,10.800,4.32
2ha2,-9.823,-1.627,3.958,-8.110,-0.159,-0.327,0.364,0.309,-1.086,1.029,19.000,4.66
4b34,-5.681,-0.156,3.908,-4.939,-0.613,-0.120,0.103,-0.016,11.714,1.562,0.000,3.14
1nw5,-21.739,-4.802,12.100,-13.570,-4.596,-1.215,1.231,-1.133,8.743,0.672,24.300,5.21
2exm,-8.954,-0.437,5.167,-6.596,-1.220,-0.188,0.240,-0.311,0.914,1.684,2.700,4.11
4k4j,-15.103,-1.466,2.958,-10.759,-1.045,0.001,-0.048,-0.447,37.729,5.856,0.000,6.12
3p58,-6.047,0.441,3.258,-6.447,-0.107,-0.057,0.071,-0.305,7.757,0.761,0.500,7.6
1ec3,-27.973,-1.414,13.017,-19.441,-4.596,-0.767,4.031,-6.428,16.271,4.619,35.500,9.04
4ayu,-4.465,1.984,2.583,-3.901,-0.984,-0.413,0.200,-0.276,-14.657,0.357,0.900,4.73
3r16,-9.763,-0.240,4.067,-6.895,-1.040,-0.168,0.384,-0.716,-2.900,2.013,1.400,7.3
4k5p,-12.976,-4.319,10.692,-8.858,-3.276,-0.198,1.126,-0.461,22.400,0.632,8.800,3.46
3nb5,-11.703,-0.324,4.675,-7.575,-1.468,-0.301,0.576,-0.815,2.186,3.532,8.000,7.74
3cft,-5.200,-0.312,2.067,-3.069,-0.238,-0.170,0.475,-0.210,0.371,2.491,3.700,4.19
1o7o,-16.636,-2.010,13.225,-12.459,-4.568,-1.290,1.906,-1.590,43.086,2.237,19.500,4.49
1fl3,-14.187,-0.147,4.408,-11.535,-0.013,-0.096,0.206,-0.555,6.543,3.982,6.700,6.8
1xk5,-16.782,-4.204,12.708,-10.931,-2.155,-0.230,8.142,-6.875,4.871,5.151,30.600,6
3sym,-19.581,-1.619,11.900,-10.701,-4.133,-0.110,1.416,-1.054,-82.557,-0.000,20.500,4.57
5cp9,-6.480,-2.255,2.117,-4.206,-1.271,-0.060,0.144,-0.255,19.200,0.707,1.300,3.51
4x6m,-22.166,-1.475,11.883,-16.648,-2.841,-0.736,1.924,-2.399,-0.043,2.747,11.000,8.24
3ta1,-19.139,-5.980,18.858,-14.878,-5.505,0.395,2.452,-1.633,30.571,0.126,19.300,3.25
3ipu,-17.851,-0.659,7.150,-14.288,-0.258,-0.013,0.506,-1.077,14.471,5.470,15.300,7.32
5boj,-11.120,-2.062,2.983,-7.144,-0.488,-0.009,0.087,-0.216,7.557,3.177,10.700,7
4ye3,-18.568,-1.282,8.158,-14.925,-0.736,-0.513,1.735,-3.540,22.571,3.374,18.500,8.37
2qwb,-10.498,-3.663,8.633,-7.121,-3.252,0.122,1.666,-1.347,18.029,-0.000,22.000,2.74
4ge1,-10.075,-1.316,3.758,-5.844,-1.155,-0.056,0.323,-0.312,-4.414,2.785,6.200,6.43
3lzs,-20.445,-1.183,8.842,-14.954,-1.908,-0.432,1.766,-3.430,9.371,3.797,19.700,10.96
3rdq,-14.425,-2.023,5.692,-7.570,-3.475,-0.016,0.200,-0.339,-18.657,1.812,14.600,9.31
2pwr,-29.602,-3.396,12.492,-18.999,-3.882,-1.112,2.655,-4.999,11.157,4.417,3.600,6.59
4xe1,-5.881,0.695,6.808,-6.619,-0.980,0.330,0.335,-0.224,3.800,0.936,0.000,7.11
3bbf,-14.301,-5.620,12.467,-9.410,-2.476,-0.186,2.581,-1.656,17.914,1.711,17.200,5.28
1ax0,-9.238,-1.503,5.933,-6.285,-2.660,-0.929,0.701,-0.531,19.200,0.385,14.200,3.13
4z1k,-10.831,0.702,5.242,-7.688,-1.079,-0.598,0.502,-0.590,2.214,3.540,3.000,8.33
1yei,-17.224,-1.635,7.550,-12.230,-2.492,-0.333,0.770,-0.970,0.943,2.499,14.700,7.46
1g7q,-30.863,-5.959,16.892,-17.563,-6.240,-1.757,4.645,-4.954,-18.771,1.850,36.100,6.06
3upv,-24.725,-6.596,11.242,-11.339,-4.653,-2.601,6.159,-6.815,-13.643,0.655,41.300,5.3
1hmr,-16.962,-1.817,2.425,-8.011,-1.313,0.000,-0.162,-0.192,-10.700,7.186,37.700,6.55
4og4,-15.477,-1.011,3.408,-10.169,-0.381,-0.177,0.223,-0.823,1.314,5.104,21.200,6.02
4kwg,-12.676,-0.054,3.617,-7.292,-0.411,0.000,0.000,0.000,-44.371,2.893,0.000,6
4djw,-15.239,-2.577,7.075,-9.350,-1.915,0.041,0.960,-1.314,13.571,4.554,1.600,6.28
4q08,-9.850,0.867,7.600,-10.159,-0.940,0.383,1.081,-1.232,12.586,2.498,6.700,6.3
1uou,-11.910,-1.231,7.617,-8.749,-1.961,-0.074,0.550,-0.612,-4.900,1.133,2.700,7.7
4nbn,-16.440,-0.277,11.692,-14.133,-1.222,-0.564,1.828,-1.217,-15.686,1.401,2.200,4.36
2p16,-20.821,-0.482,7.417,-15.348,-1.348,-0.430,0.649,-1.522,-25.657,2.142,1.500,10.1
4l4v,-16.082,-2.342,12.042,-12.228,-3.748,-0.173,1.385,-1.083,26.414,2.397,17.200,5.78
1bcd,-4.730,0.310,3.133,-3.738,-0.626,-0.174,0.043,-0.091,5.600,1.536,1.500,8.7
3iss,-15.968,-3.018,14.992,-14.529,-3.798,-2.258,4.297,-2.981,65.129,0.253,30.400,6.05
3ckb,-11.439,-0.592,8.492,-9.091,-2.184,-2.593,2.790,-2.464,34.914,0.336,40.800,2.98
1apv,-20.175,-2.181,9.317,-13.344,-4.036,-0.799,2.045,-3.040,8.557,2.132,28.500,9
1i9p,-8.373,1.108,5.150,-6.856,-0.656,-0.334,0.640,-0.787,11.943,3.730,1.800,8.41
4qew,-15.235,-0.209,2.967,-9.456,-0.751,-0.070,0.413,-0.930,6.500,6.744,6.100,7.07
2pyy,-12.600,-4.037,6.225,-6.166,-4.111,-1.084,0.413,-0.241,17.829,-0.000,17.600,4.6
1fhd,-14.830,-4.377,8.892,-10.217,-3.956,-0.873,0.785,-0.589,37.629,-0.000,19.100,6.82
1d3p,-17.949,-0.780,7.558,-14.734,-0.569,0.247,1.015,-1.827,3.586,3.976,14.100,7.39
4en4,-7.795,-1.788,4.142,-5.025,-1.635,-0.056,0.258,-0.295,15.743,1.663,6.800,5.52
3rlq,-12.487,-0.646,6.925,-9.189,-0.986,-0.031,0.650,-1.017,2.329,3.329,1.500,7.4
1qk3,-17.637,-4.392,12.492,-10.079,-4.832,-0.804,1.641,-0.999,18.786,2.328,11.600,5.15
1sln,-20.926,-1.677,7.183,-13.744,-3.020,-1.380,1.759,-2.087,-4.843,2.230,20.300,6.64
4ual,-14.396,-1.335,7.450,-10.800,-0.116,-0.233,1.258,-1.375,-12.643,2.344,0.900,8.4
4q3t,-12.459,-4.692,9.217,-6.303,-2.899,-0.696,0.514,-0.200,2.371,-0.000,13.500,6.48
3sio,-26.358,-1.535,6.775,-14.969,-0.382,-0.459,1.413,-3.121,-78.086,4.025,22.400,8
4jv6,-15.707,-0.423,2.758,-8.885,-0.912,-0.010,0.251,-1.177,1.143,6.720,1.500,6.66
4d3h,-20.825,-2.172,17.575,-15.115,-4.805,-1.813,2.463,-1.564,23.500,2.455,6.500,6.43
1y3n,-12.436,-3.886,12.625,-10.408,-3.796,-0.627,1.757,-1.417,54.714,-0.000,15.500,5.55
4bc5,-5.241,-1.287,4.908,-5.164,-3.116,0.357,0.366,-0.306,35.657,-0.000,16.100,4.6
1oth,-19.431,-4.644,10.225,-10.344,-7.939,-1.094,0.650,-0.660,30.157,-0.000,15.600,7
4zvi,-11.874,-0.427,5.817,-9.252,-0.578,-0.749,0.659,-0.801,-1.829,1.472,1.900,6.33
1f4f,-12.179,-0.229,6.933,-9.254,-0.433,-0.633,1.239,-1.714,2.671,2.836,5.000,4.62
4xiq,-16.186,-0.611,4.933,-10.263,-0.885,-0.338,0.272,-0.146,-11.943,5.025,0.000,7.07
2flr,-18.054,-1.452,10.467,-13.330,-2.132,-0.921,1.219,-0.812,2.300,2.655,2.900,6.1
3pce,-7.123,0.141,3.833,-5.898,-0.108,0.069,0.249,-0.259,-14.929,1.052,2.700,2
1ta6,-22.608,-1.054,7.258,-14.747,-2.048,-0.914,1.706,-2.605,-22.914,3.344,13.400,9.13
4ipj,-4.568,-1.053,5.533,-4.353,-2.576,0.499,0.275,-0.161,20.800,-0.000,5.200,4.87
1fch,-24.590,-4.285,12.842,-13.765,-4.489,-1.458,3.614,-3.530,-32.271,1.726,46.000,7.15
1dl7,-8.825,-0.585,5.175,-8.492,-0.649,-0.490,0.632,-0.055,12.886,0.917,9.600,6.49
1zoe,-12.263,0.041,4.175,-8.069,-0.001,0.059,0.122,-0.126,-2.700,5.806,0.000,7.4
4mnp,-11.434,-4.105,10.292,-8.473,-3.842,-0.116,1.652,-1.290,35.757,-0.000,22.000,7.34
1h4w,-7.833,-1.781,7.267,-6.447,-2.039,0.323,0.383,-0.085,5.429,-0.000,0.000,4.66
4ozj,-15.253,-5.834,15.458,-12.560,-4.533,0.974,2.357,-1.556,31.100,-0.000,19.000,5.4
4der,-4.930,-0.067,3.892,-5.647,-0.020,-0.477,0.355,-0.329,46.043,2.942,4.200,6.31
2uy3,-6.047,1.492,5.317,-7.040,-0.948,0.000,0.000,0.000,0.729,0.348,0.000,3.22
1a1e,-17.145,-1.284,8.367,-10.070,-4.291,-1.487,2.052,-2.775,28.614,3.872,26.800,6
1b5j,-29.406,-7.717,14.233,-15.275,-6.761,-0.768,2.003,-1.944,-19.971,1.432,41.100,7.43
2c1p,-13.369,-0.342,5.000,-9.936,-1.185,0.084,0.756,-1.176,11.514,4.415,10.300,5.4
1jmg,-9.101,0.233,10.433,-8.802,-3.226,-0.773,0.751,-0.804,28.529,0.084,8.300,6.07
4ww6,-6.848,0.811,5.025,-6.935,-0.958,0.093,0.337,-0.573,27.929,3.087,7.000,10.21
4tim,-5.869,-1.487,7.692,-5.925,-2.535,-0.597,0.538,0.090,43.471,-0.000,7.600,2.16
2nta,-15.853,-2.651,7.542,-10.130,-3.309,-0.057,0.333,-0.809,14.443,2.462,0.000,4.8
3t09,-11.350,-1.167,7.467,-7.321,-2.404,-0.253,0.393,-0.174,-20.129,0.435,11.900,3.8
4cwn,-10.733,-0.345,5.333,-10.220,-0.638,0.067,0.402,-0.591,23.429,2.462,4.500,5.59
4q4p,-15.200,-0.999,7.958,-9.814,-1.986,0.020,0.427,-0.311,-7.186,4.321,6.400,6.39
4kfq,-11.610,-1.492,4.925,-7.346,-2.280,0.000,0.000,0.000,1.786,2.067,0.000,8.23
3ozg,-18.474,-3.234,10.600,-11.548,-6.015,-0.695,1.002,-0.867,31.614,2.167,23.000,9.19
3d50,-13.520,-2.970,7.258,-8.863,-3.574,-0.264,0.700,-0.410,4.586,-0.000,18.900,4.77
4a4v,-13.202,-0.189,3.000,-9.004,-0.594,-0.321,0.494,-0.715,13.314,5.465,14.200,6.54
2sim,-11.595,-3.759,8.792,-7.742,-3.929,-0.152,1.449,-1.232,28.529,0.267,19.000,3.42
1bn1,-9.750,0.883,5.092,-7.366,-0.744,-0.927,0.624,-0.833,5.200,2.772,1.600,9.34
2ygf,-15.016,-1.510,8.717,-12.310,-2.064,-1.147,1.239,-0.346,21.800,1.794,15.300,5.09
3hit,-26.260,-6.099,23.108,-18.395,-5.491,-1.817,7.599,-5.866,42.186,5.075,45.800,8.19
2xyf,-26.619,-1.467,9.283,-17.446,-3.389,-0.769,2.333,-5.319,4.529,4.228,29.600,8.44
4ufk,-9.637,-3.192,6.025,-5.942,-3.393,0.045,0.240,-0.140,17.671,-0.000,10.800,3.89
1o3j,-10.441,-1.942,10.542,-9.248,-2.473,0.301,1.084,-0.400,5.957,-0.000,1.300,6.77
4lkk,-17.742,-2.433,8.808,-7.936,-3.346,-1.990,2.735,-1.860,-52.157,0.385,34.800,5.92
4fnn,-6.281,-1.619,2.700,-6.056,-0.232,0.000,-0.318,5.168,-6.986,3.015,24.000,7.57
1tys,-14.210,-1.822,11.600,-10.111,-7.229,-0.475,0.909,-0.906,43.371,0.267,9.400,5.49
1d4i,-26.957,-1.088,11.150,-20.569,-2.714,-1.001,2.402,-4.266,8.100,3.287,27.400,8.85
1hpo,-16.997,-1.076,5.667,-12.774,-2.091,-0.288,0.653,-2.235,36.814,3.975,2.900,9.22
4xty,-31.737,-3.620,20.358,-21.952,-6.807,-0.670,1.833,-1.519,-41.229,-0.000,19.700,9.21
2aoe,-30.068,-2.942,15.625,-19.831,-5.972,-1.387,4.751,-5.879,-16.843,1.520,44.200,7.62
1tok,-8.884,-4.522,5.217,-4.186,-3.033,-0.152,0.212,-0.215,26.329,0.272,0.000,2.47
4xmr,-13.707,-3.355,3.333,-5.790,-3.435,-0.956,0.205,-0.088,3.171,1.625,8.800,4.07
4knm,-9.565,1.031,6.458,-8.102,-0.712,-0.303,0.801,-0.824,11.586,3.967,4.200,8
4gzt,-13.440,-4.483,6.808,-6.089,-2.647,-0.722,0.770,-1.147,-10.771,-0.000,13.900,7.77
4i8z,-20.153,-0.968,9.158,-15.032,-1.292,-1.027,1.853,-3.654,17.514,3.797,18.200,11.05
4pyy,-11.276,0.790,6.300,-9.395,-0.606,0.599,1.467,-1.869,8.871,5.085,5.400,7.23
2q1q,-8.099,0.697,5.450,-6.597,-0.721,-0.021,0.396,-0.647,-1.057,2.447,0.000,8.15
4np9,-12.669,-3.186,8.500,-5.644,-2.238,-5.343,2.867,-1.579,44.514,0.084,15.400,5.03
2pgz,-19.881,-1.444,3.675,-10.288,-0.019,-0.511,0.357,-1.014,-59.357,4.084,4.500,5.74
3gjw,-10.915,-1.413,4.942,-8.509,-0.740,-0.011,0.111,-0.355,-3.214,0.848,3.400,8.3
3le9,-10.617,0.819,7.108,-10.366,-1.748,0.149,1.427,-1.141,6.714,1.981,5.200,8.22
3g30,-5.557,-2.328,5.883,-6.140,3.522,-1.051,0.513,-0.605,8.386,-0.000,0.900,2.51
1q54,-7.222,-1.205,9.100,-8.457,-3.044,-0.962,0.952,1.552,44.829,-0.000,15.600,5.85
1qb1,-12.527,-2.059,11.967,-10.871,-2.533,0.121,1.830,-1.790,30.557,2.228,5.900,6.77
3q71,-20.238,-4.612,18.417,-16.087,-5.935,-1.877,2.957,-1.996,75.843,0.887,28.000,5.22
1jmf,-6.845,0.519,10.517,-7.647,-3.105,-0.711,0.736,-0.741,36.614,0.084,10.700,5.77
2afx,-6.763,0.028,2.550,-5.519,-0.098,-0.010,0.096,-0.285,3.214,1.981,1.100,5.15
1ct8,-17.519,-1.497,8.850,-13.302,-2.201,-0.318,2.077,-2.642,10.100,2.914,20.800,6.52
3uug,-11.070,-2.999,9.300,-8.495,-4.735,-0.120,0.507,-0.249,43.171,-0.000,10.700,4.51
3d0e,-22.077,-3.438,8.325,-14.321,-3.633,0.033,1.067,-1.515,11.314,3.844,9.400,8.4
4bny,-8.326,0.020,7.008,-10.792,-0.000,-0.147,0.656,3.442,15.171,3.332,0.000,7.1
1zfq,-5.560,0.790,5.633,-6.117,-0.632,0.167,0.331,-0.229,6.043,1.357,1.500,7.52
1wcq,-13.950,-5.904,9.617,-8.757,-5.027,-0.218,1.690,-1.022,52.143,0.527,19.200,6.26
3v51,-20.942,-0.390,7.800,-15.126,-1.215,-0.159,0.920,-1.085,18.957,8.162,4.700,8.55
2hl4,-11.238,-0.623,6.108,-7.694,-2.245,-1.186,0.994,-0.875,11.243,1.435,16.000,7.64
2q2a,-21.067,-6.555,11.283,-9.419,-6.809,-0.784,0.538,-0.333,-5.529,-0.000,13.400,7.41
4km2,-12.286,-1.712,8.258,-8.404,-1.955,-0.133,1.102,-0.522,0.514,2.661,4.000,5.84
3m5e,-11.844,-0.304,6.450,-8.019,-1.674,-0.249,0.999,-0.864,9.829,4.239,0.900,7.37
2p3c,-35.300,-3.237,13.275,-21.842,-4.840,-1.867,4.109,-6.430,9.271,6.178,37.200,7.62
2r2m,-19.880,-2.113,10.350,-12.520,-2.793,-0.048,1.297,-1.550,-2.057,5.259,11.300,7.33
4wkb,-17.387,-2.705,12.108,-12.495,-2.872,0.217,1.029,-0.917,-13.514,1.394,11.400,11.57
2gst,-27.192,-5.427,9.275,-13.961,-5.526,-1.489,1.701,-1.810,9.529,4.492,23.100,6.07
4q7p,-5.485,0.255,1.917,-4.544,-0.375,0.000,0.000,0.000,0.571,1.411,0.000,4.32
4afg,-19.468,-2.037,4.158,-8.584,-0.669,0.000,0.000,0.000,-102.014,2.224,0.000,8.3
4e6d,-15.574,-0.910,6.350,-10.954,-1.188,-0.082,0.264,-0.578,-12.186,2.966,0.900,8.92
2qhy,-19.741,-1.076,8.350,-14.997,-2.182,-0.553,2.014,-3.859,33.643,4.415,17.200,7.48
3ekp,-17.908,-0.985,8.575,-14.601,-1.358,-0.419,1.612,-2.769,15.714,2.901,18.400,8.89
2we3,-10.089,-3.870,10.908,-9.595,-4.244,2.525,2.672,-1.916,31.071,1.870,18.500,4.43
2vwm,-20.965,-0.392,8.367,-17.334,-1.013,-0.930,1.238,-1.699,12.986,3.701,3.200,7.03
1oba,-3.965,-0.561,1.392,-3.081,-0.001,-0.000,0.102,-0.054,-7.329,0.159,5.200,2.44
3d8z,-6.499,0.080,5.517,-5.896,-0.938,0.261,0.543,-0.786,-2.157,0.875,5.100,3.37
2bqv,-24.770,-0.949,9.017,-16.392,-2.592,-0.844,2.414,-4.251,1.900,5.482,24.300,8.05
2i3v,-13.699,-4.004,6.725,-6.876,-4.314,-1.082,0.460,-0.326,14.200,-0.000,17.100,6.55
4de5,-6.035,-0.388,3.100,-5.550,-1.008,0.202,0.145,-0.136,17.186,1.446,0.600,3.15
2vwn,-19.180,-0.558,8.100,-15.984,-1.329,-0.684,1.124,-1.377,19.986,3.701,6.800,8
4omj,-29.528,-0.006,-0.667,-14.649,-0.000,0.000,-0.529,-0.693,-24.771,15.377,32.700,5.26
3su6,-23.347,-1.613,10.000,-16.794,-2.538,-0.304,1.392,-2.402,-26.071,1.752,8.500,6.02
1hpv,-19.179,-0.944,8.292,-14.055,-1.376,-0.418,1.543,-2.955,1.586,3.625,19.200,9.22
4ndu,-7.049,-0.937,5.742,-6.075,-2.087,-0.826,0.490,-0.350,28.343,-0.000,16.300,2.74
5a2i,-18.556,-1.692,8.867,-10.103,-2.232,-2.253,4.374,-4.301,-19.414,2.998,22.800,5.06
3cj2,-10.671,-0.419,2.933,-7.205,-0.488,0.436,0.383,-0.703,-8.686,3.514,0.000,4.85
1d9i,-15.846,-1.535,6.983,-10.698,-1.649,-0.165,1.305,-1.718,5.443,4.143,9.300,9.11
2bes,-10.288,-2.290,9.175,-7.311,-5.694,-0.424,0.773,-0.544,45.686,-0.000,19.900,4.24
4x5p,-15.149,-2.967,8.642,-9.469,-4.422,-0.616,1.235,-1.364,56.143,4.345,14.200,8.21
1phw,-4.598,-0.531,6.708,-3.783,-0.287,-0.838,0.675,-0.578,0.686,-0.000,12.700,3.3
4ibc,-15.916,-2.143,4.483,-8.647,-0.866,0.437,1.059,-2.865,11.671,6.617,4.100,2.98
4djo,-23.063,-1.231,8.592,-16.297,-1.833,-0.636,1.883,-3.045,0.857,4.912,27.000,11.52
4kz7,-6.440,-1.775,3.867,-4.776,-1.418,0.102,0.210,-0.306,14.871,0.527,0.600,2.49
4ibi,-14.215,-2.663,4.992,-9.670,1.389,0.146,1.203,-2.376,23.700,6.275,1.400,4.14
3sw8,-10.682,-0.852,5.617,-9.451,-1.949,-0.060,0.520,-0.809,10.129,-0.000,5.000,4.5
2o8h,-13.712,-0.490,5.250,-9.014,-0.604,-0.443,1.458,-1.567,8.886,5.761,2.100,7.6
185l,-7.083,-0.017,1.917,-5.101,-0.122,0.000,0.000,0.000,2.400,2.826,0.000,3.54
4e4n,-15.510,-0.686,6.217,-10.685,-1.575,-0.285,0.384,-0.755,-8.786,2.966,4.500,9.05
1sw1,-11.450,-2.191,3.925,-6.688,-1.378,-0.853,0.137,-0.126,-3.000,0.875,0.000,7.3
4ksy,-22.169,-4.182,24.283,-19.096,-1.768,-1.704,3.719,-2.346,28.857,2.333,6.800,8.42
3b25,-9.769,-0.284,6.575,-7.281,-0.609,0.016,0.724,-0.652,-4.343,2.929,0.000,6.07
4jsa,-6.892,-0.234,3.275,-4.867,-1.061,-0.167,0.136,-0.206,0.229,1.307,0.000,4.96
1nt1,-20.437,-0.722,7.158,-14.551,-1.932,0.000,0.112,-0.484,-21.557,3.344,2.700,8.89
2clk,-10.257,-1.244,7.258,-6.599,-3.555,-0.614,0.403,-0.348,9.800,0.466,12.200,3.79
2oxx,-11.895,-0.132,3.500,-7.458,-0.013,0.000,0.000,0.000,-3.300,5.614,0.000,6.7
1oyq,-16.832,-1.800,12.275,-12.651,-2.379,0.758,1.827,-2.162,-2.800,3.748,11.400,6.96
3bkk,-20.144,-1.358,9.842,-14.712,-2.888,-0.802,1.890,-2.387,16.286,3.625,16.200,6.08
