name,Gold.ASP.Fitness,Gold.ASP.ASP,Gold.ASP.Map,Gold.ASP.DEClash,Gold.ASP.DEInternal,affinity
1jaq,35.1797,40.8480,-204.2400,4.2151,1.4532,4.48
10gs,47.3810,51.6000,-258.0000,0.9577,3.2613,6.4
1k9s,41.3151,41.4820,-207.4100,0.0174,0.1495,6.52
1ndw,35.3956,40.3020,-201.5100,3.1686,1.7377,5.23
2azr,32.3733,35.1160,-175.5800,0.6878,2.0549,3.64
1vfn,21.9890,23.3940,-116.9700,1.4050,0.0000,5.6
2ceq,45.5360,49.4000,-247.0000,2.9941,0.8699,7.28
2bok,49.0660,52.6420,-263.2100,2.4033,1.1727,6.55
1tmn,37.4890,46.8840,-234.4200,5.9701,3.4249,7.3
1b7h,57.2731,62.6860,-313.4300,1.6885,3.7244,8.02
1nja,39.1351,41.8260,-209.1300,1.6118,1.0791,6.31
1v48,52.7609,54.8500,-274.2500,0.8519,1.2372,7.8
1fcx,50.4253,52.2360,-261.1800,0.5687,1.2420,7.19
1fh7,44.5032,49.4880,-247.4400,4.6936,0.2912,5.24
1ajq,17.0460,18.7020,-93.5100,1.0569,0.5991,4.31
1pb9,18.6557,22.5080,-112.5400,3.8523,0.0000,3.62
1avn,6.8535,7.4960,-37.4800,0.0811,0.5614,3.9
3pce,17.7810,25.4680,-127.3400,7.3084,0.3785,2
1dhi,44.8075,47.3640,-236.8200,0.0000,2.5565,7.26
1d09,49.0317,54.9360,-274.6800,0.2753,5.6290,7.57
1fh9,47.8450,53.7280,-268.6400,5.4517,0.4312,6.43
1m0q,49.9027,53.8340,-269.1700,3.2761,0.6552,3.89
2fzc,19.5064,29.7420,-148.7100,4.0162,6.2195,2.7
1loq,36.9206,39.6300,-198.1500,0.4359,2.2735,3.7
2qwe,43.0826,47.1360,-235.6800,3.3233,0.7301,7.48
2d0k,39.4117,42.5040,-212.5200,0.6948,2.3975,5.02
1hfs,78.5555,90.4360,-452.1800,6.4148,5.4657,8.7
2fdp,60.0916,67.6400,-338.2000,2.1584,5.3900,7.59
1f4e,22.1014,24.2660,-121.3300,-0.0000,2.1646,2.96
1b9j,59.6359,63.8500,-319.2500,0.4137,3.8004,5.96
1rnt,42.1934,50.0720,-250.3600,5.3036,2.5750,5.19
4tln,17.8712,31.0600,-155.3000,9.9907,3.1981,3.72
