name,total,SMoG2016_KBP2016,SMoG2016_LJP,SMoG2016_Rotor,SMoG2016_lnMass,affinity
1y3g,-8.052,-193.584,86.605,16,6.145,7.4
1qy5,-8.378,-162.051,34.545,4,5.731,6.7
1awi,-10.919,-341.941,216.469,19,6.897,4.05
1rej,-9.775,-241.597,102.058,6,5.917,8.3
1qsc,-7.743,-232.765,156.649,28,6.674,3.68
11gs,-7.829,-209.336,125.776,20,6.414,5.82
1w1g,-5.951,-135.430,123.435,12,6.353,7.68
2bjm,-8.388,-185.624,73.311,0,5.268,3.7
1y2f,-6.647,-142.146,104.362,6,6.050,4.92
1fwv,-5.335,-101.473,105.546,10,6.412,3.72
1o2g,-7.667,-222.249,194.908,3,5.800,6.12
1ws5,-6.083,-100.739,42.192,2,5.268,3.03
2hdr,-4.871,-59.847,30.370,1,5.031,1.72
1zsr,-12.123,-369.989,166.808,24,6.557,9.82
1d5r,-4.788,-79.258,63.490,3,5.011,1.82
1me7,-8.133,-167.847,58.166,5,5.781,7.19
1z1r,-11.667,-304.936,114.553,10,6.377,9.22
1umw,-7.136,-216.579,157.735,30,6.748,6.55
1tnj,-5.921,-100.549,32.252,2,4.805,1.96
1rle,-6.497,-124.089,82.538,8,6.301,5.8
5abp,-6.496,-125.554,64.908,1,5.193,6.64
1db1,-13.752,-339.058,56.677,6,6.031,9.26
1gi6,-6.042,-152.274,151.889,2,5.538,6.22
1lox,-9.479,-212.877,40.442,9,5.561,5.52
2c4v,-3.996,-114.752,178.982,5,5.258,2.6
1rdj,-4.417,-54.853,53.963,0,5.100,1.66
4fiv,-12.066,-383.064,195.926,25,6.678,6.52
2er6,-13.059,-411.026,160.212,35,6.818,7.22
1gt1,-9.397,-202.496,45.757,0,5.263,6
1fdq,-7.392,-170.968,75.647,14,5.794,7.27
1dqx,-7.808,-173.003,92.308,4,5.829,11.05
1apb,-6.224,-111.585,54.432,0,5.100,5.82
1b11,-6.747,-147.080,78.521,15,6.121,7.39
1mmp,-7.985,-165.522,68.021,7,6.090,6.07
1urg,-8.417,-185.278,79.970,4,5.835,5.82
1vwn,-9.519,-270.011,185.178,10,6.632,5.82
1f2p,-5.411,-86.203,44.281,3,5.113,1.9
3pcc,-4.778,-94.167,95.674,1,4.927,3.62
2cji,-10.240,-234.759,71.439,6,6.142,8.22
1vyq,-9.091,-214.610,97.887,7,6.157,5.3
1bap,-5.892,-101.439,51.217,0,5.011,6.85
7abp,-6.173,-113.965,61.900,0,5.100,6.46
1jn2,-4.689,-56.726,57.891,8,6.195,4.09
1tnk,-6.098,-105.946,32.873,3,4.913,1.49
1o2k,-6.170,-170.186,177.481,5,5.791,6.92
1hn2,-9.511,-202.707,39.454,0,5.263,6
1rdl,-4.542,-58.491,53.716,1,5.193,2.24
1qi0,-6.840,-133.036,74.438,4,5.835,2.35
1sgx,-6.434,-109.168,56.645,4,5.911,5.8
1abf,-6.154,-114.327,63.670,0,5.100,5.42
1mhw,-10.356,-284.780,112.842,24,6.607,7.35
1m6p,-5.397,-100.640,90.431,3,5.561,5.1
1r0x,-7.772,-163.254,78.299,8,6.229,3.83
1ody,-12.309,-397.024,207.772,25,6.678,8.1
1wvc,-7.075,-187.303,161.898,8,6.180,4.46
2toh,-6.212,-109.027,58.669,2,5.477,4.15
2h6q,-8.631,-264.483,144.140,34,6.711,5.11
1gi8,-5.343,-141.659,172.990,2,5.542,5.05
1lor,-7.618,-170.132,98.061,4,5.829,11.06
2fgi,-10.325,-278.953,121.737,15,6.262,7.34
1tnl,-6.249,-108.084,34.606,1,4.899,1.88
1w2g,-7.591,-146.613,48.883,2,5.489,4.57
1bzh,-2.113,-185.059,448.021,16,6.894,6.77
1agm,-11.781,-320.456,144.288,9,6.471,12
1f8a,-7.208,-237.058,204.639,27,6.800,5
1icj,-7.538,-173.869,42.780,25,6.026,2.22
1w7x,-9.759,-264.413,136.016,13,6.292,8.4
1vwl,-7.747,-209.849,174.452,13,6.851,5.63
1njj,-6.113,-119.503,100.043,6,6.215,2.1
1g3b,-6.662,-126.709,57.963,4,5.469,5.74
1vjc,-8.949,-190.248,60.049,8,6.229,3.58
1w0y,-9.223,-225.791,99.024,10,6.125,6.42
1vjj,-6.702,-130.016,80.878,6,6.107,5.77
1m13,-13.029,-340.434,93.972,11,6.285,7.57
1qpb,-3.914,-35.021,16.671,1,4.466,1.36
1gj4,-7.263,-222.591,223.127,3,5.897,4.07
1sqn,-10.823,-244.834,59.702,0,5.704,9.4
830c,-9.825,-243.304,104.359,7,6.052,9.28
1sts,-7.855,-235.221,153.791,29,6.740,5
1sc8,-9.063,-216.393,79.446,13,6.110,7.44
1jwt,-9.732,-253.047,127.083,9,6.205,7.85
1a42,-7.195,-130.495,42.985,7,5.951,9.89
1pr1,-7.149,-143.265,73.545,2,5.614,5.3
1we2,-5.034,-103.832,108.293,1,5.159,4.36
1b74,-3.080,-54.586,112.710,4,4.991,1.3
1tsl,-6.825,-138.586,102.784,2,6.078,6.15
1jd5,-7.190,-230.314,179.293,31,6.813,6.62
1af2,-8.532,-183.331,62.904,2,5.497,3.1
2g00,-11.148,-269.711,85.821,7,6.281,9.74
1ow4,-9.064,-214.538,94.888,3,5.701,5.68
1vjd,-8.777,-213.675,113.816,8,6.229,3.54
1utc,-9.225,-292.060,183.243,29,6.818,4.55
1wei,-5.537,-73.232,14.918,0,4.906,9
1o3h,-7.274,-150.718,89.713,2,5.847,7.3
1jqe,-11.627,-268.728,37.144,9,5.995,6.44
1wkm,-5.032,-70.837,29.684,4,5.004,0.82
1jt1,-2.694,-68.370,176.953,4,5.380,3.4
2i0g,-10.622,-242.601,61.145,1,5.642,9.72
7hvp,-12.431,-392.423,170.398,32,6.759,9.62
1uxa,-5.169,-94.539,95.306,9,6.155,2.3
1udt,-10.823,-253.198,69.603,7,6.174,9.3
1vot,-9.918,-208.568,36.116,0,5.494,6.6
1h9z,-8.846,-183.609,47.500,4,5.730,5.42
1gz3,-8.688,-185.683,66.723,8,6.229,3.7
6abp,-5.984,-102.466,47.768,0,5.011,6.36
1sri,-6.758,-211.675,219.945,3,5.599,6.08
1rbo,-7.048,-152.237,81.936,9,5.875,12.72
1gny,-8.244,-190.723,114.021,8,6.519,4.14
1fj4,-7.548,-139.926,33.124,2,5.347,4.59
1ux7,-6.188,-98.028,44.749,3,5.691,3
1p28,-4.512,-46.783,4.209,1,4.478,5.42
1q63,-7.867,-159.983,61.334,3,5.663,5.85
1a0q,-8.401,-185.730,56.839,11,5.838,7.57
1w1d,-6.581,-143.056,109.524,8,6.214,6.52
1sle,-8.780,-207.958,125.437,8,6.776,6.17
1gjb,-7.704,-190.763,134.069,3,5.803,6.35
1a7x,-13.410,-396.914,196.701,12,6.846,9.7
1byk,-8.508,-227.927,155.769,6,6.045,5
1ga8,-6.681,-118.571,54.710,4,5.787,1.8
1f2o,-4.817,-66.619,32.960,3,4.884,1.91
1oko,-5.268,-82.353,55.906,1,5.193,4.54
5fiv,-6.821,-146.455,73.023,15,6.121,7.66
1jmi,-7.978,-160.410,54.811,4,5.730,6.06
2ivu,-10.667,-260.490,95.444,6,6.164,6.43
2fzz,-12.017,-293.423,86.962,6,6.379,10.52
1o9d,-6.456,-191.261,165.693,23,6.518,5.6
6fiv,-6.812,-149.195,78.686,15,6.121,8.08
1ulg,-5.253,-95.610,94.635,6,5.948,4.21
1cea,-5.371,-85.181,28.150,5,4.884,4.96
1caq,-13.137,-341.652,98.041,8,6.221,7.72
1mj7,-9.619,-242.743,87.822,16,6.166,8.35
1ce5,-6.006,-98.635,27.611,1,4.813,4.74
1o3k,-7.196,-147.132,87.709,2,5.849,6.77
1ofz,-5.637,-86.415,41.704,0,5.100,4.62
2fwp,-5.395,-105.308,79.683,5,5.258,2.92
1a1c,-6.874,-170.656,112.540,18,6.319,6.4
2a31,-5.164,-76.871,24.390,4,4.788,1.01
1tvo,-9.885,-203.739,34.338,2,5.796,6.85
1zky,-9.561,-234.118,104.497,2,5.664,6.25
1ykp,-3.667,-102.930,181.349,1,5.037,2.96
1oai,-5.535,-194.850,185.661,38,6.838,5
1fwu,-0.615,-111.442,399.635,10,6.412,3.7
1q95,-7.662,-174.782,81.628,7,5.541,7.57
1gz9,-7.970,-177.277,98.548,6,6.191,3.51
1aj6,-7.312,-172.755,123.477,10,6.417,5.92
1w8m,-5.155,-72.207,33.962,4,5.221,1.6
2hs2,-11.414,-302.835,111.715,13,6.305,8.31
1uxb,-5.010,-97.061,109.335,9,6.155,2.15
1h1h,-4.984,-62.129,52.304,6,6.057,5.22
2ada,-8.001,-175.812,84.632,2,5.614,13
1lrt,-7.880,-197.122,135.816,11,6.503,5.64
1g3c,-6.934,-135.712,58.881,4,5.469,5.8
1v2q,-7.504,-156.700,64.706,11,6.076,4.13
2f5t,-9.323,-224.914,101.114,4,5.835,5.17
1rek,-12.969,-355.463,127.447,11,6.330,6.7
3tlh,-6.356,-136.161,80.916,15,6.121,8.82
1h1p,-7.893,-155.193,44.575,3,5.510,4.92
1rdt,-13.693,-336.655,62.235,3,5.930,6.7
1z4n,-7.432,-155.456,74.064,3,5.561,4.52
1o8b,-6.656,-128.420,63.800,3,5.438,2.68
1pu7,-6.773,-120.094,38.569,0,5.107,3.1
1c5z,-5.764,-101.883,47.153,1,4.796,4.01
1z9g,-6.941,-132.903,45.217,7,5.534,5.64
1owh,-8.247,-177.154,68.433,5,5.769,7.4
1gpn,-10.265,-221.260,41.890,0,5.550,6.48
1z95,-11.318,-283.256,92.303,7,6.064,4.3
2fvd,-9.939,-236.445,89.982,6,6.089,8.52
1k1i,-8.527,-205.277,109.313,9,6.233,6.58
1oyt,-10.943,-256.411,72.633,4,6.012,7.24
1y6r,-9.745,-222.458,69.545,3,5.691,10.11
1yc1,-9.919,-219.325,58.861,4,5.908,6.17
1w4o,-6.248,-110.707,65.075,4,5.781,5.22
1lpg,-10.669,-284.540,128.147,11,6.305,7.09
1bzc,-6.690,-147.072,100.933,9,6.064,4.92
1pxn,-9.741,-223.850,71.102,4,5.747,7.15
1z6e,-11.197,-261.661,63.984,8,6.271,9.72
1syi,-7.615,-162.092,72.529,3,5.481,5.44
2j7h,-6.688,-134.387,62.165,1,4.998,7.19
2br1,-9.983,-238.329,82.421,7,5.969,5.14
1p1n,-7.175,-144.324,57.110,4,5.376,6.8
1uto,-5.695,-88.142,22.266,2,4.805,2.27
1s38,-6.797,-124.153,47.140,0,5.165,5.15
1nc3,-9.084,-205.415,75.637,2,5.588,5
1qf1,-8.570,-203.735,77.669,13,5.941,7.32
1ps3,-7.655,-165.604,82.498,1,5.447,2.28
2cbv,-7.317,-156.158,76.829,0,5.171,5.48
5tmn,-8.546,-204.389,77.161,16,6.125,8.04
1r5y,-6.374,-118.910,62.247,0,5.171,6.46
2hb1,-6.785,-115.572,37.101,4,5.642,3.8
1h22,-13.593,-341.912,51.108,13,6.149,9.1
1ydr,-9.105,-200.893,69.636,2,5.677,5.52
1q8u,-9.465,-205.787,61.514,2,5.769,5.96
1xd0,-12.963,-392.443,208.361,12,6.697,7.12
1b05,-8.702,-219.937,89.519,16,5.941,7.12
2iuz,-9.060,-209.267,96.629,3,5.977,5.55
1usn,-6.907,-132.862,64.980,8,6.057,7.74
1odj,-7.866,-162.828,70.448,2,5.667,4.1
1szd,-10.103,-242.015,89.813,9,6.326,4.54
1d4y,-10.846,-289.046,126.616,12,6.401,11.1
1wm1,-8.010,-159.783,42.334,3,5.412,6.3
2ans,-7.575,-143.905,49.912,3,5.701,5.92
1yda,-4.989,-65.933,42.939,3,5.403,6.55
1mfi,-7.095,-146.330,65.637,2,5.204,5.59
1nw5,-9.505,-223.280,83.169,7,5.992,5.21
1o7o,-8.089,-186.700,101.423,6,6.001,4.49
1fl3,-10.829,-252.585,46.463,8,5.734,6.8
1xk5,-7.152,-201.117,188.168,13,6.736,6
1ax0,-6.298,-115.203,58.423,3,5.399,3.13
1yei,-8.443,-183.936,55.089,10,5.850,7.46
1hmr,-6.940,-144.131,38.838,16,5.650,6.55
1uou,-7.042,-132.760,55.071,2,5.489,7.7
1bcd,-4.462,-40.541,17.100,1,5.004,8.7
1apv,-7.648,-202.350,124.040,18,6.258,9
1i9p,-6.901,-131.742,65.090,5,5.841,8.41
1fhd,-8.866,-201.711,87.021,2,5.724,6.82
1d3p,-11.808,-277.789,48.944,11,6.301,7.39
1sln,-9.992,-265.080,104.966,17,6.185,6.64
1y3n,-8.358,-195.141,102.974,4,5.864,5.55
1ta6,-10.084,-250.501,89.717,12,6.172,9.13
1fch,-8.651,-236.722,112.983,25,6.460,7.15
1dl7,-7.146,-147.523,68.317,7,5.724,6.49
1h4w,-5.996,-100.788,31.535,1,4.796,4.66
1a1e,-6.729,-167.543,118.916,17,6.323,6
1b5j,-9.650,-251.434,88.463,18,6.005,7.43
2c1p,-9.385,-202.091,48.828,5,5.775,5.4
1jmg,-7.546,-157.621,74.821,4,5.730,6.07
2sim,-6.993,-143.687,71.604,6,5.674,3.42
1bn1,-6.958,-124.528,48.548,5,5.846,9.34
1o3j,-6.414,-146.473,131.851,2,5.844,6.77
1tys,-8.704,-195.801,80.359,4,5.775,5.49
1hpo,-10.504,-262.113,110.423,6,6.223,9.22
2aoe,-11.378,-358.337,156.211,35,6.728,7.62
1q54,-5.186,-125.583,146.273,7,5.835,5.85
1qb1,-8.764,-222.034,134.667,8,6.337,6.77
1jmf,-7.679,-164.249,79.458,4,5.730,5.77
2afx,-6.648,-112.672,23.047,2,5.063,5.15
1ct8,-7.964,-195.693,112.326,14,6.377,6.52
1wcq,-7.686,-181.897,102.974,6,5.684,6.26
2gst,-9.549,-257.526,132.421,13,6.219,6.07
1oba,-4.953,-61.253,8.829,2,4.645,2.44
2bqv,-12.815,-341.074,93.616,16,6.377,8.05
1hpv,-11.306,-280.644,73.283,13,6.225,9.22
1d9i,-9.510,-239.637,116.977,8,6.166,9.11
1sw1,-6.470,-125.484,57.172,1,4.971,7.3
1nt1,-10.441,-254.898,118.468,1,6.223,8.89
1oyq,-9.452,-231.268,94.537,12,6.266,6.96
1c70,-14.112,-390.264,121.255,14,6.482,10.3
1b3h,-10.345,-273.376,94.901,17,6.065,6.21
1cnx,-6.847,-132.866,47.451,11,5.806,7.37
2dw7,-4.342,-82.327,95.254,3,5.011,4.7
1z1h,-11.866,-305.852,107.161,9,6.351,8.4
1k1l,-8.928,-225.175,123.136,8,6.147,6.9
1nf8,-7.938,-167.503,57.693,4,5.421,7.82
1oif,-6.810,-132.850,52.214,1,4.998,7.72
2byr,-11.423,-337.648,196.011,10,6.527,8.55
1lzq,-11.756,-358.620,166.060,24,6.534,8.39
1gno,-7.989,-243.071,167.901,23,6.394,7.7
1c5x,-6.998,-115.024,37.271,1,5.714,6.68
1g9r,-10.140,-275.668,151.161,9,6.342,5.7
1qka,-10.159,-275.479,99.440,20,6.076,5.92
1l6m,-4.511,-55.320,43.191,1,5.037,8.1
1sgu,-13.220,-352.280,99.805,14,6.421,5.37
2fzk,-4.962,-168.406,238.228,9,5.981,3.6
1dqn,-7.745,-166.719,87.398,4,5.906,8
2bfq,-10.599,-253.569,82.433,9,6.326,6.89
1izi,-11.843,-345.373,139.722,23,6.533,6.59
2fqw,-8.359,-186.045,82.823,2,5.614,6.68
1bv7,-14.938,-433.809,160.425,14,6.631,9.3
1w4p,-6.183,-104.414,55.011,4,5.730,4.74
2jxr,-9.584,-284.482,166.513,20,6.482,7.05
1li2,-6.294,-106.651,18.295,0,4.544,4.04
1n8v,-7.660,-143.079,9.693,11,5.576,6.03
1lkk,-7.677,-206.034,118.272,24,6.514,6.85
1tuf,-5.521,-85.145,23.132,8,5.237,4.05
1o2z,-7.625,-192.843,139.469,8,6.164,6.11
1t31,-11.115,-290.158,128.089,9,6.508,8.64
1b46,-9.598,-240.896,82.835,14,5.925,5.28
1k1j,-9.234,-234.390,119.989,10,6.260,7.55
1c87,-6.457,-129.434,80.517,4,5.602,4.2
2gvj,-10.958,-270.238,74.374,10,5.969,9.52
1afk,-6.732,-132.221,81.056,8,6.229,6.62
1kpm,-10.578,-255.771,73.103,10,6.055,5.8
1jcx,-8.140,-196.784,96.854,12,6.026,5.15
4std,-9.957,-221.455,57.000,4,5.820,10.33
1jao,-8.514,-190.744,60.696,10,5.778,5.92
1h0a,-7.369,-149.020,74.661,6,6.040,5.44
1yfz,-6.791,-123.269,60.481,4,5.870,4.35
1qy1,-7.049,-139.357,47.959,3,5.113,6.52
1fq5,-13.094,-374.174,171.574,11,6.733,8.4
1mrw,-11.129,-288.235,106.685,11,6.268,9.7
1ksn,-10.102,-253.515,99.174,10,6.116,9.4
1fjs,-10.537,-276.954,127.382,9,6.269,9.96
1ur9,-10.853,-302.803,148.635,12,6.321,5.77
2fqo,-6.946,-150.304,72.792,9,5.595,6.43
1e1x,-7.176,-152.160,77.829,4,5.526,5.89
1jlr,-7.374,-171.135,118.032,8,6.271,3.33
1ew8,-2.613,-47.407,131.660,2,4.942,2.26
1bxq,-9.497,-267.347,130.669,22,6.440,7.38
1pb8,-4.745,-78.066,53.095,2,4.664,5.15
1x8r,-8.150,-219.582,155.892,7,6.006,6.12
1p19,-6.768,-149.736,111.224,4,5.870,4.11
1jqy,-7.512,-191.855,136.927,10,6.160,4.92
1fpc,-9.826,-238.762,84.930,12,6.223,7
2b4l,-6.051,-103.590,28.969,2,4.771,4.77
1i9m,-6.073,-127.629,103.527,5,5.787,8.48
1l83,-6.277,-108.457,15.053,0,4.357,3.4
1nz7,-8.669,-240.223,127.709,23,6.511,7.12
1lbf,-8.377,-209.661,111.009,9,5.861,7.85
1a4r,-7.458,-151.557,76.850,6,6.105,6.66
1ec9,-3.998,-116.137,182.118,5,5.273,3.1
1r6n,-7.904,-185.880,127.402,6,6.409,7.4
1tng,-5.342,-77.554,23.886,1,4.737,2.93
1cgl,-8.863,-244.209,124.465,22,6.440,6.87
1g2k,-13.370,-366.398,125.692,12,6.448,7.96
1mue,-8.650,-218.690,124.178,9,6.159,8.64
2ez7,-4.086,-37.984,29.002,3,5.050,4.36
1mu8,-9.912,-237.810,83.847,9,6.101,9
1kdk,-10.132,-226.128,63.728,0,5.671,9.05
1g30,-11.190,-290.338,103.398,12,6.266,6.85
1mrn,-12.009,-319.679,117.731,16,6.792,4.52
1uj5,-5.935,-118.132,75.944,6,5.438,3.05
1b6h,-9.240,-237.773,87.410,17,5.930,7.82
1gnn,-8.039,-240.701,160.550,23,6.394,5.68
2gzl,-11.690,-315.983,129.021,13,6.521,4.82
1pot,-7.543,-156.088,31.372,7,4.998,5.49
1i9l,-6.778,-120.672,47.095,5,5.730,8.48
1k1n,-8.757,-228.359,128.032,14,6.401,6.82
5er2,-12.979,-417.437,182.048,34,6.857,6.57
1q84,-17.114,-480.501,122.323,12,6.497,11.05
1lgt,-7.682,-152.662,54.558,1,5.394,6.1
1v2r,-7.437,-156.542,68.136,11,6.071,3.55
1b51,-8.963,-224.680,81.394,16,5.898,7.37
1cps,-6.748,-125.957,48.481,5,5.481,6.66
1uz8,-9.457,-238.169,119.164,9,6.298,4.96
1uvt,-10.483,-242.226,56.176,8,5.951,7.64
1fcy,-14.018,-362.872,93.279,3,5.956,8.52
1elc,-7.878,-212.954,136.391,16,6.229,6.66
1bzy,-9.567,-239.899,117.731,4,5.906,8.34
1ugx,-7.413,-151.292,70.488,7,5.984,5.91
1fm9,-14.747,-406.140,113.616,12,6.303,9
2j34,-9.819,-213.882,57.536,6,6.155,7.82
1d6v,-10.752,-255.873,65.668,8,5.943,6.17
1nw7,-8.458,-184.755,70.710,7,5.954,5.09
1b6j,-12.328,-342.337,134.388,15,6.534,7.92
1xjd,-13.377,-331.657,83.808,2,6.147,9.48
2aod,-11.260,-348.154,138.009,36,6.668,5.66
1bnt,-7.261,-130.032,53.183,3,5.966,9.8
1hvl,-12.752,-396.279,180.525,25,6.678,9.95
2f81,-11.822,-317.092,114.494,13,6.305,10.52
1bv9,-14.723,-429.902,165.695,14,6.631,8.96
2eum,-9.890,-280.375,114.601,29,6.623,6.7
1rpj,-7.035,-156.994,92.177,1,5.193,6.48
1g32,-11.621,-285.821,82.431,6,6.050,6.11
1g3d,-6.676,-126.833,57.381,4,5.469,5.55
1iih,-5.380,-83.518,42.148,4,5.226,2.89
1i00,-7.592,-155.300,62.657,10,6.127,6.34
1xff,-5.681,-104.628,55.194,4,5.011,4.82
1o38,-7.686,-188.175,128.050,5,5.922,6.82
1pgp,-6.357,-124.384,66.953,7,5.620,5.7
2a8g,-6.870,-158.938,118.980,2,5.610,3.69
6cpa,-8.081,-227.585,156.551,14,6.170,11.52
1lpz,-9.699,-233.000,96.136,7,6.142,7.6
4tmk,-10.957,-325.210,189.433,16,6.792,7.7
1m0o,-8.495,-207.910,111.713,7,5.951,2.31
1b5h,-8.922,-226.405,86.979,16,5.898,6.01
1jeu,-9.480,-240.464,77.993,18,6.007,6.82
2aac,-6.646,-122.385,49.991,0,5.100,2.22
1moq,-7.223,-150.365,76.738,3,5.561,3.46
1xt8,-4.772,-72.569,47.027,2,4.804,6.85
2avq,-10.868,-340.277,149.055,35,6.650,4.39
1gjc,-7.849,-192.598,128.785,3,5.796,6.35
3aid,-10.966,-282.358,92.657,14,6.223,6.86
1v2u,-5.896,-96.646,29.634,1,4.796,3.37
1f0s,-9.783,-214.910,61.192,5,6.059,7.74
1igj,-9.983,-231.848,96.328,3,6.254,10
2tmn,-5.022,-73.979,46.661,5,5.347,5.89
1ado,-5.083,-65.846,22.807,4,5.136,6
1ciz,-13.004,-334.488,92.457,8,6.221,7.44
1o2n,-7.845,-192.376,132.614,3,5.895,6.09
2hf8,-9.150,-224.251,114.782,8,6.301,5.47
1ork,-9.859,-266.720,157.653,6,6.247,8.81
1qin,-8.316,-208.200,110.215,15,6.344,8
1ecv,-6.451,-121.658,74.981,4,5.814,4.85
1pxp,-10.054,-225.987,58.343,4,5.784,6.66
1mrs,-8.509,-184.174,68.462,5,5.823,3.96
1dif,-12.133,-392.387,211.244,25,6.722,10.66
1aj7,-7.891,-162.101,48.268,8,5.717,3.87
1yvm,-7.030,-121.162,30.081,1,5.303,6.4
2amt,-10.010,-254.298,108.016,12,6.341,4.44
1lkl,-7.486,-193.698,109.991,22,6.427,5.81
1qf2,-7.811,-178.220,91.912,9,6.021,5.92
1y20,-5.041,-82.368,45.882,1,4.626,5.32
1w5w,-14.559,-415.632,143.144,15,6.585,8.8
1a94,-10.403,-338.795,177.244,35,6.744,7.85
1b4z,-9.246,-237.257,87.795,17,5.972,5.23
1os5,-9.203,-212.778,89.890,7,6.205,6.85
1fkg,-8.966,-225.155,108.547,11,6.108,8
1s63,-7.519,-143.930,58.518,5,6.004,9.05
1r1j,-7.858,-217.248,153.714,11,5.992,8.64
1m48,-8.754,-202.720,86.091,9,6.105,5.09
1f0t,-8.864,-190.243,66.879,6,6.101,6
1li3,-6.377,-104.860,22.780,0,4.852,4.25
2j7b,-7.428,-151.860,64.376,1,5.309,6.62
3pck,-5.829,-99.434,48.888,1,5.044,6.7
1bwb,-15.543,-466.746,190.108,14,6.715,8.42
2il2,-12.743,-348.753,128.486,12,6.427,7.1
1qbt,-16.042,-484.936,194.908,14,6.715,10.62
2fxv,-8.281,-186.467,93.221,4,5.911,5.35
2izl,-8.173,-162.321,34.091,5,5.502,6
1ucn,-7.953,-174.036,87.968,6,6.057,5.22
1upf,-4.824,-52.842,16.921,0,4.868,4.6
2fqy,-9.368,-212.322,71.962,2,5.588,6.57
1bgq,-8.511,-169.335,61.536,0,5.897,8.57
1nl9,-7.793,-190.999,105.962,15,6.279,5.96
1o2j,-6.573,-171.553,156.256,5,5.784,6.92
