name,total,SMoG2016_KBP2016,SMoG2016_LJP,SMoG2016_Rotor,SMoG2016_lnMass,affinity
1hfs,-16.339,-475.344,131.872,20,6.559,8.7
2d0k,-7.620,-181.216,107.993,10,6.092,5.02
1ela,-7.935,-181.079,79.988,13,6.125,6.36
1rnt,-6.019,-120.128,101.341,4,5.911,5.19
1ndy,-9.633,-219.274,61.199,6,5.734,6.17
1j17,-11.119,-264.609,82.357,5,6.213,5.22
1ols,-9.394,-220.206,82.764,8,6.052,5.82
3std,-12.948,-322.043,66.383,6,5.898,11.11
1avn,-4.165,-35.234,9.242,2,4.719,3.9
5er1,-9.476,-253.717,109.654,19,6.256,6.02
2drc,-8.228,-216.750,139.953,10,6.118,9.89
1pb9,-4.816,-68.604,37.292,0,4.635,3.62
1d7j,-4.718,-58.587,10.667,2,4.478,3.3
1pxo,-8.977,-207.547,87.246,4,5.796,8.7
2g8r,-5.380,-96.933,93.845,4,5.875,3.99
1ndw,-8.380,-182.672,58.720,6,5.557,5.23
1fh7,-8.104,-177.279,80.149,2,5.584,5.24
1jys,-5.847,-83.610,16.220,0,4.906,3.52
1om1,-9.849,-222.622,66.637,2,5.674,6.77
1nfy,-10.226,-229.218,65.272,5,6.138,8.89
1fkb,-10.814,-274.806,140.433,6,6.817,9.7
1loq,-6.996,-141.251,78.450,4,5.781,3.7
4tln,-1.557,-65.246,221.487,4,4.991,3.72
1trd,-4.898,-71.509,44.390,4,5.142,5.4
2d1o,-10.524,-270.111,67.274,21,6.143,7.7
1k9s,-8.508,-183.168,70.240,2,5.649,6.52
1ndz,-12.665,-329.879,92.608,11,6.213,8.11
2cgr,-9.109,-221.074,93.517,9,5.956,7.28
1toi,-5.501,-87.246,36.813,3,5.011,4.05
2brm,-9.497,-216.950,71.063,5,5.800,5.89
2fzc,-5.388,-123.231,118.148,9,5.717,2.7
6rnt,-5.728,-89.620,58.848,4,5.850,2.37
1fd0,-14.068,-369.815,104.908,3,5.994,8.4
1dhi,-8.405,-206.927,111.277,10,6.118,7.26
1hi4,-5.961,-120.662,104.595,6,6.057,4.49
1nje,-7.822,-161.998,66.779,4,5.727,3.8
1b8o,-8.388,-178.903,67.504,2,5.606,10.64
1jaq,-6.584,-137.017,66.705,11,5.711,4.48
2h3e,-6.905,-157.838,94.001,7,5.537,5.7
1pz5,-8.301,-275.748,184.472,36,6.887,5.4
1ajq,-5.783,-86.201,19.737,2,4.956,4.31
1fcx,-14.069,-364.406,93.420,3,5.962,7.19
1u33,-10.337,-280.579,149.542,8,6.273,4.6
1tmn,-8.079,-191.300,89.105,14,6.174,7.3
1pbq,-6.513,-114.800,59.827,1,5.584,6.27
1nhu,-7.382,-151.004,73.624,9,6.205,5.66
1df8,-8.279,-167.047,36.522,5,5.498,9.7
1syh,-7.501,-157.971,71.466,3,5.481,6.31
1bxo,-10.421,-271.756,121.519,12,6.459,10
2f80,-11.696,-309.421,107.564,13,6.305,8.18
2bak,-12.438,-340.667,132.438,11,6.370,7.43
1olu,-8.950,-197.216,65.738,8,6.052,4.41
1fzj,-12.736,-416.981,184.954,37,6.864,8.1
1x1z,-7.639,-170.968,98.378,4,5.829,11.06
1flr,-8.377,-203.767,123.975,2,5.835,10
2g94,-11.466,-320.708,113.900,23,6.490,9.52
1bma,-8.792,-216.324,94.013,15,6.256,4.59
1lol,-7.202,-142.072,73.187,4,5.908,6.39
1g7f,-6.945,-181.932,124.968,19,6.298,5.47
1ajp,-6.431,-114.723,42.065,2,5.124,2.23
1q7a,-8.454,-167.710,39.445,5,5.787,7.19
1m0n,-8.707,-219.708,126.222,6,5.982,2.22
2ctc,-6.644,-129.758,53.637,3,5.112,3.89
1v16,-9.074,-206.011,74.971,8,6.052,3.87
2j77,-7.256,-153.244,68.467,1,5.100,4.89
1ttm,-7.026,-129.902,60.675,2,5.734,7.35
1zc9,-6.166,-119.337,75.311,4,5.522,3.22
1fzk,-11.829,-393.021,214.219,31,6.856,8.4
2bz6,-9.067,-217.161,91.926,9,6.036,7.09
2std,-9.580,-207.154,48.287,5,5.808,9.85
1zs0,-9.867,-224.303,63.826,7,5.989,6.15
1vfn,-5.382,-83.015,44.314,0,4.956,5.6
1sv3,-5.977,-94.676,27.001,2,5.024,4.74
1fkn,-10.104,-341.017,200.990,35,6.795,8.8
1fh9,-7.797,-187.260,120.773,2,5.684,6.43
2b7d,-7.728,-217.913,178.510,10,6.294,8.7
1nny,-10.031,-282.087,143.458,19,6.578,7.66
2gss,-6.163,-104.274,47.944,6,5.710,4.94
1m2q,-8.668,-181.280,59.437,1,5.613,6.1
1f4g,-9.308,-229.163,89.705,14,6.213,6.48
1vzq,-11.639,-284.497,88.463,4,6.110,7.44
1a69,-7.338,-156.739,87.657,2,5.614,5.3
8cpa,-8.432,-229.996,139.378,14,6.140,9.15
1elb,-6.877,-169.265,110.360,16,6.160,7.15
1v48,-7.805,-165.988,72.632,6,5.838,7.8
10gs,-8.249,-204.754,100.220,15,6.162,6.4
1sl3,-9.997,-257.047,120.326,10,6.323,11.85
1o3p,-7.352,-184.398,139.843,4,5.821,6.66
3gss,-7.756,-204.992,121.944,20,6.414,5.82
1v2o,-7.393,-154.535,66.958,11,6.071,4.73
1s39,-6.268,-109.724,47.648,0,5.082,7.7
2ceq,-8.232,-189.473,88.083,1,5.319,7.28
1det,-6.040,-102.026,66.311,4,5.911,4.3
1k4g,-7.478,-143.696,53.620,3,5.663,5.85
1f5k,-5.989,-99.978,30.421,1,4.796,3.74
1tsy,-7.568,-158.347,74.877,4,5.730,4.96
2bok,-10.379,-241.258,69.304,6,5.992,6.55
1kv5,-4.670,-65.140,45.613,3,5.050,4.22
1ai5,-6.142,-121.440,71.175,3,5.204,3.72
2rkm,-7.600,-163.229,49.220,12,5.625,3.9
1e1v,-7.306,-160.851,89.414,3,5.510,4.92
2g5u,-7.767,-146.814,54.284,1,5.774,8.49
2usn,-7.854,-180.048,89.445,10,6.026,6.51
4er2,-9.998,-283.624,117.690,27,6.530,9.3
6std,-9.317,-197.739,54.643,5,6.018,8.64
2azr,-7.448,-145.994,51.102,4,5.541,3.64
1ppm,-9.797,-269.592,123.123,20,6.406,5.8
1fki,-9.097,-191.237,75.744,0,6.081,7
1j16,-6.099,-103.436,30.511,1,4.796,3.84
1kv1,-8.829,-183.690,44.832,5,5.724,5.94
1fcz,-13.390,-339.218,79.537,4,5.892,9.22
1m0q,-7.966,-192.249,113.809,6,5.875,3.89
1b9j,-9.519,-245.871,87.788,17,5.967,5.96
1b7h,-9.516,-247.423,87.243,18,5.967,8.02
1hk4,-7.180,-127.706,74.734,5,6.656,5.31
2d3u,-9.442,-202.073,54.172,5,5.987,6.92
1zvx,-9.967,-229.598,67.852,7,5.989,9.22
