name,Orientation_Score,Affinity_Score(Heavy_Ligand_Atoms),Affinity_Score,Buried_Protein_Hydrophobic_Term,Hydrophobic_Complementarity_Term,Polar_Component_Term,Number_of_Protein-Ligand_Hydrophobic_Contacts,Number_of_Protein-Ligand_H-bonds,Number_of_Protein-Ligand_Salt-bridges,Number_of_Metal-Ligand_Bonds,Number_of_Interfacial_Unsatisfied_Polar_Atoms,Number_of_Interfacial_Unsatisfied_Charged_Atoms,Buried_Carbons,affinity
1o3k,-8.048,-0.131,-7.979,-3.437,-0.664,1.340,64,4,4,0,10,0,1.000,6.77
2bsu,-15.399,-0.116,-13.237,-8.752,-1.411,2.144,201,15,2,0,12,4,0.909,5.66
1agm,-10.273,-0.108,-9.957,-5.083,-0.996,1.340,85,10,2,0,6,4,0.880,12
1gny,-7.651,-0.052,-7.619,-3.211,-0.664,1.474,46,6,2,0,10,1,0.560,4.14
1we2,-7.123,-0.165,-7.195,-1.632,-0.747,0.402,24,1,8,0,3,0,1.000,4.36
1z3t,-7.737,-0.116,-7.895,-2.300,-0.913,0.536,33,8,3,0,4,0,1.000,3.94
1heg,-8.411,-0.089,-8.873,-5.703,-0.498,2.546,65,4,2,0,18,1,1.000,7.74
1o2g,-8.736,-0.158,-9.174,-4.849,-0.581,1.474,84,3,4,0,9,2,1.000,6.12
1m9n,-11.209,-0.124,-8.199,-2.291,-1.494,0.804,61,14,4,0,6,0,1.000,6.92
1o2x,-7.856,-0.101,-8.049,-3.858,-0.581,1.608,66,7,0,0,10,2,0.944,5.85
1o0o,-6.571,-0.046,-6.448,-1.555,-0.747,1.072,14,2,7,0,6,2,0.800,5.1
1bzh,-9.642,-0.039,-7.867,-4.499,-0.830,2.680,84,5,5,0,16,4,0.744,6.77
7abp,-7.274,-0.172,-7.109,-1.412,-0.747,0.268,31,7,2,0,2,0,1.000,6.46
1f2p,-7.769,-0.233,-8.018,-2.072,-0.996,0.268,30,4,8,0,2,0,1.000,1.9
1gjb,-8.105,-0.120,-8.208,-4.068,-0.664,1.742,60,5,3,0,12,1,0.900,6.35
1ykp,-6.642,-0.115,-6.484,-1.604,-0.332,0.670,42,3,1,0,2,3,1.000,2.96
1joc,-8.885,-0.101,-7.240,-0.898,-1.660,0.536,10,3,17,0,3,1,1.000,4.62
1dqx,-9.762,-0.111,-7.657,-2.017,-1.494,1.072,33,11,7,0,6,2,1.000,11.05
1a7x,-10.125,-0.074,-10.178,-7.091,-0.415,2.546,110,5,0,0,15,4,0.824,9.7
2hs2,-8.668,-0.098,-8.937,-5.716,-0.415,2.412,67,5,0,0,13,5,1.000,8.31
1f8a,-10.255,-0.045,-7.935,-3.916,-1.079,2.278,84,5,8,0,14,3,0.625,5
2f5t,-10.365,-0.158,-8.859,-2.766,-1.411,0.536,45,16,1,0,4,0,1.000,5.17
1ofz,-6.775,-0.119,-6.528,-0.914,-0.664,0.268,27,5,3,0,2,0,1.000,4.62
1af2,-8.488,-0.139,-7.575,-2.095,-0.664,0.402,54,7,1,0,2,1,1.000,3.1
1qq9,-7.619,-0.234,-7.320,-1.374,-0.996,0.268,21,4,8,0,2,0,1.000,2.06
1lrt,-9.603,-0.076,-8.497,-3.693,-1.328,1.742,47,10,6,0,11,2,0.900,5.64
1m13,-9.778,-0.187,-12.503,-7.170,-0.249,0.134,126,3,0,0,1,0,0.943,7.57
1pr1,-7.089,-0.092,-6.973,-2.278,-0.415,0.938,43,4,1,0,5,2,1.000,5.3
2er6,-11.509,-0.105,-12.017,-7.564,-1.245,2.010,105,11,4,0,8,7,1.000,7.22
1q95,-11.995,-0.207,-8.526,-1.322,-2.656,0.670,22,8,24,0,5,0,1.000,7.57
1h9z,-7.176,-0.149,-8.640,-3.760,-0.332,0.670,60,0,4,0,3,2,1.000,5.42
1jqe,-9.310,-0.123,-8.652,-5.310,-0.000,1.876,142,0,0,0,9,5,1.000,6.44
1a42,-7.577,-0.120,-7.985,-2.990,-0.581,0.804,38,3,4,0,3,3,0.917,9.89
1g3c,-8.076,-0.139,-7.576,-2.249,-0.913,0.804,45,10,1,0,5,1,1.000,5.8
1axz,-6.358,-0.044,-5.747,-1.320,-0.415,1.206,29,3,2,0,8,1,1.000,3.2
1r0x,-9.803,-0.077,-7.609,-1.637,-1.826,1.072,16,12,10,0,7,1,0.800,3.83
1pu8,-6.559,-0.087,-6.265,-1.634,-0.083,0.670,65,1,0,0,5,0,1.000,3.1
1pbk,-8.333,-0.060,-9.109,-4.516,-0.581,1.206,63,7,0,0,8,1,0.647,9.05
2adm,-7.385,-0.064,-6.941,-2.916,-0.415,1.608,47,2,3,0,11,1,1.000,5.7
1z4n,-8.125,-0.058,-6.148,-1.357,-0.913,1.340,28,5,6,0,7,3,1.000,4.52
1rdi,-6.888,-0.105,-6.479,-0.450,-1.079,0.268,6,8,5,0,2,0,0.714,2.06
1qpb,-5.195,-0.064,-5.604,-0.673,-0.249,0.536,13,3,0,0,1,3,1.000,1.36
2dua,-5.954,-0.117,-5.920,-0.472,-0.498,0.268,10,6,0,0,1,1,1.000,4.77
1tsl,-6.433,-0.098,-8.154,-3.842,-0.166,1.072,40,1,1,0,6,2,0.750,6.15
1gi6,-8.269,-0.167,-8.383,-3.407,-0.830,1.072,58,6,4,0,8,0,1.000,6.22
1caq,-10.728,-0.122,-9.619,-5.498,-0.913,2.010,102,4,7,0,13,2,0.929,7.72
1urg,-8.109,-0.104,-7.605,-2.795,-0.664,1.072,58,4,4,0,8,0,1.000,5.82
1xzx,-8.718,-0.133,-8.276,-3.415,-0.581,0.938,65,1,6,0,7,0,1.000,10.22
3tlh,-6.386,-0.064,-7.339,-3.129,-0.332,1.340,29,4,0,0,8,2,0.800,8.82
1tnk,-6.399,-0.136,-6.578,-2.049,-0.249,0.938,38,1,2,0,7,0,1.000,1.49
1utc,-10.313,-0.092,-11.319,-6.847,-0.996,1.742,91,9,3,0,12,1,0.872,4.55
1o9d,-10.006,-0.106,-10.100,-4.562,-1.660,1.340,45,6,14,0,7,3,0.846,5.6
220l,-5.925,-0.231,-6.602,-1.384,-0.000,0.000,50,0,0,0,0,0,1.000,3.4
1o8b,-8.216,-0.118,-6.870,-0.860,-1.328,0.536,5,11,5,0,3,1,1.000,2.68
1vjc,-8.578,-0.078,-7.632,-2.056,-1.162,0.804,32,6,8,0,4,2,1.000,3.58
5abp,-7.864,-0.166,-7.205,-1.393,-0.996,0.402,27,10,2,0,3,0,1.000,6.64
1sri,-8.932,-0.159,-8.396,-3.516,-0.332,0.670,107,4,0,0,4,1,1.000,6.08
1sts,-8.027,-0.039,-7.517,-3.811,-0.498,2.010,53,6,0,0,15,0,0.528,5
1rgl,-7.123,-0.043,-6.246,-1.806,-0.830,1.608,20,2,8,0,11,1,1.000,4.43
2fkf,-8.694,-0.084,-6.889,-0.196,-1.743,0.268,1,7,14,0,0,2,0.667,2.92
1awi,-9.853,-0.086,-11.294,-7.722,-0.498,2.144,120,6,0,0,11,5,0.820,4.05
1zsr,-11.677,-0.150,-12.867,-8.446,-1.079,1.876,118,9,4,0,13,1,1.000,9.82
2g00,-10.098,-0.098,-9.026,-5.486,-0.332,2.010,134,4,0,0,15,0,1.000,9.74
1ga8,-5.965,-0.057,-6.483,-2.707,-0.166,1.608,29,2,0,0,11,1,1.000,1.8
1ws5,-7.187,-0.137,-7.004,-1.607,-0.581,0.402,38,7,0,0,2,1,1.000,3.03
1rej,-9.512,-0.122,-8.516,-4.325,-0.581,1.608,88,4,3,0,11,1,1.000,8.3
3pcb,-6.299,-0.125,-6.466,-1.618,-0.166,0.536,46,1,1,0,2,2,1.000,2.4
1me8,-7.879,-0.059,-6.453,-1.611,-0.830,1.206,26,8,2,0,7,2,0.875,7.19
1b6m,-9.605,-0.142,-11.337,-7.248,-0.747,1.876,87,5,4,0,11,3,1.000,8.4
1gz9,-7.440,-0.046,-6.734,-2.409,-0.581,1.474,39,7,0,0,9,2,0.778,3.51
5tln,-6.973,-0.140,-8.432,-3.386,-0.498,0.670,39,6,0,0,3,2,1.000,6.37
1sgx,-7.405,-0.033,-6.021,-1.396,-0.747,1.340,23,4,5,0,7,3,0.700,5.8
1owd,-7.904,-0.122,-8.635,-3.876,-0.747,1.206,51,4,5,0,7,2,0.870,8.2
2a31,-6.534,-0.118,-6.166,-0.903,-0.581,0.536,16,5,2,0,4,0,1.000,1.01
1w1g,-9.038,-0.064,-7.321,-0.947,-1.826,0.670,5,1,21,0,2,3,0.556,7.68
1f9g,-5.225,-0.037,-5.667,-1.138,-0.249,0.938,10,2,1,0,5,2,1.000,1.28
2ff1,-9.579,-0.147,-8.008,-2.566,-1.162,0.938,70,7,7,0,6,1,1.000,8.21
1rbo,-10.524,-0.103,-7.381,-0.860,-2.241,0.938,6,7,20,0,5,2,1.000,12.72
1b11,-7.015,-0.087,-8.074,-3.430,-0.498,1.072,34,6,0,0,7,1,0.880,7.39
1c4v,-10.141,-0.134,-10.461,-6.672,-0.581,2.010,120,3,4,0,12,3,1.000,10.8
1gzc,-6.986,-0.053,-6.441,-1.714,-0.581,1.072,34,5,2,0,6,2,0.750,3.49
2c4v,-9.685,-0.192,-7.713,-1.371,-1.660,0.536,25,6,14,0,4,0,1.000,2.6
1sc8,-9.392,-0.098,-8.248,-3.425,-1.079,1.474,59,9,4,0,10,1,0.950,7.44
1ow4,-8.238,-0.193,-9.272,-3.958,-0.498,0.402,83,0,6,0,3,0,1.000,5.68
1gz3,-9.031,-0.033,-6.256,-2.052,-0.996,2.010,41,6,6,0,10,5,1.000,3.7
1cim,-7.719,-0.159,-7.919,-2.273,-0.830,0.402,28,5,5,0,2,1,0.875,8.82
1gt1,-6.735,-0.178,-7.881,-3.065,-0.000,0.402,64,0,0,0,2,1,0.929,6
1z3v,-6.852,-0.090,-7.288,-2.727,-0.415,1.072,40,5,0,0,4,4,1.000,4.11
1x9d,-9.385,-0.157,-8.990,-2.929,-1.245,0.402,46,11,4,0,3,0,0.923,3.96
1b74,-4.821,0.078,-4.436,-0.692,-0.000,1.474,11,0,0,0,10,1,1.000,1.3
1gi9,-7.442,-0.096,-7.240,-3.183,-0.581,1.742,50,5,2,0,12,1,0.933,5.22
1db1,-9.202,-0.196,-11.108,-5.526,-0.498,0.134,97,6,0,0,0,1,0.926,9.26
1lox,-9.292,-0.194,-8.909,-3.946,-0.415,0.670,116,0,5,0,4,1,1.000,5.52
1njj,-6.665,-0.070,-7.615,-3.341,-0.664,1.608,22,2,6,0,8,4,0.800,2.1
1me7,-8.321,-0.080,-6.908,-1.849,-0.913,1.072,26,9,2,0,7,1,1.000,7.19
1a0q,-8.460,-0.125,-8.082,-3.004,-0.664,0.804,72,3,5,0,4,2,0.933,7.57
1cil,-7.316,-0.146,-7.985,-2.722,-0.581,0.536,30,3,4,0,3,1,0.900,9.43
1tvo,-7.437,-0.131,-8.502,-4.107,-0.249,1.072,70,3,0,0,8,0,1.000,6.85
1mj7,-9.422,-0.134,-9.640,-5.079,-0.415,1.072,114,3,2,0,5,3,1.000,8.35
1jmi,-9.683,-0.157,-8.359,-1.800,-1.743,0.402,20,5,16,0,1,2,1.000,6.06
1cin,-7.319,-0.151,-7.942,-2.462,-0.664,0.402,27,3,5,0,1,2,0.889,8.73
1sle,-6.977,-0.048,-8.119,-4.075,-0.166,1.340,54,2,0,0,10,0,0.528,6.17
1w2g,-7.599,-0.095,-6.834,-2.305,-0.249,0.938,72,3,0,0,5,2,1.000,4.57
1imx,-5.783,-0.028,-6.916,-2.419,-0.083,0.804,34,1,0,0,6,0,0.286,3.52
1pu7,-6.924,-0.099,-6.411,-1.646,-0.083,0.536,76,1,0,0,4,0,1.000,3.1
1xbb,-6.879,-0.079,-8.148,-4.238,-0.166,1.474,64,2,0,0,10,1,0.793,5.3
1ce5,-7.254,-0.130,-6.387,-1.577,-0.664,1.072,38,4,4,0,8,0,1.000,4.74
1gj4,-8.475,-0.151,-9.138,-4.813,-0.581,1.474,75,3,4,0,8,3,1.000,4.07
1a1c,-9.112,-0.097,-8.901,-3.593,-1.162,1.072,44,7,7,0,6,2,0.800,6.4
11gs,-10.039,-0.126,-10.149,-5.543,-0.996,1.608,83,6,6,0,10,2,1.000,5.82
1wvc,-12.009,-0.112,-8.479,-2.009,-2.324,1.072,36,9,19,0,7,1,1.000,4.46
1vj9,-9.620,-0.112,-9.681,-4.858,-1.079,1.474,65,9,4,0,9,2,0.964,7.55
1w0y,-9.694,-0.120,-9.064,-4.975,-0.747,1.876,94,5,4,0,11,3,0.913,6.42
1rdt,-9.196,-0.194,-10.647,-5.499,-0.332,0.402,102,1,3,0,3,0,0.960,6.7
1rzx,-9.600,-0.089,-9.654,-4.110,-0.996,0.670,70,8,4,0,5,0,0.656,4.1
1meu,-10.575,-0.164,-12.125,-7.602,-0.913,1.608,96,11,0,0,10,2,1.000,6.1
1z1r,-9.456,-0.116,-9.957,-6.085,-0.664,2.010,77,8,0,0,12,3,1.000,9.22
1hp0,-8.513,-0.098,-7.089,-2.547,-0.664,1.340,64,8,0,0,6,4,1.000,6.7
1qi0,-7.341,-0.086,-7.197,-2.304,-0.747,1.072,36,7,2,0,8,0,0.917,2.35
1sqn,-7.571,-0.174,-9.040,-4.141,-0.083,0.402,76,1,0,0,3,0,0.900,9.4
2ada,-7.878,-0.108,-7.269,-2.274,-0.581,0.804,54,7,0,0,5,1,1.000,13
1aj6,-6.830,-0.088,-9.084,-5.308,-0.166,1.608,59,2,0,0,10,2,0.903,5.92
1o2k,-8.604,-0.115,-7.989,-3.900,-0.747,1.876,70,5,4,0,14,0,0.944,6.92
1zky,-6.996,-0.177,-8.937,-3.604,-0.249,0.134,51,3,0,0,1,0,0.889,6.25
2cji,-8.226,-0.056,-6.940,-4.319,-0.083,2.680,87,1,0,0,19,1,0.952,8.22
2gh7,-8.663,-0.189,-8.245,-2.580,-0.581,0.134,79,7,0,0,1,0,1.000,13
1udt,-7.764,-0.109,-8.801,-4.623,-0.166,1.206,84,2,0,0,9,0,0.909,9.3
1q66,-8.693,-0.140,-8.300,-3.975,-0.581,1.474,89,7,0,0,10,1,1.000,5.77
1y3g,-8.774,-0.138,-9.649,-4.239,-0.996,0.804,57,8,4,0,5,1,0.870,7.4
1lf9,-10.154,-0.096,-9.434,-4.158,-0.996,0.938,75,10,2,0,6,1,0.720,12
2fgi,-8.439,-0.098,-8.951,-5.226,-0.249,1.742,94,3,0,0,10,3,0.857,7.34
1ux7,-6.440,-0.059,-6.395,-1.617,-0.498,0.938,25,4,2,0,5,2,0.909,3
1h1p,-6.909,-0.100,-7.023,-2.762,-0.249,1.206,43,3,0,0,8,1,1.000,4.92
1vjd,-8.294,-0.006,-5.416,-2.214,-0.664,2.680,36,5,3,0,12,8,1.000,3.54
1rdl,-6.469,-0.091,-6.311,-0.448,-0.913,0.268,5,9,2,0,2,0,0.833,2.24
1jwt,-7.984,-0.064,-7.395,-4.123,-0.332,2.278,67,3,1,0,14,3,0.909,7.85
1uxa,-6.159,-0.031,-6.195,-1.583,-0.332,0.938,28,2,2,0,7,0,0.471,2.3
1vot,-7.167,-0.119,-7.355,-3.260,-0.083,1.206,67,1,0,0,7,2,0.933,6.6
1rdj,-6.453,-0.075,-6.043,-0.448,-0.913,0.536,5,8,3,0,2,2,0.667,1.66
1qy5,-6.240,-0.032,-5.926,-2.016,-0.166,1.474,34,2,0,0,11,0,0.917,6.7
1qiw,-7.905,-0.148,-10.823,-6.645,-0.166,1.206,97,0,2,0,7,2,0.912,7.74
1lor,-9.294,-0.117,-7.783,-1.958,-1.411,0.804,33,10,7,0,5,1,1.000,11.06
1kll,-5.684,-0.095,-7.410,-2.881,-0.249,0.938,33,1,2,0,7,0,1.000,5.2
3pcc,-6.698,-0.175,-6.968,-1.603,-0.415,0.268,41,3,2,0,1,1,1.000,3.62
1rek,-11.454,-0.155,-11.587,-7.332,-0.913,1.876,121,7,4,0,14,0,1.000,6.7
2h6q,-9.711,-0.072,-9.310,-5.757,-0.747,2.412,85,6,3,0,16,2,0.765,5.11
1h1h,-7.085,-0.069,-7.090,-0.844,-1.162,0.134,6,2,12,0,0,1,0.400,5.22
1wei,-4.963,-0.016,-5.378,-1.149,-0.083,1.072,18,1,0,0,6,2,1.000,9
1vkj,-9.707,-0.087,-7.561,-2.304,-1.245,1.206,45,8,7,0,6,3,1.000,4.85
1apb,-7.197,-0.171,-7.097,-1.400,-0.747,0.268,28,7,2,0,2,0,1.000,5.82
1hn2,-6.703,-0.161,-7.640,-2.824,-0.000,0.402,61,0,0,0,2,1,0.857,6
1vwn,-9.064,-0.068,-8.768,-5.279,-0.415,2.144,98,5,0,0,12,4,0.750,5.82
1m6p,-9.042,-0.094,-6.719,-1.130,-1.577,1.206,12,13,6,0,6,3,1.000,5.1
1ody,-10.820,-0.133,-12.925,-8.619,-0.830,1.742,116,10,0,0,12,1,0.978,8.1
1w8m,-5.795,-0.122,-6.808,-1.826,-0.166,0.402,29,2,0,0,2,1,1.000,1.6
1p28,-4.969,-0.084,-5.722,-0.689,-0.083,0.268,13,1,0,0,2,0,1.000,5.42
1eix,-10.269,-0.139,-8.282,-1.991,-1.743,0.670,37,10,11,0,4,1,1.000,11.06
1qsc,-10.171,-0.092,-10.372,-6.085,-1.079,2.010,83,10,3,0,13,2,0.889,3.68
1qca,-7.715,-0.160,-11.122,-6.676,-0.166,0.938,89,1,1,0,5,2,1.000,5.27
1y2f,-6.111,-0.106,-8.401,-4.255,-0.000,1.072,61,0,0,0,6,2,0.864,4.92
1ent,-9.173,-0.106,-10.113,-5.839,-0.664,1.608,74,8,0,0,5,7,0.938,6.96
1cea,-8.696,-0.285,-7.786,-1.406,-1.162,0.000,43,1,13,0,0,0,1.000,4.96
2bmz,-6.877,-0.103,-7.495,-2.468,-0.747,0.938,22,9,0,0,4,3,0.917,3.7
6abp,-7.148,-0.186,-7.076,-1.162,-0.830,0.134,23,8,2,0,1,0,1.000,6.36
2bjm,-8.114,-0.123,-7.066,-2.786,-0.000,0.938,128,0,0,0,7,0,0.929,3.7
2hh5,-9.294,-0.120,-9.885,-5.994,-0.415,1.742,99,5,0,0,12,1,1.000,7.49
6fiv,-7.284,-0.109,-8.827,-4.049,-0.498,0.938,43,6,0,0,6,1,0.920,8.08
4fiv,-11.482,-0.158,-14.397,-10.276,-0.913,2.010,119,11,0,0,11,4,1.000,6.52
1umw,-10.046,-0.076,-9.560,-4.788,-1.162,1.608,68,9,5,0,11,1,0.727,6.55
1bap,-7.322,-0.192,-7.142,-1.145,-0.913,0.134,21,9,2,0,1,0,1.000,6.85
1y2g,-5.977,-0.136,-8.756,-4.342,-0.000,0.804,54,0,0,0,5,1,0.950,4.08
1gah,-10.530,-0.089,-9.145,-3.703,-1.162,0.938,70,12,2,0,6,1,0.720,12
2c3j,-7.152,-0.092,-6.882,-2.538,-0.332,1.206,52,4,0,0,9,0,1.000,6.18
1rdn,-6.182,-0.074,-6.328,-0.899,-0.747,0.536,7,9,0,0,3,1,0.875,1.84
1o2s,-7.824,-0.126,-7.611,-2.718,-0.747,1.072,48,5,4,0,8,0,1.000,5.47
5fiv,-7.076,-0.101,-8.554,-3.993,-0.415,1.072,40,5,0,0,7,1,0.960,7.66
1o3h,-8.338,-0.166,-8.700,-3.673,-0.747,0.938,70,5,4,0,7,0,1.000,7.3
1abf,-7.461,-0.192,-7.327,-1.413,-0.830,0.134,32,8,2,0,1,0,1.000,5.42
7hvp,-11.628,-0.105,-11.603,-7.284,-1.245,2.144,91,14,1,0,14,2,0.952,9.62
2avv,-10.462,-0.141,-11.556,-8.201,-0.415,2.278,132,4,1,0,14,3,1.000,9.26
1ta2,-8.790,-0.105,-8.780,-5.055,-0.249,1.742,101,3,0,0,12,1,0.926,8.52
2toh,-6.246,-0.072,-6.434,-2.039,-0.249,1.072,30,3,0,0,8,0,1.000,4.15
1vjj,-9.264,-0.060,-6.886,-1.597,-1.411,1.340,28,7,10,0,6,4,0.900,5.77
1owh,-8.040,-0.145,-8.699,-4.074,-0.747,1.340,54,4,5,0,8,2,1.000,7.4
2j7h,-7.342,-0.131,-6.529,-1.183,-0.664,0.536,33,8,0,0,3,1,1.000,7.19
1syi,-9.319,-0.184,-8.346,-2.317,-1.079,0.268,53,7,6,0,2,0,1.000,5.44
1bzc,-9.603,-0.108,-8.345,-3.905,-0.830,1.608,75,9,1,0,9,3,1.000,4.92
1q8u,-7.129,-0.116,-7.769,-3.591,-0.166,1.206,65,1,1,0,7,2,1.000,5.96
1p1n,-7.993,-0.183,-7.966,-2.320,-0.830,0.402,43,4,6,0,3,0,1.000,6.8
1oyt,-8.706,-0.142,-9.464,-4.871,-0.581,1.206,72,3,4,0,8,1,0.957,7.24
1uto,-6.085,-0.178,-6.820,-1.806,-0.332,0.536,29,2,2,0,4,0,1.000,2.27
5tmn,-9.250,-0.141,-9.731,-4.072,-1.245,0.804,50,8,7,0,6,0,1.000,8.04
1r5y,-7.693,-0.128,-6.881,-1.886,-0.581,0.804,62,7,0,0,5,1,1.000,6.46
1z9g,-7.515,-0.184,-8.342,-2.996,-0.664,0.536,49,4,4,0,3,1,1.000,5.64
1ydr,-6.808,-0.102,-7.250,-3.155,-0.083,1.206,60,1,0,0,6,3,0.929,5.52
2cbv,-8.868,-0.230,-7.981,-1.620,-1.411,0.268,29,4,13,0,1,1,1.000,5.48
2hb1,-8.333,-0.153,-7.366,-1.854,-0.830,0.536,46,4,6,0,4,0,1.000,3.8
1z6e,-9.658,-0.079,-8.235,-5.231,-0.332,2.546,117,4,0,0,18,1,1.000,9.72
1k1i,-8.982,-0.104,-8.970,-2.941,-1.079,0.268,55,8,5,0,2,0,0.654,6.58
1w4o,-7.480,-0.111,-7.543,-2.031,-0.830,0.536,23,8,2,0,4,0,1.000,5.22
1s38,-7.025,-0.142,-7.070,-2.107,-0.415,0.670,54,5,0,0,5,0,1.000,5.15
2fvd,-7.865,-0.092,-7.985,-4.311,-0.332,1.876,59,4,0,0,13,1,1.000,8.52
