name,average_score,HPSCORE,HMSCORE,HSSCORE,xscore_VDW,xscore_HB,xscore_HP,score_HM,xscore_HS,xscore_RT,affinity
4jyb,5.89,5.83,6.13,5.69,582.8,9.0,0.0,0.00,0.0,7.0,6.96
2zxg,6.91,6.73,7.29,6.72,646.3,5.5,99.5,3.52,280.6,8.0,8.82
4owv,4.83,4.80,4.95,4.74,236.8,0.6,42.4,0.97,105.8,0.0,4.35
4m13,7.92,7.86,8.32,7.57,775.1,5.9,132.0,3.50,246.0,3.0,6.7
1usn,5.32,5.32,5.45,5.18,443.1,2.8,15.0,0.30,34.8,3.0,7.74
2psu,7.27,7.21,7.62,6.98,815.1,3.3,117.6,4.17,307.5,12.0,7.62
1odj,5.73,5.67,5.93,5.58,532.1,4.2,0.0,0.00,0.0,2.0,4.1
4lm2,4.91,4.94,5.13,4.64,287.0,0.1,45.8,1.31,63.2,1.0,3.03
3daz,5.02,4.93,5.17,4.97,315.6,2.4,18.1,0.52,73.5,1.0,7.93
3rz1,5.33,5.31,5.58,5.11,424.0,2.9,35.5,1.31,81.1,5.0,8.74
2qx0,5.19,5.09,5.43,5.05,358.1,5.2,0.0,0.00,0.0,1.0,6.11
4zb6,5.93,6.05,5.98,5.77,771.0,9.2,20.5,0.61,99.4,19.0,6.28
3fvn,6.22,6.10,6.45,6.13,546.7,9.3,23.0,0.36,73.0,4.0,6.77
3f70,4.08,4.17,4.17,3.91,198.5,1.1,26.3,0.72,61.3,6.0,4.85
2gj5,6.44,6.28,6.96,6.08,430.2,0.0,178.2,6.33,436.8,8.0,8.32
1szd,6.34,6.35,6.53,6.13,754.9,8.1,0.0,0.00,0.0,9.0,4.54
1d4y,8.22,7.91,8.86,7.89,892.5,2.7,138.6,5.75,380.3,8.0,11.1
4xu3,7.47,7.66,7.34,7.40,1022.2,8.4,45.8,0.00,112.8,12.0,9.5
3rm4,6.13,5.99,6.46,5.95,554.6,2.1,51.4,2.19,152.0,4.0,5.77
1wm1,6.03,5.61,6.41,6.08,440.1,2.9,34.6,2.30,218.4,1.0,6.3
2y7x,7.26,7.30,7.22,7.26,764.0,0.5,99.3,1.93,256.4,2.0,8.89
2ans,6.28,6.05,6.84,5.96,424.6,0.0,107.7,4.30,255.2,1.0,5.92
1td7,5.69,5.55,6.16,5.37,387.4,0.3,61.0,2.61,117.0,0.0,4.37
2wc4,6.34,6.11,6.92,5.99,556.6,6.7,57.0,2.93,144.9,7.0,5.29
2xde,6.62,6.53,7.02,6.30,523.4,2.9,127.1,4.00,278.9,5.0,5.47
4pzv,7.24,7.00,7.56,7.14,836.1,10.1,18.0,1.06,113.0,8.0,5.7
1d09,5.89,5.68,6.21,5.77,447.1,13.3,4.6,0.00,32.9,5.0,7.57
4j74,5.98,5.57,6.68,5.68,355.5,0.0,91.9,4.88,277.8,2.0,4.59
3q6z,5.96,6.03,6.08,5.76,713.8,5.3,0.0,0.00,0.0,9.0,3.72
3ozj,6.13,6.15,6.24,6.00,442.5,0.0,118.0,2.84,270.9,2.0,5.11
3ml5,4.98,4.85,5.16,4.92,290.6,3.2,14.8,0.52,69.7,1.0,8.52
3a2o,8.00,7.83,8.21,7.97,919.0,1.6,137.6,4.59,438.2,10.0,9.08
4a6l,7.29,7.33,7.04,7.49,749.0,2.4,98.8,1.11,293.7,2.0,8
3jyr,7.53,7.42,7.84,7.34,933.3,11.9,17.4,0.53,55.5,9.0,5.54
4u5o,4.94,4.97,5.22,4.64,361.8,1.1,50.4,2.00,103.1,7.0,2.42
2pqz,8.23,7.90,9.06,7.73,855.6,2.7,153.8,6.66,376.9,8.0,5.67
1yda,4.99,4.87,5.15,4.95,298.6,2.8,15.5,0.52,77.2,1.0,6.55
1mfi,5.82,5.90,6.04,5.51,403.1,1.7,83.2,1.78,111.1,0.0,5.59
2qtt,5.97,5.89,6.20,5.83,571.6,5.4,0.0,0.00,0.0,2.0,4.32
2ha2,4.75,5.03,4.58,4.62,469.9,0.1,28.7,0.00,53.8,9.0,4.66
4b34,5.06,4.90,5.28,4.99,250.2,0.9,45.6,1.60,148.8,0.0,3.14
1nw5,6.23,6.22,6.39,6.06,699.4,7.0,3.8,0.00,13.9,7.0,5.21
2exm,5.17,5.04,5.20,5.27,371.6,1.4,17.6,0.52,133.4,2.0,4.11
4k4j,7.68,8.02,7.59,7.43,608.0,2.1,226.0,3.55,378.2,0.0,6.12
3p58,4.80,4.79,4.71,4.91,335.0,0.0,14.9,0.00,105.0,2.0,7.6
1ec3,8.85,8.48,9.62,8.44,1088.0,6.4,152.9,7.00,456.7,17.0,9.04
4ayu,4.68,4.63,4.81,4.61,198.2,4.0,27.0,0.36,70.2,1.0,4.73
3r16,5.34,5.27,5.54,5.21,357.8,2.4,50.4,1.54,136.4,3.0,7.3
4k5p,5.89,5.86,6.26,5.55,416.0,5.8,62.0,1.64,78.3,2.0,3.46
3nb5,5.48,5.31,6.06,5.07,396.5,2.2,58.9,3.28,135.1,6.0,7.74
3cft,4.66,4.42,5.27,4.29,172.7,0.9,33.3,2.61,72.4,1.0,4.19
1o7o,6.37,6.26,6.69,6.16,620.8,10.9,12.9,0.34,25.1,6.0,4.49
1fl3,7.22,7.48,7.29,6.90,638.9,0.4,189.4,3.90,336.4,4.0,6.8
1xk5,5.12,5.27,5.18,4.90,580.2,4.5,0.0,0.00,0.0,12.0,6
3sym,5.95,5.86,6.20,5.79,558.0,6.8,0.0,0.00,0.0,3.0,4.57
5cp9,4.53,4.69,4.45,4.46,209.8,2.3,52.0,0.27,98.1,3.0,3.51
4x6m,7.59,7.27,7.93,7.58,829.1,4.8,68.9,2.97,283.0,6.0,8.24
3ta1,6.71,6.61,7.00,6.53,743.2,9.3,0.0,0.00,0.0,5.0,3.25
3ipu,7.27,7.40,7.36,7.06,839.8,0.1,113.8,2.85,247.8,7.0,7.32
5boj,5.92,5.74,6.11,5.91,420.3,1.4,101.1,3.38,333.9,6.0,7
4ye3,7.39,7.22,7.95,6.99,855.2,3.7,98.6,4.51,263.4,12.0,8.37
2qwb,5.29,5.16,5.41,5.32,377.0,7.1,14.5,0.27,104.3,5.0,2.74
4ge1,5.35,5.44,5.54,5.08,316.3,1.5,85.5,1.94,139.0,2.0,6.43
3lzs,7.56,7.41,8.06,7.22,853.1,2.5,114.8,4.64,300.3,10.0,10.96
3rdq,5.60,5.44,5.91,5.45,399.0,5.6,51.4,1.96,163.3,6.0,9.31
2pwr,9.04,8.82,10.01,8.29,1038.3,5.2,159.0,6.58,289.0,8.0,6.59
4xe1,5.26,5.13,5.57,5.09,331.3,4.0,23.1,0.97,58.5,1.0,7.11
3bbf,5.38,5.38,5.54,5.21,501.5,4.5,0.0,0.00,0.0,5.0,5.28
1ax0,5.01,4.90,5.19,4.96,321.4,4.2,7.4,0.27,54.5,2.0,3.13
4z1k,5.98,5.86,6.45,5.63,413.9,3.3,71.7,2.57,125.2,1.0,8.33
1yei,6.13,6.32,6.26,5.82,619.6,3.2,79.2,1.71,125.0,8.0,7.46
1g7q,7.14,6.93,7.33,7.17,908.3,9.8,47.8,2.30,278.1,18.0,6.06
3upv,5.96,5.70,6.31,5.86,615.1,8.1,50.5,3.12,275.4,18.0,5.3
1hmr,5.91,5.91,6.35,5.48,489.5,2.3,151.1,5.54,365.0,16.0,6.55
4og4,6.63,6.37,7.27,6.23,573.8,0.8,113.6,5.18,295.8,7.0,6.02
4kwg,5.82,5.84,6.02,5.60,361.5,0.8,100.8,2.37,191.0,0.0,6
4djw,6.70,6.45,7.46,6.19,518.8,2.5,102.6,4.55,196.0,2.0,6.28
4q08,5.88,5.85,5.72,6.07,565.4,2.8,33.8,0.25,182.5,5.0,6.3
1uou,5.61,5.42,5.76,5.64,441.2,3.6,15.7,0.66,116.9,2.0,7.7
4nbn,6.67,6.88,6.32,6.82,702.3,2.0,85.0,0.34,225.4,4.0,4.36
2p16,7.53,7.47,7.58,7.55,788.4,1.6,94.5,2.06,261.3,1.0,10.1
4l4v,6.29,6.18,6.45,6.23,628.5,7.5,13.7,0.27,73.7,5.0,5.78
1bcd,4.52,4.45,4.72,4.39,208.6,3.2,0.0,0.00,0.0,0.0,8.7
3iss,6.36,6.33,6.40,6.35,792.7,6.1,19.6,0.79,143.5,13.0,6.05
3ckb,4.96,5.04,5.05,4.78,467.6,2.9,0.0,0.00,0.0,7.0,2.98
1apv,7.28,6.80,7.81,7.24,721.1,7.3,83.9,4.35,371.0,11.0,9
1i9p,5.35,5.19,5.77,5.07,353.6,2.0,45.7,2.28,113.0,3.0,8.41
4qew,6.67,6.53,7.27,6.20,546.4,0.6,123.8,4.77,251.3,4.0,7.07
2pyy,4.99,4.95,5.15,4.87,298.2,7.7,16.4,0.00,36.9,4.0,4.6
1fhd,5.93,5.81,6.21,5.78,521.0,7.5,0.0,0.00,0.0,2.0,6.82
1d3p,7.13,7.02,7.32,7.04,792.0,1.0,107.6,3.75,343.3,10.0,7.39
4en4,4.77,4.75,4.93,4.64,287.9,1.7,27.0,0.86,76.5,3.0,5.52
3rlq,6.23,5.99,6.66,6.03,483.5,1.4,66.4,2.86,189.2,1.0,7.4
1qk3,5.83,5.71,6.12,5.67,502.9,8.2,0.0,0.00,0.0,3.0,5.15
1sln,7.02,6.91,7.45,6.70,725.6,5.2,105.9,3.94,270.2,11.0,6.64
4ual,6.41,6.31,6.54,6.38,606.8,0.0,56.1,1.67,178.0,1.0,8.4
4q3t,4.82,4.78,4.96,4.73,321.9,5.9,3.9,0.00,34.1,5.0,6.48
3sio,7.55,7.65,7.70,7.29,865.9,0.4,134.5,3.63,297.6,8.0,8
4jv6,7.12,7.12,7.60,6.63,519.2,1.0,185.3,5.31,333.2,2.0,6.66
4d3h,6.95,6.82,7.23,6.79,776.7,7.4,0.0,0.00,0.0,2.0,6.43
1y3n,5.86,5.82,6.06,5.71,520.5,6.9,11.3,0.00,16.4,3.0,5.55
4bc5,4.54,4.50,4.74,4.38,254.6,5.3,0.0,0.00,0.0,4.0,4.6
1oth,5.98,5.83,6.33,5.77,482.8,13.6,17.5,0.36,37.8,7.0,7
4zvi,5.90,5.55,6.26,5.87,437.6,1.0,47.7,2.69,224.6,2.0,6.33
1f4f,5.84,5.90,6.15,5.48,519.4,0.4,80.8,2.72,147.3,6.0,4.62
4xiq,7.14,7.15,7.32,6.94,579.9,1.9,143.5,3.22,288.2,0.0,7.07
2flr,7.19,7.00,7.87,6.69,667.1,3.3,92.7,3.88,158.9,2.0,6.1
3pce,5.11,5.16,5.14,5.03,300.5,1.9,59.3,0.97,135.5,2.0,2
1ta6,7.32,7.10,7.57,7.29,763.3,3.4,108.2,3.82,368.0,9.0,9.13
4ipj,4.55,4.48,4.71,4.46,222.6,5.4,4.3,0.00,30.1,3.0,4.87
1fch,6.59,6.48,6.89,6.40,753.9,7.1,74.5,3.18,266.9,17.0,7.15
1dl7,5.01,5.04,5.10,4.89,421.2,0.7,19.8,0.67,69.8,5.0,6.49
1zoe,5.81,5.40,6.36,5.67,373.2,0.0,51.4,3.36,212.6,0.0,7.4
4mnp,5.64,5.50,5.76,5.66,466.4,6.6,15.4,0.36,106.8,5.0,7.34
1h4w,5.18,5.07,5.14,5.33,307.6,3.4,23.9,0.00,130.4,0.0,4.66
4ozj,6.27,6.19,6.53,6.09,652.5,8.3,0.0,0.00,0.0,5.0,5.4
4der,5.67,5.58,5.97,5.46,367.4,0.0,74.1,2.41,165.2,0.0,6.31
2uy3,5.08,4.94,5.30,5.00,334.2,1.4,9.8,0.66,58.2,0.0,3.22
1a1e,5.88,5.65,6.32,5.66,507.6,6.6,61.6,3.16,224.8,12.0,6
1b5j,6.68,6.77,6.77,6.49,778.1,8.9,65.6,1.43,165.3,14.0,7.43
2c1p,6.46,6.37,6.97,6.05,562.0,1.5,93.6,3.58,181.8,4.0,5.4
1jmg,5.32,5.28,5.44,5.26,435.9,5.1,6.6,0.00,43.5,4.0,6.07
4ww6,5.23,5.10,5.46,5.14,386.6,2.9,22.5,1.14,103.1,4.0,10.21
4tim,4.78,4.72,5.00,4.62,290.4,5.5,0.0,0.00,0.0,3.0,2.16
2nta,6.55,6.23,7.19,6.23,498.0,5.0,58.0,2.90,136.1,0.0,4.8
3t09,5.30,5.19,5.56,5.16,370.0,6.0,0.0,0.00,0.0,1.0,3.8
4cwn,6.16,6.32,6.26,5.90,559.7,0.5,94.9,2.06,164.9,4.0,5.59
4q4p,6.11,5.93,6.50,5.89,506.5,4.0,48.0,2.04,129.0,3.0,6.39
4kfq,5.72,5.57,6.05,5.55,367.5,4.8,44.8,1.35,101.0,0.0,8.23
3ozg,6.01,6.03,6.26,5.76,588.4,8.0,18.8,0.30,8.4,6.0,9.19
3d50,5.35,5.28,5.61,5.15,453.1,6.0,28.3,1.29,97.0,9.0,4.77
4a4v,6.38,6.37,6.57,6.20,522.8,0.9,134.8,3.88,334.7,7.0,6.54
2sim,5.41,5.30,5.51,5.41,395.6,6.4,20.1,0.27,99.0,4.0,3.42
1bn1,5.63,5.48,6.08,5.34,373.0,3.9,64.1,2.60,149.1,4.0,9.34
2ygf,6.89,6.74,7.34,6.61,674.3,3.3,81.1,3.17,198.8,5.0,5.09
3hit,6.18,6.40,6.47,5.68,948.1,8.0,15.3,1.37,11.7,23.0,8.19
2xyf,8.78,8.36,9.49,8.50,998.7,5.4,158.4,6.85,488.0,13.0,8.44
4ufk,4.93,4.83,5.17,4.79,290.7,5.3,0.0,0.00,0.0,1.0,3.89
1o3j,5.88,5.66,6.03,5.94,448.4,3.4,26.9,0.84,142.8,0.0,6.77
4lkk,5.02,5.01,5.07,4.98,419.6,5.0,12.4,0.27,82.7,8.0,5.92
2wos,5.98,5.94,5.90,6.10,477.5,0.0,72.2,1.35,237.1,1.0,3.9
4fnn,4.60,4.43,4.92,4.44,350.9,0.5,58.9,3.75,278.4,16.0,7.57
1tys,6.15,5.91,6.39,6.16,510.1,10.5,11.7,0.27,95.3,4.0,5.49
1d4i,9.40,9.33,9.92,8.95,1127.7,3.8,204.5,6.53,455.8,11.0,8.85
1hpo,7.50,7.32,7.77,7.43,718.1,2.3,117.6,3.57,331.1,3.0,9.22
4xty,8.16,8.26,8.11,8.11,1112.5,10.5,45.6,0.00,116.0,10.0,9.21
2aoe,8.31,8.03,8.90,8.00,1095.5,10.3,123.3,5.78,425.2,24.0,7.62
1tok,4.85,4.70,5.08,4.76,202.8,5.9,14.2,0.27,48.7,0.0,2.47
4xmr,5.37,5.28,5.61,5.22,296.3,5.5,60.7,1.54,145.4,3.0,4.07
4knm,5.89,5.62,6.33,5.72,412.7,3.0,68.0,3.10,219.8,4.0,8
4gzt,5.42,5.17,5.50,5.59,363.3,4.5,37.5,1.32,232.8,5.0,7.77
4i8z,7.60,7.45,8.18,7.18,861.8,2.2,117.1,4.93,286.2,10.0,11.05
4pyy,6.12,6.14,6.45,5.77,526.9,2.8,82.1,2.51,144.7,5.0,7.23
2q1q,5.47,5.27,5.87,5.26,350.8,3.2,35.0,1.73,96.9,1.0,8.15
4np9,4.49,4.51,4.65,4.31,289.7,5.0,0.0,0.00,0.0,6.0,5.03
2pgz,6.38,6.49,6.61,6.06,556.6,0.2,116.7,3.05,211.5,4.0,5.74
3gjw,5.79,5.73,5.83,5.80,461.3,2.4,48.9,0.97,157.3,2.0,8.3
3le9,6.29,6.08,6.73,6.07,552.6,4.4,48.6,2.32,144.3,4.0,8.22
3g30,5.04,4.96,4.97,5.19,329.0,2.8,19.7,0.00,130.7,2.0,2.51
1q54,5.34,5.14,5.72,5.17,385.8,7.5,20.2,1.38,96.2,7.0,5.85
1qb1,6.42,6.29,6.81,6.16,624.5,4.5,45.8,2.02,114.2,5.0,6.77
3q71,6.74,6.73,6.95,6.53,841.9,8.8,0.0,0.00,0.0,9.0,5.22
1jmf,5.46,5.39,5.61,5.39,449.8,6.3,6.4,0.00,39.7,4.0,5.77
2afx,5.05,4.92,5.43,4.80,298.1,1.0,39.6,1.98,95.6,2.0,5.15
1ct8,6.88,6.77,7.30,6.56,664.8,4.5,95.1,3.34,218.5,7.0,6.52
3uug,5.70,5.53,6.04,5.55,416.0,8.9,0.0,0.00,0.0,1.0,4.51
3d0e,7.27,7.12,7.38,7.32,781.9,5.5,62.4,1.58,228.1,5.0,8.4
4bny,6.68,6.72,6.73,6.57,627.7,0.0,85.3,1.70,184.0,0.0,7.1
1zfq,5.21,5.01,5.49,5.13,308.3,3.0,26.8,1.27,111.3,1.0,7.52
1wcq,5.56,5.48,5.70,5.49,445.8,6.3,24.1,0.53,93.5,5.0,6.26
3v51,8.62,8.45,9.30,8.09,844.2,2.0,197.0,6.57,401.0,4.0,8.55
2hl4,5.35,5.27,5.59,5.17,392.7,3.5,28.0,1.01,71.9,3.0,7.64
2q2a,5.78,5.66,6.08,5.58,428.9,11.3,22.1,0.36,40.6,5.0,7.41
4km2,5.39,5.47,5.69,5.01,444.5,3.4,41.3,1.27,25.6,5.0,5.84
3m5e,5.66,5.53,6.14,5.30,408.7,3.4,57.3,2.52,112.5,4.0,7.37
2p3c,9.73,9.23,10.98,8.98,1219.3,9.2,188.6,9.41,498.2,21.0,7.62
2r2m,6.63,6.55,7.12,6.22,652.2,4.1,91.2,3.61,197.1,9.0,7.33
4wkb,6.33,6.46,6.42,6.10,649.8,4.9,44.1,0.38,44.0,4.0,11.57
2gst,7.19,7.07,7.73,6.78,724.7,7.5,103.8,3.80,225.3,10.0,6.07
4q7p,4.93,4.83,5.13,4.82,246.0,1.0,38.5,1.24,108.3,0.0,4.32
4afg,6.06,6.26,6.19,5.72,474.6,1.0,96.3,1.62,105.1,0.0,8.3
4e6d,6.12,6.13,6.26,5.98,599.0,2.0,40.5,0.99,96.1,3.0,8.92
2qhy,7.55,7.39,7.82,7.43,857.9,3.6,103.4,3.71,328.1,10.0,7.48
3ekp,7.33,7.14,7.85,7.00,816.3,1.1,109.6,4.87,306.4,10.0,8.89
2we3,5.74,5.64,6.00,5.58,483.5,10.3,15.5,0.36,50.3,7.0,4.43
2vwm,7.71,7.57,7.65,7.91,867.3,1.5,104.8,2.68,385.4,6.0,7.03
1oba,4.00,4.01,4.10,3.87,158.2,0.0,0.0,0.00,0.0,1.0,2.44
3d8z,4.86,4.76,5.02,4.79,327.0,1.6,11.9,0.72,76.8,3.0,3.37
2bqv,8.56,8.27,9.33,8.10,932.0,2.6,174.6,7.08,439.3,10.0,8.05
2i3v,5.18,5.12,5.40,5.04,328.8,7.6,21.9,0.36,50.3,4.0,6.55
4de5,5.22,5.09,5.46,5.12,305.3,2.5,39.5,1.35,118.9,1.0,3.15
2vwn,7.50,7.33,7.64,7.53,788.2,1.7,92.2,2.68,300.2,3.0,8
4omj,8.84,9.21,9.21,8.09,906.8,0.0,373.1,10.23,734.1,20.0,5.26
3su6,8.33,7.81,8.75,8.45,893.2,4.9,99.2,4.37,431.4,6.0,6.02
1hpv,7.28,7.08,7.65,7.11,798.0,1.1,111.1,4.53,354.2,10.0,9.22
4ndu,4.77,4.72,4.96,4.63,298.2,3.9,0.0,0.00,0.0,2.0,2.74
5a2i,5.34,5.37,5.71,4.93,525.9,2.6,53.4,2.68,118.3,13.0,5.06
3cj2,6.01,5.76,6.35,5.91,363.9,1.1,88.9,3.14,260.8,0.0,4.85
1d9i,6.42,6.36,6.60,6.30,620.7,2.1,83.5,2.62,241.6,7.0,9.11
2bes,5.17,5.06,5.46,4.99,349.7,9.7,0.0,0.00,0.0,5.0,4.24
4x5p,6.37,5.96,7.29,5.86,486.8,6.7,43.5,3.61,93.3,3.0,8.21
1phw,4.18,4.22,4.27,4.03,234.3,0.5,0.0,0.00,0.0,3.0,3.3
4ibc,6.73,6.23,7.76,6.20,464.6,2.0,111.7,6.27,285.4,3.0,2.98
4djo,7.57,7.29,8.31,7.11,886.3,3.7,113.3,5.89,328.7,15.0,11.52
4kz7,5.14,4.87,5.39,5.16,274.4,2.1,31.5,1.58,169.1,1.0,2.49
4ibi,6.90,6.54,7.88,6.27,547.8,2.0,95.9,5.22,174.8,1.0,4.14
3sw8,5.97,5.60,6.57,5.73,447.2,4.8,33.1,2.63,132.6,3.0,4.5
2o8h,6.04,6.13,6.48,5.53,518.5,1.3,80.6,2.57,75.0,3.0,7.6
185l,5.33,5.42,5.49,5.09,289.5,0.0,91.5,1.98,150.4,0.0,3.54
4e4n,6.60,6.27,6.98,6.55,609.1,2.6,47.8,2.57,216.5,3.0,9.05
1sw1,5.18,5.17,5.33,5.03,353.9,1.7,31.6,0.72,63.2,1.0,7.3
4ksy,7.54,7.52,7.71,7.40,1011.1,2.9,0.0,0.00,0.0,2.0,8.42
3b25,5.96,5.94,6.11,5.82,406.4,1.4,102.3,2.52,235.9,2.0,6.07
4jsa,4.91,4.77,5.18,4.79,236.3,2.4,35.8,1.35,108.6,1.0,4.96
1nt1,7.76,7.49,8.06,7.72,755.7,2.9,103.2,3.30,313.7,1.0,8.89
2clk,4.80,4.76,5.01,4.64,312.1,5.8,0.0,0.00,0.0,4.0,3.79
2oxx,5.66,5.26,6.21,5.51,336.8,0.0,52.2,3.36,207.5,0.0,6.7
1oyq,6.47,6.46,6.68,6.28,655.3,3.9,81.1,2.51,213.0,9.0,6.96
3bkk,7.92,7.53,8.48,7.74,804.4,7.7,112.1,4.64,361.2,9.0,6.08
4d4d,5.57,5.53,5.78,5.40,471.5,7.1,6.5,0.00,7.2,4.0,5.96
1c70,9.15,8.89,9.57,8.99,1067.7,3.1,180.7,6.18,516.2,10.0,10.3
1b3h,7.36,7.39,7.41,7.27,846.3,8.3,101.2,2.28,278.4,13.0,6.21
3nik,5.51,5.36,5.74,5.43,522.3,7.9,22.1,1.41,152.1,13.0,3.45
1cnx,4.99,5.05,5.18,4.74,419.6,3.0,35.5,1.31,80.6,9.0,7.37
1hn4,7.46,7.61,7.79,6.98,954.1,4.0,165.0,5.54,382.2,22.0,3.82
2dw7,4.88,4.77,5.15,4.72,275.6,7.6,0.0,0.00,0.0,3.0,4.7
4oct,4.50,4.53,4.55,4.43,213.1,4.2,22.0,0.00,53.8,3.0,5.05
1z1h,8.06,7.69,8.63,7.87,841.9,2.6,136.2,5.69,426.2,8.0,8.4
1k1l,6.77,6.59,7.22,6.51,622.9,5.3,68.0,2.61,165.4,4.0,6.9
1nf8,6.12,6.14,6.27,5.94,475.3,5.4,70.2,1.17,125.4,2.0,7.82
2fdp,8.74,8.43,9.17,8.63,957.9,6.9,154.5,5.27,464.9,10.0,7.59
3o9a,7.79,7.62,8.36,7.39,915.7,3.6,117.1,5.00,305.0,12.0,10.7
1oif,5.21,5.14,5.46,5.04,325.8,6.3,13.3,0.13,8.2,1.0,7.72
2byr,7.77,7.80,8.08,7.44,892.1,0.5,138.6,4.30,305.9,8.0,8.55
3fql,7.71,7.75,8.07,7.33,829.1,2.0,118.5,3.30,203.0,3.0,7.15
3hzm,4.94,4.83,5.21,4.77,296.0,6.0,7.1,0.36,22.2,3.0,5.52
3cd7,7.87,7.34,8.59,7.67,780.5,7.6,95.5,4.94,347.1,8.0,7.84
4rj8,6.78,6.58,7.27,6.48,629.2,1.8,71.7,3.10,170.4,2.0,7.77
1km3,5.49,5.36,5.78,5.31,415.4,9.3,0.0,0.00,0.0,4.0,4.91
1lzq,8.33,8.09,8.45,8.43,998.6,6.6,142.3,4.60,517.3,16.0,8.39
2i19,5.32,5.23,5.50,5.23,326.4,7.8,27.3,0.34,74.0,3.0,7.8
4trc,4.69,4.61,4.89,4.56,250.1,3.2,0.0,0.00,0.0,0.0,4.52
3isj,5.64,5.63,5.66,5.63,483.3,2.2,28.7,0.34,97.1,2.0,3.68
4cpz,5.85,5.73,5.98,5.84,514.6,8.2,16.4,0.27,97.6,6.0,7.68
4avs,4.61,4.56,4.71,4.55,195.0,3.2,24.8,0.36,75.7,1.0,3.49
4h42,5.13,5.10,5.09,5.22,378.2,2.0,17.3,0.00,102.3,2.0,3.47
1gno,6.96,6.79,7.22,6.88,763.5,4.7,106.4,4.08,376.7,15.0,7.7
3pcj,5.08,5.04,5.33,4.87,307.2,1.6,31.9,0.97,47.9,0.0,7.22
4ayq,5.14,5.04,5.38,5.00,343.8,5.3,0.0,0.00,0.0,1.0,7.33
4hzm,5.05,4.86,5.26,5.03,308.9,6.4,9.3,0.53,89.9,4.0,4.63
1f73,5.33,5.25,5.60,5.16,443.4,9.2,3.1,0.27,26.4,8.0,2.39
4fm8,6.78,6.47,7.30,6.56,605.0,0.5,91.2,4.26,282.6,4.0,5.97
4b7r,5.77,5.44,5.86,6.01,420.2,5.8,34.5,1.32,256.7,5.0,9.64
1c5x,5.72,5.42,5.89,5.85,390.6,3.3,26.0,1.11,180.3,0.0,6.68
2qnn,9.23,8.98,10.49,8.22,1098.1,5.3,150.0,7.17,208.4,8.0,7.15
3v5t,7.47,7.35,8.08,6.99,731.8,1.7,132.6,4.92,264.6,5.0,8.22
1g9r,7.67,7.60,7.92,7.50,989.3,12.6,7.8,0.00,26.8,9.0,5.7
3m3e,5.00,4.77,5.57,4.66,345.7,6.6,2.0,1.62,22.7,7.0,4.43
3uil,4.13,3.84,4.64,3.89,174.6,0.4,32.9,3.39,185.5,10.0,6
1qka,7.12,7.14,7.36,6.85,859.5,11.1,63.9,1.79,157.4,15.0,5.92
4rpn,5.81,5.37,6.32,5.72,343.1,1.0,56.4,3.32,237.6,0.0,6.96
1l6m,4.53,4.44,4.63,4.52,169.3,2.6,20.7,0.34,82.2,0.0,8.1
3p8p,5.38,5.39,5.25,5.48,469.0,4.7,41.4,0.53,186.5,9.0,4.55
2cn0,7.07,7.01,7.18,7.02,746.0,3.3,73.1,1.77,208.6,4.0,7.66
4mr3,5.78,5.72,6.16,5.46,374.5,1.0,94.2,3.07,184.9,2.0,5.94
2vmf,5.64,5.53,5.90,5.50,455.8,6.0,0.0,0.00,0.0,1.0,5.85
