name,London_dG,hbond,hbondA,metal,metal_r,ionP,ionN,aroalk,repulse,flex,p,l,affinity
1wm1,-13.1813,0.476491,0.693147,0,0,0,-5.78001,0.139734,0.0597343,1.16799,-2.83594,-3.50916,6.3
2y7x,-13.6278,0.0662676,0,0,0,0,-0.210944,0.460568,9.1679e-006,1.43663,-4.7656,-5.30717,8.89
2ans,-8.19354,0.00897877,0,0,0,0.000834416,-0.768227,0.0427313,0,0.965823,-2.051,-2.74181,5.92
1td7,-9.09007,0.00830085,0,0,0,0.202472,-2.04591,0.148683,0,1.48842,-2.29457,-2.76176,4.37
2wc4,-20.6144,3.63236,2.48491,0,0,0,-2.7162,0.580208,0.00529379,1.3362,-4.32734,-4.21164,5.29
2xde,-12.2096,1.02023,0,0,0,0,0,0.24519,0.00905273,2.66027,-3.06093,-4.27419,5.47
4pzv,-21.4914,2.99825,0.693147,0,0,0.251578,0,0.303018,0.00478805,2.73507,-5.94739,-6.66716,5.7
1d09,-29.1768,4.93034,2.19722,0,0,0.734162,-17.8499,0.00133902,4.59523e-006,1.22706,-3.6449,-3.84422,7.57
4j74,-8.15561,0.00124365,0,0,0,0,0,0.0370564,0,0.2223,-2.38904,-2.614,4.59
3q6z,-14.1993,1.07886,0,0,0,0,0,0.259,6.40907e-005,1.38827,-4.11698,-4.79903,3.72
3ozj,-8.24172,0,0,0,0,0,0,0.000683614,0.451355,0.4606,-2.55802,-3.0717,5.11
3ml5,-10.3831,0.640606,0.693147,0.75137,0.0714322,0,0,0.188066,0,1.07663,-1.48874,-2.86412,8.52
3a2o,-16.3071,0.691779,0,0,0,0,0,0.151831,0,3.7175,-5.90127,-6.49593,9.08
4a6l,-15.3162,0.303822,0.693147,0,0,0,-3.40303,0.139982,0,2.30243,-4.80985,-5.38375,8
3jyr,-31.4027,6.73514,3.17805,0,0,0.988799,-3.81601,0.441728,0,1.7982,-6.34204,-6.46065,5.54
4u5o,-10.6206,0.357245,0,0,0,0,-4.02897,0.0264027,0.00067049,2.13283,-2.45806,-2.69847,2.42
2pqz,-20.1029,1.46106,0.693147,0,0,0,-7.0568,0.277251,0.00167596,2.08003,-4.81344,-5.84285,5.67
1yda,-8.1442,0.45063,0,0.280476,0.223249,0,0,0.122601,0.00406023,1.07663,-1.54338,-2.72869,6.55
1mfi,-16.1909,1.54962,0,0,0,0,-6.59107,0.144542,0.0131409,0.579266,-3.18867,-3.43848,5.59
2qtt,-15.7694,2.25169,0.693147,0,0,0,0,0.278548,0,0.622,-3.16596,-4.79297,4.32
2ha2,-10.7545,0.0172685,0,0,0,0.376956,-1.2408,0.671773,0.316564,1.63538,-4.03491,-2.89503,4.66
4b34,-8.88238,0.459318,0,0,0,0,0,0.343345,0.0359143,0,-1.94075,-2.55556,3.14
1nw5,-23.4933,3.29458,0.693147,0,0,3.89109,-7.01948,0.184412,0,1.47203,-4.94975,-5.41127,5.21
2exm,-8.72987,0.131034,0,0,0,0,0,0.370692,0,0.919233,-2.1501,-2.98124,4.11
4k4j,-12.6558,0.610879,0,0,0,0.107066,-1.83154,0.0588462,2.59258e-006,1.85743,-3.22119,-4.47073,6.12
3p58,-12.2243,0,0,0.6553,0.0323243,0.0588634,-5.84951,0.000149916,0,0.548066,-1.77205,-2.95802,7.6
1ec3,-18.3562,0.875076,0,0,0,0,0,0.2098,0.000549522,6.47293,-6.97412,-7.63044,9.04
4ayu,-18.0562,1.52701,1.38629,1.37086,0.362246,4.88702,-13.3163,0.169419,0,0.227633,-0.900783,-2.00261,4.73
3r16,-10.7007,0.518199,0,0.934583,0.0290492,0,0,0.0915774,0,1.85767,-1.52246,-3.04805,7.3
4k5p,-24.1207,2.12465,0,1.21025,0.624283,14.9329,-20.7993,0.0530094,0.00251243,0.115056,-1.91562,-3.52927,3.46
3nb5,-10.9153,0.423468,0,0.970793,0.0365273,0,0,0.105025,0,2.48727,-1.83854,-3.19125,7.74
3cft,-6.8637,0.162349,0,0,0,0.0111342,-2.14435,0.129381,0,0.18479,-0.951892,-1.2646,4.19
1o7o,-28.2475,3.40015,1.38629,0.248388,0.334078,5.14444,-20.8011,0.00726335,0.000145046,0.520823,-3.21925,-5.31865,4.49
1fl3,-11.4005,0.00752184,0,0,0,0.13712,0,0.151433,0.0170901,2.1593,-4.19405,-4.35334,6.8
1xk5,-17.0386,0.591656,0,0,0,0.751474,-9.50805,0.0897881,0.0355242,2.30273,-3.92941,-4.44411,6
3sym,-16.2366,2.46033,1.38629,0,0,0,0,0.00773815,0,0.8206,-3.99152,-4.33011,4.57
5cp9,-10.9626,1.40547,0,0,0,0,-2.65051,0.0303405,1.56104e-005,0.919233,-1.89866,-1.93162,3.51
4x6m,-16.3762,0.993446,0,0,0,0.100805,-0.401807,0.444253,0,3.40023,-5.15026,-6.15237,8.24
3ta1,-22.0381,2.42782,0,0,0,2.70866,-6.30614,0.150917,0,0.520823,-5.25014,-5.57837,3.25
3ipu,-15.0491,0.000861772,0,0,0,0.242676,-3.69286,0.149753,0,2.83786,-4.71215,-5.77867,7.32
5boj,-12.6407,0.392315,0,0,0,0.725775,-5.4039,0.0767146,0.00216091,1.44127,-3.04466,-3.17944,7
4ye3,-15.8512,1.03571,0.693147,0,0,0,0,0.255401,0.0625322,3.15873,-5.09267,-6.00172,8.37
2qwb,-16.2559,2.40106,0.693147,0,0,2.08173,-4.65701,0.000790651,0.00237325,1.57603,-3.07258,-3.22728,2.74
4ge1,-10.7951,0.799667,0,0,0,0.711213,-3.02524,0.160952,0,0.6452,-1.84739,-2.65111,6.43
3lzs,-16.0933,1.336,0.693147,0,0,0,0,0.141985,0.00252059,2.49033,-4.8545,-5.79355,10.96
3rdq,-14.4333,2.48823,1.09861,0,0,0,0,0.291365,0,0.988233,-2.96711,-3.24722,9.31
2pwr,-23.7321,1.93918,1.09861,0,0,0,-7.40289,0.331974,0.000770143,3.12523,-5.96521,-7.35619,6.59
4xe1,-11.3288,0.723175,0,0.867066,0.045118,0,0,0.155616,0,0.321066,-1.44418,-3.18072,7.11
3bbf,-17.9636,2.58437,0,0,0,0.639222,-4.4841,0.0791606,0,0.520823,-3.01853,-4.40519,5.28
1ax0,-11.1066,1.72403,0.693147,0,0,0,0,0.133433,0,0.622,-2.21601,-2.28052,3.13
4z1k,-11.6161,0.641116,0,0.919986,0.0264874,0,0,0.0559243,0,0.843666,-1.6577,-3.43128,8.33
1yei,-14.7851,1.26295,0,0,0,0,-0.771929,0.142701,0,2.29233,-4.41626,-4.63866,7.46
1g7q,-29.3436,5.24379,1.38629,0,0,2.76412,-4.56215,0.43948,0.00149184,7.2635,-6.89818,-7.61353,6.06
3upv,-20.546,2.48767,0,0,0,0,-8.82773,0.080011,0,7.126,-4.51785,-4.90464,5.3
1hmr,-11.3336,0.692027,0.693147,0,0,0,-2.46968,0,0,2.34703,-2.95188,-3.09878,6.55
4og4,-10.3662,0.0644051,0,0,0,0,-0.193641,0.21596,3.54289e-005,1.86073,-3.30056,-3.85729,6.02
4kwg,-9.34707,0.0434443,0,0,0,0,0,0.000868948,0.00370879,0,-2.76199,-3.34103,6
4djw,-14.1394,1.04883,0.693147,0,0,0,-4.34277,0.0799782,0,1.86363,-3.16922,-3.85492,6.28
4q08,-12.6209,0.422849,0,0.937621,0.124569,0,0,0.268207,0.145139,1.77287,-2.60091,-4.35774,6.3
1uou,-12.5887,1.5781,0,0,0,0,0,0,0,0.6684,-2.79489,-3.61883,7.7
4nbn,-16.0807,1.43681,0,0,0,0,0,0.57816,4.47564e-013,2.07143,-4.61731,-5.28927,4.36
2p16,-14.1778,0.275566,0,0,0,0,0,0.455772,0.00108524,2.13147,-4.83753,-5.62484,10.1
4l4v,-19.6526,3.47287,0.693147,0,0,0,0,0.186362,0,1.2298,-4.64196,-4.97843,5.78
1bcd,-9.41318,0.466382,0,0.817824,0.00569019,0,0,0,0,-0.635177,-1.09435,-2.06721,8.7
3iss,-19.7975,1.56276,0,0,0,1.68569,-6.11016,0.000523081,0.0125328,2.4225,-5.12341,-5.85734,6.05
3ckb,-10.6333,0.554341,0,0,0,0,0,0.409866,0,1.1298,-3.15701,-3.03642,2.98
1apv,-17.4969,2.55615,0.693147,0,0,0,0,0.0524129,0,3.4834,-5.33269,-4.5755,9
1i9p,-8.83828,0.526746,0,0.342701,0.365818,0,0,0.116631,0.0272553,1.6247,-1.71688,-3.58545,8.41
4qew,-10.0976,0.0211229,0,0,0,0,0,0.311065,0.000194979,1.61863,-3.09043,-3.83604,7.07
2pyy,-16.4873,2.4453,1.38629,0,0,1.9799,-5.83528,2.58458e-005,0.000515076,0.455666,-2.75254,-2.86331,4.6
1fhd,-16.9824,2.48456,2.07944,0,0,1.80252,-2.49528,0.12192,8.11969e-005,0.3228,-3.40696,-4.14508,6.82
1d3p,-14.3736,0.556769,0,0,0,0.389564,-0.987826,0.48532,0.00106429,2.7273,-4.71095,-4.98719,7.39
4en4,-6.86443,0.106391,0,0,0,0,0,0.0321192,0.00330781,1.1522,-1.77219,-1.9341,5.52
3rlq,-10.5516,0.379603,0,0,0,0,0,0.229955,0,1.5522,-2.94745,-3.78301,7.4
1qk3,-17.931,3.38858,2.07944,0,0,1.27487,0,0.0928459,0,0.35659,-3.76571,-4.21066,5.15
1sln,-20.4762,0.507948,0,0.879974,0.231276,8.16585,-13.4575,0.301983,0.0364282,3.50733,-3.20904,-5.4476,6.64
4ual,-12.7311,0.408734,0,0,0,0.25994,-2.06755,0.335915,0,1.79543,-3.33162,-4.43173,8.4
4q3t,-11.2915,1.04085,0.693147,1.33438,1.3108,1.67349,-5.80875,0.103724,0.214376,1.69503,-1.91994,-2.9462,6.48
3sio,-14.3147,0.417813,0.693147,0,0,0,0,0.371107,0.00480705,2.5578,-5.4063,-5.08696,8
4jv6,-10.6438,0.236198,0,0,0,0,0,0.24806,0,1.07067,-2.70691,-4.28267,6.66
4d3h,-20.9686,3.02294,0,0,0,0.395187,-0.284767,0.358155,0,0.2223,-5.08169,-6.22746,6.43
1y3n,-18.9187,3.03537,1.38629,0,0,1.54395,-3.7372,0.172226,0.00526409,0.840066,-3.77746,-4.05242,5.55
4bc5,-12.5396,2.41284,1.38629,0,0,0,0,0.183932,0,1.329,-2.51412,-2.13667,4.6
1oth,-27.036,5.83109,5.37528,0,0,1.13289,-8.30533,0.00733693,0,1.27582,-3.98422,-4.33919,7
4zvi,-9.7369,0.00942775,0,0,0,0,-0.674689,0.188006,0,2.11587,-3.07467,-3.40511,6.33
1f4f,-11.0323,0.125912,0,0,0,0,-1.63095,0.418387,0.0113643,2.53317,-3.27579,-3.65745,4.62
4xiq,-11.7394,0.373371,0,0,0,0,0,0.417937,0,0.289633,-3.37287,-4.10306,7.07
2flr,-14.055,0.693153,0,0,0,0,-1.60092,0.431955,1.30371e-005,2.0592,-3.51137,-5.20007,6.1
3pce,-18.7332,0.224091,0,0.915546,0.246364,3.77339,-18.4701,0.24928,0.105103,0.781033,-1.70184,-2.78237,2
1ta6,-13.2495,0.268208,0,0,0,0,-0.452844,0.269661,4.10498e-006,3.56143,-4.80955,-4.99995,9.13
4ipj,-20.2919,1.74347,0.693147,0.72197,0.312216,4.73189,-19.5097,0,0,0.663066,-0.855438,-2.46265,4.87
1fch,-19.3515,2.20037,0,0,0,0.596298,-4.99944,0.0243,1.68914e-006,5.9817,-4.72606,-5.80463,7.15
1dl7,-11.5756,0.0322319,0,0,0,0.995707,-1.24136,0.55725,0.0829649,0.600689,-3.9345,-3.44861,6.49
1zoe,-9.75368,0,0,0,0,0,0,0.343375,4.40842e-005,0.227633,-3.28096,-3.01749,7.4
4mnp,-15.977,2.19436,0,0,0,0.254686,-3.49781,0.0325656,0,1.57603,-3.47979,-3.50008,7.34
1h4w,-10.3306,0.659366,1.38629,0,0,0,-2.3817,0.0817098,0,0.0566665,-2.19257,-2.39872,4.66
4ozj,-19.3903,2.46832,0,0,0,0.135023,-4.35081,0.101133,0,0.520823,-4.27767,-4.84951,5.4
4der,-9.99939,0.00126872,0,0,0,0.901361,-4.18578,0.415826,0.656006,0.289633,-1.92203,-3.12331,6.31
2uy3,-10.5615,0.889531,0,0,0,0,0,0.0891186,0,0,-2.62859,-2.90475,3.22
1a1e,-16.9347,2.26472,0.693147,0,0,1.5218,-3.84841,0.135564,0,3.04706,-3.81217,-4.01719,6
1b5j,-22.5133,2.07234,0.693147,0,0,0.658849,-8.04803,0.0706493,0,4.02863,-6.10503,-5.86019,7.43
2c1p,-10.7461,0.272817,0,0,0,0,0,0.167382,0,1.84627,-3.38162,-3.88162,5.4
1jmg,-18.4083,2.15973,0.693147,0,0,0.0501259,-7.03081,0.00158837,0.0656134,0.35659,-3.36863,-4.18419,6.07
4ww6,-10.9021,0.531031,0,0.766402,0.0878432,0,0,0.0376006,0,1.10447,-1.82937,-3.43786,10.21
4tim,-14.5046,1.78849,0.693147,0,0,1.87594,-5.16885,0,0.015293,0.146823,-2.64564,-2.58392,2.16
2nta,-12.9418,0.976719,0,0,0,1.22176,-1.38593,0.145911,0,0.517266,-3.15458,-3.94422,4.8
3t09,-14.4966,2.93025,1.38629,0.0148176,0.0284819,0,0,0.337343,0.000534767,0.1614,-2.09238,-3.14362,3.8
4cwn,-11.207,0.142152,0,0,0,0,0,0.285994,0,1.79503,-3.39808,-4.45796,5.59
4q4p,-13.8677,1.38596,0,0,0,0.46711,-0.167325,0.0785767,0,0.204833,-3.20114,-4.6157,6.39
4kfq,-11.7962,1.32646,0.693147,0,0,0,0,0.0147257,0.000988069,0,-2.65253,-3.31703,8.23
3ozg,-19.6948,3.12091,1.38629,0,0,4.75957,-2.12104,0.166269,0.0174655,0.86399,-4.2465,-5.01974,9.19
3d50,-19.4502,3.46035,0.693147,0.908105,0.460196,3.238,-5.44664,0.149379,0.0188293,1.6358,-2.75316,-3.44855,4.77
4a4v,-11.5838,1.07437,0.693147,0,0,0,-0.00812159,0.14129,0,2.49927,-2.99741,-3.66036,6.54
2sim,-16.7142,2.34142,1.38629,0,0,1.83607,-5.31947,0.0312787,0,1.31163,-3.02228,-3.43523,3.42
1bn1,-11.512,0.630946,0,1.00735,0.105873,0,0,0.113541,9.84877e-007,1.7189,-1.82155,-3.37041,9.34
2ygf,-14.7833,1.07417,0,0,0,0,0,0.0180278,0,1.2904,-4.73728,-4.99228,5.09
3hit,-23.3095,2.51979,1.38629,0,0,1.72936,-4.56411,0.164193,0.00454186,3.6725,-6.07145,-7.37278,8.19
2xyf,-16.8875,0.54867,0,0,0,0,0,0.229577,0.0129717,4.35265,-6.71032,-6.62299,8.44
4ufk,-18.3993,4.12468,1.79176,0,0,1.72885,-4.50719,0.301013,0,0.1614,-2.13773,-2.33175,3.89
1o3j,-12.0543,0.407076,0,0,0,0,-2.22921,0.0760917,0.119094,0.289633,-3.25723,-3.81252,6.77
4lkk,-11.368,1.01112,0,0,0,0,0,0.0835214,5.13923e-006,2.07423,-3.35332,-3.18718,5.92
2wos,-9.45949,0.00295224,0,0,0,0,-0.525315,0.278305,0,0.965823,-2.34349,-3.61321,3.9
4fnn,-9.16068,0.0168954,0,0,0,0,-3.63187,0,0.00412436,2.34703,-2.29555,-2.35545,7.57
1tys,-26.6308,5.82783,2.48491,0,0,0.066916,-8.09189,0.01918,0,0.35659,-3.57408,-4.25133,5.49
1d4i,-18.8316,0.862151,0.693147,0,0,0,0,0.317033,0,3.51247,-6.29061,-8.08187,8.85
1hpo,-14.5941,1.19759,0.693147,0,0,0,0,0.0784782,0.00344301,2.4375,-4.20295,-5.27595,9.22
4xty,-24.9098,3.19927,0.693147,0,0,0,0,0.278852,0,2.59583,-7.16881,-8.45215,9.21
2aoe,-21.8048,1.84361,0,0,0,0.358148,-3.39932,0.0298471,5.70034e-005,7.97613,-7.31684,-7.5966,7.62
1tok,-16.3259,3.11673,1.38629,0,0,0.846065,-5.20699,0,0.00589216,0.579266,-2.17009,-2.28716,2.47
4xmr,-16.6188,2.25802,1.79176,0,0,2.5742,-8.33925,0.191442,0,0.589033,-2.39302,-2.31317,4.07
4knm,-12.3616,0.823656,0,1.03436,0.0719616,0,0,0.0528419,0.00182834,1.99587,-2.05032,-3.54066,8
4gzt,-17.4905,1.775,0.693147,0,0,2.86978,-9.53463,0.0017887,0.26043,1.10087,-3.14738,-3.35703,7.77
4i8z,-15.0764,0.768167,0.693147,0,0,0,0,0.119269,0.00275727,3.01293,-4.93399,-5.96615,11.05
4pyy,-12.6329,0.362134,0,0.911735,0.0559029,0,0,0.138134,0,1.8803,-2.57662,-4.34752,7.23
2q1q,-10.8609,0.562334,0,0.898042,0.0216278,0,0,0.0835979,0,0.5487,-1.46747,-2.97165,8.15
4np9,-16.7999,2.5925,0.693147,0,0,0.64188,-7.10832,0,0.0142206,-0.726631,-2.26292,-2.49847,5.03
2pgz,-11.3406,0.0245431,0,0,0,0,0,0.732285,0.000942585,1.21083,-3.69148,-3.96452,5.74
3gjw,-11.3021,0.727886,0,0,0,0,-0.81392,0.0965113,0.0103983,0.435433,-2.80981,-3.47541,8.3
3le9,-20.2625,0.220315,0,0.916499,0.210743,5.04432,-17.1625,0.120356,0,1.76663,-2.13802,-4.64191,8.22
3g30,-12.5939,1.60015,0,0,0,0.126833,-1.67545,0.104721,0.224076,1.21083,-2.45485,-3.31628,2.51
1q54,-28.5493,3.23659,0.693147,0.0957035,0.2418,6.28003,-29.5951,0.0413869,0.570814,0.434223,-1.98866,-3.35808,5.85
1qb1,-13.6567,0.805374,1.38629,0,0,0,-2.45026,0.227137,1.16444,3.52847,-4.41316,-4.93052,6.77
3q71,-20.5478,3.07702,0.693147,0,0,0,0,0.295465,0.00132251,1.38827,-5.32823,-5.90476,5.22
1jmf,-20.068,2.88723,1.38629,0,0,0.214379,-7.45153,0.00108552,1.60154e-005,0.35659,-3.30784,-4.1742,5.77
2afx,-9.03489,0.00218823,0,0.99075,0.0257801,0,0,0.00694312,0,0.781033,-1.25022,-2.39174,5.15
1ct8,-16.9155,1.64202,0,0,0,0,-0.456015,0.0439519,0.00962002,2.87396,-5.21045,-5.60592,6.52
3uug,-19.3384,4.41802,2.19722,0,0,1.25996,-1.5078,0.139593,3.49014e-005,0.227633,-3.18904,-3.30794,4.51
3d0e,-21.5724,1.90932,0.693147,0,0,0.22559,-6.2481,0.418231,9.01964e-005,2.91283,-5.28358,-6.38344,8.4
4bny,-10.3833,2.67818e-008,0,0,0,0,0,0.36513,0.0391954,0.517266,-2.79401,-4.21262,7.1
1zfq,-10.3979,0.549605,0,0.823837,0.0281248,0,0,0.20867,0,0.554033,-1.26953,-2.81637,7.52
1wcq,-22.4232,3.13899,0.693147,0,0,2.67764,-11.5706,0.0738128,0,1.17383,-3.50554,-3.86859,6.26
3v51,-15.0929,0.178733,0,0,0,0,0,0.638843,0,1.90243,-4.6407,-6.69789,8.55
2hl4,-11.9524,1.04316,0,0.788289,0.0790796,0,0,0.185804,0,1.15087,-1.78389,-3.28561,7.64
2q2a,-22.73,4.08145,2.77259,0,0,2.08747,-8.26943,0.176727,0,0.939466,-3.60909,-3.68504,7.41
4km2,-13.5759,1.49154,0,0,0,0,-2.19504,0.056835,0.00261347,2.30203,-3.1108,-3.65665,5.84
3m5e,-12.2186,0.516859,0,1.0315,0.0537052,0,0,0.109604,0.0325342,2.50287,-2.30009,-3.78578,7.37
2p3c,-21.5069,1.47165,0.693147,0,0,0,0,0.24139,0.0695516,7.573,-7.84313,-8.98885,7.62
2r2m,-13.7299,0.82709,0.693147,0,0,0,0,0.115192,0,3.2363,-4.80923,-4.67511,7.33
4wkb,-17.3457,1.98469,0.693147,0,0,0.922034,-2.89687,0.158613,0,0.968,-3.87449,-4.93928,11.57
2gst,-24.6378,3.70962,1.38629,0,0,0.969289,-7.39221,0.158986,0.0201894,3.19747,-5.10219,-5.79709,6.07
4q7p,-11.5336,0.0700849,0,0.507842,0.456855,0.597271,-10.959,0,0,0,-0.921943,-2.16137,4.32
4afg,-10.5768,0.720382,0,0,0,0,-0.00882057,0.465284,0,-0.232967,-2.37311,-3.08402,8.3
4e6d,-12.4305,0.151285,0,0,0,0,0,0.682523,0.000862847,1.4746,-3.70063,-4.89719,8.92
2qhy,-15.9258,0.843954,0.693147,0,0,0,0,0.204008,0,3.76247,-5.35037,-6.31849,7.48
3ekp,-14.5293,0.467517,0,0,0,0,0,0.17704,0.00449266,2.49033,-4.98784,-5.80012,8.89
2we3,-34.0639,5.20813,2.07944,0.405632,0.0135818,2.74943,-26.6851,0.163961,0,0.685056,-1.99717,-4.16218,4.43
2vwm,-15.0097,0.344753,0,0,0,0.110646,-0.250016,0.149707,0,3.93843,-5.56517,-6.15255,7.03
1oba,-6.54159,1.17667e-005,0,0,0,0,-0.36766,0.355661,0,-0.26541,-1.74426,-1.04173,2.44
3d8z,-8.34953,0.626739,0,0,0,0.355261,0,0.00103616,0,0.550433,-1.84994,-2.20138,3.37
2bqv,-15.1675,0.364243,0,0,0,0,0,0.156766,0,3.8645,-5.56417,-6.37466,8.05
2i3v,-16.7153,2.40761,1.38629,0,0,1.94037,-6.30749,0.13208,0,0.455666,-2.88977,-2.66078,6.55
4de5,-8.59948,0.757764,0,0,0,0.414163,-0.23704,0.0244793,0.00260735,0.227633,-1.67726,-2.1544,3.15
2vwn,-13.7779,0.0907846,0,0,0,0,0,0.157525,0,2.6968,-5.17932,-5.66934,8
4omj,-13.8535,0,0,0,0,0,0,0.114646,0.0109989,2.53007,-5.38646,-5.73804,5.26
3su6,-15.4276,0.301156,0,0,0,0,0,0.357942,0,2.08189,-5.51436,-6.23286,6.02
1hpv,-13.9623,0.531144,0,0,0,0,0,0.080578,0,2.49033,-4.77409,-5.41159,9.22
4ndu,-10.4786,1.49032,0.693147,0,0,0,0,0.224675,0.00179273,0.3228,-2.05236,-2.13092,2.74
5a2i,-11.7267,0.596737,0,0,0,0,0,0.583131,0.0162169,5.2211,-4.14189,-3.76761,5.06
3cj2,-8.59214,0.0869235,0,0,0,0,0,0.0168161,0,0.289633,-2.65893,-2.64375,4.85
1d9i,-13.7841,0.657974,0,0,0,0,-2.76574,0.17925,0.918919,2.0609,-4.39777,-4.70262,9.11
2bes,-16.7494,2.52838,1.38629,0,0,0.371364,-5.63379,0.00176828,0,0.55659,-2.78081,-3.05078,4.24
4x5p,-18.2148,4.19767,2.48491,0,0,0,0,0.0431316,0.00542297,1.93167,-3.23722,-3.79267,8.21
1phw,-9.04233,0.220296,0,0,0,0.153863,-2.26417,0.110871,0.334376,-0.10401,-2.13579,-2.37539,3.3
4ibc,-10.4371,0.189276,0,0,0,0.0288952,-2.60809,0.166647,0,2.57647,-2.5449,-3.42735,2.98
4djo,-17.1982,1.24146,0.693147,0,0,0,0,0.141335,0,4.31093,-5.9415,-6.38338,11.52
4kz7,-8.49502,0.487406,0,0,0,0,-1.39309,0.000147374,0,0.321066,-1.79032,-1.94104,2.49
4ibi,-12.4467,0.149045,0,0,0,0.240434,-3.5689,0.329555,0.0143732,2.50282,-3.09788,-4.31994,4.14
