name,GBVIWSA_dG,coul,sol,vdw,sa,affinity
2byr,-10.0482,-2.00002,2.13272,-5.86929,-2.21905,8.55
1lzq,-10.9613,-18.307,16.9563,-4.24192,-3.27615,8.39
1gno,-3.32644,-2.88444,3.148,1.04858,-2.54607,7.7
1c5x,-6.07582,-5.93168,5.00246,-2.0774,-0.976685,6.68
1g9r,-14.1294,-23.1209,17.5448,-3.52464,-2.93621,5.7
1qka,-13.9781,-39.7958,36.7922,-5.73535,-3.1467,5.92
1l6m,-6.80567,-50.0388,43.7813,1.96701,-0.422664,8.1
1sgu,-10.4051,-7.69629,7.666,-5.7107,-2.57162,5.37
1dqn,-9.37073,-22.6924,19.0698,-2.36918,-1.28644,8
2bfq,-11.042,-10.5113,9.6516,-6.1334,-1.95647,6.89
1izi,-11.8071,-3.50846,3.04578,-6.42043,-2.83146,6.59
2fqw,-7.7769,-5.8057,4.11195,-2.47341,-1.51724,6.68
1bv7,-13.0479,-7.53818,6.9329,-7.1066,-3.24355,9.3
1w4p,-6.04614,-35.0923,33.1191,-1.23437,-0.746117,4.74
2jxr,-9.78353,-3.42095,2.80152,-4.62476,-2.44683,7.05
1li2,-4.74564,-0.24641,0.185821,-1.36202,-1.23052,4.04
1n8v,-6.35901,-1.49956,1.59493,-3.11002,-1.25184,6.03
1lkk,-10.4116,-37.4432,34.8717,-4.05856,-1.68907,6.85
1tuf,-4.6503,-2.54714,2.71834,-1.70686,-1.02213,4.05
1o2z,-6.88223,-14.0457,12.6859,-2.16895,-1.26098,6.11
1t31,-10.1637,-37.1929,34.9759,-3.87437,-1.97979,8.64
1b46,-11.8897,-32.1682,29.8909,-4.7425,-2.77731,5.28
1k1j,-8.47145,-11.7941,10.4692,-3.43993,-1.61409,7.55
1c87,-6.20067,-21.985,21.1056,-1.8921,-1.3367,4.2
2gvj,-8.97732,-3.23019,3.19447,-4.65487,-2.19421,9.52
1afk,-7.87952,-63.0315,60.5515,-2.11886,-1.18815,6.62
1kpm,-5.36163,-0.210041,0.243129,-0.956326,-2.34588,5.8
1jcx,-7.45741,-55.1886,53.7929,-2.44465,-1.5246,5.15
4std,-7.161,0.151082,-0.00984869,-3.69575,-1.51398,10.33
1jao,-11.6582,-9.65005,4.95066,-3.24972,-1.61663,5.92
1h0a,-8.55639,-101.822,98.0538,-1.93226,-0.763605,5.44
1yfz,-8.01293,-41.4768,37.8376,-1.66179,-0.61946,4.35
1qy1,-5.62325,-0.322584,0.193591,-1.75686,-1.64488,6.52
1fq5,-10.971,-0.759515,0.581109,-5.91057,-2.78955,8.4
1mrw,-10.8001,-1.93868,1.80765,-6.03515,-2.54139,9.7
1ksn,-9.34161,-7.70766,6.83078,-4.47191,-1.90031,9.4
1fjs,-7.94243,-11.3162,10.2293,-3.02962,-1.73339,9.96
1ur9,-9.53205,-5.89108,5.17089,-4.52687,-2.19248,5.77
2fqo,-7.81416,-17.1876,13.8956,-0.875043,-1.55463,6.43
1e1x,-5.37736,-2.70751,2.24366,-1.67559,-1.14541,5.89
1jlr,-6.02715,-48.299,46.2552,-0.925489,-0.965312,3.33
1ew8,-12.6533,-79.8377,62.5643,7.67286,-0.960241,2.26
1bxq,-12.1291,-8.1438,6.0392,-5.30805,-2.62395,7.38
1pb8,-6.03528,-9.03413,6.89297,-0.731186,-1.07042,5.15
1x8r,-13.2868,-105.591,99.1097,-1.01731,-3.69582,6.12
1p19,-2.48495,-1.53401,0.834919,1.24933,-0.94267,4.11
1jqy,-5.92797,1.35414,-2.15968,-1.51784,-1.51208,4.92
1fpc,-7.46432,-13.2069,13.0599,-3.57966,-1.64516,7
2b4l,-5.76315,-1.87101,1.15855,-2.09166,-0.866519,4.77
1i9m,-1.51169,-8.8975,6.51597,4.40263,-1.44028,8.48
1l83,-4.46327,-0.212128,0.308429,-1.22233,-1.24474,3.4
1nz7,-9.12057,-34.7113,32.8716,-2.68687,-2.50152,7.12
1lbf,-8.16624,-49.9849,47.041,-1.27518,-1.85464,7.85
1a4r,-8.23789,-16.0491,14.6478,-3.14708,-1.59696,6.66
1ec9,-2.92223,-42.4653,34.6503,8.45807,-1.47274,3.1
1r6n,-6.26718,3.26829,-3.29247,-2.77977,-1.37073,7.4
